"concept,""disease"",""appearTimes"",conceptClass"
"Coenzyme I,""Parkinson Disease"",""6"",Protein"
"Cloning Vectors,""Retinal Diseases"",""6"",Protein"
"Histone Deacetylase,""Neurotoxicity Syndromes"",""6"",Protein"
"GABA Receptor,""Retinal Diseases"",""6"",Protein"
"G-Protein-Coupled Receptors,""McCune-Albright Syndrome"",""6"",Protein"
"Coenzyme I,""Retinal Diseases"",""6"",Protein"
"Mutant Proteins,""Huntington Disease"",""6"",Protein"
"Myosin Heavy Chains,""Parkinson Disease"",""6"",Protein"
"Factor, Transcription,""Autistic Disorder"",""6"",Protein"
"Protein Subunits,""Fragile X Syndrome"",""6"",Protein"
"Proteoglycan,""cortex bone disorders"",""6"",Protein"
"Caffeine,""Syndrome, Bloch-Sulzberger"",""6"",Protein"
"Glutamate Receptor,""Retinal Diseases"",""6"",Protein"
"HD protein, human,""Ataxia as late effect of cerebrovascular disease"",""6"",Protein"
"Homocysteine,""Neurodegenerative Disorders"",""6"",Protein"
"Papaverine,""Spinal Cord Diseases"",""6"",Protein"
"Proteins,""Autoimmune Diseases"",""6"",Protein"
"Ephrins,""Retinal Diseases"",""6"",Protein"
"Methionine,""Pervasive Development Disorder"",""6"",Protein"
"Connexin 43,""cortex bone disorders"",""6"",Protein"
"Serotonin 5-HT-3 Receptor,""cortex bone disorders"",""6"",Protein"
"Methylene blue,""Neurotoxicity Syndromes"",""6"",Protein"
"Ligase,""Parkinson Disease"",""6"",Protein"
"Dopamine Receptor,""Depressive disorder"",""6"",Protein"
"Apolipoprotein E,""Hypertensive disease"",""6"",Protein"
"Aquaporin 4,""Parkinson Disease"",""6"",Protein"
"Plasmids,""Parkinson Disease"",""6"",Protein"
"Appetite-Regulating Hormone,""cortex bone disorders"",""6"",Protein"
"Amyloid,""Creutzfeldt-Jakob disease"",""6"",Protein"
"CRK protein, human,""cortex bone disorders"",""6"",Protein"
"Colony-Stimulating Factors,""cortex bone disorders"",""6"",Protein"
"Occludin,""cortex bone disorders"",""6"",Protein"
"Ubiquitin,""Shy-Drager Syndrome"",""6"",Protein"
"Tumor Necrosis Factor-alpha,""Disease Progression"",""6"",Protein"
"Genes,""Cohen syndrome"",""6"",Protein"
"Complex, Multicatalytic Endopeptidase,""Disorder nervous system"",""6"",Protein"
"Dopamine D2 Receptor,""Sensitization (disorder)"",""6"",Protein"
"APP protein, human,""Dementia due to Alzheimer's disease (disorder)"",""6"",Protein"
"Receptors, Toll Like,""Alzheimer's Disease"",""6"",Protein"
"Methionine,""Alzheimer's Disease"",""6"",Protein"
"Whipple Disease,""Whipple Disease"",""6"",Protein"
"Laminin,""Alzheimer's Disease"",""6"",Protein"
"JNK Mitogen-Activated Protein Kinases,""Neurotoxicity Syndromes"",""6"",Protein"
"Gonadorelin,""Neurotoxicity Syndromes"",""6"",Protein"
"tau Proteins,""Spinal Cord Diseases"",""6"",Protein"
"G(M2) Ganglioside,""Lysosomal Storage Diseases"",""6"",Protein"
"Coenzyme I,""Alzheimer's Disease"",""6"",Protein"
"Doxycycline,""Disease Progression"",""6"",Protein"
"Isoenzymes,""Alzheimer's Disease"",""6"",Protein"
"Neurotrophin 3,""Alzheimer's Disease"",""6"",Protein"
"Immunoglobulins,""Disorder of pineal gland"",""6"",Protein"
"Cloning Vectors,""CNS disorder"",""6"",Protein"
"G(M2) Ganglioside,""Sandhoff Disease"",""6"",Protein"
"G-Protein-Coupled Receptors,""Macrophage Activation Syndrome"",""6"",Protein"
"Pituitary Hormones, Anterior,""Liver diseases"",""6"",Protein"
"Calcium,""Pituitary Diseases"",""6"",Protein"
"Ionized calcium,""cortex bone disorders"",""6"",Protein"
"Amyloid beta-Protein Precursor,""Retinal Diseases"",""6"",Protein"
"Tretinoin,""cortex bone disorders"",""6"",Protein"
"Galactosylceramidase,""Lysosomal Storage Diseases"",""6"",Protein"
"PRRT2 protein, human,""Disorder nervous system"",""6"",Protein"
"Interferons,""Alzheimer's Disease"",""6"",Protein"
"D-Amino Acid Dehydrogenase,""Spinal Cord Diseases"",""6"",Protein"
"Chondroitin Sulfates,""Spinal Cord Diseases"",""6"",Protein"
"Matrix Metalloproteinases,""Alzheimer's Disease"",""6"",Protein"
"Oxidase,""Neurotoxicity Syndromes"",""6"",Protein"
"Gonadorelin,""Testicular Diseases"",""6"",Protein"
"HCRT protein, human,""Pituitary Diseases"",""6"",Protein"
"pleiotrophin,""Alzheimer's Disease"",""6"",Protein"
"Associated Protein, FKBP12-Rapamycin,""Autistic Disorder"",""6"",Protein"
"Ubiquitin,""Neurodevelopmental disorder"",""6"",Protein"
"Proteins,""Rabies (disorder)"",""6"",Protein"
"G-Protein-Coupled Receptors,""Meconium Aspiration Syndrome"",""6"",Protein"
"Opioid Receptor,""Gardner Syndrome"",""6"",Protein"
"Cloning Vectors,""Disease Progression"",""6"",Protein"
"Myelin,""Mild cognitive disorder"",""6"",Protein"
"Kynurenine,""Functional disorder"",""6"",Protein"
"Alanine,""Parkinson Disease"",""6"",Protein"
"Insulin-Like Growth Factor I,""Pervasive Development Disorder"",""6"",Protein"
"Ranvier's Nodes,""DISORDERS OF THE OPTIC NERVE"",""6"",Protein"
"Prolactin,""Functional disorder"",""6"",Protein"
"Amyloid Proteins,""Cerebrovascular Disorders"",""6"",Protein"
"Amyloid Proteins,""Retinal Diseases"",""6"",Protein"
"Acetylserotonin N-Methyltransferase,""Retinal Diseases"",""6"",Protein"
"Lipoproteins,""Liver diseases"",""6"",Protein"
"Tubulin,""Mohr-Tranebjaerg syndrome"",""6"",Protein"
"2-Amino-5-phosphonovalerate,""Pigment dispersion syndrome (disorder)"",""6"",Protein"
"Alanine,""Parkinsonian Disorders"",""6"",Protein"
"Genes,""Distal arthrogryposis syndrome"",""6"",Protein"
"Protein Subunits,""Renal glomerular disease"",""6"",Protein"
"Glycosylation End Products, Advanced,""Autistic Disorder"",""6"",Protein"
"Amyloid,""Van der Woude syndrome"",""6"",Protein"
"Cell Adhesion Molecules,""Pervasive Development Disorder"",""6"",Protein"
"Gastric Inhibitory Polypeptide,""Parkinson Disease"",""6"",Protein"
"Minocycline,""Fragile X Syndrome"",""6"",Protein"
"Alkaline Phosphatase,""cortex bone disorders"",""6"",Protein"
"Genes,""Lesch-Nyhan Syndrome"",""6"",Protein"
"Clusterin,""Neurodegenerative Disorders"",""6"",Protein"
"Androgen Receptor,""cortex bone disorders"",""6"",Protein"
"moira protein, Drosophila,""Spinal Cord Diseases"",""6"",Protein"
"Eukaryotic Initiation Factor-4E,""Menkes Kinky Hair Syndrome"",""6"",Protein"
"Phospholipase C,""Alzheimer's Disease"",""6"",Protein"
"Calcineurin,""cortex bone disorders"",""6"",Protein"
"Hexosaminidase A,""Tay-Sachs Disease"",""6"",Protein"
"Glucagon,""Pancreatic Diseases"",""6"",Protein"
"Hepcidin,""Neurotoxicity Syndromes"",""6"",Protein"
"Opioid Peptide,""Spinal Cord Diseases"",""6"",Protein"
"PTEN protein, human,""Depressive disorder"",""6"",Protein"
"Appetite-Regulating Hormone,""Parkinson Disease"",""6"",Protein"
"Alanine,""Alzheimer's Disease"",""6"",Protein"
"necdin,""Prader-Willi Syndrome"",""6"",Protein"
"Dickkopf-Related Protein 1,""Neurotoxicity Syndromes"",""6"",Protein"
"Bone Morphogenetic Proteins,""Spinal Cord Diseases"",""6"",Protein"
"Vimentin,""Spinal Cord Diseases"",""6"",Protein"
"Glycoproteins,""Neurodegenerative Disorders"",""6"",Protein"
"Interleukin-18,""Depressive disorder"",""6"",Protein"
"Gamma-Enolase,""Spinal Cord Diseases"",""6"",Protein"
"Calbindins,""Parkinson Disease"",""6"",Protein"
"Calmodulin,""cortex bone disorders"",""6"",Protein"
"G-Protein-Coupled Receptors,""Disorder nervous system"",""6"",Protein"
"CLDN5 gene,""cortex bone disorders"",""6"",Protein"
"Amyloid Proteins,""Depressive disorder"",""6"",Protein"
"Growth Hormone,""Machado-Joseph Disease"",""6"",Protein"
"Corticotropin,""cortex bone disorders"",""6"",Protein"
"Proteins,""Mitochondrial Diseases"",""6"",Protein"
"Presenilin-1,""Functional disorder"",""6"",Protein"
"Protein Subunits,""Hypertensive disease"",""6"",Protein"
"Insulin-Like Growth Factor I,""Disease Progression"",""6"",Protein"
"Prealbumin,""Liver diseases"",""6"",Protein"
"Associated Protein, FKBP12-Rapamycin,""Autism Spectrum Disorders"",""6"",Protein"
"Insulin Receptor,""Alzheimer's Disease"",""6"",Protein"
"Proline,""Alzheimer's Disease"",""6"",Protein"
"Tumor Necrosis Factor Receptor 1A,""Fetal Alcohol Syndrome"",""6"",Protein"
"Insulin,""Pituitary Diseases"",""6"",Protein"
"Tumor Necrosis Factor-alpha,""Liver diseases"",""6"",Protein"
"Proto-Oncogene Proteins c-akt,""Neurotoxicity Syndromes"",""6"",Protein"
"Peptides,""Prune Belly Syndrome"",""6"",Protein"
"Matrix Metalloproteinases,""Neurodegenerative Disorders"",""6"",Protein"
"Apolipoprotein E,""Neurotoxicity Syndromes"",""6"",Protein"
"Adrenergic Receptor,""Attention deficit hyperactivity disorder"",""6"",Protein"
"NeuroD protein,""cortex bone disorders"",""6"",Protein"
"Serotonin,""Attention deficit hyperactivity disorder"",""6"",Protein"
"Myelin,""Hypertensive disease"",""6"",Protein"
"myelination,""Disorders, Mental"",""6"",Protein"
"Ghrelin,""Functional disorder"",""6"",Protein"
"Fibronectins,""Spinal Cord Diseases"",""6"",Protein"
"Oxytocin,""Muckle-Wells Syndrome"",""6"",Protein"
"Androgen Receptor,""Spinal Cord Diseases"",""6"",Protein"
"Plasminogen,""Alzheimer's Disease"",""6"",Protein"
"Protein-Serine-Threonine Kinases,""Alzheimer's Disease"",""6"",Protein"
"Cathepsin D,""Huntington Disease"",""6"",Protein"
"Tyrosine 3-Monooxygenase,""Hamartoma Syndrome, Multiple"",""6"",Protein"
"HD protein, human,""Hereditary Neurodegenerative Disorder"",""6"",Protein"
"Synucleins,""Gaucher Disease"",""6"",Protein"
"Insulin,""Metabolic Syndrome X"",""6"",Protein"
"angiogenin,""Cardiovascular Diseases"",""6"",Protein"
"Angiotensin-2,""Cardiovascular Diseases"",""6"",Protein"
"Colistin,""Neurotoxicity Syndromes"",""6"",Protein"
"Actins,""Parkinson Disease"",""6"",Protein"
"Glucose,""Huntington Disease"",""6"",Protein"
"Brain-Derived Neurotrophic Factor,""Niemann-Pick Disease, Type C"",""6"",Protein"
"Mutant Proteins,""Neurodegenerative Disorders"",""6"",Protein"
"Tretinoin,""Alzheimer's Disease"",""6"",Protein"
"fibroblast growth factor 21,""Chronic Kidney Diseases"",""6"",Protein"
"Bromodeoxyuridine,""Depressive disorder"",""6"",Protein"
"Calmodulin 1,""cortex bone disorders"",""6"",Protein"
"Neurotrophic Factor,""Mood Disorders"",""6"",Protein"
"Peptides,""Familial Alzheimer Disease (FAD)"",""6"",Protein"
"Cysteine,""Neurodegenerative Disorders"",""6"",Protein"
"Proteins,""Nijmegen Breakage Syndrome"",""6"",Protein"
"Angiotensin II,""Cardiovascular Diseases"",""6"",Protein"
"TAF15 protein, human,""Feline urological syndrome"",""6"",Protein"
"toxic proteins,""Parkinson Disease"",""6"",Protein"
"Genes,""Disorder of pineal gland"",""6"",Protein"
"Tyrosine,""cortex bone disorders"",""6"",Protein"
"Tachykinin,""Spinal Cord Diseases"",""6"",Protein"
"Membrane Transport Proteins,""Attention deficit hyperactivity disorder"",""6"",Protein"
"Ghrelin,""Parkinson Disease"",""6"",Protein"
"Methyl-CpG-Binding Protein 2,""neuropathology disease"",""6"",Protein"
"Tumor Necrosis Factors,""Autoimmune Diseases"",""6"",Protein"
"Genes,""Rare Diseases"",""6"",Protein"
"Ligand Binding Domain,""cortex bone disorders"",""6"",Protein"
"LCN2 protein, human,""cortex bone disorders"",""6"",Protein"
"tropomyosin-related kinase-B, human,""Depressive disorder"",""6"",Protein"
"Molecular Chaperones,""Parkinson Disease"",""6"",Protein"
"Fragile X Mental Retardation Protein,""Feline urological syndrome"",""6"",Protein"
"Genes,""Syndrome, Bloch-Sulzberger"",""6"",Protein"
"Membrane Proteins,""Functional disorder"",""6"",Protein"
"Cu-Zn Superoxide Dismutase,""Functional disorder"",""6"",Protein"
"Trans-Activators,""Delirium, Dementia, Amnestic, Cognitive Disorders"",""6"",Protein"
"Antibodies,""Demyelinating Diseases"",""6"",Protein"
"NOS2A protein, human,""Spinal Cord Diseases"",""6"",Protein"
"Chloramphenicol O-Acetyltransferase,""Disease Progression"",""6"",Protein"
"titanium dioxide,""Nail-Patella Syndrome"",""6"",Protein"
"Neuropeptides,""Major Depressive Disorder"",""6"",Protein"
"Ubiquitin,""neuropathology disease"",""6"",Protein"
"Receptor,""Rett Syndrome"",""6"",Protein"
"Histone Deacetylase 2,""Mucocutaneous Lymph Node Syndrome"",""6"",Protein"
"Nerve Growth Factor,""Sensitization (disorder)"",""6"",Protein"
"Protein Isoforms,""Rett Syndrome"",""6"",Protein"
"protein TDP-43,""Syndrome"",""6"",Protein"
"Amyloid beta-Protein Precursor,""Impulse Control Disorders"",""6"",Protein"
"Proteolytic Enzyme,""Spinal Cord Diseases"",""6"",Protein"
"Protein Subunits,""Disorders, Mental"",""6"",Protein"
"Microtubule-Associated Proteins,""Autistic Disorder"",""6"",Protein"
"Oxytocin,""Acquired Immunodeficiency Syndrome"",""6"",Protein"
"CDK5 protein, human,""Neurodegenerative Disorders"",""6"",Protein"
"Retinaldehyde,""Syndrome"",""6"",Protein"
"Enzymes,""Lung diseases"",""6"",Protein"
"Glycosylation End Products, Advanced,""Functional disorder"",""6"",Protein"
"NADP,""Huntington Disease"",""6"",Protein"
"DNA, Complementary,""cortex bone disorders"",""6"",Protein"
"Monoclonal Antibodies,""Disorder of pineal gland"",""6"",Protein"
"Appetite-Regulating Hormone,""Functional disorder"",""6"",Protein"
"Leptin,""Skin endocrine disorder"",""6"",Protein"
"alpha-Synuclein,""cortex bone disorders"",""6"",Protein"
"Calmodulin Dependent Protein Kinase II,""Neurotoxicity Syndromes"",""6"",Protein"
"Atrial Natriuretic Factor,""Spinal Cord Diseases"",""6"",Protein"
"D-Serine,""Depressive disorder"",""6"",Protein"
"Janus Kinase 2,""cortex bone disorders"",""6"",Protein"
"Cytokine,""Lung diseases"",""6"",Protein"
"Proteins,""Mohr-Tranebjaerg syndrome"",""6"",Protein"
"orexins,""Disorders, Mental"",""6"",Protein"
"Transporter, Dopamine,""Disease Progression"",""6"",Protein"
"Dopamine D2 Receptor,""Movement Disorders"",""6"",Protein"
"Myelin,""Restless Legs Syndrome"",""6"",Protein"
"Glycolysis,""Functional disorder"",""6"",Protein"
"S100 calcium binding protein A10,""Retinal Diseases"",""6"",Protein"
"LDL-Receptor Related Protein 1,""Alzheimer's Disease"",""6"",Protein"
"Prions,""cortex bone disorders"",""6"",Protein"
"Pituitary Adenylate Cyclase Activating Polypeptide,""Migraine Disorders"",""6"",Protein"
"Genes,""Thyroid Diseases"",""6"",Protein"
"Protein Kinase C,""Retinal Diseases"",""6"",Protein"
"Amyloid,""Cerebrovascular Disorders"",""6"",Protein"
"Substance P,""Sudden infant death syndrome"",""6"",Protein"
"Glutamate Receptor,""Sensitization (disorder)"",""6"",Protein"
"N-Methylaspartate,""Sensitization (disorder)"",""6"",Protein"
"Associated Protein, FKBP12-Rapamycin,""Neurodevelopmental disorder"",""6"",Protein"
"Brain-Derived Neurotrophic Factor,""Metabolic Syndrome X"",""6"",Protein"
"Calretinin,""Disorder of pineal gland"",""6"",Protein"
"NADPH Dehydrogenase,""cortex bone disorders"",""6"",Protein"
"Leptin,""Neurodegenerative Disorders"",""6"",Protein"
"Somatostatin-28,""Sweet Syndrome"",""6"",Protein"
"Nerve Growth Factor,""Diseases of inner ear"",""6"",Protein"
"Receptor 5, Metabotropic Glutamate,""Disease Progression"",""6"",Protein"
"Amyloid,""Retinal Diseases"",""6"",Protein"
"Calcium,""Hypertensive disease"",""6"",Protein"
"Angiotensin II,""Spinal Cord Diseases"",""6"",Protein"
"Trans-Activators,""Neurotoxicity Syndromes"",""6"",Protein"
"Tyrosine 3-Monooxygenase,""Hypertensive disease"",""6"",Protein"
"CYP19A1 protein, human,""Alzheimer's Disease"",""6"",Protein"
"DNA, Mitochondrial,""Congenital ocular coloboma (disorder)"",""6"",Protein"
"Proteins,""Marfan Syndrome"",""6"",Protein"
"letrozole,""Polycystic Ovary Syndrome"",""6"",Protein"
"Amyloid Proteins,""Van der Woude syndrome"",""6"",Protein"
"Brain-Derived Neurotrophic Factor,""Parkinsonian Disorders"",""6"",Protein"
"Calbindins,""Alzheimer's Disease"",""6"",Protein"
"rho-Associated Kinases,""Parkinson Disease"",""6"",Protein"
"Claudin-5,""cortex bone disorders"",""6"",Protein"
"nucleolin protein, human,""Rett Syndrome"",""6"",Protein"
"NOS1 protein, human,""Depressive disorder"",""6"",Protein"
"Substance P,""DISORDERS OF THE OPTIC NERVE"",""6"",Protein"
"Proteins,""Lafora Disease"",""6"",Protein"
"Sirolimus,""Disease Progression"",""6"",Protein"
"Interleukin-4,""cortex bone disorders"",""6"",Protein"
"Neuropilin-1,""Spinal Cord Diseases"",""6"",Protein"
"Zalcitabine,""Neurotoxicity Syndromes"",""6"",Protein"
"Melanocyte stimulating hormone,""Pituitary Diseases"",""6"",Protein"
"Complement System Proteins,""Disease Progression"",""6"",Protein"
"fostriecin,""Myeloproliferative Syndrome, Transient"",""6"",Protein"
"Angiotensin-2,""Spinal Cord Diseases"",""6"",Protein"
"Enzymes,""Hashimoto Disease"",""6"",Protein"
"Adrenergic Receptor,""Spinal Cord Diseases"",""6"",Protein"
"Fibroblast Growth Factor 1,""Spinal Cord Diseases"",""6"",Protein"
"Insulin-Like Growth Factor I,""Skin endocrine disorder"",""6"",Protein"
"Receptor,""Metabolic Syndrome X"",""6"",Protein"
"Nitric Oxide Synthase Type I,""Hypertensive disease"",""6"",Protein"
"Phosphonoacetic Acid,""Alzheimer's Disease"",""6"",Protein"
"Myelin,""Syndrome"",""6"",Protein"
"Glucagon-Like Peptide 1,""Neurodegenerative Disorders"",""6"",Protein"
"Corticotropin-Releasing Hormone,""Van der Woude syndrome"",""6"",Protein"
"Associated Protein, FKBP12-Rapamycin,""Neurotoxicity Syndromes"",""6"",Protein"
"Interleukin-1,""Spinal Cord Diseases"",""6"",Protein"
"Integrins,""Mucocutaneous Lymph Node Syndrome"",""6"",Protein"
"Corticotropin-Releasing Hormone,""Anxiety Disorders"",""6"",Protein"
"Tyrosine 3-Monooxygenase,""Nail-Patella Syndrome"",""6"",Protein"
"D-Serine,""Spinal Cord Diseases"",""6"",Protein"
"HD protein, human,""Dyskinetic syndrome"",""6"",Protein"
"Brain-Derived Neurotrophic Factor,""Hypertensive disease"",""6"",Protein"
"Associated Protein, FKBP12-Rapamycin,""Functional disorder"",""6"",Protein"
"Oxytocin,""Liver diseases"",""6"",Protein"
"Tumor Necrosis Factor-alpha,""Autoimmune Diseases"",""6"",Protein"
"Myelin,""CNS disorder"",""6"",Protein"
"Calmodulin 1,""Neurotoxicity Syndromes"",""6"",Protein"
"Interleukin-6,""Parkinson Disease"",""6"",Protein"
"Hypoxia Inducible Factor Family,""Restless Legs Syndrome"",""6"",Protein"
"Protein S100-B, human,""Machado-Joseph Disease"",""6"",Protein"
"Transforming Growth Factors,""Parkinson Disease"",""6"",Protein"
"Monoclonal Antibodies,""Shwachman syndrome"",""6"",Protein"
"Nuclear Proteins,""cortex bone disorders"",""6"",Protein"
"Catenins,""Depressive disorder"",""6"",Protein"
"Glycoproteins,""Parkinson Disease"",""6"",Protein"
"Oxytocin Receptor,""Pervasive Development Disorder"",""6"",Protein"
"Gamma-Enolase,""Disorder of pineal gland"",""6"",Protein"
"Pituitary Adenylate Cyclase Activating Polypeptide,""Disorders, Mental"",""6"",Protein"
"Transforming Growth Factors,""Depressive disorder"",""6"",Protein"
"Glycoproteins,""Hamartoma Syndrome, Multiple"",""6"",Protein"
"CX3CR1 protein, human,""cortex bone disorders"",""6"",Protein"
"NADP,""Alzheimer's Disease"",""6"",Protein"
"Glutamate Decarboxylase,""Gardner Syndrome"",""6"",Protein"
"Proteins,""Thyroid Diseases"",""6"",Protein"
"Brain-Derived Neurotrophic Factor,""Feline urological syndrome"",""6"",Protein"
"Peroxisome Proliferator-Activated Receptors,""Disorder nervous system"",""6"",Protein"
"NF-E2-Related Factor 2,""Neurotoxicity Syndromes"",""6"",Protein"
"Viral Proteins,""Functional disorder"",""6"",Protein"
"Dopa,""cortex bone disorders"",""6"",Protein"
"NFIB protein, human,""Spinal Cord Diseases"",""6"",Protein"
"Small Nuclear Ribonucleoprotein Associated Protein N,""Spinal Cord Diseases"",""6"",Protein"
"NF-kappa B,""Alzheimer's Disease"",""6"",Protein"
"JNK Mitogen-Activated Protein Kinases,""Fetal Alcohol Syndrome"",""6"",Protein"
"Tyrosine,""Dysequilibrium syndrome"",""6"",Protein"
"Glucose,""Skin endocrine disorder"",""6"",Protein"
"Protein Isoforms,""Shwachman syndrome"",""6"",Protein"
"Interferons,""Idiopathic pneumonia syndrome"",""6"",Protein"
"Phosphotransferases,""Autism Spectrum Disorders"",""6"",Protein"
"Tumor Necrosis Factor Ligand Superfamily Member 6,""Fetal Alcohol Syndrome"",""6"",Protein"
"2-Amino-5-phosphonovalerate,""Pendred's syndrome"",""6"",Protein"
"Nitric Oxide Synthase,""Functional disorder"",""6"",Protein"
"Vascular Endothelial Growth Factor A,""Disease Progression"",""6"",Protein"
"Bradykinin,""Spinal Cord Diseases"",""6"",Protein"
"Dyes,""DISORDERS OF THE OPTIC NERVE"",""6"",Protein"
"DNA, Mitochondrial,""Syndrome"",""6"",Protein"
"Laminin,""DISORDERS OF THE OPTIC NERVE"",""6"",Protein"
"Superoxide Dismutase,""Liver diseases"",""6"",Protein"
"Calcium,""Huntington Disease"",""6"",Protein"
"Polyclonal antibody,""Spinal Cord Diseases"",""6"",Protein"
"Mitogen-Activated Protein Kinases,""Syndrome, Bloch-Sulzberger"",""6"",Protein"
"Isoenzymes,""Liver diseases"",""6"",Protein"
"CHD8 protein, human,""Autism Spectrum Disorders"",""6"",Protein"
"Adenosine Triphosphatases,""Disorder nervous system"",""6"",Protein"
"Enzymes,""Van der Woude syndrome"",""6"",Protein"
"Matrix Metalloproteinase 9,""Alzheimer's Disease"",""6"",Protein"
"Curcumin,""Parkinson Disease"",""6"",Protein"
"Ghrelin,""Liver diseases"",""6"",Protein"
"PTEN protein, human,""DISORDERS OF THE OPTIC NERVE"",""6"",Protein"
"Kynurenine,""Neurodegenerative Disorders"",""6"",Protein"
"Oxytocin,""Uterine Diseases"",""6"",Protein"
"Membrane Transport Proteins,""Retinal Diseases"",""6"",Protein"
"Artemin, human,""Depressive disorder"",""6"",Protein"
"myelination,""Bipolar Disorder"",""6"",Protein"
"Tubulin,""Neurotoxicity Syndromes"",""6"",Protein"
"alpha 1-Antichymotrypsin,""Syndrome"",""6"",Protein"
"Hyperhomocysteinemia,""Neurodegenerative Disorders"",""6"",Protein"
"Growth Factor,""Neurotoxicity Syndromes"",""6"",Protein"
"CADM1 protein, human,""Pervasive Development Disorder"",""6"",Protein"
"Neurotensin,""cortex bone disorders"",""6"",Protein"
"Cyclic AMP-Dependent Protein Kinases,""Neurotoxicity Syndromes"",""6"",Protein"
"Endothelin-1,""Spinal Cord Diseases"",""6"",Protein"
"Vascular Endothelial Growth Factor A,""Parkinson Disease"",""6"",Protein"
"Cyclin-Dependent Kinase 5,""Neurodegenerative Disorders"",""6"",Protein"
"Neural Cell Adhesion Molecules,""Spinal Cord Diseases"",""6"",Protein"
"JAK2 protein, human,""cortex bone disorders"",""6"",Protein"
"APP protein, human,""Creutzfeldt-Jakob disease"",""6"",Protein"
"Complex, Multicatalytic Endopeptidase,""Disease Progression"",""6"",Protein"
"Calcitonin Gene-Related Peptide,""cortex bone disorders"",""6"",Protein"
"Antibodies,""Pick Disease of the Brain"",""6"",Protein"
"Chloramphenicol O-Acetyltransferase,""Liver diseases"",""6"",Protein"
"JNK Mitogen-Activated Protein Kinases,""Spinal Cord Diseases"",""6"",Protein"
"Synucleins,""motor disorder"",""6"",Protein"
"Vasopressin (USP),""Spinal Cord Diseases"",""6"",Protein"
"Caspase-1,""Neurotoxicity Syndromes"",""6"",Protein"
"Metallothionein,""Alzheimer's Disease"",""6"",Protein"
"Dopamine D2 Receptor,""Pituitary Diseases"",""6"",Protein"
"pleiotrophin,""Neurodegenerative Disorders"",""6"",Protein"
"DNA-Binding Proteins,""Motor Neuron Disease"",""6"",Protein"
"Neurokinin A,""Spinal Cord Diseases"",""6"",Protein"
"orexins,""cortex bone disorders"",""6"",Protein"
"fibroblast growth factor 21,""Skin endocrine disorder"",""6"",Protein"
"Catalase,""Alzheimer's Disease"",""6"",Protein"
"Hepcidin,""cortex bone disorders"",""6"",Protein"
"Green Fluorescent Proteins,""Retinal Diseases"",""6"",Protein"
"Granulocyte-Macrophage Colony-Stimulating Factor,""Huntington Disease"",""6"",Protein"
"Calcium,""Renal glomerular disease"",""6"",Protein"
"tropomyosin-related kinase-B, human,""Huntington Disease"",""6"",Protein"
"IRF6 wt Allele,""Parkinson Disease"",""6"",Protein"
"Glutathione,""Disorder nervous system"",""6"",Protein"
"Transporter, Dopamine,""Lewy Body Disease"",""6"",Protein"
"Calretinin,""Parkinson Disease"",""6"",Protein"
"Dopamine Receptor,""Huntington Disease"",""6"",Protein"
"Aryl Hydrocarbon Receptor,""Neurotoxicity Syndromes"",""6"",Protein"
"Receptors, Toll Like,""Neurodegenerative Disorders"",""6"",Protein"
"Colony-Stimulating Factors,""Huntington Disease"",""6"",Protein"
"Gonadorelin,""Hereditary Diseases"",""6"",Protein"
"Associated Protein, FKBP12-Rapamycin,""Disease Progression"",""6"",Protein"
"HCRT protein, human,""cortex bone disorders"",""6"",Protein"
"Adrenergic Receptor,""Alzheimer's Disease"",""6"",Protein"
"Carnosine,""Neurodegenerative Disorders"",""6"",Protein"
"Amyloid Proteins,""Creutzfeldt-Jakob disease"",""6"",Protein"
"Ferritin,""Acquired Immunodeficiency Syndrome"",""6"",Protein"
"Transporter, Serotonin,""Parkinson Disease"",""6"",Protein"
"Glial Cell Line-Derived Neurotrophic Factor,""Neurotoxicity Syndromes"",""6"",Protein"
"Calmodulin 1,""Syndrome, Bloch-Sulzberger"",""6"",Protein"
"E2F1 protein, human,""Disease Progression"",""6"",Protein"
"Factor, Transcription,""Pervasive Development Disorder"",""6"",Protein"
"Semaphorin-3A,""cortex bone disorders"",""6"",Protein"
"Substance P,""Sensitization (disorder)"",""6"",Protein"
"Prions,""New Variant Creutzfeldt-Jakob Disease"",""6"",Protein"
"Acetyltransferase, Histone,""Neurodegenerative Disorders"",""6"",Protein"
"Genes,""Menkes Kinky Hair Syndrome"",""6"",Protein"
"orexins,""Lewy Body Disease"",""6"",Protein"
"Receptor, trkB,""Functional disorder"",""6"",Protein"
"Receptor, Cannabinoid,""Functional disorder"",""6"",Protein"
"Genes,""Language Disorders"",""6"",Protein"
"Transporter, Serotonin,""cortex bone disorders"",""6"",Protein"
"Complement System Proteins,""Spinal Cord Diseases"",""6"",Protein"
"Alteplase,""cortex bone disorders"",""6"",Protein"
"Glial Fibrillary Acidic Protein,""neuropathology disease"",""6"",Protein"
"Somatotropin-Releasing Hormone,""Cushing Syndrome"",""6"",Protein"
"Methyl-CpG-Binding Protein 2,""Hereditary Diseases"",""6"",Protein"
"Microtubule-Associated Proteins,""Disorder nervous system"",""6"",Protein"
"rivastigmine,""Alzheimer's Disease"",""6"",Protein"
"Parvalbumins,""Major Depressive Disorder"",""6"",Protein"
"Ferritin,""Alzheimer's Disease"",""6"",Protein"
"Zinostatin,""Bipolar Disorder"",""6"",Protein"
