"gene","brainregion","count"
"ENG wt Allele","Purkinje Cells","18"
"Wild Type","Somatosensory Cortex","18"
"ENG wt Allele","Area striata structure","18"
"SST Gene","Area striata structure","18"
"CHAT Gene","Substantia nigra structure","18"
"Genes","Temporal Lobe","18"
"INS gene","Prosencephalon","18"
"HCRT Gene","Structure of angular gyrus","18"
"BDNF Gene","Structure of dentate gyrus","18"
"MAPT gene","Structure of thalamic fasciculus","18"
"Wild Type","Structure of rubrospinal tract","18"
"PARK2 gene","Neostriatum","18"
"HTT wt Allele","Neostriatum","18"
"FST wt Allele","Prefrontal Cortex","18"
"RPL5 wt Allele","Prefrontal Cortex","18"
"GNRH1 wt Allele","Organum Vasculosum Laminae Terminalis","18"
"FASTK Gene","Dorsal Nucleus Raphe","18"
"MRC1 Gene","Dorsal Nucleus Raphe","18"
"NR3C2 Gene","Dorsal Nucleus Raphe","18"
"SLC6A4 wt Allele","Dorsal Nucleus Raphe","18"
"DRD2 wt Allele","Ventral Tegmental Area","18"
"c-fos Genes","Lateral Parabrachial Nucleus","18"
"Chloramphenicol Acetyl Transferase Gene","Nucleus solitarius","18"
"CAT Gene","Nucleus solitarius","18"
"Chloramphenicol O-Acetyltransferase","Nucleus solitarius","18"
"GRIN2A wt Allele","Pyramidal Cells","18"
"ELK3 Gene","Pyramidal Cells","18"
"EPHB1 Gene","Pyramidal Cells","18"
"ELK3 wt Allele","Pyramidal Cells","18"
"PROC wt Allele","Pyramidal Cells","18"
"VIP Gene","Pyramidal Cells","18"
"CNR1 gene","Central gray substance of midbrain","18"
"SH3PXD2A wt Allele","Superior colliculus of corpora quadrigemina","18"
"AKT1S1 wt Allele","Cerebellar vermis structure","18"
"AKT1S1 wt Allele","Pars nervosa of hypophysis","18"
"c-fos Genes","Cingulate Cortex","18"
"CDKN2A wt Allele","CA1 field","18"
"MAPK1 wt Allele","CA1 field","18"
"Estrogen Receptors","CA2 field","18"
"GRIN2B wt Allele","CA3 field","18"
"Tumor Necrosis Factor-alpha","CA3 field","18"
"AKR1A1 wt Allele","Genus Hippocampus","18"
"HPSE Gene","Genus Hippocampus","18"
"HPSE wt Allele","Genus Hippocampus","18"
"PSME3 wt Allele","Genus Hippocampus","18"
"MAP3K14 wt Allele","Genus Hippocampus","18"
"CLU Gene","Genus Hippocampus","18"
"c-fos Genes","Basal Forebrain","18"
"HCRT Gene","Basal Forebrain","18"
"LMNA wt Allele","Cortex, Primary Motor","18"
"FASTK Gene","Amygdaloid structure","17"
"estrogen receptor alpha, human","Amygdaloid structure","17"
"Genes, Immediate-Early","Amygdaloid structure","17"
"AVP Gene","Amygdaloid structure","17"
"CD69 wt Allele","Basal Ganglia","17"
"OXT Gene","Brain Stem","17"
"GFAP gene","Brain Stem","17"
"Promoter","Brain Stem","17"
"DLC1 wt Allele","Caudate nucleus structure","17"
"HPR wt Allele","Caudate nucleus structure","17"
"POSTN Gene","Cerebellum","17"
"POSTN wt Allele","Cerebellum","17"
"C3 Gene","Cerebellum","17"
"CNR1 gene","Cerebellum","17"
"Genome","Cerebellum","17"
"TNFRSF1A wt Allele","Cerebral cortex","17"
"F3 Gene","Cerebral cortex","17"
"BECN1 Gene","Cerebral cortex","17"
"PRNP gene","Cerebral cortex","17"
"CDK5R1 Gene","Cerebral cortex","17"
"Reading Frames","Cerebral cortex","17"
"FOXG1 Gene","Cerebral cortex","17"
"SH2D3C Gene","Cerebral cortex","17"
"SH2D3C wt Allele","Cerebral cortex","17"
"CDH2 Gene","Cerebral cortex","17"
"SIRT1 Gene","Cerebral cortex","17"
"C9orf72 Gene","Cerebral cortex","17"
"SOD1 gene","Cerebral cortex","17"
"Chloramphenicol Acetyl Transferase Gene","Corpus Callosum","17"
"CAT Gene","Corpus Callosum","17"
"Chloramphenicol O-Acetyltransferase","Corpus Callosum","17"
"Promoter","Corpus striatum structure","17"
"GDNF Gene","Corpus striatum structure","17"
"AKT1S1 wt Allele","Lobe, Frontal","17"
"CD69 wt Allele","Lobe, Frontal","17"
"ATOH1 Gene","Auditory Hair Cell","17"
"RPS19 wt Allele","BRAIN, HIPPOCAMPUS","17"
"APC wt Allele","BRAIN, HIPPOCAMPUS","17"
"SLC7A5 Gene","BRAIN, HIPPOCAMPUS","17"
"SLC7A5 wt Allele","BRAIN, HIPPOCAMPUS","17"
"TFRC wt Allele","BRAIN, HIPPOCAMPUS","17"
"F2R wt Allele","BRAIN, HIPPOCAMPUS","17"
"HOXA10 wt Allele","BRAIN, HIPPOCAMPUS","17"
"KNG1 Gene","BRAIN, HIPPOCAMPUS","17"
"INSR Gene","BRAIN, HIPPOCAMPUS","17"
"CRHR1 Gene","BRAIN, HIPPOCAMPUS","17"
"MAPT gene","BRAIN, HIPPOCAMPUS","17"
"DNTT wt Allele","BRAIN, HIPPOCAMPUS","17"
"ENO2 wt Allele","BRAIN, HIPPOCAMPUS","17"
"FMR1 gene","BRAIN, HIPPOCAMPUS","17"
"KL Gene","BRAIN, HIPPOCAMPUS","17"
"KL wt Allele","BRAIN, HIPPOCAMPUS","17"
"NPY Gene","Hypothalamic Area, Lateral","17"
"SET Gene","Hypothalamic structure","17"
"CAT Gene","Hypothalamic structure","17"
"EPO Gene","Hypothalamic structure","17"
"EPO wt Allele","Hypothalamic structure","17"
"GNAI1 Gene","Hypothalamic structure","17"
"GNAI1 wt Allele","Hypothalamic structure","17"
"PHOX2B gene","Structure of locus ceruleus","17"
"CRH wt Allele","Structure of locus ceruleus","17"
"SLC6A4 gene","Midbrain structure","17"
"LRRK2 gene","Midbrain structure","17"
"FOXA2 Gene","Midbrain structure","17"
"FASTK Gene","Midbrain structure","17"
"Tumor Necrosis Factor-alpha","Midbrain structure","17"
"LEP wt Allele","Structure of olfactory bulb","17"
"TH gene","Pontine structure","17"
"SH3PXD2A wt Allele","Preoptic Areas","17"
"Genes","Preoptic Areas","17"
"SET Gene","Purkinje Cells","17"
"FASTK Gene","Pyramidal Tracts","17"
"PPFIBP1 wt Allele","Somatosensory Cortex","17"
"FASTK Gene","Area striata structure","17"
"AVP wt Allele","Structure of supraoptic nucleus","17"
"PEMT wt Allele","Thalamic structure","17"
"ENG wt Allele","Prosencephalon","17"
"AKT1S1 wt Allele","Posterior cerebral commissure","17"
"Chloramphenicol Acetyl Transferase Gene","Pulvinar structure","17"
"CAT Gene","Pulvinar structure","17"
"Chloramphenicol O-Acetyltransferase","Pulvinar structure","17"
"FH gene","Structure of nucleus of the tegmented field of Forel","17"
"LDLR wt Allele","Structure of nucleus of the tegmented field of Forel","17"
"CFH wt Allele","Structure of nucleus of the tegmented field of Forel","17"
"GDNF Gene","Neostriatum","17"
"NTRK1 Gene","Neostriatum","17"
"Chloramphenicol Acetyl Transferase Gene","Neocortex","17"
"CAT Gene","Neocortex","17"
"Chloramphenicol O-Acetyltransferase","Neocortex","17"
"OXT Gene","central amygdalar nucleus","17"
"CD69 wt Allele","Dorsal Nucleus Raphe","17"
"CD69 wt Allele","Ventral Tegmental Area","17"
"PITX2 wt Allele","Ventral Tegmental Area","17"
"NPY Gene","Nucleus solitarius","17"
"GRP Gene","Nucleus solitarius","17"
"SH2D1A gene","Nucleus solitarius","17"
"SH2D1A wt Allele","Nucleus solitarius","17"
"RANGAP1 wt Allele","Pyramidal Cells","17"
"PSEN1 gene","Pyramidal Cells","17"
"KRT17 wt Allele","Pyramidal Cells","17"
"PODXL wt Allele","Pyramidal Cells","17"
"PODXL Gene","Pyramidal Cells","17"
"PROC Gene","Pyramidal Cells","17"
"CDKN2A wt Allele","Pyramidal Cells","17"
"PSEN1 gene","Cerebral hemisphere structure (body structure)","17"
"TNFRSF11A Gene","Lateral occipital gyrus","17"
"TNFRSF11A wt Allele","Lateral occipital gyrus","17"
"AKT1S1 wt Allele","Paracentral Thalamic Nucleus","17"
"c-fos Genes","Median preoptic nucleus","17"
"FH gene","Structure of prerubral area","17"
"LDLR wt Allele","Structure of prerubral area","17"
"CFH wt Allele","Structure of prerubral area","17"
"BDNF Gene","mossy fiber","17"
"GRIN2A Gene","CA1 field","17"
"CHAT Gene","CA1 field","17"
"Chloramphenicol Acetyl Transferase Gene","CA2 field","17"
"CAT Gene","CA2 field","17"
"Chloramphenicol O-Acetyltransferase","CA2 field","17"
"TNF Gene","CA3 field","17"
"HP Gene","Central Dorsal Nucleus","17"
"DLC1 wt Allele","Central Dorsal Nucleus","17"
"HPR wt Allele","Central Dorsal Nucleus","17"
"NTF3 Gene","Genus Hippocampus","17"
"HTT gene","Genus Hippocampus","17"
"FOXD3 wt Allele","Genus Hippocampus","17"
"CRH Gene","Genus Hippocampus","17"
"SUB1 Gene","Genus Hippocampus","17"
"NEUROD1 Gene","Genus Hippocampus","17"
"GRN Gene","Genus Hippocampus","17"
"HMOX1 Gene","Genus Hippocampus","17"
"GRM5 Gene","Genus Hippocampus","17"
"HMGB1 Gene","Genus Hippocampus","17"
"FOSB wt Allele","Genus Hippocampus","17"
"C3 Gene","Entire medulla oblongata","17"
"TH gene","Entire substantia nigra","17"
"CAT Gene","Amygdaloid structure","16"
"Chloramphenicol O-Acetyltransferase","Amygdaloid structure","16"
"ESR1 Gene","Amygdaloid structure","16"
"AKT1S1 wt Allele","Structure of nucleus infundibularis hypothalami","16"
"Long Interspersed Element","Structure of nucleus infundibularis hypothalami","16"
"NGFR Gene","Basal Nucleus of Meynert","16"
"TH gene","Caudate nucleus structure","16"
"CAT Gene","Cerebellar cortex structure","16"
"CRH Gene","Cerebellum","16"
"PRRT2 wt Allele","Cerebellum","16"
"Exons","Cerebellum","16"
"MPZ gene","Cerebellum","16"
"FBN1 wt Allele","Cerebellum","16"
"AKR1A1 wt Allele","Cerebellum","16"
"GBA wt Allele","Cerebellum","16"
"SOD1 wt Allele","Cerebellum","16"
"PITX2 wt Allele","Cerebellum","16"
"SQSTM1 wt Allele","Cerebellum","16"
"TP53 gene","Cerebellum","16"
"TP53 wt Allele","Cerebellum","16"
"PSIP1 Gene","Cerebellum","16"
"TNFRSF1B wt Allele","Cerebellum","16"
"CUX1 wt Allele","Cerebellum","16"
"POLE Gene","Cerebral cortex","16"
"SDHB wt Allele","Cerebral cortex","16"
"ASAH1 wt Allele","Cerebral cortex","16"
"ASAH1 Gene","Cerebral cortex","16"
"DHPS wt Allele","Cerebral cortex","16"
"VEGFA Gene","Cerebral cortex","16"
"Haploinsufficiency","Cerebral cortex","16"
"PITX2 wt Allele","Corpus striatum structure","16"
"MAP Kinase Gene","Corpus striatum structure","16"
"NTRK2 Gene","Corpus striatum structure","16"
"HTT wt Allele","Corpus striatum structure","16"
"NTRK1 Gene","Corpus striatum structure","16"
"Genes","Gyrus Cinguli","16"
"ABL2 Gene","BRAIN, HIPPOCAMPUS","16"
"POMC wt Allele","BRAIN, HIPPOCAMPUS","16"
"Reading Frames","BRAIN, HIPPOCAMPUS","16"
"GNAI1 Gene","BRAIN, HIPPOCAMPUS","16"
"GNAI1 wt Allele","BRAIN, HIPPOCAMPUS","16"
"PRF1 wt Allele","BRAIN, HIPPOCAMPUS","16"
"Epidermal Growth Factor Receptor","BRAIN, HIPPOCAMPUS","16"
"Replication Origin","BRAIN, HIPPOCAMPUS","16"
"DDIT3 Gene","BRAIN, HIPPOCAMPUS","16"
"DDIT3 wt Allele","BRAIN, HIPPOCAMPUS","16"
"LTB Gene","BRAIN, HIPPOCAMPUS","16"
"EHMT1 Gene","BRAIN, HIPPOCAMPUS","16"
"JAK2 gene","BRAIN, HIPPOCAMPUS","16"
"S100A10 Gene","BRAIN, HIPPOCAMPUS","16"
"EPHA3 Gene","BRAIN, HIPPOCAMPUS","16"
"GH1 Gene","BRAIN, HIPPOCAMPUS","16"
"GGH wt Allele","BRAIN, HIPPOCAMPUS","16"
"ITGAM wt Allele","BRAIN, HIPPOCAMPUS","16"
"S100A8 wt Allele","BRAIN, HIPPOCAMPUS","16"
"Response Elements","BRAIN, HIPPOCAMPUS","16"
"DST wt Allele","BRAIN, HIPPOCAMPUS","16"
"CALCA Gene","BRAIN, HIPPOCAMPUS","16"
"GLS2 Gene","BRAIN, HIPPOCAMPUS","16"
"Genes","Hypothalamic Area, Lateral","16"
"CRH Gene","Hypothalamic Area, Lateral","16"
"ANG Gene","Hypothalamic Area, Lateral","16"
"CYP19A1 Gene","Hypothalamic structure","16"
"SH3PXD2A wt Allele","Hypothalamic structure","16"
"Chloramphenicol Acetyl Transferase Gene","Hypothalamic structure","16"
"Chloramphenicol O-Acetyltransferase","Hypothalamic structure","16"
"GNRH1 wt Allele","Hypothalamus, Anterior","16"
"PITX2 wt Allele","Structure of locus ceruleus","16"
"OXT Gene","Medulla Oblongata","16"
"Genes","Medulla Oblongata","16"
"BDNF Gene","Midbrain structure","16"
"FOSB Gene","Nucleus Accumbens","16"
"DRD2 wt Allele","Nucleus Accumbens","16"
"Wild Type","Structure of olfactory bulb","16"
"ENG wt Allele","Pituitary Gland","16"
"CYP19A1 Gene","Preoptic Areas","16"
"TH gene","Purkinje Cells","16"
"RELN Gene","Purkinje Cells","16"
"SDHB wt Allele","Purkinje Cells","16"
"IKBKG wt Allele","Purkinje Cells","16"
"LRRK2 gene","Substantia nigra structure","16"
"NOS2 Gene","Substantia nigra structure","16"
"NOS2 wt Allele","Substantia nigra structure","16"
"PLOD1 gene","Structure of suprachiasmatic nucleus","16"
"SH2D3C Gene","Thalamic structure","16"
"SH2D3C wt Allele","Thalamic structure","16"
"Genes, Immediate-Early","Prosencephalon","16"
"PLOD1 gene","Structure of angular gyrus","16"
"CD69 wt Allele","Structure of dentate gyrus","16"
"c-fos Genes","Lamina Terminalis","16"
"LMNA wt Allele","Structure of subthalamic nucleus","16"
"CNR1 gene","Structure of rubrospinal tract","16"
"CAPG Gene","Structure of middle cerebellar peduncle","16"
"CAPG wt Allele","Structure of middle cerebellar peduncle","16"
"AKT1S1 wt Allele","Olfactory Cortex","16"
"SH2D3C Gene","Neostriatum","16"
"SH2D3C wt Allele","Neostriatum","16"
"PITX2 wt Allele","Neostriatum","16"
"SLC6A4 gene","Prefrontal Cortex","16"
"Heterozygote","Prefrontal Cortex","16"
"TH gene","Structure of medial preoptic nucleus","16"
"TNF Gene","Structure of medial preoptic nucleus","16"
"Tumor Necrosis Factor-alpha","Structure of medial preoptic nucleus","16"
"Genes","Dorsal Nucleus Raphe","16"
"HSPG2 Gene","Interpeduncular nucleus","16"
"HSPG2 wt Allele","Interpeduncular nucleus","16"
"c-fos Genes","Linear nucleus","16"
"GNAI1 Gene","Ventral Tegmental Area","16"
"SCG2 Gene","Pars Compacta","16"
"LEPR Gene","Nucleus solitarius","16"
"HTT gene","Bundle, Predorsal","16"
"PSEN1 wt Allele","Pyramidal Cells","16"
"SST wt Allele","Pyramidal Cells","16"
"CAT Gene","Cerebral hemisphere structure (body structure)","16"
"ATP8A2 wt Allele","Cerebral hemisphere structure (body structure)","16"
"PIK3CA wt Allele","Cerebral hemisphere structure (body structure)","16"
"PROC wt Allele","Paracentral sulcus","16"
"KRT17 wt Allele","Paracentral sulcus","16"
"PODXL wt Allele","Paracentral sulcus","16"
"PODXL Gene","Paracentral sulcus","16"
"PROC Gene","Paracentral sulcus","16"
"Genome","Central insular sulcus","16"
"Enhancer of transcription","Central insular sulcus","16"
"HTT wt Allele","Anterodorsal nucleus of thalamus","16"
"FANCA wt Allele","Anterodorsal nucleus of thalamus","16"
"BDNF Gene","Anterodorsal nucleus of thalamus","16"
"CYP19A1 Gene","Structure of terminal stria nuclei of preoptic region","16"
"AVP Gene","Structure of terminal stria nuclei of preoptic region","16"
"Aromatase","Structure of terminal stria nuclei of preoptic region","16"
"PAG1 wt Allele","Central gray substance of midbrain","16"
"CHAT Gene","Superior colliculus of corpora quadrigemina","16"
"ANG Gene","Structure of area postrema","16"
"Chloramphenicol Acetyl Transferase Gene","Inferior olivary nucleus","16"
"CAT Gene","Inferior olivary nucleus","16"
"Chloramphenicol O-Acetyltransferase","Inferior olivary nucleus","16"
"NGF Gene","Nucleus Basalis Magnocellularis","16"
"NDOR1 Gene","CA1 field","16"
"NDOR1 wt Allele","CA1 field","16"
"NPY Gene","CA1 field","16"
"RASA1 Gene","CA1 field","16"
"RASA1 wt Allele","CA1 field","16"
"RELN Gene","CA1 field","16"
"Promoter","CA1 field","16"
"ELANE Gene","CA1 field","16"
"ELANE wt Allele","CA1 field","16"
"SCTR wt Allele","CA2 field","16"
"SNCG wt Allele","CA2 field","16"
"ESR1 Gene","CA2 field","16"
"estrogen receptor alpha, human","CA2 field","16"
"ESR1 wt Allele","CA2 field","16"
"EREG wt Allele","CA2 field","16"
"SYP Gene","CA3 field","16"
"HP Gene","Genus Hippocampus","16"
"AR wt Allele","Genus Hippocampus","16"
"SUB1 wt Allele","Genus Hippocampus","16"
"GPER1 gene","Genus Hippocampus","16"
"LacZ Genes","Genus Hippocampus","16"
"PROC wt Allele","Genus Hippocampus","16"
"SLC6A4 gene","Genus Hippocampus","16"
"VEGFA Gene","Genus Hippocampus","16"
"VEGFA wt Allele","Genus Hippocampus","16"
"ESR1 wt Allele","Genus Hippocampus","16"
"EREG wt Allele","Genus Hippocampus","16"
"GH1 Gene","Somatotrophs","16"
"GGH wt Allele","Somatotrophs","16"
"Genes","Basal Forebrain","16"
"FMOD wt Allele","Primary Auditory Cortex","16"
"FASTK Gene","Cortex, Primary Motor","16"
"SET Gene","Cortex, Primary Motor","16"
"CD69 wt Allele","Cortex, Primary Motor","16"
"F5 gene","Cortex, Primary Motor","16"
"CRH Gene","Barrington's Nucleus","16"
"Chloramphenicol Acetyl Transferase Gene","Sensorimotor Cortex","16"
"CAT Gene","Sensorimotor Cortex","16"
"Chloramphenicol O-Acetyltransferase","Sensorimotor Cortex","16"
"CHAT Gene","Amygdaloid structure","15"
"Chloramphenicol Acetyl Transferase Gene","Amygdaloid structure","15"
"OXT Gene","Structure of nucleus infundibularis hypothalami","15"
"ESR1 Gene","Structure of nucleus infundibularis hypothalami","15"
"LITAF gene","Brain Stem","15"
"Chloramphenicol Acetyl Transferase Gene","Cerebellar cortex structure","15"
"Chloramphenicol O-Acetyltransferase","Cerebellar cortex structure","15"
"PROC wt Allele","Cerebellar Nuclei","15"
"KRT17 wt Allele","Cerebellar Nuclei","15"
"PODXL wt Allele","Cerebellar Nuclei","15"
"PODXL Gene","Cerebellar Nuclei","15"
"PROC Gene","Cerebellar Nuclei","15"
"NR4A3 Gene","Cerebellum","15"
"NR4A3 wt Allele","Cerebellum","15"
"GC Gene","Cerebellum","15"
"GC wt Allele","Cerebellum","15"
"ATP8A2 wt Allele","Cerebellum","15"
"PRNP gene","Cerebellum","15"
"APP gene","Cerebellum","15"
"FOXP2 Gene","Cerebellum","15"
"CRH Gene","Cerebral cortex","15"
"ATG5 Gene","Cerebral cortex","15"
"TNC Gene","Cerebral cortex","15"
"CP Gene","Cerebral cortex","15"
"ELANE Gene","Cerebral cortex","15"
"PDZK1 Gene","Cerebral cortex","15"
"PDZK1 wt Allele","Cerebral cortex","15"
"PYCARD Gene","Cerebral cortex","15"
"PYCARD wt Allele","Cerebral cortex","15"
"HRAS gene","Cerebral cortex","15"
"CDKN1A Gene","Cerebral cortex","15"
"CDKN1A wt Allele","Cerebral cortex","15"
"OLIG2 Gene","Cerebral cortex","15"
"TFPI wt Allele","Cerebral cortex","15"
"VEGFA wt Allele","Cerebral cortex","15"
"CSPG4 Gene","Corpus Callosum","15"
"CSPG4 wt Allele","Corpus Callosum","15"
"SH2D3C Gene","Corpus striatum structure","15"
"SH2D3C wt Allele","Corpus striatum structure","15"
"FOXP2 Gene","Corpus striatum structure","15"
"MAPK1 wt Allele","Corpus striatum structure","15"
"SYP Gene","Corpus striatum structure","15"
"DCX gene","Corpus striatum structure","15"
"TH gene","Globus Pallidus","15"
"OTOF gene","Inner Auditory Hair Cells","15"
"AICDA Gene","BRAIN, HIPPOCAMPUS","15"
"AICDA wt Allele","BRAIN, HIPPOCAMPUS","15"
"TYMS Gene","BRAIN, HIPPOCAMPUS","15"
"TYMS wt Allele","BRAIN, HIPPOCAMPUS","15"
"HP wt Allele","BRAIN, HIPPOCAMPUS","15"
"S100A10 wt Allele","BRAIN, HIPPOCAMPUS","15"
"PARK2 gene","BRAIN, HIPPOCAMPUS","15"
"GYPA Gene","BRAIN, HIPPOCAMPUS","15"
"CA9 Gene","BRAIN, HIPPOCAMPUS","15"
"GYPA wt Allele","BRAIN, HIPPOCAMPUS","15"
"WAS wt Allele","BRAIN, HIPPOCAMPUS","15"
"HDAC4 Gene","BRAIN, HIPPOCAMPUS","15"
"BIRC5 Gene","BRAIN, HIPPOCAMPUS","15"
"BIRC5 wt Allele","BRAIN, HIPPOCAMPUS","15"
"LEP wt Allele","BRAIN, HIPPOCAMPUS","15"
"SHH Gene","BRAIN, HIPPOCAMPUS","15"
"GLS2 wt Allele","BRAIN, HIPPOCAMPUS","15"
"RIPK3 Gene","BRAIN, HIPPOCAMPUS","15"
"RIPK1 Gene","BRAIN, HIPPOCAMPUS","15"
"SST wt Allele","BRAIN, HIPPOCAMPUS","15"
"CD24 Gene","BRAIN, HIPPOCAMPUS","15"
"INS gene","Hypothalamic Area, Lateral","15"
"Genes, Immediate-Early","Hypothalamic structure","15"
"AR wt Allele","Hypothalamic structure","15"
"IAPP Gene","Hypothalamic structure","15"
"IAPP wt Allele","Hypothalamic structure","15"
"PI3 Gene","Structure of locus ceruleus","15"
"PI3 wt Allele","Structure of locus ceruleus","15"
"PHOX2B gene","Medulla Oblongata","15"
"PHOX2B wt Allele","Medulla Oblongata","15"
"c-fos Genes","Midbrain structure","15"
"PARK2 gene","Midbrain structure","15"
"SH3PXD2A wt Allele","Midbrain structure","15"
"CHAT Gene","Nucleus Accumbens","15"
"FOSB wt Allele","Nucleus Accumbens","15"
"INS gene","Structure of olfactory bulb","15"
"GNRH1 wt Allele","Olfactory Nerve","15"
"c-fos Genes","Pontine structure","15"
"Aromatase","Preoptic Areas","15"
"CDKN2A gene","Purkinje Cells","15"
"Chloramphenicol O-Acetyltransferase","Purkinje Cells","15"
"PRRT2 wt Allele","Purkinje Cells","15"
"Chloramphenicol Acetyl Transferase Gene","Somatosensory Cortex","15"
"CAT Gene","Somatosensory Cortex","15"
"Chloramphenicol O-Acetyltransferase","Somatosensory Cortex","15"
"Genes","Area striata structure","15"
"POMC Gene","Thalamic structure","15"
"MAPT wt Allele","Thalamic structure","15"
"BDNF Gene","Prosencephalon","15"
"KRAS wt Allele","Posterior cerebral commissure","15"
"FOXP2 Gene","Neostriatum","15"
"MAP Kinase Gene","Neostriatum","15"
"SYP Gene","Neostriatum","15"
"NTRK2 Gene","Neostriatum","15"
"DCX gene","Neostriatum","15"
"NTRK2 Gene","Prefrontal Cortex","15"
"Replication Origin","Prefrontal Cortex","15"
"MAP Kinase Gene","Prefrontal Cortex","15"
"CHAT Gene","Neocortex","15"
"LITAF gene","Neocortex","15"
"CR2 wt Allele","Neocortex","15"
"CRHR1 Gene","central amygdalar nucleus","15"
"Genes","Structure of paraventricular nucleus of thalamus","15"
"PITX2 wt Allele","Structure of paraventricular nucleus of thalamus","15"
"IFNAR1 Gene","Nucleus of optic tract","15"
"AVP Gene","Nucleus of optic tract","15"
"IFNAR1 wt Allele","Nucleus of optic tract","15"
"NLRP3 wt Allele","Nucleus of optic tract","15"
"BDNF Gene","Ventral Tegmental Area","15"
"AGT Gene","Nucleus solitarius","15"
"CD69 wt Allele","Nucleus solitarius","15"
"CD274 wt Allele","Bundle, Predorsal","15"
"CD69 wt Allele","Bundle, Predorsal","15"
"RASA1 Gene","Pyramidal Cells","15"
"RASA1 wt Allele","Pyramidal Cells","15"
"GRIN2A Gene","Pyramidal Cells","15"
"CALCA Gene","Pyramidal Cells","15"
"Heterozygote","Pyramidal Cells","15"
"SYP Gene","Pyramidal Cells","15"
"CALCA wt Allele","Cerebral hemisphere structure (body structure)","15"
"ENO2 Gene","Cerebral hemisphere structure (body structure)","15"
"ENO2 wt Allele","Cerebral hemisphere structure (body structure)","15"
"VEGFA wt Allele","Cerebral hemisphere structure (body structure)","15"
"BDNF Gene","Cerebral hemisphere structure (body structure)","15"
"LITAF gene","Paracentral sulcus","15"
"Long Interspersed Element","Anterodorsal nucleus of thalamus","15"
"MDK Gene","Medial Dorsal Nucleus","15"
"MDK wt Allele","Medial Dorsal Nucleus","15"
"ATP7A wt Allele","Medial Dorsal Nucleus","15"
"Chloramphenicol Acetyl Transferase Gene","Lateral posterior nucleus of thalamus","15"
"CAT Gene","Lateral posterior nucleus of thalamus","15"
"Chloramphenicol O-Acetyltransferase","Lateral posterior nucleus of thalamus","15"
"KRAS wt Allele","Paracentral Thalamic Nucleus","15"
"LEP Gene","Structure of area postrema","15"
"LITAF gene","Dorsal Septal Nucleus","15"
"F5 gene","Premotor area","15"
"GRM5 Gene","CA1 field","15"
"GRM5 wt Allele","CA1 field","15"
"CNR1 gene","CA1 field","15"
"CDK5R1 wt Allele","CA1 field","15"
"MTOR Gene","CA1 field","15"
"ANG Gene","CA2 field","15"
"ATP8A2 wt Allele","CA3 field","15"
"EGR1 wt Allele","Genus Hippocampus","15"
"KRAS wt Allele","Genus Hippocampus","15"
"CDKN2B wt Allele","Genus Hippocampus","15"
"CSPG4 Gene","Genus Hippocampus","15"
"CSPG4 wt Allele","Genus Hippocampus","15"
"PTEN gene","Genus Hippocampus","15"
"MAPT gene","Genus Hippocampus","15"
"FAS Gene","Genus Hippocampus","15"
"FASN wt Allele","Genus Hippocampus","15"
"TNF wt Allele","Genus Hippocampus","15"
"NPY Gene","Entire medulla oblongata","15"
"SST Gene","Basal Forebrain","15"
"c-fos Genes","Cortex, Primary Motor","15"
"MYCBP2 Gene","Amygdaloid structure","14"
"MYCBP2 wt Allele","Amygdaloid structure","14"
"MAPT wt Allele","Basal Nucleus of Meynert","14"
"S100A12 Gene","Brain Stem","14"
"S100A12 wt Allele","Brain Stem","14"
"PHOX2B gene","Brain Stem","14"
"HTT gene","Caudate nucleus structure","14"
"Genes","Caudate nucleus structure","14"
"Chloramphenicol Acetyl Transferase Gene","Cerebellar Nuclei","14"
"CAT Gene","Cerebellar Nuclei","14"
"Chloramphenicol O-Acetyltransferase","Cerebellar Nuclei","14"
"Genotype","Cerebellum","14"
"OLIG2 Gene","Cerebellum","14"
"CPA1 Gene","Cerebellum","14"
"CPA1 wt Allele","Cerebellum","14"
"Genes, Reporter","Cerebral cortex","14"
"S100A8 wt Allele","Cerebral cortex","14"
"EPO Gene","Cerebral cortex","14"
"PNP Gene","Cerebral cortex","14"
"CXCL12 Gene","Cerebral cortex","14"
"GPR56 Gene","Cerebral cortex","14"
"GPR56 wt Allele","Cerebral cortex","14"
"RRM1 Gene","Cerebral cortex","14"
"ATP8A2 wt Allele","Corpus striatum structure","14"
"EPHB2 Gene","Corpus striatum structure","14"
"SST Gene","Lobe, Frontal","14"
"c-fos Genes","Globus Pallidus","14"
"GLS2 Gene","Globus Pallidus","14"
"GLS2 wt Allele","Globus Pallidus","14"
"APRT wt Allele","BRAIN, HIPPOCAMPUS","14"
"HTT wt Allele","BRAIN, HIPPOCAMPUS","14"
"F2R Gene","BRAIN, HIPPOCAMPUS","14"
"KNG1 wt Allele","BRAIN, HIPPOCAMPUS","14"
"TP63 wt Allele","BRAIN, HIPPOCAMPUS","14"
"ST13 wt Allele","BRAIN, HIPPOCAMPUS","14"
"PSAP gene","BRAIN, HIPPOCAMPUS","14"
"VIP Gene","BRAIN, HIPPOCAMPUS","14"
"LIPC Gene","BRAIN, HIPPOCAMPUS","14"
"LIPC wt Allele","BRAIN, HIPPOCAMPUS","14"
"FGFR1 gene","BRAIN, HIPPOCAMPUS","14"
"ITGAM Gene","BRAIN, HIPPOCAMPUS","14"
"IDE Gene","BRAIN, HIPPOCAMPUS","14"
