"brainregion","disease","count"
"Genus Hippocampus","Pervasive Development Disorder","11"
"Genus Hippocampus","Fragile X Syndrome","11"
"Entire medulla oblongata","Functional disorder","11"
"Orbitofrontal cortex","Depressive disorder","11"
"Basal Forebrain","Mesulam Syndrome","11"
"Cortex, Primary Motor","Alzheimer's Disease","11"
"Sensorimotor Cortex","Spinal Cord Diseases","11"
"Amygdaloid structure","Bipolar Disorder","10"
"Amygdaloid structure","Major Depressive Disorder","10"
"Amygdaloid structure","Recurrent disease","10"
"Basal Ganglia","Basal Ganglia Diseases","10"
"Basal Ganglia","neuropathology disease","10"
"Brain Stem","Pituitary Diseases","10"
"Brain Stem","Peripheral Arterial Diseases","10"
"Brain Stem","Chronic Fatigue Syndrome","10"
"Cerebellum","Pituitary Diseases","10"
"Cerebellum","Hereditary Diseases","10"
"Cerebral cortex","Shy-Drager Syndrome","10"
"Cerebral cortex","Cognition Disorders","10"
"Cerebral cortex","DISORDERS OF THE OPTIC NERVE","10"
"Cerebral cortex","Sweet Syndrome","10"
"Cerebral cortex","Developmental delay (disorder)","10"
"Cerebral cortex","Sequela of disorder","10"
"Cerebral cortex","Phantom limb syndrome","10"
"Cerebral cortex","Norrie disease","10"
"Cochlear Nerve","Diseases of inner ear","10"
"Corpus striatum structure","Retinal Diseases","10"
"Lobe, Frontal","Lewy Body Disease","10"
"BRAIN, HIPPOCAMPUS","Meconium Aspiration Syndrome","10"
"BRAIN, HIPPOCAMPUS","McCune-Albright Syndrome","10"
"BRAIN, HIPPOCAMPUS","Macrophage Activation Syndrome","10"
"BRAIN, HIPPOCAMPUS","Acute infectious disease","10"
"BRAIN, HIPPOCAMPUS","Iodine deficiency syndrome","10"
"BRAIN, HIPPOCAMPUS","Communicable Diseases","10"
"BRAIN, HIPPOCAMPUS","Kartagener Syndrome","10"
"Structure of locus ceruleus","Mild cognitive disorder","10"
"Medulla Oblongata","Depressive disorder","10"
"Pituitary Gland","cortex bone disorders","10"
"Purkinje Cells","Pervasive Development Disorder","10"
"Purkinje Cells","Huntington Disease","10"
"Purkinje Cells","Iodine deficiency syndrome","10"
"Substantia innominata","Alzheimer's Disease","10"
"Temporal Lobe","Down Syndrome","10"
"Thalamic structure","Migraine Disorders","10"
"Superior temporal gyrus","cortex bone disorders","10"
"Structure of dentate gyrus","Mood Disorders","10"
"Posterior cerebral commissure","Functional disorder","10"
"Fornix, Brain","Mild cognitive disorder","10"
"Structure of subthalamic nucleus","Obsessive-Compulsive Disorder","10"
"Habenula","Disorder of pineal gland","10"
"Structure of capsule of red nucleus","Melkersson-Rosenthal Syndrome","10"
"Structure of nucleus ambiguus","Esophageal Diseases","10"
"Neostriatum","Lewy Body Disease","10"
"Prefrontal Cortex","Neurotoxicity Syndromes","10"
"Prefrontal Cortex","Hamartoma Syndrome, Multiple","10"
"Prefrontal Cortex","Post-Traumatic Stress Disorder","10"
"Prefrontal Cortex","Williams Syndrome","10"
"Neocortex","Depressive disorder","10"
"Neocortex","Parkinson Disease","10"
"Neocortex","Niemann-Pick Disease, Type C","10"
"Structure of paraventricular nucleus of thalamus","Disorders, Mental","10"
"Submedial Nucleus","Spinal Cord Diseases","10"
"Dorsal Nucleus Raphe","Alzheimer's Disease","10"
"Dorsal Nucleus Raphe","Disorders, Mental","10"
"Cuneiform nucleus","Finnish congenital nephrotic syndrome","10"
"Interpeduncular nucleus","cortex bone disorders","10"
"Nucleus solitarius","Functional disorder","10"
"Bundle, Predorsal","Movement Disorders","10"
"Pyramidal Cells","Fragile X Syndrome","10"
"Pyramidal Cells","Bipolar Disorder","10"
"Structure of central sulcus","Nail-Patella Syndrome","10"
"Paracentral sulcus","Chronic Fatigue Syndrome","10"
"Paracentral Thalamic Nucleus","Functional disorder","10"
"Central gray substance of midbrain","Migraine Disorders","10"
"Pituitary cell","Pituitary Diseases","10"
"Median preoptic nucleus","Hypertensive disease","10"
"intercalated amygdalar nuclei","cortex bone disorders","10"
"Metencephalon","cortex bone disorders","10"
"association cortex","Alzheimer's Disease","10"
"CA1 field","Pervasive Development Disorder","10"
"Genus Hippocampus","Autism Spectrum Disorders","10"
"Genus Hippocampus","Niemann-Pick Disease, Type C","10"
"Entire thalamus","cortex bone disorders","10"
"Structure of medial globus pallidus","Parkinson Disease","10"
"Structure of thalamic reticular nucleus","Spinal Cord Diseases","10"
"Entire internal capsule of brain","Alzheimer's Disease","10"
"Basal Forebrain","Lewy Body Disease","10"
"Internal arcuate tract","cortex bone disorders","10"
"Amygdaloid structure","Disease Progression","9"
"Amygdaloid structure","Syndrome","9"
"Amygdaloid structure","Fragile X Syndrome","9"
"Basal Ganglia","Alzheimer's Disease","9"
"Basal Nucleus of Meynert","Huntington Disease","9"
"Basal Nucleus of Meynert","Spinal Cord Diseases","9"
"Basal Nucleus of Meynert","Lewy Body Disease","9"
"Cerebellar cortex structure","Ataxia as late effect of cerebrovascular disease","9"
"Cerebellar cortex structure","Functional disorder","9"
"Cerebellum","Thyroid Diseases","9"
"Cerebellum","Degenerative disorder","9"
"Cerebellum","Bipolar Disorder","9"
"Cerebellum","Syndrome, Bloch-Sulzberger","9"
"Cerebellum","Psychotic Disorders","9"
"Cerebral cortex","Hypertensive disease","9"
"Cerebral cortex","Fetal Alcohol Syndrome","9"
"Cerebral cortex","Dystonia Disorders","9"
"Cerebral cortex","Delirium, Dementia, Amnestic, Cognitive Disorders","9"
"Cerebral cortex","Adult Fanconi syndrome","9"
"Cerebral cortex","Leigh Disease","9"
"Corpus Callosum","Obsessive-Compulsive Disorder","9"
"Corpus striatum structure","Van der Woude syndrome","9"
"Corpus striatum structure","Hamartoma Syndrome, Multiple","9"
"Corpus striatum structure","Lewy Body Disease","9"
"Corpus striatum structure","Pervasive Development Disorder","9"
"BRAIN, HIPPOCAMPUS","Rabies (disorder)","9"
"BRAIN, HIPPOCAMPUS","Memory Disorders","9"
"BRAIN, HIPPOCAMPUS","Neurodevelopmental disorder","9"
"Hypothalamic Area, Lateral","Polycystic Ovary Syndrome","9"
"Hypothalamic structure","Parkinson Disease","9"
"Hypothalamic structure","Migraine Disorders","9"
"Structure of locus ceruleus","Pituitary Diseases","9"
"Midbrain structure","Pituitary Diseases","9"
"Midbrain structure","Lewy Body Disease","9"
"Midbrain structure","Attention deficit hyperactivity disorder","9"
"Midbrain structure","Disorders, Mental","9"
"Motor Cortex","Parkinsonian Disorders","9"
"Nucleus Accumbens","Disorders, Mental","9"
"Structure of olfactory bulb","Spinal Cord Diseases","9"
"Structure of olfactory bulb","Kallmann Syndrome","9"
"Pituitary Gland","Major Depressive Disorder","9"
"Preoptic Areas","Retinal Diseases","9"
"Purkinje Cells","Retinal Diseases","9"
"Purkinje Cells","Alzheimer's Disease","9"
"Structure of putamen","cortex bone disorders","9"
"Area striata structure","Depressive disorder","9"
"Substantia nigra structure","neuropathology disease","9"
"Substantia nigra structure","Prune Belly Syndrome","9"
"Substantia nigra structure","Colonic Diseases","9"
"Structure of suprachiasmatic nucleus","Depressive disorder","9"
"Temporal Lobe","Lewy Body Disease","9"
"Thalamic Nuclei","Spinal Cord Diseases","9"
"Thalamic structure","Dyskinetic syndrome","9"
"Thalamic structure","Van der Woude syndrome","9"
"Visual Cortex","DISORDERS OF THE OPTIC NERVE","9"
"Prosencephalon","Rett Syndrome","9"
"Prosencephalon","Disorders, Mental","9"
"Prosencephalon","Niemann-Pick Disease, Type C","9"
"Structure of subiculum hippocampi","Down Syndrome","9"
"Posterior cerebral commissure","Sweet Syndrome","9"
"Posterior cerebral commissure","Depressive disorder","9"
"Structure of capsule of red nucleus","cortex bone disorders","9"
"Olfactory Cortex","Renal glomerular disease","9"
"Neostriatum","Van der Woude syndrome","9"
"Neostriatum","Hamartoma Syndrome, Multiple","9"
"Neostriatum","Pervasive Development Disorder","9"
"Prefrontal Cortex","Anxiety Disorders","9"
"Neocortex","Fragile X Syndrome","9"
"Neocortex","Lewy Body Disease","9"
"Neocortex","Neurodevelopmental disorder","9"
"Medial Septal Nucleus","Depressive disorder","9"
"Medial Septal Nucleus","Alzheimer's Disease","9"
"Dorsal Nucleus Raphe","Hashimoto Disease","9"
"Interpeduncular nucleus","Depressive disorder","9"
"Linear nucleus","Bipolar Disorder","9"
"Ventral Tegmental Area","Psychotic Disorders","9"
"Pars Compacta","Disorder nervous system","9"
"Substantia Nigra Pars Reticulata","cortex bone disorders","9"
"Nucleus solitarius","Pituitary Diseases","9"
"Bundle, Predorsal","Depressive disorder","9"
"Pyramidal Cells","Hamartoma Syndrome, Multiple","9"
"Pyramidal Cells","Neurodegenerative Disorders","9"
"Pyramidal Cells","Rett Syndrome","9"
"Cerebral hemisphere structure (body structure)","Huntington Disease","9"
"Structure of central sulcus","cortex bone disorders","9"
"Structure of superior temporal sulcus","Gilles de la Tourette syndrome","9"
"Structure of lateral olfactory gyrus","Alzheimer's Disease","9"
"Parolfactory area structure (body structure)","Ataxia as late effect of cerebrovascular disease","9"
"Anterodorsal nucleus of thalamus","Hypertensive disease","9"
"Stria medullaris","Spinal Cord Diseases","9"
"Ventral Posterior Nucleus","cortex bone disorders","9"
"Paracentral Thalamic Nucleus","Sweet Syndrome","9"
"Paracentral Thalamic Nucleus","Depressive disorder","9"
"Lateral habenular nucleus","Disorders, Mental","9"
"Lateral habenular nucleus","Parkinson Disease","9"
"Inferior olivary nucleus","Hypertrophic disorder of skin, unspecified","9"
"Structure of nucleus gracilis","Spinal Cord Diseases","9"
"Cerebrum","Retinal Diseases","9"
"Marginal Sulcus","Depressive disorder","9"
"Marginal Sulcus","Alzheimer's Disease","9"
"Dorsal Septal Nucleus","Syndrome","9"
"Gigantocellular nucleus","Junctional premature complex (disorder)","9"
"Periamygdaloid Area","cortex bone disorders","9"
"Dorsal Motor Nucleus","Spinal Cord Diseases","9"
"Dorsal Motor Nucleus","Parkinson Disease","9"
"CA1 field","Neurodegenerative Disorders","9"
"CA2 field","Pituitary Diseases","9"
"CA3 field","Disease Progression","9"
"Structure of ventral posteromedial nucleus of thalamus","cortex bone disorders","9"
"Genus Hippocampus","Recurrent disease","9"
"Genus Hippocampus","Sensitization (disorder)","9"
"Genus Hippocampus","Sudden infant death syndrome","9"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","DISORDERS OF THE OPTIC NERVE","9"
"Entire internal capsule of brain","Spinal Cord Diseases","9"
"Rostrotemporal auditory area","cortex bone disorders","9"
"Amygdaloid structure","Parkinson Disease","8"
"Basal Nucleus of Meynert","Neurodegenerative Disorders","8"
"Brain Stem","DISORDERS OF THE OPTIC NERVE","8"
"Brain Stem","Autistic Disorder","8"
"Brain Stem","Fragile X Syndrome","8"
"Caudate nucleus structure","Obsessive-Compulsive Disorder","8"
"Cerebellum","Disorders, Mental","8"
"Cerebellum","Meningeal disorder","8"
"Cerebellum","Attention deficit hyperactivity disorder","8"
"Cerebellum","Sudden infant death syndrome","8"
"Cerebral cortex","Attention Deficit Disorder","8"
"Cerebral cortex","Feline urological syndrome","8"
"Cerebral cortex","Idiopathic Hypereosinophilic Syndrome","8"
"Cerebral Peduncle","Spinal Cord Diseases","8"
"Corpus Callosum","Functional disorder","8"
"Corpus Callosum","Disease Progression","8"
"Corpus Callosum","Autistic Disorder","8"
"Corpus striatum structure","Prune Belly Syndrome","8"
"Ependyma","Meningeal disorder","8"
"Lobe, Frontal","Down Syndrome","8"
"Lobe, Frontal","Huntington Disease","8"
"Lobe, Frontal","Depressive disorder","8"
"Auditory Hair Cell","Functional disorder","8"
"BRAIN, HIPPOCAMPUS","Meningeal disorder","8"
"BRAIN, HIPPOCAMPUS","Alcohol withdrawal syndrome","8"
"BRAIN, HIPPOCAMPUS","Cerebrovascular Disorders","8"
"BRAIN, HIPPOCAMPUS","Feline urological syndrome","8"
"BRAIN, HIPPOCAMPUS","Conjunctival Diseases","8"
"BRAIN, HIPPOCAMPUS","Renal glomerular disease","8"
"BRAIN, HIPPOCAMPUS","Metabolic Syndrome X","8"
"BRAIN, HIPPOCAMPUS","CADASIL Syndrome","8"
"BRAIN, HIPPOCAMPUS","Metabolic Diseases","8"
"Hypothalamic structure","Disorder of pineal gland","8"
"Inferior Colliculus","Prader-Willi Syndrome","8"
"Inferior Colliculus","Lung diseases","8"
"Inferior Colliculus","Alcohol withdrawal syndrome","8"
"Structure of locus ceruleus","Hamartoma Syndrome, Multiple","8"
"Mammillary body structure","cortex bone disorders","8"
"Medulla Oblongata","Lung diseases","8"
"Midbrain structure","Herpes zoster disease","8"
"Structure of olfactory bulb","Neurodegenerative Disorders","8"
"Pituitary Gland","Pancreatic Diseases","8"
"Pituitary Gland","Lung diseases","8"
"Purkinje Cells","Liver diseases","8"
"Purkinje Cells","neuropathology disease","8"
"Hindbrain","Diseases of inner ear","8"
"Somatosensory Cortex","Spinal Cord Diseases","8"
"Area striata structure","Myeloproliferative Syndrome, Transient","8"
"Substantia nigra structure","Restless Legs Syndrome","8"
"Substantia nigra structure","Hamartoma Syndrome, Multiple","8"
"Structure of suprachiasmatic nucleus","Functional disorder","8"
"Temporal Lobe","Autistic Disorder","8"
"Temporal Lobe","Autism Spectrum Disorders","8"
"Temporal Lobe","Neurodegenerative Disorders","8"
"Thalamic structure","Herpes zoster disease","8"
"Prosencephalon","Parkinson Disease","8"
"Prosencephalon","Meningeal disorder","8"
"Lateral ventricle structure","Alzheimer's Disease","8"
"Inferior parietal lobule","cortex bone disorders","8"
"Posterior cerebral commissure","Huntington Disease","8"
"Fornix, Brain","cortex bone disorders","8"
"Internal capsule of brain","Prader-Willi Syndrome","8"
"Habenula","Functional disorder","8"
"Structure of rubrospinal tract","Syndrome","8"
"Structure of rubrospinal tract","Functional disorder","8"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","8"
"Neostriatum","Prune Belly Syndrome","8"
"Prefrontal Cortex","Brain Diseases","8"
"Neocortex","Neurodegenerative Disorders","8"
"Neocortex","Syndrome","8"
"Neocortex","Down Syndrome","8"
"lateral amygdalar nucleus","cortex bone disorders","8"
"basolateral nucleus of the amygdala","cortex bone disorders","8"
"Medial Septal Nucleus","Clinically isolated syndrome","8"
"Structure of paraventricular nucleus of thalamus","Alzheimer's Disease","8"
"Structure of limitans nucleus","Huntington Disease","8"
"Pretectal region","Disorder of pineal gland","8"
"Olivary pretectal nucleus","Retinal Diseases","8"
"Dorsal Nucleus Raphe","Retinal Diseases","8"
"Pars Compacta","Disease Progression","8"
"Pars Compacta","motor disorder","8"
"Pyramidal Cells","Marfan Syndrome","8"
"Pyramidal Cells","Neurodevelopmental disorder","8"
"Cerebral hemisphere structure (body structure)","CNS disorder","8"
"Cerebral hemisphere structure (body structure)","Skin endocrine disorder","8"
"Lateral posterior nucleus of thalamus","cortex bone disorders","8"
"Paracentral Thalamic Nucleus","Huntington Disease","8"
"Structure of supramammillary nucleus","cortex bone disorders","8"
"Structure of supramammillary nucleus","Functional disorder","8"
"Structure of tegmental portion of pons","Spinal Cord Diseases","8"
"Marginal Sulcus","Clinically isolated syndrome","8"
"Pedunculopontine Tegmental Nucleus","Parkinsonian Disorders","8"
"Metencephalon","Neurodegenerative Disorders","8"
"Perforant Pathway","Depressive disorder","8"
"Parabrachial Nucleus","cortex bone disorders","8"
"CA1 field","Spinal Cord Diseases","8"
"CA1 field","Mild cognitive disorder","8"
"CA1 field","Cognition Disorders","8"
"CA1 field","Van der Woude syndrome","8"
"CA1 field","Fragile X Syndrome","8"
"CA3 field","Spinal Cord Diseases","8"
"Genus Hippocampus","Prune Belly Syndrome","8"
"Genus Hippocampus","Gardner Syndrome","8"
"Genus Hippocampus","Mucocutaneous Lymph Node Syndrome","8"
"Genus Hippocampus","Hashimoto Disease","8"
"Genus Hippocampus","Anxiety Disorders","8"
"Genus Hippocampus","Nail-Patella Syndrome","8"
"Orbitofrontal cortex","Spinal Cord Diseases","8"
"Cortex, Primary Motor","Hamartoma Syndrome, Multiple","8"
"Structure of nucleus infundibularis hypothalami","cortex bone disorders","7"
"Structure of nucleus infundibularis hypothalami","Skin endocrine disorder","7"
"Structure of nucleus infundibularis hypothalami","Sudden infant death syndrome","7"
"Basal Nucleus of Meynert","Mild cognitive disorder","7"
"Brain Stem","Bloom Syndrome","7"
"Brain Stem","Skin endocrine disorder","7"
"Brain Stem","neuropathology disease","7"
"Brain Stem","Communicable Diseases","7"
"Brain Stem","Ataxia as late effect of cerebrovascular disease","7"
"Brain Stem","Parkinsonian Disorders","7"
"Cerebellar cortex structure","Retinal Diseases","7"
"Cerebellum","Williams Syndrome","7"
"Cerebellum","Motor Neuron Disease","7"
"Cerebellum","Neurodevelopmental disorder","7"
"Cerebral cortex","Acquired Immunodeficiency Syndrome","7"
"Cerebral cortex","Degenerative disorder","7"
"Cerebral cortex","Creutzfeldt-Jakob Disease, Sporadic","7"
"Cerebral cortex","Drug effect disorder","7"
"Cerebral cortex","Hypertrophic disorder of skin, unspecified","7"
"Cerebral cortex","Communicable Diseases","7"
"Cerebral Peduncle","Alzheimer's Disease","7"
"Corpus striatum structure","Syndrome, Bloch-Sulzberger","7"
"Corpus striatum structure","Nail-Patella Syndrome","7"
"Corpus striatum structure","Autistic Disorder","7"
"Corpus striatum structure","Liver diseases","7"
"Corpus striatum structure","Colonic Diseases","7"
"Structure of diencephalon","cortex bone disorders","7"
"Structure of diencephalon","Spinal Cord Diseases","7"
"Lobe, Frontal","Autism Spectrum Disorders","7"
"Lobe, Frontal","Mild cognitive disorder","7"
"Lobe, Frontal","Pick Disease of the Brain","7"
"Lobe, Frontal","Neurodegenerative Disorders","7"
"Globus Pallidus","Dyskinetic syndrome","7"
"Globus Pallidus","Hallervorden-Spatz Syndrome","7"
"Globus Pallidus","Depressive disorder","7"
"BRAIN, HIPPOCAMPUS","Thyroid Diseases","7"
"BRAIN, HIPPOCAMPUS","Hypertrophic disorder of skin, unspecified","7"
"BRAIN, HIPPOCAMPUS","Nose Diseases","7"
"BRAIN, HIPPOCAMPUS","Mohr-Tranebjaerg syndrome","7"
"BRAIN, HIPPOCAMPUS","Fabry Disease","7"
"BRAIN, HIPPOCAMPUS","Motor Neuron Disease","7"
"BRAIN, HIPPOCAMPUS","Eosinophilic disorder","7"
"BRAIN, HIPPOCAMPUS","Shy-Drager Syndrome","7"
"BRAIN, HIPPOCAMPUS","Norrie disease","7"
"BRAIN, HIPPOCAMPUS","Prion Diseases","7"
"Hypothalamic Area, Lateral","Ovarian Diseases","7"
"Hypothalamic Area, Lateral","Functional disorder","7"
"Hypothalamic Area, Lateral","Skin endocrine disorder","7"
"Hypothalamic Area, Lateral","Sleep Disorders","7"
"Hypothalamic structure","Disorders, Mental","7"
"Structure of locus ceruleus","Disorder nervous system","7"
"Structure of locus ceruleus","Sensitization (disorder)","7"
"Structure of locus ceruleus","Sweet Syndrome","7"
"Structure of locus ceruleus","Stress Disorders, Traumatic","7"
"Structure of locus ceruleus","Dysequilibrium syndrome","7"
"Medulla Oblongata","Vasodilation disorder","7"
"Medulla Oblongata","Alzheimer's Disease","7"
"Midbrain structure","neuropathology disease","7"
"Midbrain structure","Sensitization (disorder)","7"
"Midbrain structure","Niemann-Pick Disease, Type C","7"
"Structure of olfactory bulb","Parkinson Disease","7"
"Structure of paraventricular nucleus","Depressive disorder","7"
"Parietal Lobe","Spinal Cord Diseases","7"
"Parietal Lobe","Obsessive-Compulsive Disorder","7"
"Pineal gland","Pituitary Diseases","7"
"Pituitary Gland","Disease of thymus gland","7"
"Purkinje Cells","Shy-Drager Syndrome","7"
"Purkinje Cells","Chimera (disorder)","7"
"Purkinje Cells","Down Syndrome","7"
"Structure of putamen","Parkinson Disease","7"
"Reticular Formation","cortex bone disorders","7"
"Hindbrain","Retinal Diseases","7"
"Substantia nigra structure","Retinal Diseases","7"
"Tectum Mesencephali","cortex bone disorders","7"
"Telencephalon","Alzheimer's Disease","7"
"Temporal Lobe","Motor Neuron Disease","7"
"Thalamic structure","Liver diseases","7"
"Thalamic structure","Melkersson-Rosenthal Syndrome","7"
"Thalamic structure","DISORDERS OF THE OPTIC NERVE","7"
"Structure of trigeminal nerve spinal tract nucleus","Migraine Disorders","7"
"Visual Cortex","Depressive disorder","7"
"Prosencephalon","Pervasive Development Disorder","7"
"Prosencephalon","Autistic Disorder","7"
"Lateral ventricle structure","Spinal Cord Diseases","7"
"Precentral gyrus","Spinal Cord Diseases","7"
"Structure of dentate gyrus","Niemann-Pick Disease, Type C","7"
"Posterior cerebral commissure","Disorder of pineal gland","7"
"Posterior cerebral commissure","Chronic Fatigue Syndrome","7"
"Internal capsule of brain","Mild cognitive disorder","7"
"Structure of subthalamic nucleus","Depressive disorder","7"
"Structure of nucleus prepositus","Disease Progression","7"
"Structure of nucleus prepositus","Functional disorder","7"
"Neostriatum","Syndrome, Bloch-Sulzberger","7"
"Neostriatum","Nail-Patella Syndrome","7"
"Neostriatum","Autistic Disorder","7"
"Neostriatum","Liver diseases","7"
"Prefrontal Cortex","Fragile X Syndrome","7"
"Neocortex","Autism Spectrum Disorders","7"
"Presubiculum","Alzheimer's Disease","7"
"central amygdalar nucleus","Alcohol withdrawal syndrome","7"
"Linear nucleus","Pituitary Diseases","7"
"Ventral Tegmental Area","Syndrome, Bloch-Sulzberger","7"
"Ventral Tegmental Area","Spinal Cord Diseases","7"
"Pars Compacta","Lewy Body Disease","7"
"Substantia Nigra Pars Reticulata","Parkinsonian Disorders","7"
"Pyramidal Cells","Autism Spectrum Disorders","7"
"Pyramidal Cells","Mucocutaneous Lymph Node Syndrome","7"
"Pyramidal Cells","Attention deficit hyperactivity disorder","7"
"Cerebral hemisphere structure (body structure)","DISORDERS OF THE OPTIC NERVE","7"
"Cerebral hemisphere structure (body structure)","Cerebral Small Vessel Diseases","7"
"Cerebral hemisphere structure (body structure)","CADASIL Syndrome","7"
"Cerebral hemisphere structure (body structure)","Autism Spectrum Disorders","7"
"Structure of central sulcus","Gilles de la Tourette syndrome","7"
"Parahippocampal Gyrus","Mild cognitive disorder","7"
"Central insular sulcus","Depressive disorder","7"
"Parolfactory area structure (body structure)","Machado-Joseph Disease","7"
"Ventral Posterolateral Nucleus","cortex bone disorders","7"
"Parafascicular Thalamic Nucleus","Parkinson Disease","7"
"Paracentral Thalamic Nucleus","Chronic Fatigue Syndrome","7"
"Tuberomammillary Nucleus","Parkinson Disease","7"
"Pontine nuclei","Alzheimer's Disease","7"
"Structure of reticular formation of medulla oblongata","Penile Diseases","7"
"Structure of fasciculus gracilis","Spinal Cord Diseases","7"
"Trigeminal nerve motor nucleus","Spinal Cord Diseases","7"
"Hypoglossal nerve nucleus","Sudden infant death syndrome","7"
"Dorsal Septal Nucleus","Opitz-Frias syndrome","7"
"Gigantocellular nucleus","Alzheimer's Disease","7"
"Pedunculopontine Tegmental Nucleus","cortex bone disorders","7"
"Nucleus Basalis Magnocellularis","Alzheimer's Disease","7"
"Habenular Nucleus","Disorder of pineal gland","7"
"Metencephalon","Autism Spectrum Disorders","7"
"mossy fiber","Disease Progression","7"
"CA1 field","Rett Syndrome","7"
"CA2 field","Retinal Diseases","7"
"CA3 field","Bipolar Disorder","7"
"Ventral Striatum","cortex bone disorders","7"
"Pituitary Stalk","Pituitary Diseases","7"
"Olfactory tubercle","Spinal Cord Diseases","7"
"Genus Hippocampus","Syndrome, Bloch-Sulzberger","7"
"Genus Hippocampus","Rett Syndrome","7"
"Genus Hippocampus","Renal glomerular disease","7"
"Entire medulla oblongata","Parkinson Disease","7"
"Entire brainstem","Spinal Cord Diseases","7"
"LH Cells","Pituitary Diseases","7"
"Melanotrophs","Pituitary Diseases","7"
"Planum polare (PP)","Li-Fraumeni Syndrome","7"
"Planum polare (PP)","Alzheimer's Disease","7"
"Cortex, Primary Motor","Huntington Disease","7"
"Cortex, Primary Motor","Syndrome","7"
"Cortex, Primary Motor","Depressive disorder","7"
"Barrington's Nucleus","Spinal Cord Diseases","7"
"Acoustic nerve","Depressive disorder","6"
"Acoustic nerve","Diseases of inner ear","6"
"Amygdaloid structure","neuropathology disease","6"
"Amygdaloid structure","Retinal Diseases","6"
"Amygdaloid structure","Lewy Body Disease","6"
"Amygdaloid structure","Sensitization (disorder)","6"
"Amygdaloid structure","Antisocial Personality Disorder","6"
"Amygdaloid structure","Neurodevelopmental disorder","6"
"Structure of nucleus infundibularis hypothalami","Ovarian Diseases","6"
"Basal Ganglia","motor disorder","6"
"Brain Stem","Neurotoxicity Syndromes","6"
"Brain Stem","Leigh Disease","6"
"Brain Stem","Obsessive-Compulsive Disorder","6"
"Caudate nucleus structure","Functional disorder","6"
"Cerebellum","Zellweger Syndrome","6"
"Cerebellum","Disorder of pineal gland","6"
"Cerebellum","Migraine Disorders","6"
"Cerebellum","Iodine deficiency syndrome","6"
"Cerebellum","Lung diseases","6"
"Cerebral cortex","Lens Diseases","6"
"Cerebral cortex","Storage disease","6"
"Cerebral cortex","Hashimoto Disease","6"
"Cerebral cortex","Renal glomerular disease","6"
"Cerebral cortex","Stereotypic Movement Disorder","6"
"Cerebral cortex","Cerebrovascular Disorders","6"
"Cerebral cortex","Pituitary Diseases","6"
"Cerebral cortex","Movement Disorders","6"
"Cerebral cortex","Fetal Alcohol Spectrum Disorders","6"
"Cerebral cortex","Peripheral Arterial Diseases","6"
"Cerebral cortex","Capillary malformation (disorder)","6"
"Cerebral cortex","Nose Diseases","6"
"Cerebral cortex","Hodgkin Disease","6"
"Cerebral cortex","Esophageal Diseases","6"
"Cerebral Peduncle","Depressive disorder","6"
"Cochlear Nerve","Depressive disorder","6"
"Corpus striatum structure","motor disorder","6"
"Corpus striatum structure","Brain Diseases","6"
"Corpus striatum structure","Autism Spectrum Disorders","6"
"Ependyma","Spinal Cord Diseases","6"
"Lobe, Frontal","Pituitary Diseases","6"
"Lobe, Frontal","Neurotoxicity Syndromes","6"
"Lobe, Frontal","Disease Progression","6"
"Globus Pallidus","Alzheimer's Disease","6"
"Globus Pallidus","Tic disorder","6"
"BRAIN, HIPPOCAMPUS","Pick Disease of the Brain","6"
"BRAIN, HIPPOCAMPUS","Bloom Syndrome","6"
"BRAIN, HIPPOCAMPUS","Parkinsonian Disorders","6"
"BRAIN, HIPPOCAMPUS","CNS disorder","6"
"BRAIN, HIPPOCAMPUS","Li-Fraumeni Syndrome","6"
"BRAIN, HIPPOCAMPUS","Sleep Apnea Syndromes","6"
"BRAIN, HIPPOCAMPUS","Ataxia as late effect of cerebrovascular disease","6"
"Hypothalamic structure","Huntington Disease","6"
"Hypothalamic structure","Nose Diseases","6"
"Hypothalamic structure","Sleep Disorders","6"
"Hypothalamic structure","Syndrome","6"
"Hypothalamic structure","Mucocutaneous Lymph Node Syndrome","6"
"Inferior Colliculus","Mild cognitive disorder","6"
"Insula of Reil","Pervasive Development Disorder","6"
"Limbic System","Spinal Cord Diseases","6"
"Limbic System","Depressive disorder","6"
"Structure of locus ceruleus","Major Depressive Disorder","6"
"Median eminence of hypothalamus","Herpes zoster disease","6"
"Medulla Oblongata","Pituitary Diseases","6"
"Medulla Oblongata","Esophageal Diseases","6"
"Medulla Oblongata","Liver diseases","6"
"Medulla Oblongata","Syndrome","6"
"Midbrain structure","Obsessive-Compulsive Disorder","6"
"Midbrain structure","Hypertensive disease","6"
"Midbrain structure","Liver diseases","6"
"Midbrain structure","Van der Woude syndrome","6"
"Motor Cortex","Alzheimer's Disease","6"
"Nucleus Accumbens","Obsessive-Compulsive Disorder","6"
"Structure of olfactory bulb","Retinal Diseases","6"
"Structure of paraventricular nucleus","Alzheimer's Disease","6"
"Parietal Lobe","Mild cognitive disorder","6"
"Pituitary Gland","Retinal Diseases","6"
"Pituitary Gland","Alzheimer's Disease","6"
"Pituitary Gland","Uterine Diseases","6"
"Pituitary Gland","Muckle-Wells Syndrome","6"
