"gene","disease","count"
"PITX2 wt Allele","Polycythemia Vera","15"
"ATP7A wt Allele","Muscular Dystrophy","15"
"Haploinsufficiency","Syndrome","15"
"PARK2 wt Allele","Parkinson Disease","15"
"RASA1 wt Allele","cortex bone disorders","15"
"RASA1 wt Allele","Epilepsy","15"
"RASA1 wt Allele","Spinal Cord Diseases","15"
"PSEN1 wt Allele","Abnormal degeneration","15"
"PSEN1 wt Allele","Disease Progression","15"
"CUX1 wt Allele","Lesion","15"
"CD55 wt Allele","Hypersensitivity","15"
"NR4A3 wt Allele","Impaired health","15"
"NR4A3 wt Allele","cortex bone disorders","15"
"AIMP2 wt Allele","Injury due to exposure to external cause","15"
"PBX1 wt Allele","Pituitary Diseases","15"
"ELL wt Allele","Unipolar Depression","15"
"SLC12A2 wt Allele","Seizures","15"
"TTN wt Allele","Temporomandibular Joint Disorders","15"
"TTN wt Allele","Temporomandibular Joint Dysfunction Syndrome","15"
"TTN wt Allele","Myeloproliferative Syndrome, Transient","15"
"SQSTM1 wt Allele","Nerve Degeneration","15"
"SQSTM1 wt Allele","Malnutrition","15"
"MTR wt Allele","Hypersensitivity","15"
"MTR wt Allele","Pathogenesis","15"
"CD69 wt Allele","Obstetric Delivery","15"
"CD69 wt Allele","Syndrome","15"
"CD69 wt Allele","Fear","15"
"CD69 wt Allele","Retinal Diseases","15"
"YY1 wt Allele","Pain","15"
"YY1 wt Allele","cortex bone disorders","15"
"CD8A wt Allele","Lesion","15"
"PROC wt Allele","Ichthyosis linearis circumflexa","15"
"KHDRBS1 wt Allele","Malnutrition","15"
"KHDRBS1 wt Allele","Alzheimer's Disease","15"
"ACACA wt Allele","Pain","15"
"AKR1A1 wt Allele","Saccades","15"
"ATP6AP1 wt Allele","Ecthyma, Contagious","15"
"KRT17 wt Allele","Ichthyosis linearis circumflexa","15"
"PODXL wt Allele","Ichthyosis linearis circumflexa","15"
"CYBB wt Allele","Traumatic Brain Injury","15"
"TBCEL wt Allele","Amyotrophic Lateral Sclerosis","15"
"FAM49B wt Allele","cortex bone disorders","15"
"LPAR3 wt Allele","Tissue Adhesions","15"
"HTR1A wt Allele","Cancer patients and suicide and depression","15"
"LIPG wt Allele","Amyotrophic Lateral Sclerosis","15"
"Alleles","Impaired cognition","14"
"Alleles","Dementia","14"
"Chloramphenicol O-Acetyltransferase","Leigh Disease","14"
"DNA, Mitochondrial","Oxidative Stress","14"
"DNA, Mitochondrial","Nerve Degeneration","14"
"Exons","Amyotrophic Lateral Sclerosis","14"
"Genes","Pregnancy","14"
"Genes","Neurofibromatosis 1","14"
"Genes","Gaucher Disease","14"
"Genes","GRN-related frontotemporal dementia","14"
"Genes","Onset of illness","14"
"Genes","Mood Disorders","14"
"Genes","Disability","14"
"Genes","Migraine Disorders","14"
"Genes","Neuropathy","14"
"Genotype","Anxiety","14"
"Heterozygote","Impaired health","14"
"Homozygote","Ataxia","14"
"TP53 gene","Malnutrition","14"
"TP53 gene","Cerebral Ischemia","14"
"Open Reading Frames","Amyotrophic Lateral Sclerosis","14"
"c-fos Genes","Sensitization (disorder)","14"
"Promoter","AIDS related complex","14"
"JUN Gene","Neonatal hemochromatosis","14"
"JUN Gene","Injury due to exposure to external cause","14"
"Epidermal Growth Factor","Injury due to exposure to external cause","14"
"Transgenes","Alzheimer's Disease","14"
"TNF Gene","biologic degeneration","14"
"TNF Gene","Nerve Degeneration","14"
"TNF Gene","Neuropathic pain","14"
"TNF Gene","Epilepsy","14"
"FAT1 gene","Liver diseases","14"
"FAT1 gene","Insulin Resistance","14"
"FYN Gene","Parkinson Disease","14"
"ELK3 Gene","Hypersensitivity","14"
"BDNF Gene","Brain Injuries","14"
"BDNF Gene","Forgetful","14"
"BDNF Gene","Neuropathic pain","14"
"CEACAM5 Gene","Anxiety","14"
"CSPG4 Gene","Ischemia","14"
"EPHB2 Gene","Ischemia","14"
"EPHB2 Gene","Hypersensitivity","14"
"EPHB2 Gene","Oxidative Stress","14"
"FOXO3 Gene","Oxidative Stress","14"
"GCG Gene","Hypoglycemia","14"
"GDNF Gene","Spinal Cord Diseases","14"
"KISS1 Gene","Infertility","14"
"NTRK2 Gene","Seizures","14"
"NTRK2 Gene","biologic degeneration","14"
"NTRK2 Gene","Impaired health","14"
"PDC Gene","Parkinsonian Disorders","14"
"PDC Gene","Dementia","14"
"S100A9 Gene","Traumatic Brain Injury","14"
"SCG2 Gene","Hypersensitivity","14"
"SCG2 Gene","Pathology processes","14"
"TLR2 Gene","Cerebral Infarction","14"
"TLR2 Gene","Cerebral Ischemia","14"
"BCL2L11 Gene","Cessation of life","14"
"BCL2L11 Gene","Death (finding)","14"
"POMC Gene","Malnutrition","14"
"INS gene","cortex bone disorders","14"
"APP gene","Amyloidosis","14"
"APP gene","Exercise","14"
"F9 gene","Papillary thyroid carcinoma","14"
"Chloramphenicol Acetyl Transferase Gene","Leigh Disease","14"
"Chloramphenicol Acetyl Transferase Gene","Oxidative Stress","14"
"SET Gene","Seizures","14"
"FASTK Gene","Disease Progression","14"
"CD36 Gene","Liver diseases","14"
"CD36 Gene","Insulin Resistance","14"
"CD36 Gene","Hyperphagia","14"
"MAPK3 Gene","Neurotoxicity Syndromes","14"
"MAPK14 Gene","Neurotoxicity Syndromes","14"
"GC Gene","Injury due to exposure to external cause","14"
"PTGS2 Gene","Inflammation","14"
"AR gene","Injury due to exposure to external cause","14"
"MAP Kinase Gene","Malnutrition","14"
"BACE1 Gene","cortex bone disorders","14"
"BECN1 Gene","Traumatic Brain Injury","14"
"BECN1 Gene","Cessation of life","14"
"BECN1 Gene","Death (finding)","14"
"CAT Gene","Leigh Disease","14"
"CD8A Gene","Infection","14"
"CDK5R1 Gene","Alzheimer's Disease","14"
"CREB1 Gene","Impaired health","14"
"CREB1 Gene","Ischemia","14"
"ESR1 Gene","Toxic effect","14"
"ESR1 Gene","Injury due to exposure to external cause","14"
"GFAP gene","Cessation of life","14"
"GFAP gene","Death (finding)","14"
"GFAP gene","Tumor cells, uncertain whether benign or malignant","14"
"GFAP gene","Methamphetamine","14"
"GRIN2A Gene","Hypersensitivity","14"
"GRN Gene","Inflammation","14"
"HCRT Gene","biologic degeneration","14"
"HCRT Gene","Drug Dependence","14"
"IAPP Gene","Alzheimer's Disease","14"
"LEP Gene","Infertility","14"
"LEP Gene","Glucose measurement, blood","14"
"LEP Gene","Diabetes Mellitus, Non-Insulin-Dependent","14"
"MECP2 gene","Congenital Abnormality","14"
"NES Gene","Physical shape","14"
"NES Gene","Infarction","14"
"NGF Gene","Spinal Cord Diseases","14"
"PNP Gene","Neurotoxicity Syndromes","14"
"NR4A3 Gene","Congenital Abnormality","14"
"OXT Gene","Withdrawal","14"
"PARK2 gene","Oxidative Stress","14"
"PARK2 gene","Methamphetamine","14"
"PHOX2B gene","Hypersensitivity","14"
"PODXL Gene","Drug Tolerance","14"
"PPARA Gene","Inflammation","14"
"PRL Gene","Hypersensitivity","14"
"PRNP gene","Cutaneous plaque","14"
"PROC Gene","Drug Tolerance","14"
"RELN Gene","Chromosome Deletion","14"
"SLC6A3 Gene","biologic degeneration","14"
"SLC6A3 Gene","Malnutrition","14"
"SNCA gene","Pathology processes","14"
"SOD1 gene","Pathogenesis","14"
"SQSTM1 Gene","Nerve Degeneration","14"
"SYP Gene","Malnutrition","14"
"TARDBP Gene","Neurodegenerative Disorders","14"
"TH gene","Neoplasms - malignant","14"
"TH gene","Inflammation","14"
"TH gene","Schizophrenia","14"
"UBQLN2 Gene","Frontotemporal dementia","14"
"SHANK3 Gene","Intellectual Disability","14"
"PINK1 gene","Oxidative Stress","14"
"SIRT1 Gene","Cerebrovascular accident","14"
"IL23A Gene","Embryonal Carcinoma","14"
"NLRP3 Gene","Cerebrovascular accident","14"
"NLRP3 Gene","Impaired cognition","14"
"C9orf72 Gene","biologic degeneration","14"
"MAPT gene","Dementia","14"
"MAPT gene","Pathogenesis","14"
"Tumor Necrosis Factor-alpha","Neuropathic pain","14"
"Tumor Necrosis Factor-alpha","Demyelination","14"
"Tumor Necrosis Factor-alpha","Depressive disorder","14"
"Retinoic Acid Response Element","Neurofibrillary degeneration (morphologic abnormality)","14"
"Retinoic Acid Response Element","Infection","14"
"Retinoic Acid Response Element","Frontotemporal Lobar Degeneration","14"
"Retinoic Acid Response Element","Leukodystrophy","14"
"Long Interspersed Element","Neoplasms","14"
"Long Interspersed Element","Traumatic Brain Injury","14"
"Long Interspersed Element","Metabolic","14"
"estrogen receptor alpha, human","Toxic effect","14"
"estrogen receptor alpha, human","Impaired health","14"
"NDOR1 Gene","Hypersensitivity","14"
"GC wt Allele","Injury due to exposure to external cause","14"
"FGFR1 wt Allele","Anoxia","14"
"FGFR1 wt Allele","cortex bone disorders","14"
"ENG wt Allele","Amyotrophic Lateral Sclerosis","14"
"ENG wt Allele","Metabolic","14"
"S100A9 wt Allele","Traumatic Brain Injury","14"
"RET wt Allele","Papillary thyroid carcinoma","14"
"AREG wt Allele","Sex Behavior","14"
"ABCB6 wt Allele","Dental Plaque","14"
"CREB1 wt Allele","Ischemia","14"
"CD36 wt Allele","Liver diseases","14"
"CD36 wt Allele","Insulin Resistance","14"
"AR wt Allele","Injury due to exposure to external cause","14"
"CDKN2A wt Allele","Embryonal Carcinoma","14"
"SILV wt Allele","Therapeutic radiology procedure","14"
"F9 wt Allele","Embryonal Carcinoma","14"
"F9 wt Allele","Papillary thyroid carcinoma","14"
"PTCH1 wt Allele","Papillary thyroid carcinoma","14"
"GLI3 wt Allele","Greig cephalopolysyndactyly syndrome","14"
"ELK3 wt Allele","Hypersensitivity","14"
"MAPK3 wt Allele","Neurotoxicity Syndromes","14"
"TP53 wt Allele","Retinoblastoma","14"
"TP53 wt Allele","Malnutrition","14"
"TP53 wt Allele","Cerebral Ischemia","14"
"ATP8A2 wt Allele","Neurodegenerative Disorders","14"
"TLR4 wt Allele","Oxidative Stress","14"
"F3 wt Allele","cortex bone disorders","14"
"TLR2 wt Allele","Cerebral Infarction","14"
"TLR2 wt Allele","Cerebral Ischemia","14"
"CSPG4 wt Allele","Ischemia","14"
"CALCA wt Allele","cortex bone disorders","14"
"MAPK1 wt Allele","Neurotoxicity Syndromes","14"
"MAPK1 wt Allele","Oxidative Stress","14"
"RANGAP1 wt Allele","cortex bone disorders","14"
"RANGAP1 wt Allele","Traumatic Brain Injury","14"
"PTPN11 wt Allele","Cardio-facio-cutaneous syndrome","14"
"PNP wt Allele","Neurotoxicity Syndromes","14"
"NDOR1 wt Allele","Hypersensitivity","14"
"BCL2L11 wt Allele","Cessation of life","14"
"BCL2L11 wt Allele","Death (finding)","14"
"CD8B wt Allele","Infection","14"
"CEACAM5 wt Allele","Anxiety","14"
"GRM5 wt Allele","Cocaine","14"
"DRD2 wt Allele","Methamphetamine","14"
"FAT wt Allele","Liver diseases","14"
"FAT wt Allele","Insulin Resistance","14"
"FYN wt Allele","Parkinson Disease","14"
"PIK3CA wt Allele","Cessation of life","14"
"PIK3CA wt Allele","Death (finding)","14"
"PIK3CA wt Allele","Neurotoxicity Syndromes","14"
"PRRT2 Gene","Paroxysmal kinesigenic choreoathetosis","14"
"PTCH1 Gene","Papillary thyroid carcinoma","14"
"AIMP2 Gene","Oxidative Stress","14"
"IL23A wt Allele","Embryonal Carcinoma","14"
"Wild Type","Patient Outcome - Died","14"
"Wild Type","Liver diseases","14"
"Wild Type","Mass of body structure","14"
"Wild Type","DISORDERS OF THE OPTIC NERVE","14"
"Wild Type","Spinal Cord Injuries","14"
"PRNP wt Allele","Pathology processes","14"
"MAPT wt Allele","Shwachman syndrome","14"
"MAPT wt Allele","Diabetes Mellitus, Non-Insulin-Dependent","14"
"MAPT wt Allele","Huntington Disease","14"
"PITX2 wt Allele","Depressive disorder","14"
"PITX2 wt Allele","Cancer patients and suicide and depression","14"
"PITX2 wt Allele","Epilepsy","14"
"Haploinsufficiency","Autism Spectrum Disorders","14"
"PSEN1 wt Allele","Functional disorder","14"
"CD55 wt Allele","Hamartoma Syndrome, Multiple","14"
"CD55 wt Allele","Cortical cataract","14"
"CD55 wt Allele","Hemorrhage","14"
"NR4A3 wt Allele","Congenital Abnormality","14"
"PBX1 wt Allele","Dwarfism","14"
"ELL wt Allele","DEPRESSION MENTAL","14"
"ELL wt Allele","Depressive disorder","14"
"ELL wt Allele","Cancer patients and suicide and depression","14"
"ELL wt Allele","Multiple Sclerosis","14"
"GRIN2A wt Allele","Ethanol","14"
"PHGDH wt Allele","Syndrome","14"
"SH3PXD2A wt Allele","Spinal Cord Diseases","14"
"GBA wt Allele","Injury due to exposure to external cause","14"
"ELANE wt Allele","Hypersensitivity","14"
"GRIN2B wt Allele","Withdrawal","14"
"SQSTM1 wt Allele","Oxidative Stress","14"
"CR2 wt Allele","Hamartoma Syndrome, Multiple","14"
"CR2 wt Allele","Cortical cataract","14"
"CR2 wt Allele","Hemorrhage","14"
"AKT1S1 wt Allele","Lesion","14"
"AKT1S1 wt Allele","Retinal Diseases","14"
"CDK5R1 wt Allele","Alzheimer's Disease","14"
"CD69 wt Allele","Body Weight","14"
"CD69 wt Allele","Mild cognitive disorder","14"
"CD69 wt Allele","Hypothermia, natural","14"
"CD69 wt Allele","Hypothermia due to exposure","14"
"CD69 wt Allele","Obesity","14"
"CD69 wt Allele","Spinal Cord Injuries","14"
"PCYT1A wt Allele","cortex bone disorders","14"
"CD8A wt Allele","Infection","14"
"FMOD wt Allele","Methamphetamine","14"
"PROC wt Allele","Drug Tolerance","14"
"KRT17 wt Allele","Drug Tolerance","14"
"PODXL wt Allele","Drug Tolerance","14"
"HTR1A wt Allele","DEPRESSION MENTAL","14"
"HTR1A wt Allele","Depressive disorder","14"
"Alleles","Abnormal degeneration","13"
"Alleles","biologic degeneration","13"
"Chloramphenicol O-Acetyltransferase","Saccades","13"
"DNA, Mitochondrial","Neurodegenerative Disorders","13"
"Genes","Hypomyelination","13"
"Genes","Communicable Diseases","13"
"Genes","Paroxysmal kinesigenic choreoathetosis","13"
"Genes","Klinefelter Syndrome","13"
"Genes","Withdrawal","13"
"Genes","Charcot-Marie-Tooth Disease","13"
"Genes","Prion Diseases","13"
"Genes","Drug Tolerance","13"
"Genes","Drug Dependence","13"
"Genes","Comorbidity","13"
"Genes","Dental Plaque","13"
"Genes","Brain Neoplasms","13"
"Genes","Pelizaeus-Merzbacher Disease","13"
"Genes","Movement Disorders","13"
"Genes","Obsessive-Compulsive Disorder","13"
"Genes","Lewy Body Disease","13"
"Genome","Disorder nervous system","13"
"Genome","Autism Spectrum Disorders","13"
"Genome","Autistic Disorder","13"
"Genome","Nerve Degeneration","13"
"Genome","Bipolar Disorder","13"
"Genome","Pathology processes","13"
"Genotype","Dementia","13"
"Heterozygote","Functional disorder","13"
"Heterozygote","Test Result","13"
"Heterozygote","Autistic Disorder","13"
"Heterozygote","Sex Behavior","13"
"Homozygote","Ataxia as late effect of cerebrovascular disease","13"
"Major Histocompatibility Complex","Lesion","13"
"Tumor Suppressor Genes","Neoplasms - malignant","13"
"Reading Frames","Reaching","13"
"abl Oncogene","Abetalipoproteinemia","13"
"c-fos Genes","Epilepsy","13"
"c-fos Genes","DEPRESSION MENTAL","13"
"Promoter","Bronchioloalveolar adenocarcinoma","13"
"Promoter","Alzheimer's Disease","13"
"JUN Gene","Cell Death","13"
"Genes, Immediate-Early","Lesion","13"
"MEN1 gene","Multiple Endocrine Neoplasia Type 1","13"
"PTEN gene","Brain Injuries","13"
"PTEN gene","Hypertrophy","13"
"PTEN gene","Macrocephaly","13"
"TSC1 gene","Epilepsy","13"
"RHOA Gene","cortex bone disorders","13"
"FAT1 gene","Hypersensitivity","13"
"FAT1 gene","Weight Gain","13"
"FAT1 gene","Hyperphagia","13"
"ROS1 Gene","Cell Death","13"
"MYCN Gene","Neuroblastoma","13"
"MAX Gene","Hypersensitivity","13"
"Oncogene MAX","Hypersensitivity","13"
"BDNF Gene","Huntington Disease","13"
"BDNF Gene","Fear","13"
"BDNF Gene","Abnormal behavior","13"
"CCR5 gene","Cerebrovascular accident","13"
"CD4 Gene","Nerve Degeneration","13"
"CSPG4 Gene","Glioblastoma","13"
"CXCL12 Gene","Injury due to exposure to external cause","13"
"DDR1 Gene","Alzheimer's Disease","13"
"DRD2 Gene","Schizophrenia","13"
"DRD2 Gene","Methamphetamine","13"
"EPHB2 Gene","Cessation of life","13"
"EPHB2 Gene","Death (finding)","13"
"IL6 Gene","Inflammation","13"
"KISS1 Gene","Malnutrition","13"
"NTRK2 Gene","Impaired cognition","13"
"RIPK1 Gene","Cerebral Hemorrhage","13"
"SH2D3C Gene","Alzheimer's Disease","13"
"SST Gene","Huntington Disease","13"
"SST Gene","Sex Behavior","13"
"TBK1 Gene","Frontotemporal dementia","13"
"TLR2 Gene","Inflammation","13"
"TLR4 Gene","Cerebral Infarction","13"
"TLR4 Gene","Oxidative Stress","13"
"TLR4 Gene","Epilepsy","13"
"POMC Gene","Injury due to exposure to external cause","13"
"INS gene","Neurotoxicity Syndromes","13"
"INS gene","Retinal Diseases","13"
"INS gene","Disease Progression","13"
"INS gene","Starvation","13"
"APP gene","Metabolic","13"
"APP gene","Hypersensitivity","13"
"EPHB1 Gene","Hypersensitivity","13"
"CRH Gene","Test Result","13"
"Chloramphenicol Acetyl Transferase Gene","Saccades","13"
"LEPR Gene","Body Weight","13"
"SET Gene","Neurodegenerative Disorders","13"
"EPO Gene","Brain Injuries","13"
"CD36 Gene","Weight Gain","13"
"STAT3 Gene","Cerebral Infarction","13"
"GYPA Gene","Paraneoplastic Opsoclonus Ataxia","13"
"LGI1 Gene","Seizures","13"
"C5 Gene","Spinal Cord Diseases","13"
"MAP Kinase Gene","Ischemia","13"
"MAP Kinase Gene","Epilepsy","13"
"MAP Kinase Gene","Anoxia","13"
"ABL1 Gene","Abetalipoproteinemia","13"
"CA9 Gene","Paraneoplastic Opsoclonus Ataxia","13"
"CAT Gene","Anoxia","13"
"CAT Gene","Alzheimer's Disease","13"
"CAT Gene","Abnormal degeneration","13"
"CAT Gene","Saccades","13"
"CAT Gene","Liver diseases","13"
"CLU Gene","Ischemia","13"
"CNR1 gene","Chemosensitization/Potentiation","13"
"CNR1 gene","Seizures","13"
"CNR1 gene","Ethanol","13"
"EDN1 Gene","Ischemia","13"
"ESR1 Gene","Impaired health","13"
"MTOR Gene","Hypersensitivity","13"
"MTOR Gene","Pervasive Development Disorder","13"
"MTOR Gene","Lesion","13"
"MTOR Gene","Dysmorphism","13"
"FXN gene","Ataxia","13"
"GAPDH Gene","Cessation of life","13"
"GAPDH Gene","Death (finding)","13"
"GFAP gene","Alzheimer's Disease","13"
"GFAP gene","Neoplasms","13"
"GNRH1 Gene","Physical shape","13"
"GNRH1 Gene","Paraneoplastic Opsoclonus Ataxia","13"
"GRIN2B Gene","DEPRESSION MENTAL","13"
"GRIN2B Gene","Depressive disorder","13"
"GRIN2B Gene","Cancer patients and suicide and depression","13"
"HCRT Gene","Body Weight","13"
"HCRT Gene","Autoimmune reaction","13"
"HCRT Gene","Drug seeking behavior","13"
"HCRT Gene","Pathology processes","13"
"HCRT Gene","Sudden infant death syndrome","13"
"HTT gene","Motor Neuron Disease","13"
"HTT gene","Hypersensitivity","13"
"HTT gene","Metabolic","13"
"HTT gene","Brain Diseases","13"
"HEXA gene","Tay-Sachs Disease","13"
"HSPA5 Gene","Injury due to exposure to external cause","13"
"IAPP Gene","Body Weight","13"
"LEP Gene","DEPRESSION MENTAL","13"
"LEP Gene","Depressive disorder","13"
"LEP Gene","Cancer patients and suicide and depression","13"
"LEP Gene","Impaired health","13"
"LEP Gene","Metabolic Diseases","13"
"MET Gene","Genetic Carriers","13"
"MPZ gene","Newborn (finding)","13"
"MRC1 Gene","Pathology processes","13"
"MSN Gene","Huntington Disease","13"
"MTR Gene","Senile Plaques","13"
"NCL Gene","Neuronal Ceroid-Lipofuscinoses","13"
"NES Gene","Lesion","13"
"NFE2L2 Gene","Oxidative Stress","13"
"NGF Gene","Toxic effect","13"
"NGF Gene","Ischemia","13"
"NOX4 Gene","Oxidative Stress","13"
"NR3C2 Gene","Pathology processes","13"
"OXT Gene","Reproduction","13"
"OXT Gene","Lesion","13"
"OXT Gene","Late pregnancy","13"
"PARK2 gene","Pathology processes","13"
"PARK2 gene","Parkinsonian Disorders","13"
"PODXL Gene","Injury due to exposure to external cause","13"
"OLIG2 Gene","Spinal Cord Diseases","13"
"PROC Gene","Injury due to exposure to external cause","13"
"PSEN1 gene","Physical shape","13"
"RASA1 Gene","Lesion","13"
"RELN Gene","Congenital Abnormality","13"
"RELN Gene","Functional disorder","13"
"RELN Gene","Injury due to exposure to external cause","13"
"RELN Gene","DEPRESSION MENTAL","13"
"SLC6A3 Gene","Parkinsonian Disorders","13"
"SLC6A3 Gene","Hypersensitivity","13"
"SLC6A3 Gene","Injury due to exposure to external cause","13"
"SOD1 gene","Motor Neuron Disease","13"
"SRY gene","Coitus","13"
"SRY gene","Sex Behavior","13"
"SYP Gene","biologic degeneration","13"
"SYP Gene","Senile Plaques","13"
"TBR1 Gene","Autism Spectrum Disorders","13"
"TH gene","Anoxia","13"
"TH gene","Newborn (finding)","13"
"TH gene","Physical activity","13"
"VIM gene","Tumor cells, uncertain whether benign or malignant","13"
"VIM gene","Physical shape","13"
"PINK1 gene","Pathology processes","13"
"SIRT1 Gene","Alzheimer's Disease","13"
"PANK2 gene","Hallervorden-Spatz Syndrome","13"
"NLRP3 Gene","Cerebral Infarction","13"
"NLRP3 Gene","Cerebral Ischemia","13"
"LITAF gene","Cessation of life","13"
"LITAF gene","Death (finding)","13"
"LITAF gene","Amyotrophic Lateral Sclerosis","13"
"TXNIP Gene","Oxidative Stress","13"
"TXNIP Gene","Subarachnoid Hemorrhage","13"
"SARM1 Gene","Infertility","13"
"LRRK2 gene","Impaired health","13"
"LRRK2 gene","Neurotoxicity Syndromes","13"
"C9orf72 Gene","GRN-related frontotemporal dementia","13"
"C9orf72 Gene","Syndrome","13"
"C9orf72 Gene","Abnormal degeneration","13"
"Tumor Necrosis Factor-alpha","Withdrawal","13"
"Tumor Necrosis Factor-alpha","Cerebrovascular accident","13"
"Tumor Necrosis Factor-alpha","Abnormal degeneration","13"
"Tumor Necrosis Factor-alpha","DEPRESSION MENTAL","13"
"Tumor Necrosis Factor-alpha","Cancer patients and suicide and depression","13"
"Tumor Necrosis Factor-alpha","Encephalitis","13"
"Retinoic Acid Response Element","Disorders, Mental","13"
"Retinoic Acid Response Element","Rett Syndrome","13"
"Retinoic Acid Response Element","Autistic Disorder","13"
"Retinoic Acid Response Element","Spastic Paraplegia, Hereditary","13"
"Long Interspersed Element","Abnormal behavior","13"
"Long Interspersed Element","Tauopathies","13"
"Long Interspersed Element","Anoxia","13"
"estrogen receptor alpha, human","Hypersensitivity","13"
"CHD8 Gene","Autism Spectrum Disorders","13"
"PLOD1 gene","Sex Behavior","13"
"DST Gene","Multiple Sclerosis","13"
"MET wt Allele","Genetic Carriers","13"
"ENG wt Allele","DISORDERS OF THE OPTIC NERVE","13"
"ENG wt Allele","Ethanol","13"
"ENG wt Allele","Pathology processes","13"
"MYCN wt Allele","Neuroblastoma","13"
"CREB1 wt Allele","Impaired health","13"
"CRH wt Allele","Withdrawal","13"
"CRH wt Allele","Pituitary Diseases","13"
"CD36 wt Allele","Hypersensitivity","13"
"CD36 wt Allele","Weight Gain","13"
"CD36 wt Allele","Hyperphagia","13"
"HOXA10 wt Allele","Injury due to exposure to external cause","13"
"HOXA10 wt Allele","Anxiety","13"
"CDKN2A wt Allele","cortex bone disorders","13"
"CDKN2A wt Allele","Seizures","13"
"CDKN2A wt Allele","Kidney Failure, Acute","13"
"SILV wt Allele","Hypersensitivity","13"
"SILV wt Allele","Injury due to exposure to external cause","13"
"DHPS wt Allele","Alzheimer's Disease","13"
"DHPS wt Allele","Down Syndrome","13"
"AVPR2 wt Allele","Lesion","13"
"NOS1 wt Allele","Injury due to exposure to external cause","13"
"NPY wt Allele","Lesion","13"
"ATP8A2 wt Allele","Spinal Cord Diseases","13"
"ATP8A2 wt Allele","Alzheimer's Disease","13"
"ATP8A2 wt Allele","Epilepsy","13"
"ATP8A2 wt Allele","Van der Woude syndrome","13"
"TFRC wt Allele","Spinal Cord Diseases","13"
"MAPK8 wt Allele","Ethanol","13"
"MAPK14 wt Allele","Oxidative Stress","13"
"MAPK14 wt Allele","Neurotoxicity Syndromes","13"
"CSPG4 wt Allele","Glioblastoma","13"
"RANGAP1 wt Allele","Lesion","13"
"RANGAP1 wt Allele","Anoxia","13"
"RANGAP1 wt Allele","Cerebrovascular accident","13"
"RANGAP1 wt Allele","Epilepsy","13"
"RANGAP1 wt Allele","Newborn (finding)","13"
"KRAS wt Allele","Hypersensitivity","13"
"ESR1 wt Allele","Sex Behavior","13"
"ESR1 wt Allele","Toxic effect","13"
"ESR1 wt Allele","Alzheimer's Disease","13"
"ESR1 wt Allele","Delirium, Dementia, Amnestic, Cognitive Disorders","13"
"TSC1 wt Allele","Epilepsy","13"
"SH2D3C wt Allele","Alzheimer's Disease","13"
"GYPA wt Allele","Paraneoplastic Opsoclonus Ataxia","13"
"GRM1 wt Allele","Cocaine","13"
"FAT wt Allele","Hypersensitivity","13"
"FAT wt Allele","Weight Gain","13"
"FAT wt Allele","Hyperphagia","13"
"PARP1 wt Allele","Cell Death","13"
"PIK3CA wt Allele","Injury due to exposure to external cause","13"
"PIK3CA wt Allele","Inflammation","13"
"ROS1 wt Allele","Cell Death","13"
"VEGFA Gene","Ischemia","13"
"AIMP2 Gene","Neurotoxicity Syndromes","13"
"Wild Type","Alcohol consumption","13"
"Wild Type","Hamartoma Syndrome, Multiple","13"
"Wild Type","Helminthiasis","13"
"Wild Type","Trematode Infections","13"
"Wild Type","Hypertrophy","13"
"Wild Type","Weight Gain","13"
"SETD2 wt Allele","Anoxia","13"
"VEGFA wt Allele","Ischemia","13"
"IRF6 wt Allele","Oxidative Stress","13"
"IRF6 wt Allele","Impaired cognition","13"
"IRF6 wt Allele","Malnutrition","13"
"MAPT wt Allele","Ischemia","13"
"MAPT wt Allele","TDP-43 Proteinopathies","13"
"MAPT wt Allele","Brain Concussion","13"
"PITX2 wt Allele","Anxiety","13"
"TARDBP wt Allele","neuropathology disease","13"
"TARDBP wt Allele","Malnutrition","13"
"TARDBP wt Allele","Impaired cognition","13"
"TARDBP wt Allele","Physical shape","13"
"TARDBP wt Allele","Oxidative Stress","13"
"FBN1 wt Allele","Neoplasms","13"
"Haploinsufficiency","Frontotemporal Lobar Degeneration","13"
"HTT wt Allele","Pathogenesis","13"
"RASA1 wt Allele","Lesion","13"
"SLC1A2 wt Allele","cortex bone disorders","13"
"PSEN1 wt Allele","Physical shape","13"
"LRP5 wt Allele","Osteoporosis with pseudoglioma","13"
"DKK1 wt Allele","Hypoxia","13"
"AIMP2 wt Allele","Oxidative Stress","13"
"AIMP2 wt Allele","Neurotoxicity Syndromes","13"
"ELL wt Allele","Homosexuality","13"
"SDHB wt Allele","Ischemia","13"
"GRIN2A wt Allele","Chemosensitization/Potentiation","13"
"PHGDH wt Allele","Multiple Sclerosis","13"
"ELANE wt Allele","Exocrine pancreatic insufficiency","13"
"GRIN2B wt Allele","Cerebrovascular accident","13"
"GRIN2B wt Allele","Impaired cognition","13"
"BCL2A1 wt Allele","Melkersson-Rosenthal Syndrome","13"
"PRRT2 wt Allele","Chemosensitization/Potentiation","13"
"AKT1S1 wt Allele","Abnormal degeneration","13"
"MTR wt Allele","Senile Plaques","13"
"DST wt Allele","Multiple Sclerosis","13"
"CD69 wt Allele","Sex Behavior","13"
"CD69 wt Allele","Encephalopathies","13"
"CD69 wt Allele","MUTYH-Associated Polyposis","13"
"CD69 wt Allele","Diabetes","13"
"CD69 wt Allele","Disorder nervous system","13"
