brainregion,disease,text,pubdate
Sensorimotor Cortex,Functional disorder,In Nptn &gt
Gyrus Cinguli,Bipolar Disorder,Glial cells of the cingulate gyrus gray matter showed decreased Homer1a levels in bipolar disorder when compared to controls.,2017 Oct
Basal Ganglia,Parkinson Disease,Deep brain stimulation (DBS) has compelling results in the desynchronization of the basal ganglia neuronal activities and thus is used in treating the motor symptoms of Parkinson's disease (PD).,2017 Aug 8
Anterodorsal nucleus of thalamus,Alzheimer's Disease,In AD this process follows a distinct pattern along neuronal connections from the entorhinal cortex to hippocampal areas and further on through the limbic system.,2017
BRAIN HIPPOCAMPUS,Alzheimer's Disease,In AD this process follows a distinct pattern along neuronal connections from the entorhinal cortex to hippocampal areas and further on through the limbic system.,2017
Substantia nigra structure,Parkinson Disease,Mitochondrial and lysosomal dysfunction have been implicated in substantia nigra dopaminergic neurodegeneration in Parkinson's disease (PD) but how these pathways are linked in human neurons remains unclear.,2017 Sep 22
BRAIN HIPPOCAMPUS,cortex bone disorders,Donepezil administered at a prodromal stage of AD seems to substantially reduce the rate of atrophy of the BFCS nuclei with highest concentration of cholinergic neurons projecting to the cortex (NbM) hippocampus and entorhinal cortex (Ch1/2).,2017 Sep 15
Ventral Tegmental Area,Depressive disorder,Background and purpose:                    The mesolimbic dopamine system originating in the ventral tegmental area (VTA) is involved in the development of depression and firing patterns of VTA dopaminergic neurons are key determinants in this process.,2017 Dec
Cerebral hemisphere structure (body structure),Migraine Disorders,Conclusions The 'only cerebral hypoperfusion' theory was insufficient to explain the pathophysiology of WMH lesions in migraine patients.,2018 Feb
BRAIN HIPPOCAMPUS,Neurodegenerative Disorders,Here the authors provide evidence that loss of LSD1 in adult mice leads to paralysis and neurodegeneration in the hippocampus and cortex and suggest a potential link between LSD1 and human neurodegenerative disease.,2017 Oct 9
Neostriatum,Neurodevelopmental disorder,Striatal dysfunction has been strongly implicated in the pathophysiology of neurodevelopmental disorders raising the question of whether there are sex differences in how the striatum is impacted by genetic risk factors linked to neurodevelopmental disorders.,2018 Mar
Structure of locus ceruleus,Alzheimer's Disease,Degeneration of locus coeruleus (LC) is an underappreciated hallmark of Alzheimer's disease (AD).,2017
Central insular sulcus,Sequela of disorder,Thus cis P-tau contributes to short-term and long-term sequelae after TBI but is effectively neutralized by cis antibody treatment.Induction of the cis form of phosphorylated tau (cis P-tau) has previously been shown to occur in animal models of traumatic brain injury (TBI) and blocking this form of tau using antibody was beneficial in a rodent model of severe TBI.,2017 Oct 17
Cerebral cortex,Parkinson Disease,Objectives:                    The study was aimed at assessing the nature of the changes in the oxidation-antioxidant balance in the cerebral cortex striatum hippocampus thalamus and cerebellum in a rat model of Parkinson's disease (PD).,2017 Sep
Insula of Reil,cortex bone disorders,Neuropathological evaluation revealed abundant β-amyloid neuritic and cored plaques diffuse β-amyloid plaques and frequent hyperphosphorylated-tau neurofibrillary tangles (NFT) involving much of the cortex including insula and mammillary bodies in both cases.,2018 Jan 1
Brain Stem,cortex bone disorders,Case 2 additionally showed NFT predominance in the superficial layers of the cortex hypothalamus and brainstem diffuse Lewy bodies in the cortex amygdala and brainstem and intraneuronal TDP-43 inclusions.,2018 Jan 1
Pyramidal Cells,Depressive disorder,These results demonstrate that: (i) CA3-derived FGF22 serves as a target-derived excitatory synaptic organizer in CA3 &gt
Corpus striatum structure,Basal Ganglia Diseases,These results suggest that the histaminergic afferent inputs in the striatum may modulate both dopamine D1 and D2 receptor-expressing MSNs by activation of postsynaptic histamine H1 and H2 receptors and thus serve as an important extrastriatal modulator for biasing the direct and indirect pathways to actively regulate functions of the basal ganglia and participate in the pathogenesis and pathophysiology of basal ganglia diseases.,2018 Oct
BRAIN HIPPOCAMPUS,Brain Diseases,In addition several brain diseases such as neurological diseases and mood disorders have deleterious effects on adult hippocampal neurogenesis and some symptoms of those diseases can be partially explained by the dysregulation of adult hippocampal neurogenesis.,2019 Jan
Genus Hippocampus,cortex bone disorders,A longitudinal study was performed to investigate cranial irradiation-induced (3 fractions of 5 Gy) microstructural tissue alterations using water diffusion magnetic resonance imaging and magnetic resonance spectroscopy in different areas of the mouse brain (cortex thalamus striatum olfactory bulbs [OBs] hippocampus and subventricular zone [SVZ]).,2018 Nov 15
Temporal Lobe,Syndrome,Epilepsy is a common clinical syndrome with recurrent neuronal discharges in the temporal lobe cerebral cortex and hippocampus.,2018 Feb 26
Tectospinal tract of medulla,Timothy syndrome,These results suggest that IL17-mediated neuroinflammation is involved in several AD phenotypes in TS mice and provide a new therapeutic target to reduce these pathological characteristics.,2018 Oct
Triangular Septal Nucleus,Gilles de la Tourette syndrome,Here we analyzed the ability of an anti-IL17A antibody to reduce the neuropathological alterations that are present in TS mice during early neurodevelopmental stages (i.e. hippocampal neurogenesis and hypocellularity) or that are aggravated in later-life stages (i.e. cognitive abilities cholinergic neuronal loss and increased cellular senescence APP expression Aβ peptide expression and neuroinflammation).,2018 Oct
Genus Hippocampus,Alzheimer's Disease,We microinjected of Aβ&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Some features of the EEG slowing observed in AD such as the diminished generation of different network oscillations can be induced in vivo and in vitro upon Aβ application or by Aβ overproduction in transgenic models.,2013
Dorsal Nucleus Raphe,Hashimoto Disease,On the ability to influence the release of 3H-HT from the electrically stimulated slices of the dorsal raphe nucleus of the midbrain of the rats serotonin agonists were in the following order: TEMPP (12.3%) kampirone (40%) 1.2-PP (42.9%) ipsapirone (52%) 8-OH-DPAT (54.1%) kampirone (57.2%) and buspirone (65.3%).,1989 Dec
Pituitary Gland,Pituitary Diseases,As such while it is difficult to detect any mRNA encoding basic FGF in the heart lung kidneys ovaries liver or pituitary of rats the levels are easily detected in brain.,1989
Gyrus Cinguli,Alzheimer's Disease,In brains from patients with Alzheimer's disease a dramatic loss of these fibers was observed in all three areas examined but the loss was relatively less pronounced in the cingulate area.,1989
Preoptic Areas,Nose Diseases,LHRH-expressing neurons are also found in the nervus terminalis a cranial nerve that is a part of the accessory olfactory system and which projects directly from the nose to the septal-preoptic nuclei in the brain.,1989 Mar 9
Pituitary Gland,Pituitary Diseases,The rationale for the long-term behavioral effects of prenatal amphetamine is based on studies indicating that 1) rapidly developing systems are very sensitive to insult from external agents
BRAIN HIPPOCAMPUS,Disorders Mental,Hippocampal neurogenesis-related structural damage particularly that leading to defective adult cognitive function is considered an important risk factor for neurodegenerative and psychiatric diseases.,2016 Aug
Cerebral cortex,Spinal Cord Diseases,Primary neuronal cultures prepared from embryonic rat cerebral cortex or spinal cord are used to provide presynaptic GABAergic and glycinergic terminals respectively.,2015 Dec 23
Nuclei Raphe,Shy-Drager Syndrome,Depletion of serotonergic neurons in the medullary raphe nuclei which exert tonic drive to activate the posterior cricoarytenoid muscle has recently been identified in MSA cases.,2016 Feb 15
Neostriatum,cortex bone disorders,This study assessed the effect of NVHL induced by the administration of ibotenic acid on the protein expression of NRP/B in the hippocampus cortex and striatum in pre- and post-pubertal rats.,2016 Apr 5
Bundle Predorsal,Parkinson Disease,Cell-to-cell transmission of α-synuclein (αS) aggregates has been proposed to be responsible for progressive αS pathology in Parkinson disease (PD) and related disorders including dementia with Lewy bodies.,2016 Jul
Secondary visual cortex,Adult Fanconi syndrome,We found that V2 RFs could be broadly classified as V1-like (typical Gabor-shaped subunits) ultralong (subunits with high aspect ratios) or complex-shaped (subunits with multiple oriented components).,2016 Feb 16
Neostriatum,Parkinson Disease,For example in Parkinson's disease a placebo treatment induces a release of dopamine in the striatum and changes the activity of neurons in both thalamic and subthalamic nuclei.,2016 Oct 1
Amygdaloid structure,cortex bone disorders,In the mouse brain nArgBP2 was highly expressed in the cortex amygdala and hippocampus and enriched in the outer one-third of the molecular layer in dentate gyrus.,2016 Feb 17
BRAIN HIPPOCAMPUS,Depressive disorder,Conclusions:                    Our findings prove that the changes in the phospholipid-protein balance in the hippocampus and prefrontal cortex may be related to depressive disorders thus leading to the development of adverse changes in the molecules necessary for the correct functioning of the brain.,2016 Jun
Cerebral hemisphere structure (body structure),Functional disorder,Cerebral vasculature dysfunction associated to irregularities in cerebral blood perfusion has been proposed to directly contribute to Alzheimer's disease (AD) pathogenesis.,2016 Mar 15
Cerebellum,Neurodegenerative Disorders,Our results showed that nicotinamide reduces ethanol-induced neuronal cell death and inhibits both caspase-3 and PARP-1 alcohol-induced activation in the developing cerebellum suggesting that nicotinamide might be a promising and safe neuroprotective agent for treating FASD and other neurodegenerative disorders in the developing brain that shares similar cell death pathways.,2018 Jun
Neostriatum,Colonic Diseases,Administration of P. mirabilis isolated from PD mice significantly induced motor deficits selectively caused dopaminergic neuronal damage and inflammation in substantia nigra and striatum and stimulated α-synuclein aggregation in the brain as well as in the colon.,2018 Jan 19
Anterodorsal nucleus of thalamus,Functional disorder,Memory loss and long-term potentiation (LTP) dysfunction in the hippocampus are involved in the AD.,2018 May
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Memory loss and long-term potentiation (LTP) dysfunction in the hippocampus are involved in the AD.,2018 May
Structure of capsule of red nucleus,Melkersson-Rosenthal Syndrome,Standard &gt
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,Our results suggest that nicotine modulates mitochondrial dynamics and influences mitochondrial association from microtubules increasing IP&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Overall our data indicate that apoE-containing lipoprotein particles can have a direct effect on BACE1 levels and Aβ secretion and possibly contribute to AD pathogenetic processes independently of their capacity to promote cholesterol efflux.,2018 May 31
Anterodorsal nucleus of thalamus,Neurodegenerative Disorders,Assembly and deposition of amyloid β-protein (Aβ) is an early and invariable pathological event of Alzheimer's disease (AD) a chronic neurodegenerative disease affecting the neurons in the brain of aging population.,2018
Pituitary Gland,Pituitary Diseases,Plasma GH and pituitary GH mRNA levels were significantly increased in the animals injected with ghrelin.,2018 Nov
Dorsal Nucleus Raphe,Autism Spectrum Disorders,In a mouse model of a common genetic cause of autism spectrum disorder-a copy number variation on chromosome 16p11.2-genetic deletion of the syntenic region from 5-HT neurons induces deficits in social behaviour and decreases dorsal raphe 5-HT neuronal activity.,2018 Aug
Anterodorsal nucleus of thalamus,Neurotoxicity Syndromes,Bioactive AD brain extracts also induce neurotoxicity in iPSC-derived human neurons.,2018 Nov 8
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Pathologic biochemical and genetic evidence indicates that accumulation and aggregation of amyloid β-proteins (Aβ) is a critical factor in the pathogenesis of Alzheimer's disease (AD).,2018 Nov 8
BRAIN HIPPOCAMPUS,cortex bone disorders,TEC also decreased the concentration of malondialdehyde and total cholinesterase and increased activities of both antioxidant superoxide dismutase and glutathione peroxidase in hippocampal and cortex.,2019 Jan 5
Cerebral cortex,cortex bone disorders,In this study cortical networks were investigated in the barrel cortex in an animal model of SBH induced by in utero knockdown of Dcx main causative gene of this condition in human patients.,2019 Sep 13
BRAIN HIPPOCAMPUS,Neurotoxicity Syndromes,Objective:                    The aim of the study was to explore whether histamine H3 receptor antagonist Clobenpropit could protect propofol-induced neurotoxicity in hippocampal neurons.,2018 Nov
Left inferior cerebellar peduncle,Developmental reading disorder,Tract-FA of the left arcuate left and right superior longitudinal fasciculus (SLF) and left inferior cerebellar peduncle (ICP) made unique contributions to reading outcome after consideration of sex and family history of reading delays.,2019 Mar
Corpus striatum structure,Functional disorder,Dysfunction in dopaminergic neurotransmission within the striatum leads to movement impairments gaiting defects and hypo-locomotion.,2019 May
Structure of central sulcus,Hamartoma Syndrome Multiple,In fact there is a different hypothesis on the basal-ganglia pathways and DA named the Cortico-Striatal-Temporal-Difference (CS-TD) model.,2019 Jan 7
Neostriatum,cortex bone disorders,Postsynaptically MGM/PIN terminals everywhere synapsed on spines or small distal dendrites but as a population the postsynaptic structures in cortex were larger than those in the striatum.,2019 May 15
Cerebral cortex,cortex bone disorders,Ultrastructurally presynaptic terminal size was similar in amygdala striatum or cortex and in all cortical layers.,2019 May 15
Planum polare (PP),Disease Progression,Conclusion:                    Based on its change over time and its relationship with disease progression among the analyzed metrics AWF seems the most sensitive metric of WM tissue damage in PP-MS and therefore it could be considered as a marker for monitoring disease progression.,2019 Aug
Cerebellum,Spinal Cord Diseases,Whereas expression of olig2:dsred and ptf1a:gfp in the cerebellum and spinal cord are largely unaffected.,2019 Jul 15
Auditory pathway structure,cortex bone disorders,Descending auditory pathways can modify afferent auditory input en route to cortex.,2019 Oct 1
Prefrontal Cortex,Autism Spectrum Disorders,Autism spectrum disorder (ASD) has been associated to atypical neuronal connectivity in the prefrontal cortex (PFC) and the hippocampus in part due to an alteration in neuroplasticity processes such as dendritic remodeling.,2019 Jun 11
Corpus striatum structure,Parkinson Disease,Interestingly nigrostriatal DA signaling disruption in Parkinson's disease (PD) preferentially affects the dorsolateral striatum.,2019 Mar 19
Entire medulla oblongata,cortex bone disorders,The double-labeling immunofluorescence showed that mGluR4 was present in neural stem/progenitor cells (nestin-positive cells after 9 W) young neurons (DCX-positive cells after 9 W) mature neurons (NeuN-positive cells in cortex after 32 W) as well as typical astrocytes (GFAP-positive cells in medulla after 32 W).,2019 Aug
Medulla Oblongata,cortex bone disorders,The double-labeling immunofluorescence showed that mGluR4 was present in neural stem/progenitor cells (nestin-positive cells after 9 W) young neurons (DCX-positive cells after 9 W) mature neurons (NeuN-positive cells in cortex after 32 W) as well as typical astrocytes (GFAP-positive cells in medulla after 32 W).,2019 Aug
Cerebral cortex,cortex bone disorders,The aim of this work is to study the response adaptation to rhythmic whisker stimulation trains at 4 Hz in the barrel cortex and the sensitivity of cortical neurons to changes in the timing of the stimulation pattern.,2019 Apr 2
Amygdaloid structure,Phobic anxiety disorder,Furthermore inactivation of Hes1 in excitatory neurons resulted in abnormal fear and anxiety behaviors concomitantly with higher neuronal excitability in the amygdala while inactivation of Hes1 in inhibitory neurons resulted in increased sociability and perseverative tendencies.,2019 Jun 3
Prosencephalon,cortex bone disorders,At day 28 the grafts expressed Ctip2 Crim1 Foxp2 and Fezf2 all of which were forebrain motoneuron associated markers and Nfm and Synapsin1 on the damaged cortex.,2019 Oct
CA1 field,cortex bone disorders,In WT mice we found that TBI induced rapid and extensive expression of PI3Kγ in neurons within the perilesional cortex and the ipsilateral hippocampal subfields (CA1 CA3) which peaked between 1 and 3 days and declined significantly 7 days after TBI.,2019 Oct
CA1 field,Neurodevelopmental disorder,Alterations due to MCS impact every gene ontology category queried including GABAergic neurotransmission the endosomal-lysosomal pathway and autophagy and neurotrophins highlighting the importance of proper choline intake during the perinatal period especially when the fetus is known to have a neurodevelopmental disorder such as trisomy.-Alldred M. J. Chao H. M. Lee S. H. Beilin J. Powers B. E. Petkova E. Strupp B. J. Ginsberg S. D. Long-term effects of maternal choline supplementation on CA1 pyramidal neuron gene expression in the Ts65Dn mouse model of Down syndrome and Alzheimer's disease.,2019 Sep
Lateral habenular nucleus,Parkinson Disease,At present role of the lateral habenula (LHb) calcium-permeable AMPA receptors (CP-AMPARs) in depression is not understood particularly in Parkinson's disease-related depression.,2019 Oct
Brodmann area 21,Hashimoto Disease,We used Illumina Human HT-12 v4 arrays to compare RNA expression of middle temporal gyrus (MTG
Temporal Lobe,Mild cognitive disorder,Conclusion:                    Early atrophy in temporal lobes and progressive atrophy in frontal lobes might be a biomarker for developing multidomain impairment of cognition and converting to PD-MCI.,2020 Jan
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,The complete lack of IP&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,This study aims to explore the effect of miR-330 targeting VAV1 on amyloid β-protein (Aβ) production oxidative stress (OS) and mitochondrial dysfunction in Alzheimer's disease (AD) mice through the MAPK signaling pathway.,2018 Jul
Anterodorsal nucleus of thalamus,Alzheimer's Disease,The result indicates that overexpressed miR-330 targeting VAV1 through the MAPK signaling pathway reduces Aβ production and alleviates OS and mitochondrial dysfunction in AD.,2018 Jul
Brain Stem,Disease Progression,With disease progression towards the end-stage increased numbers of metabolic changes of G93A-SOD1 mice were observed (e.g. glutamine levels increased in the brainstem (&gt
Genus Hippocampus,Neurodegenerative Disorders,Alzheimer's disease (AD) is a neurodegenerative disorder characterized by cognitive decline and neurodegeneration in the hippocampus.,2018 Oct
Pyramidal Cells,Functional disorder,Studies examining neuronal morphology protein expression and localization and transcript levels indicate that a microcircuit composed of excitatory pyramidal cells and inhibitory interneurons containing the calcium-binding protein parvalbumin is altered in the DLPFC of subjects with schizophrenia and likely contributes to DLPFC dysfunction.,2018
Neostriatum,cortex bone disorders,Cue-onset responses in both striatum and cortex were significantly modulated by previous errors suggesting a role of these structures in maintaining appropriate motivation or action selection during ongoing behaviour.,2019 Mar
Structure of commissure of inferior colliculus,Ataxia as late effect of cerebrovascular disease,Importantly loss of CIC in the cerebellum does not cause ataxia or Purkinje cell degeneration.,2018 Mar 21
Structure of lateral corticospinal tract,Spinal Cord Diseases,The AVFs of fasciculus gracilis in the affected side spinal cord fasciculus cuneatus and lateral corticospinal tracts (LSCT) in the affected and unaffected side spinal cord were significantly lower (P = 0.019 0.001 0019 0.000 and 0.002 respectively) than those of normal controls.,2018 Mar 26
Genus Hippocampus,Hamartoma Syndrome Multiple,In this study by crossing CRAF-deficiency to CD-1 outbred mice a CRAF mouse model was established which enabled us to investigate the interplay of neural progenitor proliferation and postmitotic differentiation during adult neurogenesis in the hippocampus.,2018 Mar 28
Structure of nucleus prepositus,Prion Diseases,Shedding of almost full-length PrP&lt
External capsule,Depressive disorder,After high frequency stimulation both Ndufs4(KO) and wild-type hippocampal slices exhibit striking synaptic depression in isoflurane at twice the 50% effective concentrations (EC&gt
Pituitary Gland,Pituitary Diseases,Hormonal assays showed no evidence of pituitary hypersecretion.,2018 Apr 17
Structure of angular gyrus,Meconium Aspiration Syndrome,We also evaluated the expression of AT&gt
Cerebral cortex,Seasonal Affective Disorder,The knockout of both genes encoding Sad kinases (Sada and Sadb) results not only in a loss of axons but also a decrease in the size of the cortical plate.,2018 Apr 26
Corpus striatum structure,Tic disorder,The initial observation that dopaminergic antagonists alleviate tics led to the development of a dopaminergic theory of TS etiology which is supported by post mortem and in vivo studies indicating that non-physiological activation of the striatum could generate tics.,2018 Apr 26
Cerebral cortex,Autism Spectrum Disorders,Our study supports a dissociation of Shank3 functions in cortical and striatal neurons in ASD-related behaviors and it illustrates the complexity of neural circuit mechanisms underlying these behaviors.,2018 Apr 27
BRAIN HIPPOCAMPUS,Alzheimer's Disease,Furthermore we found that the protein level of NRG1 was reduced in the hippocampus of Alzheimer's disease (AD) patients.,2018 Jun
Pituitary Gland,Pituitary Diseases,Immunohistochemical screening of violent aggressors' sera on rat brain and pituitary sections did not show IgG binding to ACTH-producing cells but 4 of 16 sera revealed selective binding to a nonidentified antigen in vasopressinergic neurons of the hypothalamic paraventricular and supraoptic nuclei.,2018 Jul 10
Central cord canal structure,Spinal Cord Diseases,CSF-contacting (CSF-c) cells are present in the walls of the brain ventricles and the central canal of the spinal cord and found throughout the vertebrate phylum.,2018 Aug 29
Nucleus fastigii,Fetal Alcohol Syndrome,The expression of various apoptosis markers in the neural parenchyma including FasL FAS BAX BCL2 and caspase 3 differed between ZIKV-positive cases and controls.,2018 Nov
central amygdalar nucleus,cortex bone disorders,Here we expand our analyses to include substantially larger sample sizes and samples from two additional components of the addiction circuit the central nucleus of the amygdala (CeA) and the prelimbic cortex (PL).,2018 Aug 28
BRAIN HIPPOCAMPUS,Alzheimer's Disease,For example meta-analyses reveal that males outperform females on hippocampus-dependent tasks in rodents and in humans furthermore women are more likely to experience greater cognitive decline in Alzheimer's disease and depression both diseases characterized by hippocampal dysfunction.,2019 Jan
BRAIN HIPPOCAMPUS,cortex bone disorders,Additionally 5-HT&gt
Substantia Nigra Pars Reticulata,Parkinson Disease,Introduction:                    Experimental studies suggest that low-frequency (LF) (63 Hz) deep brain stimulation (DBS) of the substantia nigra pars reticulata (SNr) could be useful to regulate gait disorders refractory to medical treatment in Parkinson's disease (PD).,2019 Mar
Structure of ansa lenticularis,Alzheimer's Disease,Abbreviations: ACTB: actin beta
Cerebral cortex,Idiopathic Hypereosinophilic Syndrome,We obtained no evidence that the hES-iNs had acquired a distinct cortical layer phenotype.,2018 Oct 11
Auditory Hair Cell,Diseases of inner ear,Previous studies have shown that there are severe deformities in the inner ear in Foxg1 knockout mice but due to the postnatal lethality of Foxg1 knockout mice the role of FOXG1 in hair cell (HC) development and survival during the postnatal period has not been investigated.,2019 Jan
Pituitary Gland,Pituitary Diseases,Crh was upregulated or downregulated most prominently by either 7-day ADX or 12-day high Cort emphasizing the recognized feedback effects of GC on the hypothalamic-pituitary-adrenal (HPA) axis.,2019 Jan 1
BRAIN HIPPOCAMPUS,Major Depressive Disorder,These cross-scale neurobiological analyses and functional annotations indicate that major depressive disorder-specific genetic variants may increase the conversion from amnestic mild cognitive impairment to Alzheimer's disease by modulating the early hippocampal development and amyloid-beta binding.,2018 Dec 1
Bundle Predorsal,Parkinson Disease,This review highlights a Wnt/β-catenin/glial connection in Parkinson's disease (PD) the most common movement disorder characterized by the selective death of midbrain dopaminergic (mDAergic) neuronal cell bodies in the subtantia nigra pars compacta (SNpc) and gliosis.,2018 Nov 24
Prefrontal Cortex,Depressive disorder,We argue that better understanding the long-term effects of developmental stressors on PFC trkB GR and related factors may yield insights into risk for chronic remitting depression and related neuropsychiatric illnesses.,2018 Dec
Pituitary Gland Anterior,Pituitary Diseases,In the pituitary GnRHR1 and GnRHR2 immunoreactive cells were differentially distributed with GnRHR1 immunoreactive cells mainly in peripheral areas of the adenohypophysis whereas GnRHR2 immunoreactive cells in the multicellular layers of adenohypophysis adjacent to the neurohypophysis.,2018 Nov 30
Bundle Predorsal,Parkinson Disease,Recent researches regarding to exosomal involvement in alpha-synuclein (α-syn) transmission relating to the pathological process of Parkinson's disease (PD) have attracted considerable attention.,2019 Feb 20
Midbrain structure,Obsessive-Compulsive Disorder,&gt
Bundle Predorsal,Mild cognitive disorder,Methods:                    Three groups of subjects were recruited in this study including patients with de novo PD with mild cognitive impairment (n = 23) patients with de novo PD without cognitive impairment (n = 48) and control subjects (n = 32).,2019 Jun
Midbrain structure,Liver diseases,Here we show that DAO activity was detected in kidney cerebellum medulla oblongata midbrain and spinal cord but not in liver.,2019 Aug 1
Cerebral hemisphere structure (body structure),Disorder nervous system,Human cerebral organoids derived from induced pluripotent stem cells (iPSCs) provide novel tools for recapitulating the cytoarchitecture of human brain and for studying biological mechanisms of neurological disorders.,2019 Apr 12
Prefrontal Cortex,Hereditary Diseases,Thus the loss of WDR45 cripples macroautophagy machinery in neurons and leads to impairment in organelle autophagy which provides a mechanistic understanding of cause of BPAN and a potential therapeutic strategy to treat this genetic disorder.&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,The lack of protein association with paired helical filament tau tangles episodic memory decline or strong genetic drivers of deposited β-amyloid suggests an underlying neuropathologic change that may differ from that of AD.,2019 Jul 1
CA1 field,Depressive disorder,Collectively we suggest that Th:LC-CA1 pathway plays a crucial role in depression-induced TGI vulnerability and offers a potential intervention for preventing depression-related transient ischaemic attack.,2019 Jul 3
Bundle Predorsal,Parkinson Disease,α-Synuclein accumulation is a pathological hallmark of Parkinson's disease (PD).,2017 Dec 12
Cerebral cortex,cortex bone disorders,We hypothesized that BMP signaling might regulate additional processes during the development of cortical neurons after observing active BMP signaling in a spatiotemporally dynamic pattern in the mouse cortex.,2018 Jan 9
Basal Ganglia,Parkinson Disease,The basal ganglia are thought to be particularly sensitive to changes in dopaminergic tone and the realization that reduced dopaminergic signaling causes pronounced motor dysfunction is the rationale behind dopamine replacement therapy in Parkinson's disease.,2018 Feb
Pituitary Gland,Pituitary Diseases,Recently growing evidence has unveiled the central position of miRNAs within a key regulatory process involving GnRH secretion and subsequent activation in the pituitary.,2018 Apr
Habenula,Depressive disorder,Overall our data show sex differences in the LHb-VTA circuit responses to SCVS and implicates a potential role of this projection in mediating vulnerability of female mice to stress-induced depression.,2018 Apr 15
Corpus striatum structure,cortex bone disorders,Nevertheless they show brain atrophy and unequivocal neuron loss from the striatum and cortex by 22 weeks of age an age at which similar pathology is seen in 250 CAG repeat mice.,2018
Cerebral cortex,Functional disorder,Huntington's disease is a fatal neurodegenerative disease where dysfunction and loss of striatal and cortical neurons are central to the pathogenesis of the disease.,2018 May 15
Thalamic structure,cortex bone disorders,As multimodal sensory information proceeds to the cortex it is intercepted and processed by the nuclei of the thalamus.,2018 May 17
Lateral posterior nucleus of thalamus,cortex bone disorders,The superficial layers of the superior colliculus (sSC) receive retinal input and project to thalamic regions the dorsal lateral geniculate (dLGN) and lateral posterior (LP
Cerebellum,Spinal Cord Diseases,FPR2 mRNA expression was greatest in the brainstem followed by the spinal cord thalamus/hypothalamus cerebral neocortex hippocampus cerebellum and striatum.,2018 Aug
Pituitary Gland,Pituitary Diseases,Glucose injections reduced the basal expression of NPY- immunoreactive perikarya (upto 20%) in the olfactory bulb nucleus pre-opticus infundibulum raphe nucleus and the distal lobe of pituitary.,2018 Oct
Pars Compacta,Neurodegenerative Disorders,Parkinson's disease is the second most common neurodegenerative disorder characterized by the manifestation of motor symptoms which are mainly attributed to the degeneration of dopamine neurons in the pars compacta of substantia nigra.,2017 Apr
Genus Hippocampus,Neurotoxicity Syndromes,This study evaluated the role of baicalein a flavonoid compound isolated from the traditional Chinese medicine Scutellaria baicalensis in glutamate release and glutamate neurotoxicity in the rat hippocampus.,2016
CA2 field,Wolfram Syndrome,WFS1 deficiency induces endoplasmic reticulum (ER) stress leading to inositol 1,4,5-trisphosphate receptor (IP3R) dysfunction and disturbed cytosolic Ca2+ homeostasis which in turn alters mitochondrial dynamics.,2016 Jul 19
Prefrontal Cortex,Depressive disorder,Results:                    The results indicated that DBD intake decreased aggressiveness and depression-like symptoms and increased the densities of PV-immunoreactive neurons in the medial prefrontal cortex (mPFC) amygdala hippocampus and superior colliculus.,2017 Dec
Medulla Oblongata,cortex bone disorders,NTF activity was found in medulla but not in cortex extracts.,1989 Aug 1
Ventral Tegmental Area,other psychiatric disorders,The ventral tegmental area (VTA) is widely implicated in drug addiction and other psychiatric disorders.,2012
Callosal sulcus,Fetal Alcohol Syndrome,The ability of ethanol to block the convergent activation of the SFK-Cas-ERK1/2 pathway by netrin-1 GDNF L1 and ADNP could contribute significantly to the pathogenesis of FASD.,2012 Nov
Fornix Brain,Psychotic Disorders,Variation in the genes coding for structural and protective components of myelin are implicated in abnormal white matter volume in the emotion circuitry of the cingulum fornix parahippocampal gyrus and UF in psychotic disorders.,2012 Oct 9
BRAIN HIPPOCAMPUS,Alzheimer's Disease,The ability of retinoids to exert antioxidant effects inhibit amyloid-β (Aβ) deposits and likely Aβ-induced mitochondrial dysfunction tau hyperphosphorylation Aβ-induced IL6 production and neuroinflammation increase survival in hippocampal neurons and reverse cognitive deficits in animal models of Alzheimer's disease (AD) is discussed.,2012
Genus Hippocampus,cortex bone disorders,It is suggested here that mammalian hippocampus serves as an allocator of neurons in cortex for memorizing new items.,2012 Nov
BRAIN HIPPOCAMPUS,cortex bone disorders,Pathological examination showed widespread neuron loss with gliosis involving the entire right cerebral cortex particularly in the frontotemporal lobe and hippocampus and with patchy involvement of the contralateral cerebellum especially in the cortex and dentate nucleus.,2012 Sep
Marginal Sulcus,Functional disorder,Results suggest that decreased 5-HTergic activity in the raphe nucleus is implicated in the pathophysiology of depression-like behaviors and increased 5-HTergic activities in the raphe-hippocampus axis may be a part of anti-depressant efficacy of fluoxetine in MS females.,2013 Jun
Corpus striatum structure,Spinal Cord Diseases,Moreover specific [3H]hemicholinium-3 binding exhibited an uneven regional distribution: striatum much greater than nucleus basalis greater than spinal cord much greater than midbrain = cerebellum greater than or equal to hippocampus greater than neocortex = anterior thalamus greater than posterior thalamus much much greater than white matter.,1990 Mar
