"brainregion","protein","count"
"Brain Stem","Brain-Derived Neurotrophic Factor","36"
"Median eminence of hypothalamus","Somatostatin","36"
"BRAIN, HIPPOCAMPUS","Aromatase","36"
"Pyramidal Cells","Calretinin","36"
"Cerebral cortex","P53 Protein","36"
"Nucleus Basalis Magnocellularis","Nerve Growth Factor","36"
"Genus Hippocampus","Serine","36"
"Structure of paraventricular nucleus of thalamus","Vasoactive Intestinal Peptide","36"
"Cerebral hemisphere structure (body structure)","Enzymes","36"
"Cerebral cortex","Vascular Endothelial Growth Factor A","36"
"Cerebral cortex","Neural Cell Adhesion Molecules","36"
"Neocortex","Protein Subunits","36"
"CA2 field","Receptors, Metabotropic Glutamate","36"
"BRAIN, HIPPOCAMPUS","Tretinoin","36"
"Brain Stem","INSR protein, human","36"
"Cerebellum","Receptors, Metabotropic Glutamate","36"
"mossy fiber","Receptor","36"
"Structure of thalamic reticular nucleus","Proteins","36"
"BRAIN, HIPPOCAMPUS","Receptor, Cannabinoid","36"
"Dorsal Nucleus Raphe","HCRT Gene","36"
"Genus Hippocampus","NR1 protein, human","36"
"Nucleus solitarius","Pro-Opiomelanocortin","36"
"Visual Cortex","Horseradish Peroxidase","36"
"Structure of dentate gyrus","Y, Neuropeptide","36"
"Cerebral cortex","Proto-Oncogene Proteins c-akt","35"
"Genus Hippocampus","Estrogen Receptors","35"
"Prosencephalon","Antibodies","35"
"Cerebral cortex","Tretinoin","35"
"Corpus striatum structure","Fibroblast Growth Factor 2","35"
"BRAIN, HIPPOCAMPUS","Horseradish Peroxidase","35"
"Genus Hippocampus","Adrenergic Receptor","35"
"Amygdaloid structure","HOXA10 protein, human","35"
"Inferior olivary nucleus","Horseradish Peroxidase","35"
"Cerebral cortex","Cholinergic Receptors","35"
"Cerebral cortex","Galanin","35"
"Structure of paraventricular nucleus of thalamus","Receptor","35"
"CA1 field","Heat-Shock Proteins 70","35"
"Medulla Oblongata","Thyrotropin-Releasing Hormone","35"
"Gigantocellular nucleus","GTP-Binding Proteins","35"
"Ventral Tegmental Area","Oxytocin","35"
"Neostriatum","Calbindins","35"
"Basal Ganglia","Dopamine D2 Receptor","35"
"Neostriatum","Superoxide Dismutase","35"
"Pyramidal Cells","INSR protein, human","35"
"Hindbrain","Genes","35"
"Globus Pallidus","Receptor","35"
"Nucleus solitarius","INSR protein, human","35"
"BRAIN, HIPPOCAMPUS","alanylglutamine","35"
"Genus Hippocampus","Chloramphenicol O-Acetyltransferase","35"
"Amygdaloid structure","N-Methylaspartate","35"
"Hypothalamic structure","Angiotensin II","35"
"Midbrain structure","Fibroblast Growth Factor 2","35"
"Genus Hippocampus","NOS1 protein, human","35"
"Amygdaloid structure","Metastin","35"
"Diagonal Band of Broca","Nerve Growth Factor","35"
"BRAIN, HIPPOCAMPUS","Laminin","35"
"Prosencephalon","N-Methylaspartate","35"
"BRAIN, HIPPOCAMPUS","Receptor Protein-Tyrosine Kinases","35"
"CA1 field","Calbindins","35"
"Brain Stem","Nitric Oxide Synthase","35"
"BRAIN, HIPPOCAMPUS","Calcium/calmodulin-dependent protein kinase","35"
"Cerebral cortex","Dopamine Receptor","35"
"Neostriatum","Membrane Transport Proteins","35"
"Medulla Oblongata","Proto-Oncogene Proteins c-fos","35"
"Anterodorsal nucleus of thalamus","Brain-Derived Neurotrophic Factor","35"
"Medulla Oblongata","N-Methylaspartate","35"
"Genus Hippocampus","protein TDP-43","34"
"BRAIN, HIPPOCAMPUS","SILV protein, human","34"
"Cerebral cortex","Hypoxia Inducible Factor Family","34"
"Lobe, Frontal","Choline O-Acetyltransferase","34"
"Cerebellum","Interleukin-6","34"
"Cerebral hemisphere structure (body structure)","myelination","34"
"Parabrachial Nucleus","Calcitonin Gene-Related Peptide","34"
"CA2 field","Calbindin 1","34"
"Set of basolateral nuclei of amygdala","Parvalbumins","34"
"BRAIN, HIPPOCAMPUS","Mitogen Activated Protein Kinase p38","34"
"BRAIN, HIPPOCAMPUS","Calcineurin","34"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Horseradish Peroxidase","34"
"Structure of locus ceruleus","neuromelanin","34"
"Genus Hippocampus","Synucleins","34"
"Pyramidal Cells","Green Fluorescent Proteins","34"
"Pituitary Gland","Argipressin","34"
"Medulla Oblongata","angiogenin","34"
"Thalamic structure","Cancer/Testis Antigen","34"
"Amygdaloid structure","Y, Neuropeptide","34"
"Cerebellar Nuclei","Horseradish Peroxidase","34"
"Structure of suprachiasmatic nucleus","INSR protein, human","34"
"Structure of locus ceruleus","Enzymes","34"
"Brain Stem","Thyrotropin-Releasing Hormone","34"
"Brain Stem","Cholecystokinin","34"
"Brain Stem","Synucleins","34"
"Hindbrain","Serotonin","34"
"Neostriatum","Immunoglobulins","34"
"BRAIN, HIPPOCAMPUS","Prions","34"
"Interpeduncular nucleus","Calcium","34"
"Cerebral cortex","Nicotinic Receptors","34"
"Cerebral cortex","Cell Adhesion Molecules","34"
"Anterodorsal nucleus of thalamus","tau Proteins","34"
"Brain Stem","Enzymes","34"
"Amygdaloid structure","Calretinin","34"
"BRAIN, HIPPOCAMPUS","Cyclooxygenase 2","34"
"BRAIN, HIPPOCAMPUS","S100 calcium binding protein A10","34"
"Genus Hippocampus","Apolipoprotein E","34"
"Purkinje Cells","Tyrosine 3-Monooxygenase","34"
"Corpus striatum structure","Membrane Transport Proteins","34"
"Lobe, Frontal","Somatostatin","34"
"BRAIN, HIPPOCAMPUS","Immune Sera","34"
"Ventral Tegmental Area","Nicotinic Receptors","34"
"Basal Forebrain","Amyloid Proteins","34"
"Midbrain Raphe Nuclei","Serotonin","34"
"Cerebral cortex","Growth Factor","34"
"Cerebral cortex","Neurotrophin 3","34"
"Substantia nigra structure","Dopamine Receptor","34"
"Cerebral hemisphere structure (body structure)","Cytokine","34"
"Nucleus Accumbens","Enkephalins","34"
"Structure of angular gyrus","Receptor, Cannabinoid","34"
"Prosencephalon","Nerve Growth Factors","34"
"Pyramidal Cells","Nitric Oxide Synthase","33"
"CA2 field","Cyclic AMP-Dependent Protein Kinases","33"
"Pyramidal Cells","Enzymes","33"
"Substantia nigra structure","Dopamine D1 Receptor","33"
"Amygdaloid structure","Tyrosine 3-Monooxygenase","33"
"Corpus striatum structure","Calbindins","33"
"Nucleus Accumbens","Genes","33"
"BRAIN, HIPPOCAMPUS","Scaffold protein","33"
"Ventral Tegmental Area","Opioid Receptor","33"
"Rostrotemporal auditory area","Proteins","33"
"Somatotrophs","Growth Hormone","33"
"Brain Stem","Glial Fibrillary Acidic Protein","33"
"Pyramidal Cells","Amyloid Proteins","33"
"CA2 field","GABA Receptor","33"
"Midbrain structure","INSR protein, human","33"
"CA1 field","Nerve Growth Factor","33"
"Basal Ganglia","Serotonin","33"
"Prefrontal Cortex","Corticotropin-Releasing Hormone","33"
"BRAIN, HIPPOCAMPUS","Connexin 43","33"
"Genus Hippocampus","Neuropeptides","33"
"BRAIN, HIPPOCAMPUS","Receptor, Leptin","33"
"Indusium griseum","Immunoglobulins","33"
"Superior colliculus of corpora quadrigemina","Substance P","33"
"Hypothalamic structure","Neurokinin B","33"
"Medulla Oblongata","Calcium","33"
"Indusium griseum","Gamma globulin serum","33"
"Cerebral cortex","Calpain","33"
"Olivocerebellar fibers","Calcium","33"
"Thalamic structure","Peptides","33"
"Prosencephalon","Enzymes","33"
"Midbrain structure","Peptides","33"
"Structure of paraventricular nucleus","Receptor","33"
"Nucleus solitarius","Argipressin","33"
"Neostriatum","Muscarinic Acetylcholine Receptor","33"
"BRAIN, HIPPOCAMPUS","Homocysteine","33"
"Neostriatum","Neuropeptides","33"
"Indusium griseum","Intramuscular immunoglobulin","33"
"BRAIN, HIPPOCAMPUS","Autoreceptors","33"
"Ventral Tegmental Area","Receptors, Opioid, mu","33"
"Hindbrain","Receptor","33"
"Basal Forebrain","Amyloid","33"
"Genus Hippocampus","Transforming Growth Factors","33"
"Structure of dentate gyrus","Protein Subunits","32"
"Median eminence of hypothalamus","Somatotropin-Releasing Hormone","32"
"Linear nucleus","Somatostatin","32"
"BRAIN, HIPPOCAMPUS","Glial Cell Line-Derived Neurotrophic Factor","32"
"BRAIN, HIPPOCAMPUS","oncoprotein p21","32"
"Structure of locus ceruleus","APP protein, human","32"
"Brain Stem","Immunoglobulins","32"
"Amygdaloid structure","Peptides","32"
"Pyramidal Cells","Glycine","32"
"Hypothalamic structure","Neurotensin","32"
"CA2 field","Phospholipase C","32"
"Structure of nucleus infundibularis hypothalami","Proteins","32"
"Dorsal Nucleus Raphe","Transporter, Serotonin","32"
"Cerebral cortex","Oxidase, Cytochrome-c","32"
"Cerebellum","Cloning Vectors","32"
"Ventral Tegmental Area","Dopamine D1 Receptor","32"
"Genus Hippocampus","IRF6 wt Allele","32"
"Structure of locus ceruleus","Dopamine-beta-monooxygenase","32"
"Auditory Hair Cell","Proteins","32"
"CA1 field","Glycine","32"
"Cerebral cortex","Immune Sera","32"
"Nucleus Accumbens","Sucrose","32"
"Anterodorsal nucleus of thalamus","Antibodies","32"
"Entire medulla oblongata","Phenylethanolamine N-Methyltransferase","32"
"Hypothalamic structure","STAT3 Protein","32"
"Corpus striatum structure","Immunoglobulins","32"
"Neostriatum","Calcium","32"
"BRAIN, HIPPOCAMPUS","Integrins","32"
"BRAIN, HIPPOCAMPUS","Colony-Stimulating Factors","32"
"Cerebral cortex","Epidermal Growth Factor","32"
"Prefrontal Cortex","Adrenergic Receptor","32"
"Median eminence of hypothalamus","Pituitary Hormones, Anterior","32"
"Basal Ganglia","Dopamine Receptor","32"
"Structure of limitans nucleus","Factor, Transcription","32"
"BRAIN, HIPPOCAMPUS","Threonine","32"
"Corpus striatum structure","Mitogen-Activated Protein Kinases","32"
"central amygdalar nucleus","Somatostatin","32"
"Pyramidal Cells","Amyloid","32"
"Ventral Tegmental Area","Leptin","32"
"Cerebral cortex","moesin","32"
"Cerebral cortex","PIK3CG protein, human","32"
"BRAIN, HIPPOCAMPUS","CYP19A1 protein, human","32"
"CA1 field","INSR protein, human","32"
"Cerebral hemisphere structure (body structure)","Calcium","32"
"Cerebral cortex","PODXL protein, human","31"
"mossy fiber","N-Methylaspartate","31"
"Cerebral cortex","NADP","31"
"Laterodorsal tegmental nucleus","Choline O-Acetyltransferase","31"
"Genus Hippocampus","P53 Protein","31"
"Superior colliculus of corpora quadrigemina","Parvalbumins","31"
"Medulla Oblongata","Immune Sera","31"
"Brain Stem","Immune Sera","31"
"Genus Hippocampus","Peroxidase, Glutathione","31"
"Prefrontal Cortex","Tyrosine 3-Monooxygenase","31"
"Cerebral cortex","NTN1 protein, human","31"
"Dorsal Nucleus Raphe","orexins","31"
"Structure of olfactory bulb","Genes","31"
"Cortex, Primary Motor","Calcium","31"
"BRAIN, HIPPOCAMPUS","atorvastatin","31"
"Structure of angular gyrus","Angiotensins","31"
"Inferior Colliculus","Receptor","31"
"BRAIN, HIPPOCAMPUS","Chromatin","31"
"Visual Cortex","Receptor","31"
"Cerebral cortex","PIK3CA protein, human","31"
"CA1 field","Phosphotransferases","31"
"Cerebral cortex","Associated Protein, FKBP12-Rapamycin","31"
"Cerebral cortex","5-Hydroxytryptamine Receptor 1A, human","31"
"BRAIN, HIPPOCAMPUS","Acetylcysteine","31"
"BRAIN, HIPPOCAMPUS","ras Proto-Oncogene Protein p21","31"
"Pars Compacta","Transporter, Dopamine","31"
"Neostriatum","Dynorphins","31"
"Structure of subthalamic nucleus","Receptor","31"
"CA1 field","Receptors, Metabotropic Glutamate","31"
"Preoptic Areas","Y, Neuropeptide","31"
"Genus Hippocampus","Nicotinic Receptors","31"
"Cerebellum","Cytokine","31"
"Cerebellum","Delta-Like Protein 1, human","31"
"Medulla Oblongata","Corticotropin-Releasing Hormone","31"
"central amygdalar nucleus","Neuropeptides","31"
"Anterodorsal nucleus of thalamus","Apolipoprotein E4","31"
"Nucleus solitarius","Alkaline Phosphatase","31"
"Corpus striatum structure","Neuropeptides","31"
"Nucleus solitarius","Glucose","31"
"BRAIN, HIPPOCAMPUS","Coenzyme I","31"
"Amygdaloid structure","Glucocorticoid Receptor","31"
"Cerebellum","Glucose","31"
"Prosencephalon","Proto-Oncogene Proteins c-fos","31"
"Structure of locus ceruleus","Neuropeptides","31"
"Genus Hippocampus","VEGF protein, human","31"
"Ventral Tegmental Area","Sucrose","31"
"Prosencephalon","Factor, Transcription","31"
"Cerebral cortex","Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","31"
"Cerebellum","Glutamine","31"
"Substantia nigra structure","Protein Subunits","31"
"Cerebral cortex","Alteplase","31"
"BRAIN, HIPPOCAMPUS","Argipressin","31"
"BRAIN, HIPPOCAMPUS","NADP","31"
"Pyramidal Cells","Phosphotransferases","31"
"Diagonal Band of Broca","Parvalbumins","31"
"Nucleus solitarius","EHMT1 protein, human","31"
"Nucleus solitarius","Brain-Derived Neurotrophic Factor","31"
"BRAIN, HIPPOCAMPUS","Secretase","31"
"BRAIN, HIPPOCAMPUS","Fluorescent Dyes","31"
"Corpus striatum structure","Calcium","31"
"Structure of paraventricular nucleus of thalamus","Calretinin","30"
"Structure of nucleus infundibularis hypothalami","Melanocortins","30"
"Genus Hippocampus","Erythropoietin","30"
"BRAIN, HIPPOCAMPUS","BAX Protein","30"
"Structure of nucleus infundibularis hypothalami","Sodium Glutamate","30"
"CA1 field","Interleukin-6","30"
"Pyramidal Cells","Receptors, Metabotropic Glutamate","30"
"CA1 field","Cholecystokinin","30"
"Ventral Tegmental Area","Dopamine Receptor","30"
"Cerebral cortex","Wheat Germ Agglutinins","30"
"Genus Hippocampus","Myelin basic protein","30"
"Purkinje Cells","Green Fluorescent Proteins","30"
"Cerebral cortex","Proteoglycan","30"
"Midbrain structure","alpha-Synuclein","30"
"Pituitary Gland","Somatotropin-Releasing Hormone","30"
"Cerebellum","Acetylcholinesterase","30"
"BRAIN, HIPPOCAMPUS","Artemin, human","30"
"Structure of angular gyrus","Peptides","30"
"Midbrain structure","Microtubule-Associated Proteins","30"
"CA2 field","Delta-Like Protein 1, human","30"
"Corpus striatum structure","Bromodeoxyuridine","30"
"Cerebral cortex","Semaphorin-3A","30"
"Hypothalamic Area, Lateral","Galanin","30"
"CA2 field","Somatostatin","30"
"Structure of nucleus infundibularis hypothalami","Receptor, Leptin","30"
"Neocortex","N-Methylaspartate","30"
"Structure of suprachiasmatic nucleus","Peptides","30"
"Structure of suprachiasmatic nucleus","Arginine Vasopressin-Neurophysin II Preproprotein","30"
"Structure of nucleus infundibularis hypothalami","Human Growth Hormone","30"
"Central gray substance of midbrain","Chloramphenicol O-Acetyltransferase","30"
"Amygdaloid structure","Neuropeptides","30"
"Cerebrum","Proteins","30"
"Central gray substance of midbrain","Enkephalins","30"
"Structure of thalamic fasciculus","Histamine H2 Receptors","30"
"Entire medulla oblongata","Y, Neuropeptide","30"
"BRAIN, HIPPOCAMPUS","Nitric Oxide Synthase Type II","30"
"Substantia nigra structure","Glutamate Decarboxylase","30"
"Prefrontal Cortex","Enzymes","30"
"Corpus striatum structure","Muscarinic Acetylcholine Receptor","30"
"Area striata structure","Somatostatin","30"
"Visual Cortex","Acetylcholinesterase","30"
"Basal Forebrain","Receptors, Nerve Growth Factor","30"
"Cerebral hemisphere structure (body structure)","N-Methylaspartate","30"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Acetylcholinesterase","30"
"Substantia nigra structure","Choline O-Acetyltransferase","30"
"Genus Hippocampus","Caspase-1","30"
"Neostriatum","Mitogen-Activated Protein Kinases","30"
"Amygdaloid structure","Substance P","30"
"Cerebellum","Myelin basic protein","30"
"BRAIN, HIPPOCAMPUS","CDK-Activating Kinase Assembly Factor MAT1","30"
"Genus Hippocampus","Interferons","30"
"Basal Nucleus of Meynert","Proteins","30"
"Neocortex","Antibodies","30"
"Cerebral cortex","Growth Associated Protein 43","30"
"Structure of angular gyrus","Argipressin","30"
"Pituitary Gland, Posterior","Argipressin","30"
"Lobe, Frontal","Parvalbumins","30"
"Telencephalon","Gonadorelin","30"
"Nucleus Accumbens","Cholecystokinin","30"
"BRAIN, HIPPOCAMPUS","Carboxypeptidase H","30"
"Brain Stem","N-Methylaspartate","30"
"CA1 field","GABA Receptor","30"
"Cerebral cortex","Catenins","30"
"Genus Hippocampus","Growth Hormone","30"
"BRAIN, HIPPOCAMPUS","HD protein, human","30"
"Basal Nucleus of Meynert","Protein Subunits","30"
"Thalamic structure","Proto-Oncogene Proteins c-fos","30"
"Purkinje Cells","Dystrophin","30"
"Lobe, Frontal","APP protein, human","30"
"Hypothalamic structure","N-Methylaspartate","30"
"Structure of terminal stria nuclei of preoptic region","Proto-Oncogene Proteins c-fos","29"
"Genus Hippocampus","HMGB1 Protein","29"
"Entire medulla oblongata","INSR protein, human","29"
"Genus Hippocampus","Hematoxylin","29"
"Genus Hippocampus","Gamma-Enolase","29"
"Superior colliculus of corpora quadrigemina","Proteins","29"
"Hypothalamic structure","Horseradish Peroxidase","29"
"Structure of olfactory bulb","Receptor","29"
"Cerebral cortex","Glutathione","29"
"CA2 field","Brain-Derived Neurotrophic Factor","29"
"BRAIN, HIPPOCAMPUS","moira protein, Drosophila","29"
"Medulla Oblongata","Antibodies","29"
"Structure of capsule of red nucleus","Parvalbumins","29"
"Cerebral cortex","Ion Channel","29"
"Auditory Hair Cell","Receptor","29"
"Substantia nigra structure","NOS2A protein, human","29"
"Purkinje Cells","GABA Receptor","29"
"CA2 field","2-Amino-5-phosphonovalerate","29"
"Cerebellum","Tyrosine 3-Monooxygenase","29"
"Pars Compacta","Receptor","29"
"BRAIN, HIPPOCAMPUS","Mitogen-Activated Protein Kinase 3","29"
"Auditory area","Chloramphenicol O-Acetyltransferase","29"
"Neostriatum","Bromodeoxyuridine","29"
"Structure of supraoptic nucleus","Proto-Oncogene Proteins c-fos","29"
"Hypothalamic Area, Lateral","Neurotensin","29"
"Nucleus solitarius","Nitric Oxide Synthase","29"
"Pyramidal Cells","Calmodulin Dependent Protein Kinase II","29"
"CA2 field","Ryanodine Receptor Calcium Release Channel","29"
"Corpus striatum structure","Dynorphins","29"
"Structure of nucleus infundibularis hypothalami","Serotonin","29"
"Prosencephalon","Peptides","29"
"CA1 field","Superoxide Dismutase","29"
"Structure of nucleus prepositus","Receptor","29"
"BRAIN, HIPPOCAMPUS","Interleukin-18","29"
"Pyramidal Cells","Dickkopf-Related Protein 1","29"
"Structure of suprachiasmatic nucleus","Gastrin releasing peptide","29"
"Median eminence of hypothalamus","Vasopressin (USP)","29"
"Cerebral cortex","Alkaline Phosphatase","29"
"BRAIN, HIPPOCAMPUS","Glutamate-Ammonia Ligase","29"
"CA2 field","Glucose","29"
"Cerebral cortex","Complement System Proteins","29"
"Structure of locus ceruleus","Calcium","29"
"Nucleus Accumbens","Proteins","29"
"BRAIN, HIPPOCAMPUS","Adenylate Cyclase","29"
"Linear nucleus","Peptides","29"
"Brain Stem","HCRT Gene","29"
"BRAIN, HIPPOCAMPUS","metabotropic glutamate receptor type 1","29"
"Genus Hippocampus","Mineralocorticoid Receptor","29"
"Auditory area","Microtubule-Associated Proteins","29"
"BRAIN, HIPPOCAMPUS","Complex, Multicatalytic Endopeptidase","29"
"Structure of terminal stria nuclei of preoptic region","Vasopressin (USP)","29"
"Interpeduncular nucleus","Proteins","29"
"BRAIN, HIPPOCAMPUS","Amyloid beta-Peptides","29"
"Structure of olfactory bulb","Microtubule-Associated Proteins","29"
"Structure of olfactory bulb","Gonadorelin","29"
"CA1 field","Cyclic AMP-Dependent Protein Kinases","28"
"Cerebral cortex","DNA, Complementary","28"
"Nucleus solitarius","Proteins","28"
"Structure of paraventricular nucleus","Peptides","28"
"Structure of locus ceruleus","Peptides","28"
"Median eminence of hypothalamus","INSR protein, human","28"
"BRAIN, HIPPOCAMPUS","Platelet Activating Factor","28"
"Pituitary Gland","Vasopressin (USP)","28"
"Structure of angular gyrus","Lipase, Lipoprotein","28"
"BRAIN, HIPPOCAMPUS","Ciliary Neurotrophic Factor","28"
"BRAIN, HIPPOCAMPUS","Glutamate Transporter","28"
"CA2 field","Antibodies","28"
"Cerebral cortex","Cyclic AMP-Dependent Protein Kinases","28"
"Substantia Nigra Pars Reticulata","Tyrosine 3-Monooxygenase","28"
"Hypothalamic structure","Glial Fibrillary Acidic Protein","28"
"Motor Cortex","Proteins","28"
"Cerebellum","Neurotrophin 3","28"
"Telencephalon","Y, Neuropeptide","28"
"BRAIN, HIPPOCAMPUS","NeuroD protein","28"
"BRAIN, HIPPOCAMPUS","Lysine","28"
"Cerebral cortex","HCRT Gene","28"
"Pyramidal Cells","Methyl-CpG-Binding Protein 2","28"
"Genus Hippocampus","Glutamine","28"
"BRAIN, HIPPOCAMPUS","Mast/Stem Cell Growth Factor Receptor Kit, human","28"
"Cerebral cortex","Coenzyme I","28"
"Nucleus Accumbens","Substance P","28"
"Structure of locus ceruleus","Synucleins","28"
"Hypothalamic Area, Lateral","N-Methylaspartate","28"
"Central gray substance of midbrain","Neurotensin","28"
"Structure of locus ceruleus","N-Methylaspartate","28"
"BRAIN, HIPPOCAMPUS","Synuclein Gamma","28"
"BRAIN, HIPPOCAMPUS","Dopamine Receptor","28"
"Midbrain structure","Cholecystokinin","28"
"Entire medulla oblongata","Proteins","28"
"BRAIN, HIPPOCAMPUS","Fibroblast Growth Factor","28"
"Genus Hippocampus","myelination","28"
"Genus Hippocampus","DNA","28"
"Dorsal Motor Nucleus","Thyrotropin-Releasing Hormone","28"
"Pyramidal Cells","HOXA10 protein, human","28"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Receptor","28"
"Ventral Tegmental Area","Neuropeptides","28"
"BRAIN, HIPPOCAMPUS","interleukin-4, human","28"
"Genus Hippocampus","Vascular Endothelial Growth Factors","28"
"CA1 field","Dyes","28"
"Hypothalamic structure","Green Fluorescent Proteins","28"
"Trigeminal Nuclei","Troponin C","28"
"Cortex, Primary Motor","Proteins","28"
"Genus Hippocampus","Heat-Shock Proteins","28"
"Basal Ganglia","Proteins","28"
"Dorsal Nucleus Raphe","Tyrosine 3-Monooxygenase","28"
"Purkinje Cells","Calretinin","28"
"Genus Hippocampus","Oxytocin","28"
"Purkinje Cells","Protein Isoforms","28"
"Structure of dentate gyrus","APP protein, human","28"
"Pineal gland","Annexin A5","28"
"Structure of nucleus infundibularis hypothalami","Galanin","28"
"Cerebral cortex","Neuregulin 1","28"
"Purkinje Cells","S100 calcium binding protein A10","28"
"Preoptic Areas","Proto-Oncogene Proteins c-fos","28"
"Genus Hippocampus","Calcium-Binding Proteins","28"
"Substantia nigra structure","NADH Dehydrogenase (Ubiquinone)","28"
"Genus Hippocampus","Eosine Yellowish","28"
"Genus Hippocampus","NF-kappa B","28"
"Thalamic structure","Brain-Derived Neurotrophic Factor","28"
"BRAIN, HIPPOCAMPUS","Ryanodine Receptor Calcium Release Channel","28"
"Amygdaloid structure","Cholecystokinin","28"
"Hypothalamic structure","Nerve Growth Factor","27"
"CA1 field","Synaptophysin","27"
"Visual Cortex","Proteins","27"
"Midbrain structure","Enzymes","27"
"Nucleus Accumbens","Protein Subunits","27"
"Corpus striatum structure","Interleukin-6","27"
"Structure of dentate gyrus","Genes","27"
"Somatosensory Cortex","Receptor","27"
"BRAIN, HIPPOCAMPUS","Heme Oxygenase-1","27"
"Visual Cortex","Somatostatin","27"
"CA2 field","Amyloid Proteins","27"
"Somatosensory Cortex","Parvalbumins","27"
"BRAIN, HIPPOCAMPUS","Synaptotagmin I","27"
"Structure of olfactory bulb","Bromodeoxyuridine","27"
"Medulla Oblongata","Enkephalins","27"
"Pyramidal Cells","Acetylcholinesterase","27"
"Primary Auditory Cortex","Parvalbumins","27"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Proteins","27"
"Nucleus Accumbens","Peptides","27"
"BRAIN, HIPPOCAMPUS","RTN4 protein, human","27"
"Structure of locus ceruleus","Chloramphenicol O-Acetyltransferase","27"
"Globus Pallidus","Substance P","27"
"Hypothalamic structure","Angiotensin-2","27"
"Pyramidal Cells","Calcium-Binding Proteins","27"
"BRAIN, HIPPOCAMPUS","Lipofuscin","27"
"Cerebral cortex","Myelin basic protein","27"
"Structure of habenulopeduncular tract","ST13 protein, human","27"
"Neostriatum","Protein Isoforms","27"
"Anteroventral Periventricular Nucleus","Gonadorelin","27"
"CA2 field","Amyloid","27"
"Genus Hippocampus","AMP-Activated Protein Kinases","27"
"Central gray substance of midbrain","Tyrosine 3-Monooxygenase","27"
"Cerebral hemisphere structure (body structure)","Caspase-3","27"
"Neocortex","APP protein, human","27"
"Structure of nucleus gracilis","Proteins","27"
"Structure of suprachiasmatic nucleus","Substance P","27"
"Corticotroph","Corticotropin-Releasing Hormone","27"
"Purkinje Cells","Microtubule-Associated Proteins","27"
"Pontine structure","Horseradish Peroxidase","27"
"Structure of paraventricular nucleus","Y, Neuropeptide","27"
"Thalamic structure","Microtubule-Associated Proteins","27"
"Ventral Tegmental Area","Receptor, Cannabinoid, CB1","27"
"BRAIN, HIPPOCAMPUS","Glutaminase","27"
"Cerebral cortex","Dopamine D1 Receptor","27"
"Pituitary Gland","Genes","27"
"Structure of habenulopeduncular tract","RPL29 protein, human","27"
"Amygdaloid structure","Horseradish Peroxidase","27"
"Cerebellum","Tumor Necrosis Factor-alpha","27"
"Basal Forebrain","Somatostatin","27"
"Structure of nucleus infundibularis hypothalami","Corticotropin-Releasing Hormone","27"
"Genus Hippocampus","Aquaporin 4","27"
"Structure of lateral olfactory gyrus","Phosphonoacetic Acid","27"
"Pyramidal Cells","Ion Channel","27"
"Thalamic structure","Membrane Transport Proteins","27"
"mossy fiber","Proteins","27"
"Nucleus Accumbens","Y, Neuropeptide","27"
"Purkinje Cells","Immunoglobulin G","27"
"Medulla Oblongata","Vasopressin (USP)","27"
"Median eminence of hypothalamus","Thyrotropin-Releasing Hormone","27"
"CA1 field","Synuclein Gamma","27"
"CA1 field","Protein Isoforms","27"
"Purkinje Cells","Insulin-Like Growth Factor I","27"
"Cerebral hemisphere structure (body structure)","Vascular Endothelial Growth Factor A","27"
"Motor Cortex","Calcium","26"
"Brain Stem","Angiotensin II","26"
"Cerebral cortex","Receptors, Metabotropic Glutamate","26"
"Substantia nigra structure","Ubiquitin","26"
"BRAIN, HIPPOCAMPUS","Methotrexate","26"
"BRAIN, HIPPOCAMPUS","Thyrotropin-Releasing Hormone","26"
"Structure of rubrospinal tract","Proteins","26"
"Anterodorsal nucleus of thalamus","Colony-Stimulating Factors","26"
"Basal Forebrain","Peptides","26"
"CA1 field","5-Hydroxytryptamine Receptor 1A, human","26"
"Amygdaloid structure","orexins","26"
"Structure of suprachiasmatic nucleus","Luteinizing Hormone","26"
"BRAIN, HIPPOCAMPUS","Receptors, Nerve Growth Factor","26"
"BRAIN, HIPPOCAMPUS","CX3CR1 protein, human","26"
"CA3 field","Caspase-3","26"
"Purkinje Cells","Delta-Like Protein 1, human","26"
"Neostriatum","Enkephalin, Methionine","26"
"BRAIN, HIPPOCAMPUS","Interleukin-4","26"
"Superior colliculus of corpora quadrigemina","Antibodies","26"
"Tegmentum Mesencephali","Horseradish Peroxidase","26"
"Inferior Colliculus","Horseradish Peroxidase","26"
"Genus Hippocampus","Binding Protein","26"
"Structure of capsule of red nucleus","INSR protein, human","26"
"Preoptic Areas","Receptor","26"
"Superior colliculus of corpora quadrigemina","Receptor","26"
"Neocortex","Calcium","26"
"Structure of locus ceruleus","Protein Subunits","26"
"Cerebral cortex","Extracellular Signal Regulated Kinases","26"
"Structure of suprachiasmatic nucleus","N-Methylaspartate","26"
