"brainregion","disease","gene","count"
"BRAIN, HIPPOCAMPUS","Depressive disorder","NDOR1 Gene","2"
"Structure of parieto-occipital fissure","Milroy Disease","FLT4 wt Allele","2"
"Structure of nucleus prepositus","Creutzfeldt-Jakob disease","Genotype","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","CYLD wt Allele","2"
"Pituitary Gland","Pituitary Diseases","AVP wt Allele","2"
"Central Dorsal Nucleus","Parkinson Disease","NOD2 wt Allele","2"
"Structure of locus ceruleus","Functional disorder","MAPT wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","AICDA Gene","2"
"Hypothalamic structure","Pituitary Diseases","NPY Gene","2"
"Entire medulla oblongata","Spinal Cord Diseases","CAT Gene","2"
"Genus Hippocampus","cortex bone disorders","HTT gene","2"
"Purkinje Cells","Sweet Syndrome","LITAF gene","2"
"Entire medulla oblongata","Spinal Cord Diseases","CD69 wt Allele","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","RB1 wt Allele","2"
"Brain Stem","cortex bone disorders","AGT Gene","2"
"Medulla Oblongata","Spinal Cord Diseases","ACPP wt Allele","2"
"Structure of locus ceruleus","Functional disorder","ELANE Gene","2"
"Thalamic structure","Psychotic Disorders","C9orf72 Gene","2"
"Marginal Sulcus","Parkinson Disease","MTR wt Allele","2"
"Structure of pars intermedia of pituitary gland","Pituitary Diseases","POMC wt Allele","2"
"Cerebellum","cortex bone disorders","ENG wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","EPHB2 Gene","2"
"Corpus striatum structure","Neurodegenerative Disorders","Retinoic Acid Response Element","2"
"Central Dorsal Nucleus","Retinal Diseases","HLA-DQA1 wt Allele","2"
"Structure of nucleus prepositus","Prion Diseases","Genes","2"
"Corpus striatum structure","neuropathology disease","HTT gene","2"
"Pituitary Gland","Polycystic Ovary Syndrome","KISS1 Gene","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","GALR2 Gene","2"
"Structure of olfactory bulb","Renal glomerular disease","GFAP gene","2"
"Structure of thalamic reticular nucleus","Feline urological syndrome","FUS Gene","2"
"Central Dorsal Nucleus","Liver diseases","NOD2 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","ELL wt Allele","2"
"Structure of endopeduncular nucleus","Rothmund-Thomson syndrome","RECQL4 wt Allele","2"
"Medulla Oblongata","Hypertensive disease","c-fos Genes","2"
"BRAIN, HIPPOCAMPUS","Hypertensive disease","BDNF Gene","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","CRH wt Allele","2"
"Anterodorsal nucleus of thalamus","cortex bone disorders","MAPT wt Allele","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","SLC6A4 gene","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","GHRL Gene","2"
"Hypothalamic structure","Huntington Disease","SIRT1 Gene","2"
"Corpus striatum structure","Parkinson Disease","CARD8 wt Allele","2"
"Hindbrain","Spinal Cord Diseases","Long Interspersed Element","2"
"Telencephalon","Pituitary Diseases","KISS1 Gene","2"
"Structure of nucleus gracilis","Liver diseases","estrogen receptor alpha, human","2"
"Dorsal Nucleus Raphe","cortex bone disorders","HTR1A wt Allele","2"
"Telencephalon","Peripheral Arterial Diseases","PADI4 Gene","2"
"Paracentral Thalamic Nucleus","Inclusion body myositis (disorder)","PROC Gene","2"
"Pontine nuclei","cortex bone disorders","POSTN Gene","2"
"Area striata structure","Alpers' Disease","AHSG Gene","2"
"CA1 field","Androgen-Insensitivity Syndrome","AR wt Allele","2"
"Trigeminal Nuclei","Sensitization (disorder)","TNC Gene","2"
"Purkinje Cells","Sweet Syndrome","PODXL Gene","2"
"Inferior Colliculus","Testicular Diseases","AMH wt Allele","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Tumor Necrosis Factor-alpha","2"
"Prosencephalon","Rett Syndrome","MECP2 gene","2"
"Uncinate fasciculus of pons","Fetal Alcohol Syndrome","FASN wt Allele","2"
"Pontine nuclei","Van der Woude syndrome","IRF6 wt Allele","2"
"Hypothalamic Area, Lateral","cortex bone disorders","HCRT Gene","2"
"Pontine nuclei","Van der Woude syndrome","POSTN Gene","2"
"Reticular Formation","Spinal Cord Diseases","Chloramphenicol O-Acetyltransferase","2"
"Cerebellum","Autistic Disorder","Genes","2"
"Caudate nucleus structure","Cognition Disorders","NOD2 wt Allele","2"
"Structure of rubrospinal tract","Norrie disease","HP wt Allele","2"
"Structure of putamen","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","2"
"Lobe, Frontal","Functional disorder","FLT3LG wt Allele","2"
"BRAIN, HIPPOCAMPUS","Fragile X Syndrome","DLG4 Gene","2"
"Gyrus Cinguli","Fragile X Tremor Ataxia Syndrome","Genes","2"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","AKT1S1 wt Allele","2"
"Marginal Sulcus","Bloom Syndrome","MTR Gene","2"
"Brain Stem","Spinal Cord Diseases","MRC1 Gene","2"
"Purkinje Cells","Ataxia as late effect of cerebrovascular disease","Wild Type","2"
"Prosencephalon","cortex bone disorders","PSEN1 gene","2"
"Substantia nigra structure","Parkinson Disease","NRG1 Gene","2"
"Basal Forebrain","neuropathology disease","PSEN1 gene","2"
"Cerebral cortex","cortex bone disorders","INS gene","2"
"Lobe, Frontal","Functional disorder","FLT3LG Gene","2"
"CA1 field","cortex bone disorders","MAPK3 wt Allele","2"
"Structure of nucleus prepositus","Pick Disease of the Brain","ABCB6 wt Allele","2"
"Structure of locus ceruleus","Hamartoma Syndrome, Multiple","FAM49B wt Allele","2"
"Dorsal Nucleus Raphe","Huntington Disease","HTT wt Allele","2"
"Temporal Lobe","Alzheimer's Disease","DDR1 Gene","2"
"Lobe, Frontal","Congenital secretory diarrhea, sodium type (disorder)","TGFBI wt Allele","2"
"Thalamic structure","cortex bone disorders","TRIP10 wt Allele","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","TH gene","2"
"Prosencephalon","Rubinstein-Taybi Syndrome","CREBBP wt Allele","2"
"Cerebral cortex","Feline urological syndrome","SOD1 gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","NLRP3 Gene","2"
"Corpus striatum structure","cortex bone disorders","KHDRBS1 wt Allele","2"
"Hypothalamic structure","cortex bone disorders","Long Interspersed Element","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","ASAH1 wt Allele","2"
"Structure of superior longitudinal fasciculus","Menkes Kinky Hair Syndrome","MDK wt Allele","2"
"Structure of nucleus prepositus","neuropathology disease","PRNP gene","2"
"Brain Stem","Spinal Cord Diseases","GHRL Gene","2"
"Nucleus fastigii","Fetal Alcohol Syndrome","FOXO1 Gene","2"
"Structure of nucleus gracilis","Liver diseases","ESR1 Gene","2"
"Gigantocellular nucleus","Liver diseases","GNAI1 Gene","2"
"Pontine structure","Sudden infant death syndrome","HCRT Gene","2"
"Structure of superior temporal sulcus","Neurotoxicity Syndromes","Sequence Tagged Sites","2"
"Pituitary Gland","Uterine Diseases","FSHR Gene","2"
"central amygdalar nucleus","Pituitary Diseases","CRH Gene","2"
"Neostriatum","cortex bone disorders","KRAS wt Allele","2"
"Metencephalon","cortex bone disorders","CBS gene","2"
"Genus Hippocampus","cortex bone disorders","NRP1 Gene","2"
"Paracentral Thalamic Nucleus","Ataxia as late effect of cerebrovascular disease","PROC Gene","2"
"Structure of habenulopeduncular tract","Spinal Cord Diseases","ST13 Gene","2"
"Purkinje Cells","Cerebellar Diseases","Genes","2"
"Genus Hippocampus","cortex bone disorders","CD40 Gene","2"
"Medial Septal Nucleus","Disorder nervous system","MTR Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Chloramphenicol O-Acetyltransferase","2"
"Structure of trigeminal nerve mesencephalic tract","Peripheral Arterial Diseases","PADI4 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","F9 wt Allele","2"
"Structure of paraventricular nucleus of thalamus","Huntington Disease","CBX4 Gene","2"
"Cerebral cortex","cortex bone disorders","TH gene","2"
"Pyramidal Cells","Syndrome, Bloch-Sulzberger","PITX2 wt Allele","2"
"Genus Hippocampus","cortex bone disorders","CD38 Gene","2"
"Brain Stem","Shy-Drager Syndrome","MAPT wt Allele","2"
"Motor Cortex","Spinal Cord Diseases","FLNA wt Allele","2"
"Cerebral cortex","cortex bone disorders","SQSTM1 Gene","2"
"Triangular Septal Nucleus","Timothy syndrome","STS wt Allele","2"
"Purkinje Cells","Sweet Syndrome","PROC wt Allele","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","GRIN2B wt Allele","2"
"Genus Hippocampus","Stress Disorders, Traumatic","FMR1 wt Allele","2"
"Hypothalamic structure","Liver diseases","CD36 wt Allele","2"
"Entire medulla oblongata","Parkinson Disease","TH gene","2"
"Basal Ganglia","Depressive disorder","HTT gene","2"
"Brain Stem","Parkinsonian Disorders","TPO wt Allele","2"
"Genus Hippocampus","Neurodegenerative Disorders","KDM1A Gene","2"
"Cerebral cortex","Disorders, Mental","Genes","2"
"Anterodorsal nucleus of thalamus","Huntington Disease","MAPT gene","2"
"Pituitary Gland","Pituitary Diseases","Heterozygote","2"
"Central Dorsal Nucleus","Cognition Disorders","CTLA4 wt Allele","2"
"Cerebellum","Machado-Joseph Disease","RRM1 Gene","2"
"Cerebral cortex","Van der Woude syndrome","FGFR1 wt Allele","2"
"Pyramidal Cells","Bipolar Disorder","RPL5 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Nail-Patella Syndrome","MMP gene","2"
"Parietal Lobe","Functional disorder","HOXA10 wt Allele","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","CD36 wt Allele","2"
"Structure of dentate gyrus","Drug effect disorder","CREB1 Gene","2"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic","FMR1 wt Allele","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Estrogen Receptors","2"
"Basal Forebrain","cortex bone disorders","SH2D3C Gene","2"
"Prefrontal Cortex","Neurotoxicity Syndromes","RALBP1 wt Allele","2"
"Inferior Colliculus","Testicular Diseases","TNFRSF11A wt Allele","2"
"Prosencephalon","Rubinstein-Taybi Syndrome","PAG1 Gene","2"
"Temporal Lobe","Alzheimer's Disease","MME wt Allele","2"
"Cerebral cortex","Functional disorder","MAPK3 wt Allele","2"
"Callosal sulcus","Disorder nervous system","BCAR1 Gene","2"
"BRAIN, HIPPOCAMPUS","Motor Neuron Disease","KHDRBS1 wt Allele","2"
"Structure of tegmental portion of pons","Spinal Cord Diseases","Chloramphenicol Acetyl Transferase Gene","2"
"Pyramidal Cells","Bloom Syndrome","KRAS wt Allele","2"
"Cerebral cortex","Functional disorder","MECP2 wt Allele","2"
"Nucleus of Diagonal Band","Williams Syndrome","ELN wt Allele","2"
"Structure of putamen","Syndrome, Bloch-Sulzberger","SDHB wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Epidermal Growth Factor Receptor","2"
"Cerebral cortex","Parkinson Disease","Wild Type","2"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","Wild Type","2"
"Corpus striatum structure","Parkinson Disease","PARK2 gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","DHPS wt Allele","2"
"Corpus striatum structure","Van der Woude syndrome","TLR4 Gene","2"
"Neostriatum","Pervasive Development Disorder","CNTNAP2 Gene","2"
"central amygdalar nucleus","Depressive disorder","GALR2 Gene","2"
"Cerebral cortex","Seasonal Affective Disorder","STK11 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","MTR wt Allele","2"
"Interpeduncular nucleus","Functional disorder","RRM1 Gene","2"
"Cerebral cortex","cortex bone disorders","NPY Gene","2"
"Lobe, Frontal","Syndrome","FLT3LG wt Allele","2"
"Substantia nigra structure","Parkinson Disease","MAPT wt Allele","2"
"Interpeduncular nucleus","Li-Fraumeni Syndrome","PITX2 wt Allele","2"
"Anterodorsal nucleus of thalamus","Mesulam Syndrome","MAPT wt Allele","2"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","CAT Gene","2"
"Thalamic structure","Liver diseases","PEMT wt Allele","2"
"Structure of nucleus gracilis","Neurotoxicity Syndromes","NR3C1 wt Allele","2"
"CA1 field","Functional disorder","Wild Type","2"
"Entire medulla oblongata","Van der Woude syndrome","IRF6 wt Allele","2"
"Medial Septal Nucleus","Van der Woude syndrome","MTR wt Allele","2"
"Cerebral cortex","Norrie disease","MSMB wt Allele","2"
"Cerebral cortex","cortex bone disorders","IL12A wt Allele","2"
"Bundle, Predorsal","Parkinson Disease","LRP2 wt Allele","2"
"Cerebellum","Gardner Syndrome","GNAI1 Gene","2"
"Neostriatum","Van der Woude syndrome","HMGB1 Gene","2"
"Neostriatum","cortex bone disorders","NPY wt Allele","2"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","MAPT wt Allele","2"
"Central Dorsal Nucleus","Nail-Patella Syndrome","CYLD wt Allele","2"
"Caudate nucleus structure","Parkinson Disease","CTLA4 wt Allele","2"
"Nucleus of Diagonal Band","Williams Syndrome","LEPR wt Allele","2"
"Structure of longitudinal cerebral fissure","Functional disorder","LTF Gene","2"
"Trigeminal Nuclei","Migraine Disorders","PTEN gene","2"
"Genus Hippocampus","Functional disorder","MTR Gene","2"
"Structure of locus ceruleus","Alzheimer's Disease","HPR wt Allele","2"
"Substantia nigra structure","Parkinson Disease","FYN wt Allele","2"
"Central Dorsal Nucleus","Spinal Cord Diseases","HLA-DQA1 wt Allele","2"
"Cerebral Ventricles","Hamartoma Syndrome, Multiple","NOD2 wt Allele","2"
"Basal Nucleus of Meynert","Functional disorder","BDNF Gene","2"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","GRIN2B wt Allele","2"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Chloramphenicol Acetyl Transferase Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","ras Oncogene","2"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","KDM1A wt Allele","2"
"Genus Hippocampus","cortex bone disorders","CNR1 gene","2"
"Substantia nigra structure","Parkinson Disease","TNF Gene","2"
"Marginal Sulcus","Werner Syndrome","MTR Gene","2"
"BRAIN, HIPPOCAMPUS","Metabolic Diseases","FAT1 gene","2"
"Hypothalamic structure","Pituitary Diseases","estrogen receptor alpha, human","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","MAPT wt Allele","2"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","GGH wt Allele","2"
"Structure of dorsomedial hypothalamic nucleus","Hypertensive disease","DST Gene","2"
"Nucleus Accumbens","Alzheimer's Disease","MAPT wt Allele","2"
"Central Dorsal Nucleus","Retinal Diseases","CTLA4 wt Allele","2"
"Structure of trigeminal nerve mesencephalic tract","Peripheral Arterial Diseases","PADI4 Gene","2"
"Caudate nucleus structure","Nail-Patella Syndrome","CYLD wt Allele","2"
"Central insular sulcus","Disorder of pineal gland","CISH Gene","2"
"Basal Ganglia","Degenerative disorder","HTT gene","2"
"Posterior cerebral commissure","Machado-Joseph Disease","PROC wt Allele","2"
"Lobe, Frontal","Syndrome","FLT3LG Gene","2"
"Prefrontal Cortex","Stress Disorders, Traumatic","TBX4 wt Allele","2"
"Cerebellum","cortex bone disorders","CDAN1 wt Allele","2"
"Pituitary Gland","Pituitary Diseases","NLRP3 wt Allele","2"
"Internal arcuate tract","Neurotoxicity Syndromes","PLA2G2A wt Allele","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","TNF Gene","2"
"Genus Hippocampus","cortex bone disorders","TG Gene","2"
"Cerebral cortex","Neurotoxicity Syndromes","CD69 wt Allele","2"
"Cerebral hemisphere structure (body structure)","Disease Progression","CD69 wt Allele","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","AXIN1 wt Allele","2"
"Marginal Sulcus","Inflammatory disorder","MTR wt Allele","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","GRIN2B wt Allele","2"
"Planum temporale (PT)","Pituitary Diseases","F2 wt Allele","2"
"Thalamic Nuclei","Papillon-Lefevre Disease","SOD1 wt Allele","2"
"Rostrotemporal auditory area","Feline urological syndrome","POMT1 gene","2"
"Nucleus of optic tract","DISORDERS OF THE OPTIC NERVE","OXT wt Allele","2"
"Brain Stem","cortex bone disorders","PSEN1 wt Allele","2"
"Amygdaloid structure","cortex bone disorders","Chloramphenicol O-Acetyltransferase","2"
"Nucleus of Ansa Lenticularis","Hamartoma Syndrome, Multiple","CA9 Gene","2"
"Cerebral cortex","Alzheimer's Disease","NGF Gene","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","PIK3CA wt Allele","2"
"Inferior Colliculus","Alcohol withdrawal syndrome","KNG1 Gene","2"
"Genus Hippocampus","cortex bone disorders","CDKN2B wt Allele","2"
"Orbitofrontal cortex","cortex bone disorders","CD36 wt Allele","2"
"Cortex, Primary Motor","Spinal Cord Diseases","CCL2 Gene","2"
"Reticular Formation","Depressive disorder","PADI4 Gene","2"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","SOD1 wt Allele","2"
"Cerebellum","Functional disorder","GRM1 wt Allele","2"
"Entire substantia nigra","Parkinson Disease","TNF Gene","2"
"Pars Compacta","Neurodegenerative Disorders","PARK2 gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SPAST gene","2"
"Linear nucleus","Pituitary Diseases","CRH wt Allele","2"
"Pyramidal Cells","cortex bone disorders","NCOA6 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CHGA Gene","2"
"Thalamic structure","Van der Woude syndrome","CRH Gene","2"
"Structure of anterior commissure","Acute Chest Syndrome","ASAH1 Gene","2"
"Lobe, Frontal","Shwachman syndrome","SBDS wt Allele","2"
"Dentate nucleus","Syndrome","PITX2 wt Allele","2"
"Posterior cerebral commissure","Syndrome","PROC Gene","2"
"Nucleus of Ansa Lenticularis","Hamartoma Syndrome, Multiple","SLC6A3 Gene","2"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","STS wt Allele","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","FAT wt Allele","2"
"BRAIN, HIPPOCAMPUS","Lewy Body Disease","DCX gene","2"
"Structure of suprageniculate nucleus","Feline urological syndrome","TARDBP Gene","2"
"Structure of subiculum hippocampi","Bloom Syndrome","PITX2 wt Allele","2"
"Cerebellum","Spinal Cord Diseases","NGF Gene","2"
"Cerebral cortex","cortex bone disorders","FBN1 wt Allele","2"
"Pontine nuclei","Van der Woude syndrome","POSTN wt Allele","2"
"Superior colliculus of corpora quadrigemina","DISORDERS OF THE OPTIC NERVE","Plasmids","2"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","Genes","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","CREB1 Gene","2"
"Superior colliculus of corpora quadrigemina","cortex bone disorders","IL23A Gene","2"
"Structure of capsule of red nucleus","Alzheimer's Disease","CD55 wt Allele","2"
"CA1 field","Hashimoto Disease","PNP Gene","2"
"Pars Compacta","Hamartoma Syndrome, Multiple","NOD2 wt Allele","2"
"Diagonal Band of Broca","Alzheimer's Disease","MTR Gene","2"
"Genus Hippocampus","Neurotoxicity Syndromes","Tumor Necrosis Factor-alpha","2"
"Paracentral sulcus","Mucocutaneous Lymph Node Syndrome","AR wt Allele","2"
"Nucleus Accumbens","Depressive disorder","CD69 wt Allele","2"
"Pituitary Gland","Pituitary Diseases","GBA wt Allele","2"
"Brodmann area 35","cortex bone disorders","TF gene","2"
"Genus Hippocampus","cortex bone disorders","ST13 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","WAS wt Allele","2"
"Gyrus Cinguli","cortex bone disorders","SULT1A1 Gene","2"
"Inferior parietal lobule","cortex bone disorders","SULT1A1 wt Allele","2"
"CA2 field","Rett Syndrome","MECP2 gene","2"
"Genus Hippocampus","cortex bone disorders","TXNIP Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","HP wt Allele","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","UBE4B wt Allele","2"
"Structure of nucleus prepositus","Prion Diseases","ADAM10 Gene","2"
"Superior colliculus of corpora quadrigemina","Gilles de la Tourette syndrome","TYMS Gene","2"
"Central insular sulcus","Androgen-Insensitivity Syndrome","AR wt Allele","2"
"Genus Hippocampus","Spinal Cord Diseases","TARDBP wt Allele","2"
"Internal capsule of brain","Alcohol withdrawal syndrome","KNG1 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","TP53 gene","2"
"Central Dorsal Nucleus","Peripheral Arterial Diseases","HPR wt Allele","2"
"Cerebral cortex","cortex bone disorders","Gene Regulatory Networks","2"
"Nucleus of anterior commissure","Acute Chest Syndrome","ASAH1 wt Allele","2"
"Brain Stem","Neurodegenerative Disorders","ELANE wt Allele","2"
"Nucleus fastigii","cortex bone disorders","FAS Gene","2"
"Preoptic Areas","Timothy syndrome","TYMS wt Allele","2"
"Parietal Lobe","cortex bone disorders","ERBB4 Gene","2"
"Cerebral cortex","Functional disorder","DRD2 Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","AGER wt Allele","2"
"Corpus striatum structure","cortex bone disorders","SQSTM1 wt Allele","2"
"Structure of subiculum hippocampi","cortex bone disorders","c-fos Genes","2"
"Cerebellum","Spinal Cord Diseases","Transgenes","2"
"Cerebral cortex","cortex bone disorders","RPL5 wt Allele","2"
"Central Dorsal Nucleus","Liver diseases","CTLA4 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SLC2A1 Gene","2"
"Temporal Lobe","Mild cognitive disorder","TARDBP wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","POR Gene","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","FAT1 gene","2"
"Cerebral cortex","Fetal Alcohol Syndrome","FAS Gene","2"
"BRAIN, HIPPOCAMPUS","Melkersson-Rosenthal Syndrome","NR3C1 wt Allele","2"
"Cerebral cortex","cortex bone disorders","TERC Gene","2"
"Thalamic structure","Mucocutaneous Lymph Node Syndrome","TH gene","2"
"Tuberomammillary Nucleus","Huntington Disease","HTT gene","2"
"Inferior olivary nucleus","Hypertrophic disorder of skin, unspecified","Chloramphenicol Acetyl Transferase Gene","2"
"CA1 field","Hashimoto Disease","PNP wt Allele","2"
"Corpus striatum structure","Neurotoxicity Syndromes","SCG2 Gene","2"
"Temporal Lobe","Disease Progression","MAPT wt Allele","2"
"Hypothalamic structure","Functional disorder","GHRL Gene","2"
"Posterior cerebral commissure","Hashimoto Disease","POLE Gene","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","GFAP gene","2"
"Structure of capsule of red nucleus","Disorders, Mental","CD55 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","PTGS2 wt Allele","2"
"Structure of nucleus prepositus","Prion Diseases","Retinoic Acid Response Element","2"
"Marginal Sulcus","Bloom Syndrome","HP Gene","2"
"Hypothalamic structure","Pituitary Diseases","TRH wt Allele","2"
"Thalamic structure","Liver diseases","NPY wt Allele","2"
"Longitudinal pontine fibers","Alzheimer's Disease","DLC1 wt Allele","2"
"Lobe, Frontal","cortex bone disorders","EPHA7 Gene","2"
"Olfactory tubercle","Mucocutaneous Lymph Node Syndrome","AR wt Allele","2"
"Planum temporale (PT)","Meckel syndrome type 1","F2 wt Allele","2"
"Inferior Colliculus","Peripheral Arterial Diseases","PADI4 wt Allele","2"
"Structure of suprachiasmatic nucleus","Van der Woude syndrome","IRF6 wt Allele","2"
"Brain Stem","Spinal Cord Diseases","MAPK3 Gene","2"
"Median preoptic nucleus","Hypertensive disease","AGT Gene","2"
"Genus Hippocampus","Alzheimer's Disease","GFAP gene","2"
"Central Dorsal Nucleus","Parkinson Disease","HLA-DQA1 wt Allele","2"
"Paracentral Thalamic Nucleus","Inclusion body myositis (disorder)","PODXL wt Allele","2"
"Neostriatum","Huntington Disease","SLC1A2 wt Allele","2"
"Structure of nucleus prepositus","Brain Diseases","ABCB6 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NOTCH3 wt Allele","2"
"Cerebral cortex","Niemann-Pick Disease, Type C","ASCL1 Gene","2"
"BRAIN, HIPPOCAMPUS","Disease Progression","SIRT1 Gene","2"
"Bundle, Predorsal","Hamartoma Syndrome, Multiple","CTLA4 wt Allele","2"
"Cerebrum","Retinal Diseases","Major Histocompatibility Complex","2"
"Basal Ganglia","motor disorder","HTT gene","2"
"Hypothalamic structure","Pituitary Diseases","TH gene","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","THY1 wt Allele","2"
"Cerebral cortex","Norrie disease","CHGA Gene","2"
"Central Dorsal Nucleus","Spinal Cord Diseases","NOD2 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","HCRT Gene","2"
"Structure of paraventricular nucleus of thalamus","Huntington Disease","CBX4 wt Allele","2"
"Structure of rubrospinal tract","Syndrome, Bloch-Sulzberger","FGFR1 wt Allele","2"
"Amygdaloid structure","Cat-Scratch Disease","TGFBI wt Allele","2"
"Hypothalamic structure","Retinal Diseases","SH3PXD2A wt Allele","2"
"Caudate nucleus structure","Disease Progression","CTLA4 wt Allele","2"
"Neostriatum","cortex bone disorders","SILV wt Allele","2"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","CCND1 gene","2"
"Tuberomammillary Nucleus","Sturge-Weber Syndrome","LIFR wt Allele","2"
"Temporal Lobe","Alzheimer's Disease","MME Gene","2"
"Basal Nucleus of Meynert","Alzheimer's Disease","APP gene","2"
"Neostriatum","Neurodegenerative Disorders","Retinoic Acid Response Element","2"
"Paracentral Thalamic Nucleus","Inclusion body myositis (disorder)","KRT17 wt Allele","2"
"CA3 field","Spinal Cord Diseases","Transgenes","2"
"Structure of dorsomedial hypothalamic nucleus","Hypertensive disease","NPY Gene","2"
"Cerebellum","Hashimoto Disease","STS wt Allele","2"
"Structure of paraventricular nucleus of thalamus","cortex bone disorders","FASTK Gene","2"
"Pontine nuclei","Depressive disorder","POSTN Gene","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","TNF Gene","2"
"Thalamic structure","Liver diseases","AVP wt Allele","2"
"Hypothalamic structure","Timothy syndrome","TYMS wt Allele","2"
"Amygdaloid structure","cortex bone disorders","Tumor Necrosis Factor-alpha","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","CRH Gene","2"
"Neostriatum","cortex bone disorders","SST wt Allele","2"
"Structure of olfactory bulb","Disease Progression","Genes","2"
"Pontine structure","Spinal Cord Diseases","Promoter","2"
"Cerebral cortex","Rett Syndrome","Genes","2"
"Bundle, Predorsal","Huntington Disease","SOD1 wt Allele","2"
"Posterior cerebral commissure","Sweet Syndrome","LITAF gene","2"
"Structure of nucleus gracilis","Liver diseases","PPARA Gene","2"
"Cerebral cortex","Van der Woude syndrome","ATP8A2 wt Allele","2"
"Hindbrain","Spinal Cord Diseases","GNRH1 Gene","2"
"Cerebral cortex","Depressive disorder","CNR1 gene","2"
"Corpus striatum structure","cortex bone disorders","MAP Kinase Gene","2"
"Neocortex","Spinal Cord Diseases","Transgenes","2"
"Dentate nucleus","cortex bone disorders","DST Gene","2"
"Interpeduncular nucleus","Stereotypic Movement Disorder","IKBKG wt Allele","2"
"Inferior parietal lobule","cortex bone disorders","TPO Gene","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","TNF Gene","2"
"Callosal sulcus","Spinal Cord Diseases","CTNND1 Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CDK5R1 wt Allele","2"
"Structure of locus ceruleus","Alzheimer's Disease","ELANE wt Allele","2"
