"brainregion","mental","count"
"Motor Cortex","Feedback - system communication","16"
"Superior colliculus of corpora quadrigemina","Decision Making","16"
"Cerebral hemisphere structure (body structure)","Emotions","16"
"Corpus striatum structure","Emotions","15"
"Amygdaloid structure","Eating","15"
"Brain Stem","Coitus","15"
"Hypothalamic Area, Lateral","Aversion (finding)","15"
"Hypothalamic Area, Lateral","Desire for food","15"
"Auditory area","Hearing","15"
"Lateral ventricle structure","Like","15"
"Pituitary Gland","Coitus","15"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Object Recognition","15"
"Motor Cortex","Physical activity","15"
"Structure of paraventricular nucleus of thalamus","DEPRESSION MENTAL","15"
"Basal Forebrain","Powers (Psychology)","15"
"Bundle, Predorsal","Communication Response","15"
"Marginal Sulcus","Like","15"
"CA3 field","Intrinsic drive","15"
"Structure of suprachiasmatic nucleus","Fasting","15"
"Basal Ganglia","Tremor","15"
"Posterior cerebral commissure","Projection Defense Mechanism","15"
"Caudate nucleus structure","Psychological inhibition","15"
"Inferior olivary nucleus","Feedback - evaluative response process","15"
"Nucleus Raphe Obscurus","Communication Response","15"
"Somatosensory Cortex","Like","15"
"Hypothalamic structure","Food Deprivation","15"
"Lobe, Frontal","Attention","15"
"Prosencephalon","Experience","15"
"Cortex, Primary Motor","Pain","15"
"Inferior olivary nucleus","Feedback - system communication","15"
"Cochlear outer hair cell","Communication Response","15"
"Structure of lateral olfactory gyrus","Memory","15"
"BRAIN, HIPPOCAMPUS","Alcoholics","15"
"Genus Hippocampus","Mood Disorders","15"
"Thalamic structure","Coitus","15"
"Structure of subiculum hippocampi","Seizures","15"
"Lateral geniculate complex","Like","15"
"Prosencephalon","Conditionings (Psychology)","15"
"Temporal Lobe","Vision","15"
"Limbic System","Communication Response","15"
"Telencephalon","Involvement with","15"
"Substantia nigra structure","Tremor","15"
"Anterior insula","Social Role","15"
"Neostriatum","Impaired cognition","15"
"Prefrontal Cortex","Motivation","15"
"Inferior olivary nucleus","Learning","15"
"CA1 field","Memory, Episodic","15"
"Motor Cortex","Psychological suppression","15"
"Neostriatum","Tic disorder","15"
"Cerebral cortex","Motivation","15"
"Orbitofrontal cortex","Attention","15"
"Dorsal Nucleus Raphe","Conditionings (Psychology)","15"
"Neocortex","Ethanol","15"
"Entire thalamic reticular nucleus","Like","15"
"Brodmann area 21","Attention","15"
"Somatosensory Cortex","Touch sensation","15"
"Substantia nigra structure","Bradykinesia","15"
"Structure of nucleus infundibularis hypothalami","Physical Contact","15"
"BRAIN, HIPPOCAMPUS","Perseveration","15"
"Corpus striatum structure","Body Weight","15"
"Structure of diencephalon","Comprehension","15"
"Cerebellar cortex structure","Cognitive information processing","15"
"Internal arcuate tract","Social Role","15"
"Prosencephalon","Memory, Short-Term","15"
"Prosencephalon","Psychological suppression","15"
"Structure of paraventricular nucleus of thalamus","Impaired cognition","15"
"Cochlear Nerve","Projection Defense Mechanism","15"
"Hypothalamic structure","Prepuberty","15"
"Visual Cortex","Memory","15"
"Cerebellum","competition","15"
"Cerebellum","Exercise","15"
"Parafascicular Thalamic Nucleus","Psychological inhibition","15"
"Mossy Fibers, Hippocampal","Social Role","15"
"Anterodorsal nucleus of thalamus","Stress","15"
"Hypothalamic Area, Lateral","Mental association","15"
"Thalamic structure","Experience","15"
"Basal Ganglia","Gilles de la Tourette syndrome","15"
"Vestibular nucleus structure","Like","15"
"Entire internal capsule of brain","Projection Defense Mechanism","15"
"Structure of angular gyrus","Conscious","15"
"Cerebral cortex","Factors, Risk","15"
"Type 2 vestibular sensory cell","Communication Response","15"
"Anteroventral Periventricular Nucleus","Sex Behavior","15"
"Amygdaloid structure","Mood Disorders","15"
"Cerebellum","Fetal Alcohol Syndrome","15"
"Ventral Tegmental Area","Maternal Behavior","15"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Memory","15"
"Complex, Superior Olivary","Social Role","15"
"Structure of dentate gyrus","Experience","15"
"Primary Auditory Cortex","Psychological inhibition","15"
"central amygdalar nucleus","biological adaptation to stress","15"
"CA3 field","Conditionings (Psychology)","15"
"Structure of paraventricular nucleus of thalamus","Memory","15"
"Purkinje Cells","Seizures","15"
"Cochlear Nerve","Social Role","15"
"Hypothalamic structure","Motivation","15"
"Amygdaloid structure","Autistic Disorder","15"
"Structure of rubrospinal tract","DEPRESSION MENTAL","15"
"Midbrain structure","Eye Movements","15"
"Visual Cortex","Comprehension","15"
"Brain Stem","Mental association","15"
"Cerebral cortex","Social Interaction","15"
"CA1 field","Play","15"
"Posterior Hypothalamic Region","Projection Defense Mechanism","15"
"Set of basolateral nuclei of amygdala","Mental association","15"
"Olfactory tract","Communication Response","15"
"Brodmann area 18","Like","15"
"Preoptic Areas","Psychological inhibition","15"
"Structure of central sulcus","Memory","15"
"Cerebral cortex","Contrast Sensitivity","15"
"Medulla Oblongata","Absence of pain sensation","15"
"Motor Cortex","Feedback - evaluative response process","15"
"CA1 field","Feeding Activity","15"
"Basal Ganglia","Tic disorder","15"
"Caudate nucleus structure","Involvement with","15"
"Visual Cortex","Object Recognition","15"
"Cortex, Primary Motor","Insight","15"
"Ventral Tegmental Area","Physical activity","15"
"CA2 field","Mental association","15"
"Thalamic structure","Conscious","15"
"central amygdalar nucleus","Involvement with","15"
"Structure of nucleus gracilis","Like","15"
"Cerebral cortex","visual deprivation","15"
"Central gray substance of midbrain","Drug Tolerance","15"
"Brain Stem","Vocalization (finding)","15"
"Inferior olivary nucleus","Like","15"
"Area striata structure","Sex Behavior","15"
"Thalamic structure","Perception","15"
"Structure of dorsomedial hypothalamic nucleus","Projection Defense Mechanism","15"
"Ventral Striatum","Cocaine","15"
"Medial Septal Nucleus","Psychological suppression","15"
"intercalated amygdalar nuclei","Social Role","15"
"Bundle, Predorsal","Comprehension","15"
"Brain Stem","Deglutition","15"
"Structure of rubrospinal tract","Mental concentration","15"
"Structure of forceps minor","Pain","15"
"Structure of paraventricular nucleus of thalamus","Coitus","15"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Comprehension","15"
"Midbrain structure","Communication","15"
"Amygdalar Nucleus, Medial","Projection Defense Mechanism","15"
"Lobe, Frontal","Seizures","15"
"Cerebral cortex","Reaction Time","15"
"Structure of locus ceruleus","Suicide","15"
"Hypothalamic structure","Alcohol consumption","15"
"Cerebral cortex","Mediation","15"
"Nucleus Accumbens","Coitus","15"
"Brain Stem","Conditionings (Psychology)","15"
"Prosencephalon","Availability of","15"
"Substantia nigra structure","Coitus","15"
"BRAIN, HIPPOCAMPUS","Gilles de la Tourette syndrome","15"
"Amygdaloid structure","Cognitive information processing","15"
"Cingulate Cortex","Like","15"
"Neostriatum","Emotions","15"
"Neostriatum","Cognitive information processing","15"
"Brain Stem","psychological orientation","15"
"Prefrontal Cortex","Interested","15"
"Temporal Lobe","Psychological inhibition","15"
"Brain Stem","Tinnitus","15"
"Basal Nucleus of Meynert","Learning","15"
"Corpus striatum structure","Impaired cognition","15"
"Brain Stem","Memory","15"
"Dorsal Nucleus Raphe","Avoidance","15"
"Lobe, Frontal","Learning","15"
"Pontine nuclei","Conditionings (Psychology)","15"
"Structure of paraventricular nucleus","Psychological inhibition","15"
"Midbrain structure","Availability of","15"
"Structure of subiculum hippocampi","Communication Response","15"
"Corpus striatum structure","Intrinsic drive","15"
"Basal Ganglia","Interested","15"
"Anterodorsal nucleus of thalamus","DEPRESSION MENTAL","15"
"Lateral habenular nucleus","Involvement with","14"
"Area striata structure","Cognitive information processing","14"
"Structure of suprachiasmatic nucleus","Comprehension","14"
"Anterior insula","Pain","14"
"Cerebellum","Experience","14"
"Nucleus Basalis Magnocellularis","Performance","14"
"Lobe, Frontal","Cocaine","14"
"Prefrontal Cortex","Avoidance","14"
"Superior colliculus of corpora quadrigemina","Comprehension","14"
"basolateral nucleus of the amygdala","Communication Response","14"
"Olfactory tubercle","Projection Defense Mechanism","14"
"Structure of dentate gyrus","Discrimination","14"
"Corpus Callosum","psychological orientation","14"
"Cerebral cortex","active state","14"
"Cerebellar Nuclei","Feedback - evaluative response process","14"
"Structure of suprachiasmatic nucleus","Insight","14"
"BRAIN, HIPPOCAMPUS","Prepuberty","14"
"Structure of capsule of red nucleus","Hemorrhage","14"
"Marginal Sulcus","Behavior","14"
"Anterior insula","taste perception","14"
"Temporal Lobe","Memory impairment","14"
"CA2 field","Feedback - system communication","14"
"Medial Dorsal Nucleus","Performance","14"
"Pyramidal Cells","Unipolar Depression","14"
"Structure of paraventricular nucleus of thalamus","Auditory area","14"
"Structure of dentate gyrus","Comprehension","14"
"Basal Forebrain","Mental association","14"
"Cerebral Ventricles","Social Role","14"
"Cerebellum","Memory, Short-Term","14"
"Area striata structure","Insight","14"
"Gyrus Cinguli","Mental Retardation","14"
"Olivary Nucleus","Projection Defense Mechanism","14"
"Hypothalamus, Anterior","Communication Response","14"
"BRAIN, HIPPOCAMPUS","Age-related cognitive decline","14"
"Substantia nigra structure","Feedback - evaluative response process","14"
"Neocortex","Sleep","14"
"Structure of reticular formation of midbrain","Communication Response","14"
"CA3 field","Forgetful","14"
"Median eminence of hypothalamus","Stress","14"
"Paracentral Thalamic Nucleus","Drug Tolerance","14"
"Nucleus Accumbens","Social Interaction","14"
"Dorsal Nucleus Raphe","biological adaptation to stress","14"
"Structure of locus ceruleus","Comprehension","14"
"Sensorimotor Cortex","Powers (Psychology)","14"
"Cerebellum","Abnormal behavior","14"
"Premotor cortex","Sets (Psychology)","14"
"Cerebral hemisphere structure (body structure)","Psychological Transfer","14"
"CA1 field","Cocaine","14"
"Prefrontal Cortex","Memory impairment","14"
"Cerebral cortex","Memory, Long-Term","14"
"Visual Cortex","Insight","14"
"Tegmentum Mesencephali","Social Role","14"
"Linear nucleus","Psychological inhibition","14"
"Prefrontal Cortex","Mood Disorders","14"
"Prefrontal Cortex","Suicide","14"
"Neostriatum","Auditory area","14"
"CA2 field","Play","14"
"Parietal Lobe","Powers (Psychology)","14"
"Cerebral cortex","Gilles de la Tourette syndrome","14"
"Primary Auditory Cortex","Hearing","14"
"Cerebral cortex","Mental Retardation","14"
"Prosencephalon","Spatial Memory","14"
"Olfactory Pathways","Behavior","14"
"Hypothalamic Area, Lateral","Comprehension","14"
"Basal Ganglia","Behaviorial Habits","14"
"Basal Ganglia","Abnormal behavior","14"
"Marginal Sulcus","Psychological suppression","14"
"Parietal Lobe","Memory","14"
"Structure of dentate gyrus","Running","14"
"Olfactory tubercle","Like","14"
"Substantia nigra structure","Physical Contact","14"
"Structure of superior central nucleus of pons","Like","14"
"Parietal Lobe","Mental concentration","14"
"BRAIN, HIPPOCAMPUS","Hibernation","14"
"Purkinje Cells","Stress","14"
"auditory nuclei","Auditory area","14"
"Dorsal Motor Nucleus","Projection Defense Mechanism","14"
"Genus Hippocampus","Tremor","14"
"Structure of locus ceruleus","Play","14"
"Corpus striatum structure","Auditory area","14"
"Superior colliculus of corpora quadrigemina","Avoidance","14"
"BRAIN, HIPPOCAMPUS","Conscious","14"
"External capsule","Mental concentration","14"
"Ventral Tegmental Area","Memory, Short-Term","14"
"CA3 field","Sex Behavior","14"
"Prosencephalon","Comprehension","14"
"Cerebellar Nuclei","Feedback - system communication","14"
"Gonadotrophs","Reproduction","14"
"Laterodorsal tegmental nucleus","Behavior","14"
"Cerebral cortex","Addictive Behavior","14"
"Cortex, Primary Motor","Success","14"
"Substantia Nigra Pars Reticulata","Behavior","14"
"Prefrontal Cortex","Behavioral change","14"
"Median preoptic nucleus","Projection Defense Mechanism","14"
"CA2 field","Insight","14"
"Corpus striatum structure","Cognitive information processing","14"
"Structure of dorsal cochlear nucleus","Projection Defense Mechanism","14"
"Pyramidal Cells","Emotions","14"
"Acoustic nerve","Social Role","14"
"CA2 field","Attribution","14"
"Prefrontal Cortex","Sleep","14"
"BRAIN, HIPPOCAMPUS","Visual Suppression","14"
"CA2 field","Feedback - evaluative response process","14"
"Medial superior olivary nucleus","Psychological inhibition","14"
"Brain Stem","Withdrawal","14"
"Basal Forebrain","Pain","14"
"Structure of subthalamic nucleus","Like","14"
"Diagonal Band of Broca","Memory","14"
"Thalamic structure","Cognitive information processing","14"
"Pars Compacta","Bradykinesia","14"
"Prosencephalon","Eating","14"
"Structure of locus ceruleus","Absence of pain sensation","14"
"Prosencephalon","DEPRESSION MENTAL","14"
"Lateral paragigantocellular nucleus","Projection Defense Mechanism","14"
"Submedial Nucleus","Social Role","14"
"Nucleus Basalis Magnocellularis","Communication Response","14"
"CA1 field","Amnesia","14"
"Cerebral Peduncle","Social Role","14"
"Nucleus Accumbens","Fear","14"
"Hypothalamic Area, Lateral","Conscious","14"
"Taste area","taste perception","14"
"Substantia innominata","Behavior","14"
"Corpus striatum structure","Psychological suppression","14"
"Genus Hippocampus","Tinnitus","14"
"Area striata structure","Vision Disparity","14"
"Area striata structure","Auditory area","14"
"Inferior Colliculus","Hearing","14"
"Posterolateral auditory cortex","Like","14"
"Structure of entorhinal cortex","Methamphetamine","14"
"Corpus striatum structure","Experience","14"
"Superior colliculus of corpora quadrigemina","Memory","14"
"Structure of paraventricular nucleus","biological adaptation to stress","14"
"Area striata structure","Coitus","14"
"Prosencephalon","Social Behavior","14"
"Corpus striatum structure","Pain","14"
"Structure of nucleus prepositus","Communication Response","14"
"Cerebral cortex","Imagery","14"
"Motor Cortex","Fasting","14"
"Basal Ganglia","Pain","14"
"Temporal Lobe","Auditory area","14"
"Posterior Thalamic Nuclei","Communication Response","14"
"Substantia nigra structure","Feedback - system communication","14"
"Visual Cortex","Recognition (Psychology)","14"
"Hypothalamic Area, Lateral","Alcohol consumption","14"
"Cerebral cortex","Carrying","14"
"Nucleus solitarius","Deglutition","14"
"Cerebellum","Hemorrhage","14"
"Structure of nucleus prepositus","Emotional Strain","14"
"Inferior Colliculus","Seizures","14"
"Cerebral cortex","Visual attention","14"
"Prefrontal Cortex","Aggressive behavior","14"
"Dorsal Nucleus Raphe","Withdrawal","14"
"Entire basal nuclei","Projection Defense Mechanism","14"
"Orbitofrontal cortex","Heroin","14"
"Structure of median forebrain bundle","Behavior","14"
"BRAIN, HIPPOCAMPUS","Reproduction","14"
"Pyramidal Cells","Physical Contact","14"
"Structure of supramammillary nucleus","Psychological inhibition","14"
"Structure of supraoptic nucleus","Projection Defense Mechanism","14"
"Ventral Tegmental Area","Impulsive Behavior","14"
"Posterior cerebral commissure","Drug Tolerance","14"
"Area striata structure","competition","14"
"Nucleus Accumbens","Sleep","14"
"Thalamic structure","Psychological Transfer","14"
"Anterodorsal nucleus of thalamus","Attention","14"
"Structure of piriform area","Behavior","14"
"Vestibular nucleus structure","Behavior","14"
"Lateral olfactory striae","smell perception","14"
"Neostriatum","Intrinsic drive","14"
"Prefrontal Cortex","Fetal stress","14"
"Structure of nucleus cuneatus","Communication Response","14"
"Nucleus, Anterior Olfactory","Projection Defense Mechanism","14"
"Thalamic structure","Cocaine","14"
"Prefrontal Cortex","Chronic pain","14"
"Primary Auditory Cortex","Psychological suppression","14"
"Cerebellar cortex structure","Behavior","14"
"Structure of supraoptic nucleus","Like","14"
"Cerebral cortex","Visual Acuity","14"
"Hypothalamus, Anterior","Social Role","14"
"Amygdaloid structure","Availability of","14"
"Pulvinar structure","Social Role","13"
"Basal Forebrain","Auditory area","13"
"Lateral habenular nucleus","Pain","13"
"Olfactory Cortex","Social Role","13"
"Amygdaloid structure","Communication","13"
"Dorsal Nucleus Raphe","Panic","13"
"CA1 field","Disputes","13"
"Laterodorsal tegmental nucleus","Addictive Behavior","13"
"Basal Ganglia","Motivation","13"
"Visual Cortex","Sets (Psychology)","13"
"Cortex, Primary Motor","Reaction Time","13"
"Marginal Sulcus","Memory, Short-Term","13"
"Medial Septal Nucleus","Memory, Short-Term","13"
"Structure of locus ceruleus","Physical Contact","13"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","visual deprivation","13"
"Corpus striatum structure","Alcohol consumption","13"
"Structure of superior parietal lobule","Communication Response","13"
"Cerebellum","Fear","13"
"Prefrontal Cortex","Sleep Deprivation","13"
"Structure of piriform area","Learning","13"
"Tuberomammillary Nucleus","Behavior","13"
"Purkinje Cells","Cocaine","13"
"Superior colliculus of corpora quadrigemina","Sets (Psychology)","13"
"Cerebral hemisphere structure (body structure)","Psychological suppression","13"
"CA3 field","Feedback - evaluative response process","13"
"Amygdaloid structure","Chronic pain","13"
"Hypothalamic structure","Hyperactive behavior","13"
"Bundle, Predorsal","Impaired cognition","13"
"Insula of Reil","Fear","13"
"Metencephalon","Communication Response","13"
"Habenula","Interested","13"
"Hypothalamic Area, Lateral","Absence of pain sensation","13"
"Amygdaloid structure","Tinnitus","13"
"Nuclei, Raphe","DEPRESSION MENTAL","13"
"Inferior Colliculus","Feedback - system communication","13"
"Diagonal Band of Broca","Memory, Short-Term","13"
"Dorsal Nucleus Raphe","Intrinsic drive","13"
"Entire medial geniculate body","Auditory area","13"
"Prefrontal Cortex","Choice Behavior","13"
"Central gray substance of midbrain","Psychological suppression","13"
"Genus Hippocampus","Perception","13"
"CA3 field","Feedback - system communication","13"
"Motor Cortex","Exercise","13"
"Olfactory tract","Projection Defense Mechanism","13"
"Temporal Lobe","Experience","13"
"Nucleus fastigii","Psychological inhibition","13"
"Genus Hippocampus","Aggressive behavior","13"
"Neostriatum","Alcohol consumption","13"
"Amygdaloid structure","Methamphetamine","13"
"Visual Cortex","visual deprivation","13"
"Posterolateral auditory cortex","Anxiety","13"
"Area, Septal","Projection Defense Mechanism","13"
"Dentate nucleus","Communication Response","13"
"Neostriatum","Psychological suppression","13"
"Medial superior olivary nucleus","Sound Localization","13"
"Structure of olfactory bulb","Odor Discrimination","13"
"sensory cortex","Behavior","13"
"Dorsal Nucleus Raphe","Feeding Activity","13"
"Dorsal Nucleus Raphe","Mental association","13"
"Diagonal Band of Broca","Ethanol","13"
"Parietal Lobe","Avoidance","13"
"Nucleus Accumbens","Aversion (finding)","13"
"Cerebral hemisphere structure (body structure)","Hemorrhage","13"
"Primary Auditory Cortex","Attention","13"
"Vestibular nucleus structure","Eye Movements","13"
"Prefrontal Cortex","Seizures","13"
"Brain Stem","Paralysed","13"
"Nucleus of Diagonal Band","Projection Defense Mechanism","13"
"Thalamic Nuclei","Psychological inhibition","13"
"Entire lateral geniculate body","Social Role","13"
"Basal Nucleus of Meynert","Stress","13"
"Cochlear Nerve","Tinnitus","13"
"Cerebral cortex","Swimming","13"
"Type 2 vestibular sensory cell","Hearing","13"
"Amygdaloid structure","Memory, Long-Term","13"
"Structure of angular gyrus","Desire for food","13"
"Genus Hippocampus","Stress, Psychological","13"
"Metencephalon","Memory","13"
"Central gray substance of midbrain","Learning","13"
"Prefrontal Cortex","Spatial Memory","13"
"Midbrain structure","Mental association","13"
"Complex, Superior Olivary","Sound Localization","13"
"BRAIN, HIPPOCAMPUS","C","13"
"Globus Pallidus","Mental concentration","13"
"Hypothalamic Area, Lateral","Nociception","13"
"Olivocerebellar fibers","Projection Defense Mechanism","13"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Insight","13"
"Structure of rubrospinal tract","Like","13"
"Basal Forebrain","Fasting","13"
"Corpus striatum structure","competition","13"
"Central gray substance of midbrain","Sleep","13"
"Vestibular nucleus structure","Vision","13"
"Anterodorsal nucleus of thalamus","Visual learning","13"
"Structure of ventromedial hypothalamic nucleus","Communication Response","13"
"Structure of subthalamic nucleus","Feedback - system communication","13"
"Ventral Tegmental Area","Unipolar Depression","13"
"Basal Nucleus of Meynert","DEPRESSION MENTAL","13"
"Entire medulla oblongata","Conscious","13"
"Genus Hippocampus","Autistic Disorder","13"
"Genus Hippocampus","prepulse inhibition activity","13"
"Insula of Reil","Stress","13"
"Longitudinal pontine fibers","Projection Defense Mechanism","13"
"Auditory Hair Cell","Deafness","13"
"Cerebral hemisphere structure (body structure)","Pain","13"
"Internal capsule of brain","Mental concentration","13"
"Parietal Lobe","Cognition","13"
"Posterolateral auditory cortex","Avoidance","13"
"Subthalamic structure","Projection Defense Mechanism","13"
"Basal Ganglia","Stress","13"
"Prosencephalon","Play","13"
"Structure of rubrospinal tract","Anxiety","13"
"Cerebral cortex","Abstract thinking ability","13"
"Structure of thalamic reticular nucleus","Like","13"
"Structure of area postrema","Like","13"
"Corpus striatum structure","Response to stimulus physiology","13"
"Ventral Posterolateral Nucleus","Psychological inhibition","13"
"Structure of endopeduncular nucleus","Social Role","13"
"Medial Dorsal Nucleus","psychological orientation","13"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Recognition (Psychology)","13"
"Occipital lobe","Mental concentration","13"
"Amygdaloid structure","Choice Behavior","13"
"Auditory pathway structure","Hearing impairment","13"
"Pontine nuclei","Psychological inhibition","13"
"Cortex, Primary Motor","Methamphetamine","13"
"Inner Auditory Hair Cells","Social Role","13"
"Structure of dentate gyrus","Mental association","13"
"Structure of piriform area","Memory","13"
"Brain Stem","smell perception","13"
"Structure of paraventricular nucleus","Involvement with","13"
"Lobe, Frontal","Powers (Psychology)","13"
"Thalamic structure","Decision Making","13"
"Neostriatum","Experience","13"
"Neostriatum","Communication","13"
"Hindbrain","Involvement with","13"
"Nucleus solitarius","Hemorrhage","13"
"Inner Auditory Hair Cells","Hearing impairment","13"
"Prefrontal Cortex","Drug seeking behavior","13"
"Temporal Lobe","Object Recognition","13"
"Red nucleus structure","Behavior","13"
"Inferior Colliculus","Performance","13"
"Cerebral cortex","Intention - mental process","13"
"Genus Hippocampus","Exercise, Aerobic","13"
"Structure of paraventricular nucleus of thalamus","Experience","13"
"BRAIN, HIPPOCAMPUS","Suicide","13"
"Prosencephalon","Recognition (Psychology)","13"
"CA3 field","Exercise","13"
"Cerebellum","Psychological Transfer","13"
"CA1 field","Insight","13"
"Anterior Nuclear Group","Social Role","13"
"Structure of tegmental portion of pons","Social Role","13"
"Basal Nucleus of Meynert","Avoidance","13"
"Ventral Tegmental Area","Abnormal behavior","13"
"Ventral Tegmental Area","Insight","13"
"Cerebral cortex","Travel","13"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Sets (Psychology)","13"
"Hypothalamic structure","Seizures","13"
"Prosencephalon","Motivation","13"
"Entire thalamic reticular nucleus","Behavior","13"
"BRAIN, HIPPOCAMPUS","Rage","13"
"Thalamic structure","Insight","13"
"Prefrontal Cortex","Memory, Long-Term","13"
"Parabigeminal nucleus","Projection Defense Mechanism","13"
"central amygdalar nucleus","Motivation","13"
"Cerebral hemisphere structure (body structure)","Communication","13"
"BRAIN, HIPPOCAMPUS","taste perception","13"
"Purkinje Cells","Cognitive information processing","13"
"Insula of Reil","Like","13"
"Cerebral cortex","biological adaptation to stress","13"
"Basal Forebrain","Availability of","13"
"Midbrain structure","Psychological suppression","13"
"Area, Septal","Communication Response","13"
"Basal Nucleus of Meynert","Cognition","13"
"Structure of angular gyrus","DEPRESSION MENTAL","13"
"Hypothalamic structure","Abnormal behavior","13"
"Inferior Colliculus","Feedback - evaluative response process","13"
"Structure of subthalamic nucleus","Performance","13"
"Structure of supraoptic nucleus","Stress","13"
"Inferior Colliculus","Involvement with","13"
"Structure of superior central nucleus of pons","Social Role","13"
"Cerebral hemisphere structure (body structure)","Sets (Psychology)","13"
"Prefrontal Cortex","Puberty","13"
"Neostriatum","competition","13"
"BRAIN, HIPPOCAMPUS","Puberty","13"
"Parietal Lobe","Anxiety","13"
"Structure of suprachiasmatic nucleus","Reproduction","13"
"Medulla Oblongata","Exercise","13"
"Purkinje Cells","Nervousness","13"
"Hypothalamic structure","Cognition","13"
"Midbrain structure","Fear","12"
"Insula of Reil","Cocaine","12"
"Pars Compacta","Stress","12"
"Hindbrain","Stress","12"
"Structure of anterior commissure","Social Role","12"
"Bundle, Predorsal","Mental association","12"
"Ventral Posterior Nucleus","Like","12"
"Midbrain structure","Conditionings (Psychology)","12"
"Medulla Oblongata","Play","12"
"Trigeminal Caudal Nucleus","Social Role","12"
"Motor Cortex","Reaction Time","12"
"Gigantocellular nucleus","Like","12"
"Pyramidal Tracts","Social Role","12"
"Structure of dentate gyrus","Abnormal behavior","12"
"Cerebral cortex","Hunger","12"
"Lateral reticular nucleus (medulla)","Psychological inhibition","12"
"Limbic System","Like","12"
"Ventral Striatum","Like","12"
"Midbrain structure","Intrinsic drive","12"
"Medial Dorsal Nucleus","Memory","12"
"Structure of median forebrain bundle","Projection Defense Mechanism","12"
"Basal Ganglia","Mental concentration","12"
"Brain Stem","Feeding Activity","12"
"Superior paraolivary nucleus","Projection Defense Mechanism","12"
"Structure of dorsomedial hypothalamic nucleus","Communication Response","12"
"Structure of terminal stria nuclei of preoptic region","Involvement with","12"
"Posterior cerebral commissure","Like","12"
"Temporal Lobe","DEPRESSION MENTAL","12"
"BRAIN, HIPPOCAMPUS","Resting state","12"
"Prefrontal Cortex","Visual learning","12"
"Structure of Forel's H2 bundle","Social Role","12"
"Purkinje Cells","Comprehension","12"
"Cerebellar vermis structure","Eye Movements","12"
"Structure of olfactory bulb","Sensory Process","12"
"CA1 field","Psychological Transfer","12"
"Cerebral Peduncle","Behavior","12"
"Motor Cortex","Seizures","12"
"CA3 field","Discrimination","12"
"Structure of medial preoptic nucleus","Mental concentration","12"
"Temporal Lobe","Retentions (Psychology)","12"
"Structure of dentate gyrus","Fasting","12"
"Pituitary Gland","Puberty","12"
"central amygdalar nucleus","DEPRESSION MENTAL","12"
"Perforant Pathway","Like","12"
"Orbitofrontal cortex","Experience","12"
"Somatosensory Cortex","Experience","12"
"Prosencephalon","Communication","12"
"CA1 field","Retentions (Psychology)","12"
"Acoustic nerve","Auditory area","12"
"Cerebral hemisphere structure (body structure)","smell perception","12"
"Dorsal Nucleus Raphe","Unipolar Depression","12"
"CA1 field","Discrimination","12"
"Purkinje Cells","competition","12"
"Lateral ventricle structure","Communication Response","12"
"Neocortex","Stress","12"
"Anterodorsal nucleus of thalamus","Hyperactive behavior","12"
"Linear nucleus","Mental concentration","12"
"Temporal Lobe","Perception","12"
"Cuneiform nucleus","Projection Defense Mechanism","12"
"Superior colliculus of corpora quadrigemina","Intrinsic drive","12"
"Internal capsule of brain","Fasting","12"
"Medial Septal Nucleus","Cognition","12"
"Cerebral cortex","Amnesia","12"
"Presubiculum","Social Role","12"
"Area striata structure","Contrast Sensitivity","12"
"Prosencephalon","Memory impairment","12"
"Tectospinal tract of medulla","Social Role","12"
"Amygdaloid structure","Aversion (finding)","12"
"lateral geniculate nucleus","Vision","12"
"BRAIN, HIPPOCAMPUS","Repression, Psychology","12"
"Telencephalon","Sex Behavior","12"
"Motor Cortex","Methamphetamine","12"
"Cerebrum","Social Role","12"
"Preoptic Areas","Body Weight","12"
"Cerebellar Nuclei","Behavior","12"
"CA1 field","Interested","12"
"Structure of locus ceruleus","Insight","12"
"Structure of entorhinal cortex","Involvement with","12"
"BRAIN, HIPPOCAMPUS","Impulsive Behavior","12"
"Prosencephalon","Mental association","12"
"Structure of terminal stria nuclei of preoptic region","Coitus","12"
"Complex, Superior Olivary","Psychological inhibition","12"
"central amygdalar nucleus","Chronic pain","12"
"Cerebral cortex","Memory, Episodic","12"
"Limbic System","Seizures","12"
"central amygdalar nucleus","taste perception","12"
"Preoptic Areas","Wakefulness","12"
"External capsule","Psychological inhibition","12"
"lateral amygdalar nucleus","Communication Response","12"
"Thalamic structure","Sets (Psychology)","12"
"Basal Ganglia","Powers (Psychology)","12"
"Cerebrum","Involvement with","12"
"Cerebral cortex","Fatigue","12"
"Prosencephalon","Reproduction","12"
