"brainregion","disease","mental","count"
"Cerebral cortex","cortex bone disorders","Perception","3"
"Thalamic structure","Functional disorder","Social Role","3"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","Cognition","3"
"BRAIN, HIPPOCAMPUS","Disease Progression","Memory","3"
"Thalamic structure","Parkinson Disease","Social Role","3"
"Structure of subiculum hippocampi","cortex bone disorders","Projection Defense Mechanism","3"
"Midbrain structure","Spinal Cord Diseases","Involvement with","3"
"Dorsal Nucleus Raphe","Stress Disorders, Traumatic","Like","3"
"Basal Ganglia","Parkinson Disease","Drug Dependence","3"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Retinal Diseases","Vision","3"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Syndrome","Impaired cognition","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Comprehension","3"
"Cerebral cortex","cortex bone disorders","Wakefulness","3"
"Anterodorsal nucleus of thalamus","Lewy Body Disease","Social Role","3"
"Basal Ganglia","Stereotypic Movement Disorder","Stereotyped Behavior","3"
"BRAIN, HIPPOCAMPUS","Norrie disease","Exercise","3"
"Cerebral cortex","cortex bone disorders","Withdrawal","3"
"Genus Hippocampus","Post-Traumatic Stress Disorder","Behavior","3"
"Corpus striatum structure","Spinal Cord Diseases","Projection Defense Mechanism","3"
"Prefrontal Cortex","cortex bone disorders","Mental association","3"
"BRAIN, HIPPOCAMPUS","Disorders, Mental","Anxiety","3"
"Substantia nigra structure","Parkinson Disease","Sex Behavior","3"
"Corpus striatum structure","Parkinson Disease","Bradykinesia","3"
"BRAIN, HIPPOCAMPUS","neuropathology disease","Social Role","3"
"Anterodorsal nucleus of thalamus","Functional disorder","Behavior","3"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Conditionings (Psychology)","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Memory, Short-Term","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Drug Tolerance","3"
"Brain Stem","cortex bone disorders","Sleep","3"
"Limbic System","cortex bone disorders","Social Role","3"
"Set of basolateral nuclei of amygdala","Depressive disorder","Like","3"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","Stress","3"
"Habenula","Disorders, Mental","Social Role","3"
"Amygdaloid structure","Alzheimer's Disease","Mental association","3"
"Thalamic structure","cortex bone disorders","Intrinsic drive","3"
"Cerebral cortex","Fragile X Syndrome","Period, Critical (Psychology)","3"
"Cerebellum","Pervasive Development Disorder","Abnormal behavior","3"
"Cerebral cortex","Spinal Cord Diseases","Psychological suppression","3"
"Interpeduncular nucleus","Syndrome","Memory","3"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Cognition","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Retentions (Psychology)","3"
"Substantia nigra structure","Parkinson Disease","Psychological inhibition","3"
"Purkinje Cells","Peripheral Arterial Diseases","Communication Response","3"
"Hindbrain","Skin endocrine disorder","Communication Response","3"
"BRAIN, HIPPOCAMPUS","Melkersson-Rosenthal Syndrome","Stress","3"
"Anterodorsal nucleus of thalamus","neuropathology disease","Involvement with","3"
"Cerebral cortex","Functional disorder","Attention","3"
"Thalamic structure","Phantom limb syndrome","Phantom limb syndrome","3"
"Cortex, Primary Motor","Functional disorder","Involvement with","3"
"Central gray substance of midbrain","Spinal Cord Diseases","Nociception","3"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","DEPRESSION MENTAL","3"
"Cerebellum","Fetal Alcohol Spectrum Disorders","Ethanol","3"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Experience","3"
"Midbrain structure","Attention deficit hyperactivity disorder","Hyperactive behavior","3"
"Auditory Hair Cell","Diseases of inner ear","Social Role","3"
"Genus Hippocampus","cortex bone disorders","Paralysed","3"
"Cerebellum","Mood Disorders","Mood Disorders","3"
"Corpus striatum structure","Parkinson Disease","Communication Response","3"
"Cerebral cortex","Disease Progression","Behavior","3"
"Corpus striatum structure","Obsessive-Compulsive Disorder","Obsessive compulsive behavior","3"
"Pituitary Gland","Pituitary Diseases","Communication","3"
"Substantia nigra structure","cortex bone disorders","Behavior","3"
"Corpus striatum structure","Obsessive-Compulsive Disorder","Hyperactive behavior","3"
"Substantia nigra structure","Parkinson Disease","Impaired cognition","3"
"Corpus striatum structure","Functional disorder","Obsessive compulsive behavior","3"
"Pituitary Gland","Pituitary Diseases","Behavioral change","3"
"Pituitary Gland","Pituitary Diseases","Cocaine","3"
"Corpus striatum structure","cortex bone disorders","Feeding Activity","3"
"Central cord canal structure","Spinal Cord Diseases","Physical Contact","3"
"Basal Ganglia","Movement Disorders","Social Role","3"
"Cerebral cortex","Functional disorder","Mental concentration","3"
"Structure of locus ceruleus","Lewy Body Disease","Like","3"
"Genus Hippocampus","Alzheimer's Disease","Spatial Memory","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Recognition (Psychology)","3"
"Brain Stem","Skin endocrine disorder","Communication Response","3"
"Basal Nucleus of Meynert","cortex bone disorders","Communication Response","3"
"Nucleus Accumbens","Recurrent disease","Addictive Behavior","3"
"Prefrontal Cortex","Depressive disorder","Autistic Disorder","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Running","3"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Incentives","3"
"Structure of supramammillary nucleus","Functional disorder","Behavior","3"
"Amygdaloid structure","Depressive disorder","Depressive Symptoms","3"
"Prefrontal Cortex","Functional disorder","Involvement with","3"
"Structure of paraventricular nucleus of thalamus","Functional disorder","Impaired cognition","3"
"Cerebellum","Syndrome","Tremor","3"
"Prefrontal Cortex","Disorders, Mental","Addictive Behavior","3"
"Dorsal Nucleus Raphe","Functional disorder","Mood Disorders","3"
"Internal arcuate tract","Depressive disorder","Psychological inhibition","3"
"Genus Hippocampus","cortex bone disorders","Drug Tolerance","3"
"Visual Cortex","Retinal Diseases","Vision","3"
"Habenula","Disorders, Mental","DEPRESSION MENTAL","3"
"Temporal Lobe","Alzheimer's Disease","Mental concentration","3"
"Pituitary Gland","Pituitary Diseases","Memory","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Withdrawal","3"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Memory impairment","3"
"Cerebral cortex","Spinal Cord Diseases","Mental concentration","3"
"Prosencephalon","Autism Spectrum Disorders","Social Role","3"
"Genus Hippocampus","cortex bone disorders","Sets (Psychology)","3"
"Cortex, Primary Motor","Spinal Cord Diseases","Behavior","3"
"Pituitary Gland","Pituitary Diseases","Experience","3"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Like","3"
"Pituitary Gland","Functional disorder","Reproduction","3"
"Bundle, Predorsal","Mild cognitive disorder","Impaired cognition","3"
"Corpus striatum structure","Stereotypic Movement Disorder","Methamphetamine","3"
"Cerebral cortex","Functional disorder","Like","3"
"Cerebral cortex","Neurodegenerative Disorders","Comprehension","3"
"Structure of dentate gyrus","Depressive disorder","Anxiety","3"
"Cerebellum","Autism Spectrum Disorders","Involvement with","3"
"Genus Hippocampus","Mixed anxiety and depressive disorder","Like","3"
"Genus Hippocampus","Disorder nervous system","Social Role","3"
"Cerebral cortex","Disease Progression","Projection Defense Mechanism","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Sex Behavior","3"
"BRAIN, HIPPOCAMPUS","Psychotic Disorders","High risk of","3"
"Visual Cortex","Retinal Diseases","Projection Defense Mechanism","3"
"Cerebral cortex","Obsessive-Compulsive Disorder","Behavior","3"
"Cerebral cortex","Rett Syndrome","Behavior","3"
"Structure of dentate gyrus","Alzheimer's Disease","Memory","3"
"Purkinje Cells","Camurati-Engelmann Syndrome","Communication Response","3"
"Dorsal Nucleus Raphe","Functional disorder","Behavior","3"
"Habenula","Depressive disorder","Abnormal behavior","3"
"Area striata structure","cortex bone disorders","Contrast Sensitivity","3"
"Thalamic structure","Cognition Disorders","Impaired cognition","3"
"Corpus striatum structure","Pervasive Development Disorder","Social Role","3"
"Neocortex","Alzheimer's Disease","Memory","3"
"Nucleus Accumbens","Depressive disorder","Addictive Behavior","3"
"Triangular Septal Nucleus","Depressive disorder","Gilles de la Tourette syndrome","3"
"BRAIN, HIPPOCAMPUS","Sudden infant death syndrome","Social Role","3"
"Nucleus solitarius","Spinal Cord Diseases","Projection Defense Mechanism","3"
"Posterolateral auditory cortex","cortex bone disorders","Psychological inhibition","3"
"Tectospinal tract of medulla","Timothy syndrome","DEPRESSION MENTAL","3"
"Cerebellar Nuclei","cortex bone disorders","Auditory area","3"
"Ventral Tegmental Area","Depressive disorder","Aversion (finding)","3"
"Basal Nucleus of Meynert","Parkinson Disease","Impaired cognition","3"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic","DEPRESSION MENTAL","3"
"Cerebral hemisphere structure (body structure)","Depressive disorder","Stress","3"
"Corpus striatum structure","Huntington Disease","Like","3"
"Cerebellum","Ataxia as late effect of cerebrovascular disease","Behavior","3"
"Posterior cerebral commissure","Depressive disorder","Psychological inhibition","3"
"Substantia nigra structure","Alzheimer's Disease","Mental association","3"
"Nucleus Accumbens","Recurrent disease","Ethanol","3"
"Tectopontine fibers","Timothy syndrome","Gilles de la Tourette syndrome","3"
"Cerebral cortex","Autism Spectrum Disorders","Hyperactive behavior","3"
"Genus Hippocampus","cortex bone disorders","Abnormal behavior","3"
"Neostriatum","cortex bone disorders","Feeding Activity","3"
"Thalamic structure","cortex bone disorders","Conscious","3"
"Ventral reticulospinal tract","Rothmund-Thomson syndrome","Behavior","3"
"Structure of subthalamic nucleus","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","3"
"Midbrain structure","Disorders, Mental","Abnormal behavior","3"
"Cerebral cortex","Depressive disorder","Sleep","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Comprehension","3"
"Genus Hippocampus","cortex bone disorders","Emotions","3"
"Pyramidal Cells","Disease Progression","Seizures","3"
"BRAIN, HIPPOCAMPUS","Metabolic Diseases","Memory","3"
"Prefrontal Cortex","Fetal Alcohol Syndrome","Behavior","3"
"Basal Forebrain","Functional disorder","Amnesia","3"
"Structure of terminal stria nuclei of preoptic region","Functional disorder","Anxiety","3"
"Linear nucleus","Mood Disorders","Mood Disorders","3"
"Neostriatum","Huntington Disease","Like","3"
"Tectospinal tract of medulla","Down Syndrome","Impaired cognition","3"
"Basal Ganglia","Functional disorder","Learning","3"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","Communication Response","3"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Anxiety","3"
"Genus Hippocampus","Memory Disorders","Memory","3"
"Tectospinal tract of medulla","Spinal Cord Diseases","Gilles de la Tourette syndrome","3"
"Neostriatum","Parkinson Disease","Communication Response","3"
"Cerebral cortex","Spinal Cord Diseases","Behavior","3"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","Stress","3"
"Cerebral cortex","Neurotoxicity Syndromes","Ethanol","3"
"Structure of thalamic reticular nucleus","Spinal Cord Diseases","Projection Defense Mechanism","3"
"BRAIN, HIPPOCAMPUS","Mood Disorders","Learning","3"
"Lateral geniculate complex","cortex bone disorders","psychological orientation","3"
"Superior colliculus of corpora quadrigemina","DISORDERS OF THE OPTIC NERVE","Projection Defense Mechanism","3"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","Anxiety","3"
"Premotor cortex","Spinal Cord Diseases","Projection Defense Mechanism","3"
"Prefrontal Cortex","Functional disorder","Executive Function","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Psychological suppression","3"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","Insight","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Memory, Episodic","3"
"Prosencephalon","Spinal Cord Diseases","Social Role","3"
"Cerebellum","Disease Progression","Involvement with","3"
"BRAIN, HIPPOCAMPUS","CNS disorder","Social Role","3"
"BRAIN, HIPPOCAMPUS","Parkinson Disease","Memory","3"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Retinal Diseases","Projection Defense Mechanism","3"
"Metencephalon","Seasonal Affective Disorder","Sad mood","3"
"Cerebellum","cortex bone disorders","Performance","3"
"Central gray substance of midbrain","cortex bone disorders","Communication Response","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Pain","3"
"Central gray substance of midbrain","Depressive disorder","Stress","3"
"Genus Hippocampus","Depressive disorder","Swimming","3"
"Pontine structure","Depressive disorder","DEPRESSION MENTAL","3"
"Cerebral cortex","Meningeal disorder","Like","3"
"Brain Stem","Spinal Cord Diseases","Psychological suppression","3"
"CA1 field","cortex bone disorders","Memory","3"
"Somatosensory Cortex","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","3"
"Cerebral cortex","Obsessive-Compulsive Disorder","Involvement with","3"
"Parietal Lobe","cortex bone disorders","Pain","3"
"Cerebellum","cortex bone disorders","Memory","3"
"Brain White Matter","Depressive disorder","DEPRESSION MENTAL","3"
"BRAIN, HIPPOCAMPUS","Anxiety Disorders","Mood","3"
"Basal Nucleus of Meynert","Alzheimer's Disease","Attribution","3"
"Structure of angular gyrus","Sensitization (disorder)","Behavior","3"
"Cerebral cortex","Hamartoma Syndrome, Multiple","Psychological inhibition","3"
"Basal Forebrain","Timothy syndrome","Gilles de la Tourette syndrome","3"
"Posterolateral auditory cortex","cortex bone disorders","Projection Defense Mechanism","3"
"Cerebellar cortex structure","Autistic Disorder","Autistic Disorder","3"
"Tectospinal tract of medulla","Timothy syndrome","Projection Defense Mechanism","3"
"Anterodorsal nucleus of thalamus","neuropathology disease","Mental concentration","3"
"Parietal operculum cortex (PO)","cortex bone disorders","At risk for impaired skin integrity","3"
"Structure of terminal stria nuclei of preoptic region","Anxiety Disorders","Anxiety","3"
"Cerebral cortex","Syndrome","Autistic Disorder","3"
"Corpus striatum structure","Huntington Disease","Impaired cognition","3"
"Basal Ganglia","Parkinson Disease","Akinesia","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Memory, Short-Term","3"
"Amygdaloid structure","Hamartoma Syndrome, Multiple","Mental association","3"
"Substantia nigra structure","Herpes zoster disease","Like","3"
"BRAIN, HIPPOCAMPUS","Disorder nervous system","Stress","3"
"Cerebellar Nuclei","cortex bone disorders","Communication Response","3"
"Pulvinar structure","cortex bone disorders","Attention","3"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Spectrum Disorders","Memory impairment","3"
"Cingulate Cortex","Major Depressive Disorder","Unipolar Depression","3"
"Posterolateral auditory cortex","cortex bone disorders","Social Role","3"
"Preoptic Areas","Pituitary Diseases","Social Role","3"
"Basal Forebrain","Alzheimer's Disease","Availability of","3"
"Basal Ganglia","Dystonia Disorders","Social Role","3"
"Entire medulla oblongata","Hypertensive disease","Psychological inhibition","3"
"Genus Hippocampus","cortex bone disorders","Play","3"
"Preoptic Areas","Pituitary Diseases","Communication Response","3"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Projection Defense Mechanism","3"
"Parietal Lobe","Major Depressive Disorder","Unipolar Depression","3"
"Basal Forebrain","Functional disorder","Memory","3"
"Parafascicular Thalamic Nucleus","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","3"
"Dorsal Nucleus Raphe","Mood Disorders","Stress","3"
"Pituitary Gland","Pituitary Diseases","Insight","3"
"Structure of olfactory bulb","Renal glomerular disease","Behavior","3"
"Set of basolateral nuclei of amygdala","Recurrent disease","Cocaine","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Psychological suppression","3"
"Prefrontal Cortex","cortex bone disorders","Memory, Short-Term","3"
"Structure of angular gyrus","Meconium Aspiration Syndrome","Stress","3"
"Hypothalamic structure","Pituitary Diseases","Anxiety","3"
"BRAIN, HIPPOCAMPUS","Sensitization (disorder)","Social Role","3"
"Prefrontal Cortex","Major Depressive Disorder","Social Role","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Recognition (Psychology)","3"
"Medial nucleus of habenula","Depressive disorder","Memory","3"
"Prosencephalon","Major Depressive Disorder","Unipolar Depression","3"
"Dorsal Nucleus Raphe","Panic Disorder","Panic Disorder","3"
"Genus Hippocampus","Alzheimer's Disease","Mental concentration","3"
"Pyramidal Cells","Autistic Disorder","Social Role","3"
"Basal Forebrain","Alzheimer's Disease","memory process","3"
"BRAIN, HIPPOCAMPUS","Functional disorder","Mood","3"
"Prosencephalon","Spinal Cord Diseases","Projection Defense Mechanism","3"
"Genus Hippocampus","Functional disorder","Memory, Short-Term","3"
"Cerebellum","Spinal Cord Diseases","Behavior","3"
"Genus Hippocampus","cortex bone disorders","Comprehension","3"
"central amygdalar nucleus","Anxiety Disorders","Behavior","3"
"BRAIN, HIPPOCAMPUS","Down Syndrome","Cognition","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Uncertainty","3"
"Structure of subthalamic nucleus","Parkinson Disease","Hyperactive behavior","3"
"Optic tract structure","Retinal Diseases","Projection Defense Mechanism","3"
"Set of basolateral nuclei of amygdala","Depressive disorder","Stress","3"
"CA1 field","Alzheimer's Disease","Impaired cognition","3"
"Ventral Tegmental Area","Attention deficit hyperactivity disorder","Addictive Behavior","3"
"Structure of terminal stria nuclei of preoptic region","Mood Disorders","Mood Disorders","3"
"Prefrontal Cortex","Functional disorder","Anxiety","3"
"Entire thalamic reticular nucleus","cortex bone disorders","Psychological inhibition","3"
"Dorsal Nucleus Raphe","cortex bone disorders","Communication Response","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Ethanol","3"
"Structure of subthalamic nucleus","cortex bone disorders","Psychological inhibition","3"
"Tectopontine fibers","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","3"
"Prefrontal Cortex","Functional disorder","Ethanol","3"
"Limbic System","Major Depressive Disorder","Unipolar Depression","3"
"Central gray substance of midbrain","Meconium Aspiration Syndrome","Social Role","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Avoidance","3"
"BRAIN, HIPPOCAMPUS","Disorder nervous system","Involvement with","3"
"Nucleus Accumbens","Major Depressive Disorder","Unipolar Depression","3"
"Ventral Tegmental Area","Depressive disorder","Motivation","3"
"Midbrain structure","Spinal Cord Diseases","Projection Defense Mechanism","3"
"Structure of dentate gyrus","Major Depressive Disorder","Unipolar Depression","3"
"Taste area","cortex bone disorders","taste perception","3"
"Thalamic structure","cortex bone disorders","Psychological habituation","3"
"Globus Pallidus","Tic disorder","Behavioral tic","3"
"Cerebral cortex","Parkinson Disease","Impaired cognition","3"
"Cerebral cortex","Retinal Diseases","Visual Fields","3"
"Nucleus Accumbens","Sensitization (disorder)","Ethanol","3"
"Cerebellum","Movement Disorders","Social Role","3"
"CA3 field","cortex bone disorders","Memory","3"
"Cerebellum","Disorder nervous system","Behavior","3"
"Cerebral hemisphere structure (body structure)","Hypertensive disease","Social Role","3"
"Neostriatum","cortex bone disorders","Performance","3"
"Structure of entorhinal cortex","Functional disorder","Social Role","3"
"BRAIN, HIPPOCAMPUS","Functional disorder","Fetal Alcohol Syndrome","3"
"Pyramidal Cells","cortex bone disorders","Ethanol","3"
"Cerebral cortex","Functional disorder","Comprehension","3"
"Basal Ganglia","Parkinson Disease","Discussion","3"
"Set of basolateral nuclei of amygdala","cortex bone disorders","Cocaine","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","smell perception","3"
"Dorsal Nucleus Raphe","Spinal Cord Diseases","Psychological inhibition","3"
"Pyramidal Cells","Depressive disorder","Psychological suppression","3"
"Structure of terminal stria nuclei of preoptic region","Depressive disorder","Anxiety","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Play","3"
"Prefrontal Cortex","Functional disorder","Mood Disorders","3"
"Structure of locus ceruleus","Wernicke-Korsakoff Syndrome","Amnesia","3"
"Cerebral hemisphere structure (body structure)","Migraine Disorders","Social Role","3"
"Cerebral cortex","Huntington Disease","Behavior","3"
"Pituitary Gland","Pituitary Diseases","social stress","3"
"Lateral Septal Nucleus","Leigh Disease","Eye Movements","3"
"CA2 field","Depressive disorder","Like","3"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Anxiety","3"
"Parietal Lobe","Autistic Disorder","Autistic Disorder","3"
"Cerebral cortex","Disorder nervous system","Autistic Disorder","3"
"Cerebellum","Functional disorder","Comprehension","3"
"BRAIN, HIPPOCAMPUS","Recurrent disease","Fear","3"
"Structure of nucleus infundibularis hypothalami","Skin endocrine disorder","Behavior","3"
"Pituitary Gland","Pituitary Diseases","Play","3"
"Parietal operculum cortex (PO)","cortex bone disorders","At risk for activity intolerance","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Mental association","3"
"Central gray substance of midbrain","Sensitization (disorder)","Psychological inhibition","3"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","Social Role","3"
"Optic tract structure","DISORDERS OF THE OPTIC NERVE","Projection Defense Mechanism","3"
"Anterior insula","cortex bone disorders","Hunger","3"
"Cerebellum","cortex bone disorders","Pain","3"
"Genus Hippocampus","Syndrome","Social Role","3"
"BRAIN, HIPPOCAMPUS","Disorder nervous system","Insight","3"
"Limbic System","Depressive disorder","Behavior","3"
"Basal Forebrain","Alzheimer's Disease","Mental association","3"
"Midbrain structure","Functional disorder","Like","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Withdrawal","3"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Conditionings (Psychology)","3"
"Corpus striatum structure","Parkinson Disease","Physical activity","3"
"Prefrontal Cortex","cortex bone disorders","Cognition","3"
"Pituitary Gland","Major Depressive Disorder","Hyperactive behavior","3"
"Thalamic structure","cortex bone disorders","Attention","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Performance","3"
"Limbic System","Functional disorder","Tinnitus","3"
"Cerebral cortex","Parkinson Disease","Powers (Psychology)","3"
"Structure of suprachiasmatic nucleus","Retinal Diseases","Like","3"
"Bundle, Predorsal","Parkinson Disease","Behavior","3"
"Cerebral hemisphere structure (body structure)","Brain Diseases","Social Role","3"
"Amygdaloid structure","Spinal Cord Diseases","Social Role","3"
"Triangular Septal Nucleus","Down Syndrome","Psychological inhibition","3"
"central amygdalar nucleus","Recurrent disease","Ethanol","3"
"Cerebral cortex","Disorder nervous system","Psychological inhibition","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Coitus","3"
"Lateral habenular nucleus","Depressive disorder","Withdrawal","3"
"Genus Hippocampus","Neurodegenerative Disorders","Social Role","3"
"Entire midbrain","Parkinson Disease","DEPRESSION MENTAL","3"
"Neostriatum","Disorders, Mental","Behavior","3"
"Hypothalamic structure","Pituitary Diseases","Stress, Psychological","3"
"Neostriatum","Pervasive Development Disorder","Social Role","3"
"Cerebellum","Depressive disorder","Learning","3"
"Corpus striatum structure","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","3"
"BRAIN, HIPPOCAMPUS","Memory Disorders","Memory","3"
"Midbrain structure","Attention Deficit Disorder","Hyperactive behavior","3"
"BRAIN, HIPPOCAMPUS","neuropathology disease","Seizures","3"
"Cerebellum","Autistic Disorder","Behavior","3"
"Nucleus Accumbens","Sensitization (disorder)","Withdrawal","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Paralysed","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Cognition","3"
"Cerebral cortex","Mucocutaneous Lymph Node Syndrome","Communication Response","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Object Recognition","3"
"CA1 field","Neurotoxicity Syndromes","Ethanol","3"
"Pars Compacta","Parkinson Disease","Like","3"
"Parietal operculum cortex (PO)","cortex bone disorders","At risk for violence","3"
"Habenula","Disorder of pineal gland","Projection Defense Mechanism","3"
"Prefrontal Cortex","Stress Disorders, Traumatic","Fear","3"
"Nucleus of Ansa Lenticularis","Autistic Disorder","Autistic Disorder","3"
"Interpeduncular nucleus","Depressive disorder","Memory","3"
"Cerebral cortex","Leigh Disease","Social Role","3"
"Orbitofrontal cortex","Obsessive-Compulsive Disorder","Obsessive-Compulsive Personality","3"
"Sensorimotor Cortex","cortex bone disorders","Projection Defense Mechanism","3"
"Cerebral cortex","Bipolar Disorder","Mental association","3"
"Pallidus Nucleus, Raphe","cortex bone disorders","Communication Response","3"
"Tectum Mesencephali","Retinal Diseases","Like","3"
"Pedunculopontine Tegmental Nucleus","Disease Progression","Sleep","3"
"Neostriatum","Syndrome","Like","3"
"Amygdaloid structure","cortex bone disorders","smell perception","3"
"Paracentral Thalamic Nucleus","Depressive disorder","Psychological inhibition","3"
"Temporal Lobe","neuropathology disease","Cognition","3"
"Basal Ganglia","Parkinson Disease","Psychological inhibition","3"
"BRAIN, HIPPOCAMPUS","Functional disorder","Projection Defense Mechanism","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","sharing","3"
"Substantia nigra structure","Parkinson Disease","Coitus","3"
"Neostriatum","Pituitary Diseases","Mental concentration","3"
"Motor Cortex","Spinal Cord Diseases","Social Role","3"
"Structure of fissure of Sylvius","Leigh Disease","Fasting","3"
"Structure of olfactory bulb","Renal glomerular disease","Social Role","3"
"Medulla Oblongata","cortex bone disorders","Projection Defense Mechanism","3"
"Paracentral sulcus","Depressive disorder","DEPRESSION MENTAL","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Anxiety","3"
"Central gray substance of midbrain","McCune-Albright Syndrome","Social Role","3"
"Cerebral cortex","cortex bone disorders","Body Weight","3"
"Cerebellum","cortex bone disorders","Projection Defense Mechanism","3"
"Pyramidal Cells","Alzheimer's Disease","Like","3"
"Prefrontal Cortex","Stress Disorders, Traumatic","Stress","3"
"Temporal Lobe","Memory Disorders","Memory Disorders","3"
"Structure of rubrospinal tract","Bloom Syndrome","Fasting","3"
"Genus Hippocampus","Machado-Joseph Disease","Learning","3"
"Genus Hippocampus","Functional disorder","Psychological inhibition","3"
"Gonadotrophs","Pituitary Diseases","Social Role","3"
"Set of basolateral nuclei of amygdala","cortex bone disorders","Memory","3"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Performance","3"
"Prefrontal Cortex","Functional disorder","Decision Making","3"
"Pyramidal Cells","Functional disorder","Communication Response","3"
"Cerebral cortex","Parkinson Disease","Psychological inhibition","3"
"Prefrontal Cortex","Depressive disorder","Cognition","3"
"Brodmann area 35","cortex bone disorders","Mental association","3"
"Telencephalon","Spinal Cord Diseases","Involvement with","3"
"Nucleus Accumbens","Mood Disorders","Mood Disorders","3"
"Prefrontal Cortex","Autistic Disorder","Social Behavior","3"
"BRAIN, HIPPOCAMPUS","Post-Traumatic Stress Disorder","Communication Response","3"
"Medial nucleus of habenula","Syndrome","Memory","3"
"Neostriatum","Depressive disorder","Drug Dependence","3"
"Ventral Tegmental Area","Depressive disorder","Abnormal behavior","3"
"Prosencephalon","Depressive disorder","Anxiety","3"
"Genus Hippocampus","Parkinson Disease","Involvement with","3"
"BRAIN, HIPPOCAMPUS","neuropathology disease","Behavior","3"
"CA1 field","Li-Fraumeni Syndrome","Communication Response","3"
"Purkinje Cells","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","3"
"Genus Hippocampus","cortex bone disorders","Mental association","3"
"BRAIN, HIPPOCAMPUS","Bipolar Disorder","Abnormal behavior","3"
"central amygdalar nucleus","Functional disorder","Anxiety","3"
"Amygdaloid structure","Post-Traumatic Stress Disorder","Mental concentration","3"
"Basal Ganglia","Syndrome","Gilles de la Tourette syndrome","3"
"Structure of locus ceruleus","Neurodegenerative Disorders","Memory","3"
"Orbitofrontal cortex","Obsessive-Compulsive Disorder","Reversal Learning","3"
"Preoptic Areas","cortex bone disorders","Communication Response","3"
"Genus Hippocampus","Depressive disorder","Communication Response","3"
