"gene","disease","count"
"NGF Gene","Down Syndrome","8"
"GRM5 Gene","Fragile X Syndrome","8"
"SH2D3C Gene","Retinal Diseases","8"
"TRH Gene","Spinal Cord Diseases","8"
"OXT Gene","Depressive disorder","8"
"MPZ gene","Van der Woude syndrome","8"
"FLT4 wt Allele","Nail-Patella Syndrome","8"
"SIRT1 Gene","Spinal Cord Diseases","8"
"NGFR wt Allele","Alzheimer's Disease","8"
"Alleles","Spinal Cord Diseases","8"
"APP gene","Neurodegenerative Disorders","8"
"Retinoic Acid Response Element","Metabolic Diseases","8"
"CANX wt Allele","Hodgkin Disease","8"
"SH2D3C wt Allele","Retinal Diseases","8"
"MAP Kinase Gene","Van der Woude syndrome","8"
"AR wt Allele","Alzheimer's Disease","8"
"Gene Regulatory Networks","Pervasive Development Disorder","8"
"Exons","Spinal Cord Diseases","8"
"Wild Type","Disorder nervous system","8"
"AKR1A1 wt Allele","cortex bone disorders","8"
"PTPN11 gene","Noonan Syndrome","8"
"KISS1 Gene","Ovarian Diseases","8"
"CHGA Gene","Pick Disease of the Brain","8"
"SLC7A5 wt Allele","cortex bone disorders","8"
"MSN Gene","Sensitization (disorder)","8"
"TSC2 gene","Hereditary Diseases","8"
"Chloramphenicol Acetyl Transferase Gene","Alzheimer's Disease","8"
"TARDBP wt Allele","Mild cognitive disorder","8"
"PROC wt Allele","Huntington Disease","8"
"CD8B wt Allele","Spinal Cord Diseases","8"
"NR4A3 Gene","Neurodegenerative Disorders","8"
"Genes","Mitochondrial Diseases","8"
"PTEN gene","DISORDERS OF THE OPTIC NERVE","8"
"LITAF gene","Hamartoma Syndrome, Multiple","8"
"ELK3 Gene","Depressive disorder","8"
"GNRH1 wt Allele","Ovarian Diseases","8"
"UBE3A gene","Autistic Disorder","8"
"SLC2A1 wt Allele","cortex bone disorders","8"
"HTR1A wt Allele","Major Depressive Disorder","8"
"PRRT2 wt Allele","Syndrome, Bloch-Sulzberger","8"
"CDKN2A gene","cortex bone disorders","8"
"GCG Gene","Pancreatic Diseases","8"
"EPO wt Allele","Sweet Syndrome","8"
"Chloramphenicol O-Acetyltransferase","Alzheimer's Disease","8"
"Genes","Cockayne Syndrome, Type II","8"
"CREB1 Gene","Functional disorder","8"
"MTOR Gene","Hereditary Diseases","8"
"FGFR1 wt Allele","Functional disorder","8"
"CX3CR1 Gene","Alzheimer's Disease","8"
"MAPT gene","Syndrome","8"
"RANGAP1 wt Allele","Shwachman syndrome","8"
"PODXL wt Allele","Huntington Disease","8"
"CNR1 gene","cortex bone disorders","8"
"MTR wt Allele","Clinically isolated syndrome","8"
"HCRT Gene","cortex bone disorders","8"
"RASA1 Gene","Alzheimer's Disease","8"
"Genes","Pancreatic Diseases","8"
"APOE gene","Functional disorder","8"
"C9orf72 Gene","Shy-Drager Syndrome","8"
"NDOR1 wt Allele","cortex bone disorders","8"
"MTR Gene","Clinically isolated syndrome","8"
"LYST wt Allele","Chediak-Higashi Syndrome","8"
"ATP8A2 wt Allele","Hamartoma Syndrome, Multiple","8"
"NES Gene","Niemann-Pick Disease, Type C","8"
"Retinoic Acid Response Element","Huntington Disease","8"
"TH gene","Van der Woude syndrome","8"
"GNRH1 wt Allele","Kallmann Syndrome","8"
"SIRT1 Gene","Disease Progression","8"
"MECP2 wt Allele","Autism Spectrum Disorders","8"
"Alleles","Functional disorder","8"
"TNFRSF21 Gene","Alzheimer's Disease","8"
"CHD7 gene","CHARGE Syndrome","8"
"CD8A wt Allele","Spinal Cord Diseases","8"
"GYPA wt Allele","Alzheimer's Disease","8"
"Cancer-Predisposing Gene","Autism Spectrum Disorders","8"
"TLR4 Gene","Functional disorder","8"
"Long Interspersed Element","Bipolar Disorder","8"
"Genes","Van der Woude syndrome","8"
"Wild Type","Prune Belly Syndrome","8"
"GRM1 wt Allele","Depressive disorder","8"
"EPHB1 Gene","Depressive disorder","8"
"SLC6A4 wt Allele","cortex bone disorders","8"
"NPY wt Allele","Sweet Syndrome","8"
"c-fos Genes","Syndrome, Bloch-Sulzberger","8"
"NR4A3 Gene","Retinal Diseases","8"
"MTOR Gene","Neurodegenerative Disorders","8"
"RASA1 wt Allele","Alzheimer's Disease","8"
"ENG wt Allele","Depressive disorder","8"
"INS gene","Metabolic Diseases","8"
"CD36 Gene","Alzheimer's Disease","8"
"MAPT wt Allele","Motor Neuron Disease","8"
"Promoter","Depressive disorder","8"
"PITX2 wt Allele","Functional disorder","8"
"S100A12 wt Allele","Spinal Cord Diseases","8"
"EPO Gene","Sweet Syndrome","8"
"GNRH1 Gene","Ovarian Diseases","8"
"MAPK3 wt Allele","Depressive disorder","8"
"Alleles","cortex bone disorders","8"
"NDOR1 Gene","cortex bone disorders","8"
"NR4A3 wt Allele","Retinal Diseases","8"
"S100B Gene","Alzheimer's Disease","8"
"Wild Type","Sensitization (disorder)","8"
"APOE gene","Disease Progression","8"
"KISS1 Gene","Functional disorder","8"
"Estrogen Receptors","cortex bone disorders","8"
"SILV wt Allele","Spinal Cord Diseases","8"
"SLC7A5 Gene","cortex bone disorders","8"
"PODXL Gene","Huntington Disease","8"
"PITX2 wt Allele","Syndrome","8"
"BDNF Gene","Disorder nervous system","8"
"SQSTM1 wt Allele","Parkinson Disease","8"
"Genotype","Functional disorder","8"
"NTRK1 Gene","Alzheimer's Disease","8"
"SMN1 gene","Motor Neuron Disease","8"
"HTATIP wt Allele","Spinal Cord Diseases","8"
"S100A8 wt Allele","cortex bone disorders","8"
"PPARA Gene","Alzheimer's Disease","8"
"SMN1 gene","Spinal Cord Diseases","8"
"NPY Gene","Sweet Syndrome","8"
"Genes","Rabies (disorder)","8"
"Homozygote","Disease Progression","8"
"Alleles","Bipolar Disorder","8"
"FMR1 gene","Autism Spectrum Disorders","8"
"REG3A wt Allele","Spinal Cord Diseases","8"
"GLS2 wt Allele","Van der Woude syndrome","8"
"TSC1 wt Allele","Hereditary Diseases","8"
"NLRP3 wt Allele","Retinal Diseases","8"
"Genotype","Depressive disorder","8"
"TUBB3 Gene","Syndrome","8"
"CAT Gene","DISORDERS OF THE OPTIC NERVE","8"
"KHDRBS1 wt Allele","Parkinson Disease","8"
"Retinoic Acid Response Element","Movement Disorders","8"
"BDNF Gene","Diseases of inner ear","8"
"CYBB wt Allele","Chronic granulomatous disease","8"
"FOXG1 Gene","Rett Syndrome","8"
"ELL wt Allele","Neurodegenerative Disorders","8"
"SLC27A4 wt Allele","Niemann-Pick Disease, Type C","8"
"PIK3CA wt Allele","Depressive disorder","8"
"Wild Type","Ataxia as late effect of cerebrovascular disease","8"
"TSC1 gene","Hereditary Diseases","8"
"HTT gene","Autism Spectrum Disorders","8"
"Cancer-Predisposing Gene","Pervasive Development Disorder","8"
"MAPT wt Allele","Depressive disorder","8"
"ELK3 wt Allele","Depressive disorder","8"
"VIM gene","cortex bone disorders","8"
"MAPT wt Allele","Creutzfeldt-Jakob disease","8"
"Promoter","Functional disorder","8"
"GLS2 Gene","Van der Woude syndrome","8"
"MAPT wt Allele","Degenerative disorder","7"
"HMOX1 Gene","Alzheimer's Disease","7"
"AIMP2 Gene","Van der Woude syndrome","7"
"Retinoic Acid Response Element","Williams Syndrome","7"
"CD69 wt Allele","Pituitary Diseases","7"
"SIRT1 Gene","Functional disorder","7"
"TH gene","Hypertensive disease","7"
"KCNK18 wt Allele","Migraine Disorders","7"
"GFAP gene","Hypertrophic disorder of skin, unspecified","7"
"ABCB6 wt Allele","Functional disorder","7"
"SLC1A2 Gene","Functional disorder","7"
"Reading Frames","cortex bone disorders","7"
"TNF Gene","Colonic Diseases","7"
"ABCB6 wt Allele","Disease Progression","7"
"Open Reading Frames","Neurodegenerative Disorders","7"
"Genome","Rett Syndrome","7"
"PODXL wt Allele","Chronic Fatigue Syndrome","7"
"MAP Kinase Gene","Sensitization (disorder)","7"
"Tumor Necrosis Factor-alpha","Fetal Alcohol Syndrome","7"
"DPYD wt Allele","cortex bone disorders","7"
"FAT1 gene","Metabolic Syndrome X","7"
"PSEN1 gene","neuropathology disease","7"
"HTT gene","Machado-Joseph Disease","7"
"AICDA wt Allele","cortex bone disorders","7"
"NTRK2 Gene","Disease Progression","7"
"GYPA wt Allele","Parkinson Disease","7"
"Genes","DISORDERS OF THE OPTIC NERVE","7"
"PLOD1 gene","Ovarian Diseases","7"
"MAPK14 Gene","Van der Woude syndrome","7"
"NDOR1 Gene","Depressive disorder","7"
"Homozygote","Neurodegenerative Disorders","7"
"Long Interspersed Element","Syndrome, Bloch-Sulzberger","7"
"AR gene","Spinal Cord Diseases","7"
"SLC6A4 gene","Functional disorder","7"
"GRN Gene","Parkinsonian Disorders","7"
"PIK3CA wt Allele","cortex bone disorders","7"
"TNF Gene","Sensitization (disorder)","7"
"GFAP gene","Alexander Disease","7"
"DRD2 wt Allele","Depressive disorder","7"
"B3GAT1 wt Allele","Syndrome, Bloch-Sulzberger","7"
"PIK3CA wt Allele","Functional disorder","7"
"GFAP gene","Down Syndrome","7"
"Long Interspersed Element","Disorders, Mental","7"
"MRC1 Gene","Melkersson-Rosenthal Syndrome","7"
"SQSTM1 Gene","Spinal Cord Diseases","7"
"SYP Gene","Functional disorder","7"
"APOE gene","cortex bone disorders","7"
"NR4A3 wt Allele","Spinal Cord Diseases","7"
"ADRB2 Gene","cortex bone disorders","7"
"PITX2 wt Allele","Disorder nervous system","7"
"RPS6KA3 gene","Coffin-Lowry syndrome","7"
"IL6 Gene","cortex bone disorders","7"
"GYPA Gene","Parkinson Disease","7"
"ATG5 wt Allele","Alzheimer's Disease","7"
"LY6E wt Allele","Machado-Joseph Disease","7"
"CDH11 wt Allele","Renal glomerular disease","7"
"ELL wt Allele","Spinal Cord Diseases","7"
"LINC01194 gene","cortex bone disorders","7"
"FMR1 gene","Functional disorder","7"
"NOTCH3 wt Allele","Arteriopathic disease","7"
"Cancer-Predisposing Gene","Bipolar Disorder","7"
"SQSTM1 wt Allele","Spinal Cord Diseases","7"
"SLC6A3 wt Allele","Depressive disorder","7"
"DRD2 Gene","Functional disorder","7"
"LRRK2 gene","Shy-Drager Syndrome","7"
"HTT gene","motor disorder","7"
"TNFRSF1B wt Allele","Neurotoxicity Syndromes","7"
"RANGAP1 wt Allele","Functional disorder","7"
"NR3C2 Gene","Kallmann Syndrome","7"
"Long Interspersed Element","Huntington Disease","7"
"CALCA wt Allele","Alzheimer's Disease","7"
"FBN1 wt Allele","Williams Syndrome","7"
"LEP Gene","Renal glomerular disease","7"
"Major Histocompatibility Complex","Parkinson Disease","7"
"F2 gene","Functional disorder","7"
"Tumor Necrosis Factor-alpha","Sensitization (disorder)","7"
"CYP19A1 Gene","cortex bone disorders","7"
"FAT wt Allele","Metabolic Syndrome X","7"
"CDK5R1 Gene","Disease Progression","7"
"Wild Type","Immunologic Deficiency Syndromes","7"
"GNRH1 Gene","Skin endocrine disorder","7"
"Long Interspersed Element","Ataxia as late effect of cerebrovascular disease","7"
"SLC6A3 Gene","Functional disorder","7"
"NR4A3 Gene","Spinal Cord Diseases","7"
"HP Gene","cortex bone disorders","7"
"GRM5 Gene","Depressive disorder","7"
"IRF6 wt Allele","cortex bone disorders","7"
"FASTK Gene","Bipolar Disorder","7"
"Genes","Rubinstein-Taybi Syndrome","7"
"MRC1 Gene","Disease Progression","7"
"NR3C2 Gene","Disease Progression","7"
"NR4A3 wt Allele","Neurodegenerative Disorders","7"
"CTSB Gene","Functional disorder","7"
"GBA gene","Parkinsonian Disorders","7"
"KCNK18 Gene","Migraine Disorders","7"
"FOXP1 Gene","cortex bone disorders","7"
"Genes","Dyskinetic syndrome","7"
"OXT Gene","Syndrome, Bloch-Sulzberger","7"
"SNCA gene","Neurodegenerative Disorders","7"
"GBA wt Allele","Lysosomal Storage Diseases","7"
"CNTNAP2 Gene","Neurodevelopmental disorder","7"
"TACR1 Gene","Spinal Cord Diseases","7"
"SLC6A4 wt Allele","Neurodegenerative Disorders","7"
"EPO Gene","Spinal Cord Diseases","7"
"EPHA4 Gene","Spinal Cord Diseases","7"
"Heterozygote","Spinal Cord Diseases","7"
"PTEN gene","cortex bone disorders","7"
"KLC1 Gene","Alzheimer's Disease","7"
"CDK5R1 wt Allele","Disease Progression","7"
"CLIP1 wt Allele","Hypertensive disease","7"
"RARA wt Allele","Spinal Cord Diseases","7"
"GNRH1 wt Allele","Skin endocrine disorder","7"
"FAS wt Allele","Fetal Alcohol Syndrome","7"
"Plasmids","cortex bone disorders","7"
"MET wt Allele","Autism Spectrum Disorders","7"
"NLRP3 Gene","Neurodegenerative Disorders","7"
"TPO wt Allele","Parkinsonian Disorders","7"
"NTRK2 Gene","Neurodegenerative Disorders","7"
"NDOR1 wt Allele","Depressive disorder","7"
"GRM5 wt Allele","Functional disorder","7"
"HP wt Allele","cortex bone disorders","7"
"PRNP wt Allele","Disease Progression","7"
"Alleles","Autism Spectrum Disorders","7"
"KRT17 wt Allele","Chronic Fatigue Syndrome","7"
"ASCL1 Gene","cortex bone disorders","7"
"Tumor Necrosis Factor-alpha","Meningeal disorder","7"
"CREB1 wt Allele","Neurotoxicity Syndromes","7"
"SST Gene","Bipolar Disorder","7"
"CALCA Gene","Alzheimer's Disease","7"
"C3 Gene","cortex bone disorders","7"
"TNFRSF11A Gene","cortex bone disorders","7"
"DHPS wt Allele","Opitz-Frias syndrome","7"
"ENG wt Allele","Parkinson Disease","7"
"Genetic Predisposition to Disease","Neurodegenerative Disorders","7"
"MBL2 wt Allele","Spinal Cord Diseases","7"
"BECN1 wt Allele","cortex bone disorders","7"
"HTATIP wt Allele","cortex bone disorders","7"
"SLC6A4 gene","Parkinson Disease","7"
"RPL5 wt Allele","Fragile X Syndrome","7"
"TNFRSF11A wt Allele","cortex bone disorders","7"
"AMH Gene","Functional disorder","7"
"IAPP Gene","Pancreatic Diseases","7"
"Genome","Neurotoxicity Syndromes","7"
"CD4 Gene","Meningeal disorder","7"
"MAP Kinase Gene","Spinal Cord Diseases","7"
"TARDBP wt Allele","cortex bone disorders","7"
"ESR1 wt Allele","Neurodegenerative Disorders","7"
"PCYT1A wt Allele","Alzheimer's Disease","7"
"CYLD wt Allele","Brooke-Spiegler syndrome","7"
"DYRK1A Gene","Autism Spectrum Disorders","7"
"CD36 Gene","Metabolic Syndrome X","7"
"IL6 Gene","Alzheimer's Disease","7"
"FOXD3 wt Allele","Spinal Cord Diseases","7"
"SLC6A3 wt Allele","Parkinson Disease","7"
"GHRL Gene","Pituitary Diseases","7"
"LEP Gene","cortex bone disorders","7"
"ADRB2 wt Allele","cortex bone disorders","7"
"EPO Gene","Alzheimer's Disease","7"
"Wild Type","Communicable Diseases","7"
"SLC6A4 gene","Neurodegenerative Disorders","7"
"FOXD3 wt Allele","Hypertensive disease","7"
"AIMP2 wt Allele","Van der Woude syndrome","7"
"NR3C2 Gene","Melkersson-Rosenthal Syndrome","7"
"Genes","Attention Deficit Disorder","7"
"CYBB gene","Neurotoxicity Syndromes","7"
"PROC wt Allele","Chronic Fatigue Syndrome","7"
"CACNA1A gene","Ataxia as late effect of cerebrovascular disease","7"
"GRIN2B wt Allele","Huntington Disease","7"
"ELL wt Allele","Cerebrovascular Disorders","7"
"GRM5 wt Allele","Syndrome, Bloch-Sulzberger","7"
"SLC1A2 wt Allele","Huntington Disease","7"
"APP gene","Syndrome","7"
"RASA1 wt Allele","Neurotoxicity Syndromes","7"
"TNFAIP1 Gene","Neurotoxicity Syndromes","7"
"FOXP2 Gene","Language Disorders","7"
"NRTN Gene","Parkinson Disease","7"
"Retinoic Acid Response Element","Gilles de la Tourette syndrome","7"
"GRIN2B wt Allele","Neurotoxicity Syndromes","7"
"Chloramphenicol Acetyl Transferase Gene","DISORDERS OF THE OPTIC NERVE","7"
"FBN1 wt Allele","Spinal Cord Diseases","7"
"SPECC1 wt Allele","Mesulam Syndrome","7"
"CD68 Gene","cortex bone disorders","7"
"GLI3 wt Allele","Pallister-Hall syndrome","7"
"RTN1 wt Allele","Mesulam Syndrome","7"
"CISH Gene","Depressive disorder","7"
"Genes","Creutzfeldt-Jakob disease","7"
"ARID1B Gene","Pervasive Development Disorder","7"
"MID1 wt Allele","Retinal Diseases","7"
"CREB1 Gene","Neurotoxicity Syndromes","7"
"RAB40B wt Allele","Spinal Cord Diseases","7"
"HTT wt Allele","Parkinson Disease","7"
"Haploinsufficiency","Functional disorder","7"
"SQSTM1 Gene","Neurotoxicity Syndromes","7"
"PRRT2 Gene","Disorder nervous system","7"
"KCNQ1 wt Allele","Romano-Ward Syndrome","7"
"MPZ gene","Spinal Cord Diseases","7"
"PRNP wt Allele","Functional disorder","7"
"NQO1 Gene","Neurotoxicity Syndromes","7"
"NTRK1 Gene","Functional disorder","7"
"Promoter","Bipolar Disorder","7"
"TH gene","Dyskinetic syndrome","7"
"TLR4 Gene","cortex bone disorders","7"
"Wild Type","Autism Spectrum Disorders","7"
"Genes","Sensitization (disorder)","7"
"SLC6A4 wt Allele","Functional disorder","7"
"MIR22 wt Allele","Alzheimer's Disease","7"
"c-fos Genes","Esophageal Diseases","7"
"AGER Gene","Neurotoxicity Syndromes","7"
"Homozygote","Parkinson Disease","7"
"CNR1 gene","Retinal Diseases","7"
"RANGAP1 wt Allele","Mild cognitive disorder","7"
"Heterozygote","Rett Syndrome","7"
"SPECC1 Gene","Mesulam Syndrome","7"
"Chloramphenicol O-Acetyltransferase","DISORDERS OF THE OPTIC NERVE","7"
"Estrogen Receptors","Pituitary Diseases","7"
"PICALM Gene","Alzheimer's Disease","7"
"MAPT wt Allele","Brain Diseases","7"
"SARM1 Gene","Neurodegenerative Disorders","7"
"MRC1 Gene","Kallmann Syndrome","7"
"MTOR Gene","Disease Progression","7"
"Heterozygote","Disease Progression","7"
"Enhancer of transcription","Parkinson Disease","7"
"AKR1A1 wt Allele","Spinal Cord Diseases","7"
"PDC Gene","Alzheimer's Disease","7"
"BDNF Gene","Brain Diseases","7"
"GRM5 Gene","Syndrome, Bloch-Sulzberger","7"
"PARK7 wt Allele","Parkinsonian Disorders","7"
"Tumor Necrosis Factor-alpha","Colonic Diseases","7"
"ras Oncogene","Autistic Disorder","7"
"C9orf72 Gene","Disease Progression","7"
"TNF Gene","Fetal Alcohol Syndrome","7"
"GPER wt Allele","Myeloproliferative Syndrome, Transient","7"
"SOD1 wt Allele","cortex bone disorders","7"
"CXCL12 Gene","Meningeal disorder","7"
"Enhancer of transcription","Depressive disorder","7"
"MAPK14 wt Allele","Van der Woude syndrome","7"
"HMOX1 Gene","Neurotoxicity Syndromes","7"
"Homozygote","Developmental delay (disorder)","7"
"ANK1 Gene","Irritable Bowel Syndrome","7"
"CDK5R1 Gene","Neurotoxicity Syndromes","7"
"CD36 wt Allele","Metabolic Syndrome X","7"
"PODXL Gene","Chronic Fatigue Syndrome","7"
"Aromatase","cortex bone disorders","7"
"CA9 Gene","Parkinson Disease","7"
"CD69 wt Allele","Bipolar Disorder","7"
"DCX wt Allele","Spinal Cord Diseases","7"
"CDK5R1 wt Allele","Neurotoxicity Syndromes","7"
"PROC Gene","Chronic Fatigue Syndrome","7"
"FOXD3 wt Allele","Alzheimer's Disease","7"
"Transgenes","Functional disorder","7"
"CERKL Gene","Retinal Diseases","7"
"Long Interspersed Element","Neurodevelopmental disorder","7"
"RTN1 Gene","Mesulam Syndrome","7"
"SLC6A3 Gene","Depressive disorder","7"
"CD4 Gene","Spinal Cord Diseases","7"
"YY1 wt Allele","Retinal Diseases","7"
"Genome","Down Syndrome","7"
"NBL1 wt Allele","Nijmegen Breakage Syndrome","7"
"Wild Type","Autistic Disorder","7"
"NTRK3 Gene","Spinal Cord Diseases","7"
"APOE gene","neuropathology disease","7"
"ERCC6 wt Allele","Cockayne Syndrome, Type II","7"
"NBL1 wt Allele","Nicolaides Baraitser syndrome","7"
"FAM49B wt Allele","DISORDERS OF THE OPTIC NERVE","7"
"Transgenes","Retinal Diseases","7"
"SQSTM1 Gene","Neurodegenerative Disorders","7"
"AR gene","cortex bone disorders","6"
"Epidermal Growth Factor","cortex bone disorders","6"
"SET Gene","Renal glomerular disease","6"
"AGT Gene","Cardiovascular Diseases","6"
"BCL9 Gene","Langer-Giedion Syndrome","6"
"AIMP2 wt Allele","cortex bone disorders","6"
"OLIG2 Gene","cortex bone disorders","6"
"SNRPN gene","Spinal Cord Diseases","6"
"PAG1 Gene","Rubinstein-Taybi Syndrome","6"
"KNG1 wt Allele","Pallister-Hall syndrome","6"
"SIRT1 Gene","Neurotoxicity Syndromes","6"
"estrogen receptor alpha, human","Pituitary Diseases","6"
"PRNP wt Allele","Syndrome","6"
"CD36 wt Allele","cortex bone disorders","6"
"AGER wt Allele","Neurotoxicity Syndromes","6"
"DNMT1 Gene","cortex bone disorders","6"
"SLC6A3 Gene","Shy-Drager Syndrome","6"
"PADI4 wt Allele","Spinal Cord Diseases","6"
"Heterozygote","Ataxia as late effect of cerebrovascular disease","6"
"GALR2 Gene","Depressive disorder","6"
"MYCBP2 wt Allele","Van der Woude syndrome","6"
"Homozygote","Retinal Diseases","6"
"NR4A3 wt Allele","Functional disorder","6"
"Heterozygote","Mirror movements (disorder)","6"
"GRIN2A wt Allele","Neurotoxicity Syndromes","6"
"SQSTM1 wt Allele","Neurotoxicity Syndromes","6"
"Chloramphenicol Acetyl Transferase Gene","Disease Progression","6"
"KHDRBS1 wt Allele","Neurotoxicity Syndromes","6"
"ELL wt Allele","Metabolic Syndrome X","6"
"CHGA Gene","Alzheimer's Disease","6"
"BCL9 Gene","Lennox-Gastaut syndrome","6"
"VIM gene","Spinal Cord Diseases","6"
"F2 wt Allele","cortex bone disorders","6"
"CTBP1 wt Allele","cortex bone disorders","6"
"Long Interspersed Element","Syndrome","6"
"AICDA Gene","cortex bone disorders","6"
"CTSD Gene","Neurodegenerative Disorders","6"
"PPARA Gene","Neurotoxicity Syndromes","6"
"SNCA gene","Disease Progression","6"
"FASTK Gene","Renal glomerular disease","6"
"HMGB1 Gene","cortex bone disorders","6"
"GRM5 wt Allele","Alzheimer's Disease","6"
"Plasmids","Parkinson Disease","6"
"HTT wt Allele","Depressive disorder","6"
"PTEN gene","Depressive disorder","6"
"SCG2 Gene","Neurotoxicity Syndromes","6"
"TAF15 Gene","Feline urological syndrome","6"
"NPY Gene","Hypertensive disease","6"
"Retinoic Acid Response Element","Eosinophilic disorder","6"
"ESR1 Gene","cortex bone disorders","6"
"Tumor Necrosis Factor-alpha","Disease Progression","6"
"CD55 wt Allele","Parkinson Disease","6"
"MAPK14 wt Allele","cortex bone disorders","6"
"HTT gene","Pervasive Development Disorder","6"
"Genes","Cohen syndrome","6"
"TH gene","Depressive disorder","6"
"POSTN wt Allele","Alzheimer's Disease","6"
"PLP1 gene","Spinal Cord Diseases","6"
"PSIP1 Gene","neuropathology disease","6"
"MAPK1 wt Allele","Syndrome, Bloch-Sulzberger","6"
"CX3CR1 Gene","cortex bone disorders","6"
"FUS Gene","cortex bone disorders","6"
"MAPK14 Gene","cortex bone disorders","6"
"NR3C1 Gene","cortex bone disorders","6"
"MECP2 gene","Hereditary Diseases","6"
"GHRL Gene","cortex bone disorders","6"
"EIF4E wt Allele","Rubinstein-Taybi Syndrome","6"
"RTN4 wt Allele","Spinal Cord Diseases","6"
"Long Interspersed Element","Pervasive Development Disorder","6"
"SET Gene","Disorder nervous system","6"
"MPZ gene","Retinal Diseases","6"
"SBDS wt Allele","cortex bone disorders","6"
"CD69 wt Allele","Hypertensive disease","6"
"CTSD Gene","Functional disorder","6"
"CRH Gene","Van der Woude syndrome","6"
"BAG3 wt Allele","Feline urological syndrome","6"
"PODXL Gene","Hashimoto Disease","6"
"PAG1 wt Allele","Rubinstein-Taybi Syndrome","6"
"EPHA4 Gene","Alzheimer's Disease","6"
"TLR4 Gene","Spinal Cord Diseases","6"
"Retinoic Acid Response Element","Migraine Disorders","6"
"NR4A3 Gene","Functional disorder","6"
"NTRK1 Gene","Mild cognitive disorder","6"
"Long Interspersed Element","Major Depressive Disorder","6"
"CXCL12 wt Allele","Niemann-Pick Disease, Type C","6"
"S100B Gene","Mood Disorders","6"
"SOD1 gene","Functional disorder","6"
"FASTK Gene","Lens Diseases","6"
"EIF4E Gene","Menkes Kinky Hair Syndrome","6"
"GRM5 Gene","Functional disorder","6"
"KAL1 wt Allele","Kallmann Syndrome 1","6"
"ATRX gene","Syndrome","6"
"TFRC wt Allele","cortex bone disorders","6"
"PINK1 gene","Alzheimer's Disease","6"
"DTL Gene","Spastic syndrome","6"
"F2R Gene","cortex bone disorders","6"
"FYN wt Allele","Lewy Body Disease","6"
"Genes","Distal arthrogryposis syndrome","6"
"BCL9 wt Allele","Lennox-Gastaut syndrome","6"
"CUX1 wt Allele","Spinal Cord Diseases","6"
"OXT wt Allele","Pituitary Diseases","6"
"SQSTM1 wt Allele","Neurodegenerative Disorders","6"
"NEUROD1 Gene","Retinal Diseases","6"
"RELN Gene","Disorder nervous system","6"
"HP Gene","Syndrome, Bloch-Sulzberger","6"
"Genes","Lesch-Nyhan Syndrome","6"
"FAT1 gene","cortex bone disorders","6"
"MEIS1 Gene","Retinal Diseases","6"
"NR4A3 Gene","Parkinson Disease","6"
"TECTA Gene","DISORDERS OF THE OPTIC NERVE","6"
"NFIA Gene","Spinal Cord Diseases","6"
"GRIN2A wt Allele","Landau-Kleffner Syndrome","6"
"ACPP Gene","Spinal Cord Diseases","6"
"GRIN2B Gene","Functional disorder","6"
"INS gene","Metabolic Syndrome X","6"
"BCL9 wt Allele","Langer-Giedion Syndrome","6"
"OXT Gene","Uterine Diseases","6"
"REG3A Gene","Spinal Cord Diseases","6"
"Alleles","Parkinson Disease","6"
"MAS1 Gene","Opitz-Frias syndrome","6"
"DTL wt Allele","Spastic syndrome","6"
"PADI4 wt Allele","cortex bone disorders","6"
"ADIPOQ wt Allele","Depressive disorder","6"
"IL13 Gene","Van der Woude syndrome","6"
"RBFOX1 Gene","Neurodevelopmental disorder","6"
"AGT Gene","Spinal Cord Diseases","6"
"THBD wt Allele","Timothy syndrome","6"
"MTCP1NB wt Allele","cortex bone disorders","6"
"NTRK2 Gene","Depressive disorder","6"
"EPHB2 Gene","Autistic Disorder","6"
"Tumor Necrosis Factor-alpha","Liver diseases","6"
"SLC6A3 Gene","Attention deficit hyperactivity disorder","6"
"NR4A3 wt Allele","Parkinson Disease","6"
"TH gene","Disorder of pineal gland","6"
"MAP Kinase Gene","Depressive disorder","6"
"SIRT3 Gene","Alzheimer's Disease","6"
"MID1 wt Allele","Macrophage Activation Syndrome","6"
"NR3C1 Gene","Pituitary Diseases","6"
"APOE gene","Down Syndrome","6"
"MYCBP2 Gene","Van der Woude syndrome","6"
"Haploinsufficiency","22q13.3 Deletion Syndrome","6"
"HTT gene","Ataxia as late effect of cerebrovascular disease","6"
"PSIP1 Gene","Spinal Cord Diseases","6"
"Heterozygote","Parkinsonian Disorders","6"
"TNF Gene","Neurodegenerative Disorders","6"
"HTT wt Allele","neuropathology disease","6"
"RELN Gene","Autistic Disorder","6"
"GRN Gene","Syndrome","6"
"BACE1 Gene","Neurotoxicity Syndromes","6"
"PTN wt Allele","Menkes Kinky Hair Syndrome","6"
"Clustered Regularly Interspaced Short Palindromic Repeats","Disorder nervous system","6"
"FAT wt Allele","cortex bone disorders","6"
"NEFL gene","Spinal Cord Diseases","6"
"MAPK8 wt Allele","Van der Woude syndrome","6"
"CUX1 wt Allele","neuropathology disease","6"
"CDK5 Gene","Neurodegenerative Disorders","6"
"AR gene","Alzheimer's Disease","6"
"CAT Gene","Disease Progression","6"
"Genome","neuropathology disease","6"
"HAMP Gene","Neurotoxicity Syndromes","6"
"DRD2 Gene","cortex bone disorders","6"
"Alleles","Pervasive Development Disorder","6"
"GPER wt Allele","Parkinson Disease","6"
"SH3PXD2A wt Allele","Parkinson Disease","6"
