"brainregion","gene","count"
"BRAIN, HIPPOCAMPUS","SNCG wt Allele","28"
"Cerebral cortex","BCL11B Gene","28"
"Brain Stem","ENG wt Allele","28"
"Cerebral cortex","BCL11B wt Allele","28"
"Structure of piriform area","c-fos Genes","28"
"BRAIN, HIPPOCAMPUS","HTT gene","28"
"Pyramidal Cells","HOXA10 wt Allele","28"
"Neocortex","Wild Type","28"
"Genus Hippocampus","Heterozygote","28"
"Hypothalamic structure","GGH wt Allele","28"
"Cerebral cortex","FOXD3 wt Allele","28"
"Cerebellum","Heterozygote","28"
"Corpus striatum structure","GRIN2B wt Allele","28"
"Ventral reticulospinal tract","RECQL4 wt Allele","28"
"BRAIN, HIPPOCAMPUS","GBA wt Allele","28"
"BRAIN, HIPPOCAMPUS","GPER1 gene","28"
"Substantia innominata","TCEA1 Gene","28"
"Lateral habenular nucleus","c-fos Genes","28"
"Structure of nucleus infundibularis hypothalami","GGH wt Allele","28"
"Genus Hippocampus","Transgenes","28"
"Ventral reticulospinal tract","CREBBP wt Allele","28"
"BRAIN, HIPPOCAMPUS","SCTR wt Allele","28"
"Trigeminal Nuclei","TNC Gene","28"
"Structure of nucleus infundibularis hypothalami","GH1 Gene","28"
"Medulla Oblongata","C3 Gene","28"
"Structure of trigeminal nerve mesencephalic tract","FAT wt Allele","28"
"Central insular sulcus","Promoter","28"
"Genus Hippocampus","IL6 Gene","28"
"Prefrontal Cortex","Long Interspersed Element","28"
"Pineal gland","ANXA5 Gene","28"
"BRAIN, HIPPOCAMPUS","AR gene","28"
"Cerebral cortex","HP Gene","27"
"Pyramidal Cells","FAM49B wt Allele","27"
"Neostriatum","CAT Gene","27"
"Metencephalon","Alleles","27"
"Structure of dentate gyrus","Genes","27"
"Ventral Tegmental Area","FASTK Gene","27"
"Structure of medial preoptic nucleus","ESR1 Gene","27"
"Prefrontal Cortex","AR wt Allele","27"
"Hypothalamic structure","PGR Gene","27"
"BRAIN, HIPPOCAMPUS","HPSE Gene","27"
"Structure of angular gyrus","MAS1 wt Allele","27"
"Structure of angular gyrus","MAS1 Gene","27"
"Structure of locus ceruleus","Chloramphenicol O-Acetyltransferase","27"
"CA1 field","SCTR wt Allele","27"
"Thalamic structure","CD69 wt Allele","27"
"Structure of locus ceruleus","Chloramphenicol Acetyl Transferase Gene","27"
"Cerebral cortex","NR4A3 wt Allele","27"
"Cerebral cortex","SLC7A5 Gene","27"
"CA1 field","PSEN1 wt Allele","27"
"Cerebral cortex","Genotype","27"
"Cerebral cortex","SLC7A5 wt Allele","27"
"CA1 field","SNCG wt Allele","27"
"Pituitary Gland","Genes","27"
"Cerebellum","Tumor Necrosis Factor-alpha","27"
"Hypothalamic structure","Promoter","27"
"Cerebral cortex","HTATIP wt Allele","27"
"Hypothalamic structure","ENG wt Allele","27"
"BRAIN, HIPPOCAMPUS","F2 gene","27"
"Corpus striatum structure","NPY Gene","27"
"Cerebral cortex","NR4A3 Gene","27"
"Structure of locus ceruleus","CAT Gene","27"
"Corpus striatum structure","MAPK3 Gene","27"
"Pituitary Gland","OXT Gene","27"
"CA1 field","GRIN2A wt Allele","26"
"Pyramidal Cells","BDNF Gene","26"
"BRAIN, HIPPOCAMPUS","C-KIT Gene","26"
"Midbrain structure","CAT Gene","26"
"Structure of medial preoptic nucleus","GNRH1 wt Allele","26"
"Cerebral cortex","CREB1 Gene","26"
"Purkinje Cells","YY1 wt Allele","26"
"Structure of nucleus infundibularis hypothalami","GHRH Gene","26"
"BRAIN, HIPPOCAMPUS","FOSB Gene","26"
"Basal Forebrain","NTRK1 Gene","26"
"CA3 field","ENG wt Allele","26"
"BRAIN, HIPPOCAMPUS","KIT gene","26"
"Cerebral cortex","NES Gene","26"
"BRAIN, HIPPOCAMPUS","CSPG4 wt Allele","26"
"Nucleus solitarius","GCG Gene","26"
"Genus Hippocampus","TP53 gene","26"
"Bundle, Predorsal","SNCA gene","26"
"BRAIN, HIPPOCAMPUS","SYNPO Gene","26"
"Structure of dentate gyrus","NES Gene","26"
"Hypothalamic structure","NR5A1 wt Allele","26"
"Prefrontal Cortex","TH gene","26"
"Cerebellum","ATOH1 Gene","26"
"CA2 field","ENG wt Allele","26"
"Cerebral cortex","ASCL1 Gene","26"
"Prosencephalon","TH gene","26"
"Cerebral hemisphere structure (body structure)","AKT1S1 wt Allele","26"
"Ventral Tegmental Area","PLOD1 gene","26"
"Cerebral cortex","BACE1 Gene","26"
"Pyramidal Cells","CNR1 gene","26"
"Cerebral cortex","MAPK8 wt Allele","26"
"BRAIN, HIPPOCAMPUS","CSPG4 Gene","26"
"Corpus striatum structure","MAPK3 wt Allele","26"
"central amygdalar nucleus","CRH wt Allele","26"
"BRAIN, HIPPOCAMPUS","CDH2 Gene","26"
"Nucleus fastigii","FASLG Gene","26"
"BRAIN, HIPPOCAMPUS","NTRK1 Gene","26"
"BRAIN, HIPPOCAMPUS","CDK5 Gene","26"
"Cerebral cortex","MTR wt Allele","26"
"Neostriatum","GRIN2B wt Allele","26"
"Purkinje Cells","FOXP2 Gene","26"
"Genus Hippocampus","SET Gene","26"
"Brain Stem","SET Gene","26"
"Cerebral cortex","CREB1 wt Allele","26"
"Ventral Posterior Nucleus","OXT Gene","25"
"Cerebral cortex","ROS1 Gene","25"
"Genus Hippocampus","SH2D3C wt Allele","25"
"Genus Hippocampus","NOS1 wt Allele","25"
"CA2 field","MAPT wt Allele","25"
"Prosencephalon","NGF Gene","25"
"Structure of dentate gyrus","GFAP gene","25"
"Neocortex","FASTK Gene","25"
"Cerebral cortex","ROS1 wt Allele","25"
"BRAIN, HIPPOCAMPUS","PHGDH wt Allele","25"
"Cerebral cortex","TNFRSF1B wt Allele","25"
"BRAIN, HIPPOCAMPUS","Retinoic Acid Response Element","25"
"central amygdalar nucleus","SST Gene","25"
"Genus Hippocampus","TP53 wt Allele","25"
"Structure of angular gyrus","ATM wt Allele","25"
"Structure of nucleus gracilis","KRIT1 wt Allele","25"
"Hypothalamic structure","BDNF Gene","25"
"Area striata structure","SET Gene","25"
"BRAIN, HIPPOCAMPUS","HMOX1 Gene","25"
"Substantia nigra structure","BDNF Gene","25"
"Structure of locus ceruleus","CD69 wt Allele","25"
"Cerebral cortex","ESR1 wt Allele","25"
"CA2 field","Genes","25"
"Cerebral hemisphere structure (body structure)","INS gene","25"
"Hypothalamic structure","ANG Gene","25"
"Structure of nucleus infundibularis hypothalami","estrogen receptor alpha, human","25"
"Neostriatum","MAPK3 Gene","25"
"Parabrachial Nucleus","c-fos Genes","25"
"Lamina Terminalis","GNRH1 Gene","25"
"Genus Hippocampus","SH2D3C Gene","25"
"BRAIN, HIPPOCAMPUS","CDKN2A gene","25"
"Cerebral cortex","Genes, Immediate-Early","25"
"Brain Stem","CALCA Gene","25"
"Anterodorsal nucleus of thalamus","PRNP gene","25"
"Thalamic structure","Promoter","25"
"BRAIN, HIPPOCAMPUS","SLC1A2 wt Allele","25"
"Thalamic structure","ENG wt Allele","25"
"Structure of nucleus gracilis","CALM1 wt Allele","25"
"Substantia nigra structure","PINK1 gene","25"
"Anterodorsal nucleus of thalamus","PRNP wt Allele","25"
"BRAIN, HIPPOCAMPUS","Plasmids","25"
"Genus Hippocampus","Homozygote","25"
"Hypothalamic Area, Lateral","PBX1 wt Allele","25"
"Organum Vasculosum Laminae Terminalis","GNRH1 Gene","25"
"Structure of rubrospinal tract","KRT17 wt Allele","24"
"Genus Hippocampus","HTR1A wt Allele","24"
"Neostriatum","MAPK3 wt Allele","24"
"Septum Pellucidum","AGXT gene","24"
"central amygdalar nucleus","HCRT Gene","24"
"Structure of dentate gyrus","MAPT wt Allele","24"
"Ventral Tegmental Area","SEMA4D wt Allele","24"
"Telencephalon","SH3PXD2A wt Allele","24"
"Dorsal Nucleus Raphe","CRH Gene","24"
"Ventral Tegmental Area","AR wt Allele","24"
"Inferior frontal gyrus","IFNG wt Allele","24"
"Cerebral cortex","ERBB4 Gene","24"
"Cerebellum","NES Gene","24"
"Corpus striatum structure","CAT Gene","24"
"Cerebral cortex","TM4SF1 wt Allele","24"
"Paracentral Thalamic Nucleus","PITX2 wt Allele","24"
"Cortex, Primary Motor","Wild Type","24"
"Posterior cerebral commissure","PITX2 wt Allele","24"
"Ventral Tegmental Area","AREG wt Allele","24"
"Nucleus solitarius","PHOX2B gene","24"
"Structure of nucleus gracilis","PGR Gene","24"
"Prefrontal Cortex","AR gene","24"
"Structure of rubrospinal tract","PROC wt Allele","24"
"Cerebellum","TH gene","24"
"Ventral Tegmental Area","AR gene","24"
"CA1 field","SET Gene","24"
"Prefrontal Cortex","AREG wt Allele","24"
"Structure of paraventricular nucleus of thalamus","ERBB4 Gene","24"
"Structure of nucleus gracilis","PGR wt Allele","24"
"BRAIN, HIPPOCAMPUS","BECN1 wt Allele","24"
"Pyramidal Cells","APP gene","24"
"Structure of paraventricular nucleus of thalamus","VIP Gene","24"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","FASTK Gene","24"
"Genus Hippocampus","TNFRSF1B wt Allele","24"
"Visual Cortex","FASTK Gene","24"
"Structure of rubrospinal tract","PODXL wt Allele","24"
"Hypothalamic Area, Lateral","HCRT wt Allele","24"
"Caudate nucleus structure","CAT Gene","24"
"Genus Hippocampus","Aromatase","24"
"Cerebellum","DMD gene","24"
"Cerebral cortex","SST wt Allele","24"
"Cerebral cortex","Exons","24"
"Structure of rubrospinal tract","PODXL Gene","24"
"Inferior Colliculus","Chloramphenicol O-Acetyltransferase","24"
"Amygdaloid structure","HCRT Gene","24"
"CA1 field","SYP Gene","24"
"Ventral Tegmental Area","INS gene","24"
"mossy fiber","LITAF gene","24"
"Structure of rubrospinal tract","PROC Gene","24"
"Ventral Lateral Thalamic Nucleus","PAG1 wt Allele","24"
"BRAIN, HIPPOCAMPUS","NFKB1 wt Allele","24"
"Structure of paraventricular nucleus of thalamus","VIP wt Allele","24"
"Structure of paraventricular nucleus of thalamus","FST wt Allele","24"
"Midbrain structure","LEP Gene","24"
"Cerebral cortex","APP wt Allele","24"
"Cerebral cortex","CTSL Gene","24"
"Nucleus solitarius","OXT Gene","24"
"Inferior frontal gyrus","IFNG Gene","24"
"Diagonal Band of Broca","GNRH1 Gene","24"
"Cerebral hemisphere structure (body structure)","Tumor Necrosis Factor-alpha","24"
"Cerebral cortex","FMOD wt Allele","24"
"Cortex, Primary Motor","LITAF gene","24"
"Cerebral cortex","TGFBI wt Allele","23"
"Genus Hippocampus","HCRT Gene","23"
"Purkinje Cells","TNF Gene","23"
"Structure of paraventricular nucleus","OXT Gene","23"
"Midbrain structure","CD69 wt Allele","23"
"Structure of suprachiasmatic nucleus","NPY Gene","23"
"Cortex, Primary Motor","SOD1 gene","23"
"Brain Stem","Long Interspersed Element","23"
"CA3 field","PITX2 wt Allele","23"
"Motor Cortex","Wild Type","23"
"Structure of dentate gyrus","c-fos Genes","23"
"BRAIN, HIPPOCAMPUS","FOSB wt Allele","23"
"Nucleus solitarius","POMC Gene","23"
"Prefrontal Cortex","SST Gene","23"
"Pyramidal Cells","c-fos Genes","23"
"BRAIN, HIPPOCAMPUS","SLC12A2 wt Allele","23"
"Caudate nucleus structure","Chloramphenicol Acetyl Transferase Gene","23"
"Midbrain structure","Chloramphenicol O-Acetyltransferase","23"
"BRAIN, HIPPOCAMPUS","KRIT1 wt Allele","23"
"CA1 field","MAPK3 Gene","23"
"Dorsal Nucleus Raphe","SLC6A4 gene","23"
"Cortex, Primary Motor","Genes","23"
"Pituitary Gland, Posterior","AVP Gene","23"
"Purkinje Cells","CD69 wt Allele","23"
"BRAIN, HIPPOCAMPUS","CALM1 wt Allele","23"
"Structure of rubrospinal tract","IKBKG wt Allele","23"
"BRAIN, HIPPOCAMPUS","TNF wt Allele","23"
"BRAIN, HIPPOCAMPUS","GNRH1 Gene","23"
"Hypothalamic structure","NTRK2 Gene","23"
"Caudate nucleus structure","Chloramphenicol O-Acetyltransferase","23"
"BRAIN, HIPPOCAMPUS","DNTT Gene","23"
"Substantia nigra structure","ENG wt Allele","23"
"Cerebellum","RELN Gene","23"
"Gigantocellular nucleus","ELANE wt Allele","23"
"BRAIN, HIPPOCAMPUS","CX3CR1 Gene","23"
"Cerebellar cortex structure","LITAF gene","23"
"Cerebral cortex","GRIN2A Gene","23"
"Corpus striatum structure","SET Gene","23"
"Structure of oculomotor nerve central caudal nucleus","HTATIP2 wt Allele","23"
"Inferior Colliculus","Chloramphenicol Acetyl Transferase Gene","23"
"Genus Hippocampus","Alleles","23"
"BRAIN, HIPPOCAMPUS","CCND1 gene","23"
"Substantia innominata","CHAT Gene","23"
"Prefrontal Cortex","Genome","23"
"Pyramidal Cells","ATP8A2 wt Allele","23"
"Inferior Colliculus","CAT Gene","23"
"Dorsal Nucleus Raphe","TH gene","23"
"BRAIN, HIPPOCAMPUS","CP Gene","23"
"Structure of rubrospinal tract","SDHB wt Allele","23"
"Cerebellum","TNF Gene","23"
"Bundle, Predorsal","Wild Type","23"
"Structure of oculomotor nerve central caudal nucleus","HTATIP2 Gene","23"
"Cerebral cortex","HP wt Allele","23"
"Thalamic structure","MPZ gene","23"
"Preoptic Areas","estrogen receptor alpha, human","23"
"Midbrain structure","Chloramphenicol Acetyl Transferase Gene","23"
"Purkinje Cells","Tumor Necrosis Factor-alpha","23"
"Genus Hippocampus","CDK5R1 wt Allele","23"
"Genus Hippocampus","GRM5 wt Allele","23"
"Structure of dentate gyrus","GCLC wt Allele","23"
"Gigantocellular nucleus","HCRT Gene","23"
"Corpus Callosum","Genes","23"
"Ventral Tegmental Area","SLC6A3 wt Allele","23"
"Purkinje Cells","Homozygote","23"
"Interpeduncular nucleus","PITX2 wt Allele","23"
"Cerebellum","CDKN2A wt Allele","23"
"Structure of nucleus infundibularis hypothalami","Estrogen Receptors","23"
"BRAIN, HIPPOCAMPUS","SLC12A2 Gene","23"
"BRAIN, HIPPOCAMPUS","Epidermal Growth Factor","23"
"Genus Hippocampus","CUX1 wt Allele","23"
"BRAIN, HIPPOCAMPUS","IGF1 Gene","23"
"Structure of dentate gyrus","PSME3 wt Allele","23"
"Substantia Nigra Pars Reticulata","TH gene","23"
"CA1 field","RANGAP1 wt Allele","23"
"Cerebral cortex","IRF6 wt Allele","23"
"BRAIN, HIPPOCAMPUS","SUB1 Gene","23"
"Genus Hippocampus","NPY Gene","23"
"BRAIN, HIPPOCAMPUS","MET wt Allele","23"
"Cerebral cortex","FOXP2 Gene","23"
"Bundle, Predorsal","MAPT wt Allele","23"
"Telencephalon","AKT1S1 wt Allele","23"
"Thalamic structure","SLC18A2 Gene","22"
"Prefrontal Cortex","CNR1 gene","22"
"Thalamic structure","NPY wt Allele","22"
"BRAIN, HIPPOCAMPUS","LacZ Genes","22"
"Prosencephalon","CD69 wt Allele","22"
"Median preoptic nucleus","ANG Gene","22"
"Genus Hippocampus","ATG5 Gene","22"
"Lamina Terminalis","GNRH1 wt Allele","22"
"Genus Hippocampus","APOE gene","22"
"BRAIN, HIPPOCAMPUS","HP Gene","22"
"CA1 field","CREB1 wt Allele","22"
"Brain Stem","SST Gene","22"
"CA3 field","MAPT wt Allele","22"
"Lateral geniculate complex","LITAF gene","22"
"Cerebral cortex","NOS1 wt Allele","22"
"BRAIN, HIPPOCAMPUS","RRM1 Gene","22"
"Genus Hippocampus","ERBB4 Gene","22"
"Brain Stem","ANG Gene","22"
"Substantia nigra structure","PARK2 gene","22"
"BRAIN, HIPPOCAMPUS","ADAM10 Gene","22"
"Neostriatum","SET Gene","22"
"Pyramidal Cells","TM4SF1 wt Allele","22"
"Cerebral cortex","GHRL Gene","22"
"Cerebellum","FAM49B wt Allele","22"
"Cerebral cortex","C3 Gene","22"
"Preoptic Areas","ESR1 Gene","22"
"Structure of subthalamic nucleus","c-fos Genes","22"
"CA2 field","c-fos Genes","22"
"Neocortex","SST Gene","22"
"Genus Hippocampus","PSIP1 Gene","22"
"Genus Hippocampus","ELANE wt Allele","22"
"Genus Hippocampus","S100A9 wt Allele","22"
"CA2 field","Long Interspersed Element","22"
"Genus Hippocampus","CYP19A1 Gene","22"
"Prefrontal Cortex","MTOR Gene","22"
"Cerebral cortex","EREG wt Allele","22"
"Ventral Tegmental Area","CRH Gene","22"
"Thalamic structure","LITAF gene","22"
"Gonadotrophs","GNRH1 Gene","22"
"Linear nucleus","CRH Gene","22"
"BRAIN, HIPPOCAMPUS","PROC Gene","22"
"Genus Hippocampus","POMT1 gene","22"
"Hypothalamic Area, Lateral","GHRL Gene","22"
"Genus Hippocampus","ELANE Gene","22"
"Peripeduncular nucleus","WISP3 wt Allele","22"
"Cerebral cortex","LRRK2 gene","22"
"Basal Forebrain","MAPT wt Allele","22"
"Amygdaloid structure","Aromatase","22"
"Substantia innominata","AVP wt Allele","22"
"Prefrontal Cortex","WAS wt Allele","22"
"Preoptic Areas","TH gene","22"
"Neostriatum","Transgenes","22"
"Gigantocellular nucleus","SLC4A1 wt Allele","22"
"CA1 field","CREB1 Gene","22"
"Genus Hippocampus","NR4A3 wt Allele","22"
"BRAIN, HIPPOCAMPUS","PNP Gene","22"
"Diagonal Band of Broca","GNRH1 wt Allele","22"
"Structure of locus ceruleus","NPY Gene","22"
"BRAIN, HIPPOCAMPUS","DMD gene","22"
"BRAIN, HIPPOCAMPUS","BAG3 wt Allele","22"
"Cerebral cortex","CTSL1 wt Allele","22"
"CA1 field","DKK1 wt Allele","22"
"Lobe, Frontal","CHAT Gene","22"
"Cerebral cortex","MALAT1 wt Allele","22"
"Peripeduncular nucleus","EIF2C2 wt Allele","22"
"Genus Hippocampus","NR4A3 Gene","22"
"Medulla Oblongata","NPY Gene","22"
"BRAIN, HIPPOCAMPUS","FOXO3 Gene","22"
"Ventral Posterior Nucleus","SILV wt Allele","22"
"BRAIN, HIPPOCAMPUS","MSC Gene","22"
"Cerebral cortex","PTEN gene","22"
"Amygdaloid structure","Long Interspersed Element","21"
"Tuberomammillary Nucleus","HCRT Gene","21"
"Hindbrain","LEP Gene","21"
"Genus Hippocampus","CDK5R1 Gene","21"
"Hypothalamic structure","Tumor Necrosis Factor-alpha","21"
"Genus Hippocampus","LITAF gene","21"
"Genus Hippocampus","HSPA5 Gene","21"
"BRAIN, HIPPOCAMPUS","LMNA wt Allele","21"
"Nucleus fastigii","FASLG wt Allele","21"
"Thalamic structure","SLC18A2 wt Allele","21"
"Structure of nucleus prepositus","Genes","21"
"Cerebral cortex","APOE gene","21"
"BRAIN, HIPPOCAMPUS","KRAS wt Allele","21"
"Cerebral cortex","SQSTM1 Gene","21"
"Anterodorsal nucleus of thalamus","CD69 wt Allele","21"
"BRAIN, HIPPOCAMPUS","EPO Gene","21"
"Linear nucleus","TRH wt Allele","21"
"Cerebral cortex","VIM gene","21"
"Ventral Posterior Nucleus","OXT wt Allele","21"
"Cerebral cortex","SPN Gene","21"
"Cerebral cortex","Plasmids","21"
"Structure of locus ceruleus","Genes","21"
"Structure of nucleus infundibularis hypothalami","LEPR Gene","21"
"BRAIN, HIPPOCAMPUS","NLRP1 Gene","21"
"Linear nucleus","TRH Gene","21"
"Cerebral cortex","MAP1LC3A Gene","21"
"Genus Hippocampus","CX3CL1 Gene","21"
"Amygdaloid structure","Estrogen Receptors","21"
"Midbrain structure","SEMA4D wt Allele","21"
"central amygdalar nucleus","CEACAM5 wt Allele","21"
"Prosencephalon","SET Gene","21"
"Substantia nigra structure","CAT Gene","21"
"Cerebral hemisphere structure (body structure)","APP gene","21"
"Neostriatum","LRRK2 gene","21"
"Hypothalamic structure","TRH Gene","21"
"CA3 field","Genes","21"
"Bundle, Predorsal","SCG2 Gene","21"
"Cerebral cortex","DKK1 wt Allele","21"
"CA1 field","MAPK3 wt Allele","21"
"Cerebral hemisphere structure (body structure)","TNF Gene","21"
"Brain Stem","SOD1 gene","21"
"BRAIN, HIPPOCAMPUS","GPER wt Allele","21"
"Structure of paraventricular nucleus of thalamus","c-fos Genes","21"
"Substantia nigra structure","IRF6 wt Allele","21"
"Brain Stem","PITX2 wt Allele","21"
"Purkinje Cells","PDZK1 wt Allele","21"
"Pars Compacta","Wild Type","21"
"Genus Hippocampus","MAPK14 Gene","21"
"BRAIN, HIPPOCAMPUS","NOTCH1 wt Allele","21"
"Dorsal Motor Nucleus","c-fos Genes","21"
"Genus Hippocampus","OXT Gene","21"
"Nucleus Accumbens","FASTK Gene","21"
"Corpus striatum structure","LRRK2 gene","21"
"BRAIN, HIPPOCAMPUS","CYBB gene","21"
"Neocortex","CD55 wt Allele","21"
"Prefrontal Cortex","MAPT wt Allele","21"
"central amygdalar nucleus","CEACAM5 Gene","21"
"Cerebral cortex","MAP1LC3A wt Allele","21"
"BRAIN, HIPPOCAMPUS","SUB1 wt Allele","21"
"Cerebral cortex","MAPK14 Gene","21"
"Structure of dentate gyrus","PSEN1 wt Allele","21"
"Cerebral cortex","ELANE wt Allele","21"
"Ventral premammillary nucleus","LEP Gene","21"
"BRAIN, HIPPOCAMPUS","SOD2 Gene","21"
"BRAIN, HIPPOCAMPUS","NOTCH1 Gene","21"
"Corpus striatum structure","Transgenes","21"
"Purkinje Cells","PDZK1 Gene","21"
"Structure of dentate gyrus","PSEN1 gene","21"
"Amygdaloid structure","TH gene","20"
"BRAIN, HIPPOCAMPUS","MET Gene","20"
"Tuberomammillary Nucleus","c-fos Genes","20"
"BRAIN, HIPPOCAMPUS","KRT17 wt Allele","20"
"Cerebral cortex","IKBKG wt Allele","20"
"Substantia nigra structure","SEMA4D wt Allele","20"
"Cerebellar cortex structure","PODXL wt Allele","20"
"Purkinje Cells","CDKN2A wt Allele","20"
"Cerebellar cortex structure","PROC wt Allele","20"
"BRAIN, HIPPOCAMPUS","VIM gene","20"
"Cerebellar cortex structure","PODXL Gene","20"
"Neostriatum","MAPT wt Allele","20"
"Motor Cortex","LITAF gene","20"
"Thalamic structure","FASTK Gene","20"
"Pyramidal Cells","RELN Gene","20"
"BRAIN, HIPPOCAMPUS","3' Untranslated Regions","20"
"Structure of locus ceruleus","SST Gene","20"
"BRAIN, HIPPOCAMPUS","DNA, Mitochondrial","20"
"Cerebral cortex","JUN Gene","20"
"Structure of rubrospinal tract","CHGA Gene","20"
"Pyramidal Cells","Promoter","20"
"BRAIN, HIPPOCAMPUS","PNP wt Allele","20"
"BRAIN, HIPPOCAMPUS","GNRH1 wt Allele","20"
"Substantia nigra structure","GDNF Gene","20"
"Medial Septal Nucleus","PI3 wt Allele","20"
"Corpus striatum structure","MAPT wt Allele","20"
"Structure of terminal stria nuclei of preoptic region","Estrogen Receptors","20"
"Pyramidal Cells","CD55 wt Allele","20"
"Genus Hippocampus","AIMP2 Gene","20"
"Lateral Dorsal Nucleus","RANGAP1 wt Allele","20"
"Midbrain structure","SHH Gene","20"
"BRAIN, HIPPOCAMPUS","PODXL Gene","20"
"Genus Hippocampus","BECN1 wt Allele","20"
"Premotor cortex","AKR1A1 wt Allele","20"
"Cerebral hemisphere structure (body structure)","Long Interspersed Element","20"
"BRAIN, HIPPOCAMPUS","CD36 Gene","20"
"Motor Cortex","SOD1 gene","20"
"BRAIN, HIPPOCAMPUS","C9orf72 Gene","20"
"Thalamic structure","HCRT Gene","20"
"Neocortex","RELN Gene","20"
"Motor Cortex","Genes","20"
"Anterodorsal nucleus of thalamus","Alleles","20"
"Cerebral cortex","KHDRBS1 wt Allele","20"
"Pars Compacta","SLC6A3 Gene","20"
"BRAIN, HIPPOCAMPUS","SCG2 Gene","20"
"BRAIN, HIPPOCAMPUS","NCAM1 wt Allele","20"
"BRAIN, HIPPOCAMPUS","SLC6A4 wt Allele","20"
"Substantia nigra structure","c-fos Genes","20"
"Genus Hippocampus","MAPK14 wt Allele","20"
"Marginal Sulcus","PI3 Gene","20"
"Amygdaloid structure","CRH wt Allele","20"
"Marginal Sulcus","PI3 wt Allele","20"
"Bundle, Predorsal","HTT wt Allele","20"
"Ventral Tegmental Area","DRD2 Gene","20"
"Anterodorsal nucleus of thalamus","ABCB6 wt Allele","20"
"Neostriatum","Promoter","20"
"Cerebral cortex","DCX gene","20"
"Purkinje Cells","Transgenes","20"
"Ventral Tegmental Area","Long Interspersed Element","20"
"Medial Septal Nucleus","PI3 Gene","20"
"BRAIN, HIPPOCAMPUS","FGF2 wt Allele","20"
"Linear nucleus","CRH wt Allele","20"
"BRAIN, HIPPOCAMPUS","CDKN2B wt Allele","20"
"BRAIN, HIPPOCAMPUS","PODXL wt Allele","20"
"Cerebellar cortex structure","PROC Gene","20"
"Cerebellum","NGF Gene","20"
"Superior colliculus of corpora quadrigemina","POLE Gene","20"
"Genus Hippocampus","AIMP2 wt Allele","20"
"Median eminence of hypothalamus","PLOD1 gene","20"
"Cerebellum","JUN Gene","20"
"Prefrontal Cortex","ENG wt Allele","20"
"Structure of dentate gyrus","APP gene","20"
"Auditory Hair Cell","Genes","20"
"Structure of rubrospinal tract","MSMB wt Allele","20"
"Cerebral cortex","NLRP3 Gene","20"
"BRAIN, HIPPOCAMPUS","SIRT3 Gene","20"
"Cerebellum","C9orf72 Gene","20"
"BRAIN, HIPPOCAMPUS","TLR2 Gene","20"
"Brain Stem","CALCA wt Allele","20"
"Cerebral cortex","MAPK14 wt Allele","20"
"Cerebellar cortex structure","KRT17 wt Allele","20"
"Genus Hippocampus","PTGS2 Gene","19"
"Cerebral cortex","LEP Gene","19"
"Basal Ganglia","MAPT wt Allele","19"
"Cerebellum","SYP Gene","19"
"Flocculus","LITAF gene","19"
"BRAIN, HIPPOCAMPUS","AVP Gene","19"
"BRAIN, HIPPOCAMPUS","TNFRSF1A wt Allele","19"
"BRAIN, HIPPOCAMPUS","ASAH1 wt Allele","19"
"Genus Hippocampus","GBA wt Allele","19"
"Cerebral cortex","CUX1 wt Allele","19"
"Lobe, Frontal","BDNF Gene","19"
"Brain Stem","LEP Gene","19"
"Pyramidal Cells","AR wt Allele","19"
"Inferior Colliculus","c-fos Genes","19"
"Structure of capsule of red nucleus","RELN Gene","19"
"Structure of olfactory bulb","FASTK Gene","19"
"Cerebral hemisphere structure (body structure)","CALCA Gene","19"
"Cortex, Primary Motor","CTSL1 wt Allele","19"
"Internal capsule posterior limb structure","PTEN gene","19"
"Structure of ventromedial hypothalamic nucleus","DST wt Allele","19"
"Cerebral cortex","DNA, Mitochondrial","19"
"Lobe, Frontal","TH gene","19"
"Cerebral cortex","NPY wt Allele","19"
"Genus Hippocampus","YY1 wt Allele","19"
"Pedunculopontine Tegmental Nucleus","CHAT Gene","19"
"Basal Ganglia","Genes","19"
"Entire medulla oblongata","ANG Gene","19"
"Cerebral cortex","NOS2 Gene","19"
"BRAIN, HIPPOCAMPUS","EGR1 wt Allele","19"
"Primary Auditory Cortex","PPFIBP1 wt Allele","19"
"Neostriatum","CNR1 gene","19"
"Cerebral cortex","AIMP2 Gene","19"
"Structure of suprachiasmatic nucleus","IFNAR1 wt Allele","19"
"BRAIN, HIPPOCAMPUS","AREG wt Allele","19"
"Medulla Oblongata","TRH Gene","19"
"Insula of Reil","c-fos Genes","19"
"CA1 field","SLC1A2 Gene","19"
"Laterodorsal tegmental nucleus","CHAT Gene","19"
"Substantia nigra structure","SNCA gene","19"
"Genus Hippocampus","ATG5 wt Allele","19"
"BRAIN, HIPPOCAMPUS","ras Oncogene","19"
"Hindbrain","EHMT1 Gene","19"
"BRAIN, HIPPOCAMPUS","ENO2 Gene","19"
"Pyramidal Cells","ERBB4 Gene","19"
"Entire medulla oblongata","CD69 wt Allele","19"
"Genus Hippocampus","NR3C1 wt Allele","19"
"Structure of suprachiasmatic nucleus","IFNAR1 Gene","19"
"Cortex, Primary Motor","CTSL Gene","19"
"Genus Hippocampus","HSPA5 wt Allele","19"
"Corpus striatum structure","CNR1 gene","19"
