"mental","disease","count"
"Difficulty speaking","Speech Disorders","7"
"Communication Response","Camurati-Engelmann Syndrome","7"
"Motivation","cortex bone disorders","7"
"Mood","Parkinson Disease","7"
"Hyperactive behavior","Stereotypic Movement Disorder","7"
"Paralysed","Functional disorder","7"
"Vision","Disorder nervous system","7"
"Behavior","CNS disorder","7"
"Paralysed","Disease Progression","7"
"Behavioral change","Neurodegenerative Disorders","7"
"smell perception","Retinal Diseases","7"
"Panic Attacks","Panic Disorder","7"
"Physical Contact","Disorder of pineal gland","7"
"Memory","Attention deficit hyperactivity disorder","7"
"Comprehension","Hereditary Diseases","7"
"Sex Behavior","Retinal Diseases","7"
"Stress","Substance Use Disorders","7"
"Social Role","Gaucher Disease","7"
"Behavior","Cerebellar Diseases","7"
"Fasting","Bipolar Disorder","7"
"Unipolar Depression","Autism Spectrum Disorders","7"
"Mental concentration","neuropathology disease","7"
"Insight","Niemann-Pick Disease, Type C","7"
"Avoidance","Anxiety Disorders","7"
"Comprehension","Fragile X Syndrome","7"
"Cognition","Cognition Disorders","7"
"DEPRESSION MENTAL","Cushing Syndrome","7"
"Thinking, function","cortex bone disorders","7"
"Perception","Irritable Bowel Syndrome","7"
"Ability to interact with others","Autistic Disorder","7"
"Stereotyped Behavior","Tic disorder","7"
"Like","Hereditary Diseases","7"
"Avoidance","cortex bone disorders","7"
"Social Role","Sleep Apnea Syndromes","7"
"Facial Expression","Seasonal Affective Disorder","7"
"Social Skills","Autism Spectrum Disorders","7"
"Impaired cognition","Sleep Disorders","7"
"Comprehension","Dystonia Disorders","7"
"Social Role","Zika virus disease (disorder)","7"
"unresponsive behavior","Parkinsonian Disorders","7"
"Coitus","Huntington Disease","7"
"Insight","Feline urological syndrome","7"
"Mental Processes","Functional disorder","7"
"Mental Processes","Disorders, Mental","7"
"DEPRESSION MENTAL","Recurrent disease","7"
"Sleep","Mood Disorders","7"
"Fasting","Alzheimer's Disease","7"
"DEPRESSION MENTAL","Cognition Disorders","7"
"High risk of","Autism Spectrum Disorders","7"
"Like","Chimera (disorder)","7"
"Sex Behavior","Obsessive-Compulsive Disorder","7"
"Emotions","Brain Diseases","7"
"Social Cognition","Functional disorder","7"
"Attribution","Depressive disorder","7"
"Sex Behavior","Skin endocrine disorder","7"
"Projection Defense Mechanism","Sensitization (disorder)","7"
"Gilles de la Tourette syndrome","Hamartoma Syndrome, Multiple","7"
"Communication Response","Sequela of disorder","7"
"Binge eating disorder","Eating Disorders","7"
"Behavior","Lewy Body Disease","7"
"Psychological inhibition","Gilles de la Tourette syndrome","7"
"Anxiety","Brain Diseases","7"
"Psychological Transfer","Depressive disorder","7"
"Stress","Disease of thymus gland","7"
"Comprehension","Skin endocrine disorder","7"
"Communication Response","Nail-Patella Syndrome","7"
"Cognition","Mixed anxiety and depressive disorder","7"
"Impaired cognition","Dystonia Disorders","7"
"Comprehension","Sleep Disorders","7"
"Bradykinesia","Dystonia Disorders","7"
"Conditionings (Psychology)","Spinal Cord Diseases","7"
"Deglutition","Esophageal Diseases","7"
"Mental concentration","Sweet Syndrome","7"
"Communication Response","Sensorineural hearing loss (disorder)","7"
"Stress","Hamartoma Syndrome, Multiple","7"
"Ethanol","Disease Progression","7"
"Behavior","Chronic myeloproliferative disorder","7"
"Irritation - emotion","Depressive disorder","7"
"Maladaptive behavior associated with physical illness","Functional disorder","7"
"Behavior","Timothy syndrome","7"
"Seizures","Dyskinetic syndrome","7"
"Irritable Mood","Depressive disorder","7"
"Factors, Risk","Recurrent disease","7"
"Intrinsic drive","Disease Progression","7"
"Experience","Parkinson Disease","7"
"Emotional Strain","Retinal Diseases","7"
"Seizures","Spinal Cord Diseases","7"
"Sensory Feedback","Spinal Cord Diseases","7"
"Availability of","Dystonia Disorders","7"
"Perception","Depressive disorder","7"
"Communication Response","Inflammatory disorder","7"
"Amnesia","cortex bone disorders","7"
"Nonverbal Communication","Autism Spectrum Disorders","7"
"prepulse inhibition activity","Disorders, Mental","7"
"Addictive Behavior","Major Depressive Disorder","7"
"Seizures","Fragile X Syndrome","7"
"Autistic Disorder","Major Depressive Disorder","7"
"Involvement with","Creutzfeldt-Jakob disease","7"
"Conditioning, Classical","cortex bone disorders","7"
"Emotions","Disorder nervous system","7"
"Pain","Neurotoxicity Syndromes","7"
"Psychological inhibition","Sweet Syndrome","7"
"Comprehension","Memory Disorders","7"
"Unipolar Depression","Psychotic Disorders","7"
"Hyperactive behavior","Gilles de la Tourette syndrome","7"
"Sex Behavior","Huntington Disease","7"
"Panic Disorder","Functional disorder","7"
"Risk Assessment","Neurotoxicity Syndromes","7"
"Involvement with","Recurrent disease","7"
"Drug Tolerance","cortex bone disorders","7"
"Mood swings","Depressive disorder","7"
"Autistic Disorder","Angelman Syndrome","7"
"Stress","Polycystic Ovary Syndrome","7"
"Delusions","Psychotic Disorders","7"
"Insight","Bipolar Disorder","7"
"Abnormal behavior","Mixed anxiety and depressive disorder","7"
"DEPRESSION MENTAL","Substance Use Disorders","7"
"Behavior","Substance Withdrawal Syndrome","7"
"Memory","Mesulam Syndrome","7"
"Memory, Long-Term","Alzheimer's Disease","7"
"Impaired social interaction","Pervasive Development Disorder","7"
"Interview","Autistic Disorder","7"
"Hypokinesia","Syndrome","7"
"Depressive Symptoms","Mild cognitive disorder","7"
"Mood Disorders","Alzheimer's Disease","7"
"Drug abuse","Functional disorder","7"
"Success","Recurrent disease","7"
"Conditionings (Psychology)","Post-Traumatic Stress Disorder","7"
"Sex Behavior","Van der Woude syndrome","7"
"Autistic Disorder","Gilles de la Tourette syndrome","7"
"Communication Response","Attention deficit hyperactivity disorder","7"
"Experience","Disease Progression","7"
"Stress","CNS disorder","7"
"Pain","Chronic pain syndrome","7"
"Memory, Episodic","Mild cognitive disorder","7"
"Alcoholic Intoxication, Chronic","Major Depressive Disorder","7"
"Perception","Autistic Disorder","7"
"Anxiety","Disorder nervous system","7"
"Insight","Sequela of disorder","7"
"Addictive Behavior","Sensitization (disorder)","7"
"unresponsive behavior","cortex bone disorders","7"
"Coitus","Obsessive-Compulsive Disorder","7"
"Unipolar Depression","Autistic Disorder","7"
"Like","Metabolic Diseases","7"
"Comprehension","Fetal Alcohol Syndrome","7"
"Memory, Short-Term","Disorders, Mental","7"
"Behavior","Pica Disease","7"
"Conditionings (Psychology)","Stress Disorders, Traumatic","7"
"Hearing problem","Pervasive Development Disorder","7"
"Delayed Puberty","Klinefelter Syndrome","7"
"Stereotyped Behavior","Ataxia as late effect of cerebrovascular disease","7"
"Regression - mental defense mechanism","Rett Syndrome","7"
"Communication Response","Finnish congenital nephrotic syndrome","7"
"Suicide","Disorders, Mental","7"
"Mood Disorders","Disorder nervous system","7"
"Impaired social interaction","Neurodevelopmental disorder","7"
"Availability of","Mood Disorders","7"
"Visual Suppression","cortex bone disorders","7"
"Fasting","Disorder nervous system","7"
"Psychological Transfer","Sweet Syndrome","7"
"Behavioral change","Neurotoxicity Syndromes","7"
"Coitus","Autistic Disorder","7"
"Persistence","Sensitization (disorder)","7"
"Consideration","Parkinson Disease","7"
"Involvement with","Cognition Disorders","7"
"Insight","DISORDERS OF THE OPTIC NERVE","7"
"Experience","Autism Spectrum Disorders","7"
"Social Role","Lysosomal Storage Diseases","7"
"Psychological suppression","Pervasive Development Disorder","6"
"Physical Contact","Pituitary Diseases","6"
"Seizures","Guillain-Barre Syndrome","6"
"Tic disorder","Functional disorder","6"
"Stress","Sequela of disorder","6"
"Emotions","Antisocial Personality Disorder","6"
"Pain","Griscelli syndrome type 2","6"
"Social Role","Peripheral Arterial Diseases","6"
"Anxiety","Stereotypic Movement Disorder","6"
"Behavioral change","Autistic Disorder","6"
"Discussion","Disease Progression","6"
"Learning","Pervasive Development Disorder","6"
"Anxiety","Gilles de la Tourette syndrome","6"
"Overactivity","Parkinson Disease","6"
"Stress","Cardiovascular Diseases","6"
"Carrying","cortex bone disorders","6"
"Mental concentration","Migraine Disorders","6"
"Nociception","cortex bone disorders","6"
"Pain","Herpes zoster disease","6"
"Seizures","Angelman Syndrome","6"
"Cognition","CNS disorder","6"
"Communication Response","Lens Diseases","6"
"Alcoholic Intoxication, Chronic","Communicable Diseases","6"
"Behavior","Delirium, Dementia, Amnestic, Cognitive Disorders","6"
"Body Weight","Van der Woude syndrome","6"
"Involvement with","Mild cognitive disorder","6"
"Attention","Anxiety Disorders","6"
"Withdrawal","Pituitary Diseases","6"
"Chronic pain","Parkinson Disease","6"
"Attribution","Disorder nervous system","6"
"Cocaine","Substance Use Disorders","6"
"Social Role","Lafora Disease","6"
"Thinking, function","Disorders, Mental","6"
"Availability of","Down Syndrome","6"
"DEPRESSION MENTAL","Autonomic nervous system disorders","6"
"Depressed mood","Bipolar Disorder","6"
"Social Behavior","cortex bone disorders","6"
"DEPRESSION MENTAL","Ataxia as late effect of cerebrovascular disease","6"
"Pain","Autism Spectrum Disorders","6"
"Attention","Attention Deficit Disorder","6"
"Sleep","Syndrome","6"
"psychological orientation","Spinal Cord Diseases","6"
"Emotional states","Depressive disorder","6"
"Emotions","Neurodevelopmental disorder","6"
"Travel","Spinal Cord Diseases","6"
"Substance Abuse Problems","Functional disorder","6"
"Alcohol consumption","cortex bone disorders","6"
"Memory impairment","Recurrent disease","6"
"Reflex, Acoustic","Disorder of middle ear","6"
"Addictive Behavior","Syndrome","6"
"Habituation, Psychophysiologic","Fragile X Syndrome","6"
"Tinnitus","Depressive disorder","6"
"Eye Movements","Nystagmus associated with disorder of the vestibular system","6"
"Memory","Major Depressive Disorder","6"
"Stress","Cognition Disorders","6"
"Language Delay","Autistic Disorder","6"
"Sex Behavior","Mood Disorders","6"
"Psychological suppression","Thyroid Diseases","6"
"Behavior","Peripheral Arterial Diseases","6"
"Mental association","Cerebrovascular Disorders","6"
"Emotional Strain","Hamartoma Syndrome, Multiple","6"
"Hearing impairment","Sequela of disorder","6"
"Communication Response","Williams Syndrome","6"
"Eye Movements","cortex bone disorders","6"
"Social Role","Basal Ganglia Diseases","6"
"Like","Irritable Bowel Syndrome","6"
"Addictive Behavior","Autism Spectrum Disorders","6"
"Like","Leigh Disease","6"
"Sleep Deprivation","Depressive disorder","6"
"Paralysed","cortex bone disorders","6"
"Life Style","Metabolic Syndrome X","6"
"Feedback - system communication","Neurotoxicity Syndromes","6"
"Rage","Neurotoxicity Syndromes","6"
"Behavior","DISORDERS OF THE OPTIC NERVE","6"
"Like","Pyruvate Dehydrogenase Complex Deficiency Disease","6"
"Psychological Transfer","Spinal Cord Diseases","6"
"High risk of","Depressive disorder","6"
"Hypokinesia","Depressive disorder","6"
"Mental concentration","Niemann-Pick Disease, Type C","6"
"Communication Response","Diseases of inner ear","6"
"Amnesia","Disorder nervous system","6"
"Impaired cognition","Retinal Diseases","6"
"Hearing impairment","Sensory Disorders","6"
"Feeling content","Spinal Cord Diseases","6"
"Suicidal behavior","Depressive disorder","6"
"Behavior","Alcohol withdrawal syndrome","6"
"Psychological inhibition","Fetal Alcohol Syndrome","6"
"Delirium","Alzheimer's Disease","6"
"Memory impairment","Autistic Disorder","6"
"Alcoholic Intoxication, Chronic","Alcohol use disorder","6"
"Psychological habituation","Fragile X Syndrome","6"
"Involvement with","Disorder of pineal gland","6"
"Pain","Virus Diseases","6"
"Feedback - system communication","Alzheimer's Disease","6"
"Behavior","Muckle-Wells Syndrome","6"
"Awareness","cortex bone disorders","6"
"Fasting","Renal glomerular disease","6"
"Seizures","Attention deficit hyperactivity disorder","6"
"Panic Disorder","Disorders, Mental","6"
"Fetal Alcohol Syndrome","neuropathology disease","6"
"Learning","Autistic Disorder","6"
"Recognition (Psychology)","Pervasive Development Disorder","6"
"Attack behavior","Brain Diseases","6"
"Sleep","Narcolepsy-Cataplexy Syndrome","6"
"Uncertainty","Pervasive Development Disorder","6"
"Social Role","Corneal Diseases","6"
"Cognitive information processing","Brain Diseases","6"
"Interested","Degenerative disorder","6"
"Social Role","Norrie disease","6"
"Panic Disorder","Stress Disorders, Traumatic","6"
"Learning","Neurodevelopmental disorder","6"
"High risk of","Pervasive Development Disorder","6"
"Emotions","neuropathology disease","6"
"Nervousness","Depressive disorder","6"
"Regression - mental defense mechanism","Disease Progression","6"
"Activities of Daily Living","Alzheimer's Disease","6"
"Hyperactive behavior","Tic disorder","6"
"Ethanol","Ataxia as late effect of cerebrovascular disease","6"
"Hyperactive behavior","Anxiety Disorders","6"
"On examination - apathetic","Parkinsonian Disorders","6"
"Vision","Parkinson Disease","6"
"On examination - apathetic","Functional disorder","6"
"Persistence","Spinal Cord Diseases","6"
"Developmental arithmetic disorder","Developmental arithmetic disorder","6"
"Night Vision","Retinal Diseases","6"
"Mood","Disease Progression","6"
"Insight","Cognition Disorders","6"
"Wakefulness","Sturge-Weber Syndrome","6"
"Generalizations (Psychology)","Stress Disorders, Traumatic","6"
"Factors, Risk","Metabolic Diseases","6"
"Social Role","Melkersson-Rosenthal Syndrome","6"
"Factors, Risk","Migraine Disorders","6"
"Communication","Parkinson Disease","6"
"Akinesia","Syndrome","6"
"Feeling powerless","Depressive disorder","6"
"Communication Response","Metabolic Diseases","6"
"Vision","Disorder of eye","6"
"Vocalization (finding)","cortex bone disorders","6"
"Visual learning","Autistic Disorder","6"
"Manic","Mood Disorders","6"
"Emotional Strain","Hypertensive disease","6"
"Persistence","Disease Progression","6"
"Insight","Recurrent disease","6"
"Sets (Psychology)","Depressive disorder","6"
"Like","Autoimmune Diseases","6"
"Speech","Autism Spectrum Disorders","6"
"Learning","Anxiety Disorders","6"
"memory process","Functional disorder","6"
"Memory, Short-Term","Attention deficit hyperactivity disorder","6"
"Discussion","Spinal Cord Diseases","6"
"Behavior","Metabolic Diseases","6"
"Fasting","Hamartoma Syndrome, Multiple","6"
"Mental association","Melkersson-Rosenthal Syndrome","6"
"Disputes","Depressive disorder","6"
"Mental association","Cardiovascular Diseases","6"
"Interested","Migraine Disorders","6"
"Memory, Remote","cortex bone disorders","6"
"Like","Stiff-Person Syndrome","6"
"Sex Behavior","Sensitization (disorder)","6"
"Communication Response","Chronic Fatigue Syndrome","6"
"Coitus","Van der Woude syndrome","6"
"Involvement with","Autoimmune Diseases","6"
"Psychological suppression","Autism Spectrum Disorders","6"
"Projection Defense Mechanism","Nose Diseases","6"
"Depression, Bipolar","Autistic Disorder","6"
"Involvement with","Attention Deficit Disorder","6"
"Vision","Degenerative disorder","6"
"Experience","Disorder nervous system","6"
"Mental Retardation","Alzheimer's Disease","6"
"Abnormal behavior","Fetal Alcohol Spectrum Disorders","6"
"Practices (Psychology)","Neurodegenerative Disorders","6"
"Social Role","Gardner Syndrome","6"
"Hyperphagia","Functional disorder","6"
"Memory","Fetal Alcohol Syndrome","6"
"Cognition","Sequela of disorder","6"
"Involvement with","Metabolic Diseases","6"
"Persistence","Functional disorder","6"
"DEPRESSION MENTAL","Metabolic Diseases","6"
"Seizures","Autoimmune Diseases","6"
"Attention","Neurodevelopmental disorder","6"
"Sets (Psychology)","Renal glomerular disease","6"
"Involvement with","Stereotypic Movement Disorder","6"
"Hope","Disorder nervous system","6"
"Communication Response","Prion Diseases","6"
"Consideration","Disease Progression","6"
"Indifferent mood","Parkinsonian Disorders","6"
"Impaired cognition","Noonan Syndrome","6"
"Attention","Skin endocrine disorder","6"
"Interested","CNS disorder","6"
"Visual Acuity","DISORDERS OF THE OPTIC NERVE","6"
"Overactivity","Hypertensive disease","6"
"Sets (Psychology)","Syndrome","6"
"Period, Critical (Psychology)","Spinal Cord Diseases","6"
"Behavior","Eating Disorders","6"
"Pain","Skin endocrine disorder","6"
"Depressive Symptoms","Mood Disorders","6"
"Emotions","Syndrome","6"
"High risk of","Disease Progression","6"
"Anxiety","Disease Progression","6"
"Social Role","Creutzfeldt-Jakob disease","6"
"Transsexual (finding)","Spinal Cord Diseases","6"
"Social Role","Chronic Fatigue Syndrome","6"
"Amnesia","Cognition Disorders","6"
"Swimming","cortex bone disorders","6"
"Attention","Huntington Disease","6"
"Addictive Behavior","Attention Deficit Disorder","6"
"Hypokinesia","Functional disorder","6"
"Mental Processes","Alzheimer's Disease","6"
"Experience","Neurodegenerative Disorders","6"
"Exercise, Aerobic","Depressive disorder","6"
"Memory","Hypertensive disease","6"
"Sensory Process","Spinal Cord Diseases","6"
"Factors, Risk","Alcohol use disorder","6"
"sweet taste perception","cortex bone disorders","6"
"Involvement with","Movement Disorders","6"
"Fasting","Neurodegenerative Disorders","6"
"Consideration","cortex bone disorders","6"
"Psychological inhibition","Movement Disorders","6"
"Autistic Disorder","Ataxia as late effect of cerebrovascular disease","6"
"social stress","Disorders, Mental","6"
"Social isolation","Disorders, Mental","6"
"Hyperactive behavior","Migraine Disorders","6"
"Withdrawal","Peripheral Arterial Diseases","6"
"Like","Neoplastic disease","6"
"Repetitious behavior","Functional disorder","6"
"Learning Disabilities","Attention deficit hyperactivity disorder","6"
"Involvement with","Papillon-Lefevre Disease","6"
"Pain","Mixed anxiety and depressive disorder","6"
"Social Role","Hashimoto Disease","6"
"Social Role","Testicular Diseases","6"
"Recognition (Psychology)","Disorder nervous system","6"
"Uncertainty","Neurodegenerative Disorders","6"
"Communication Response","Miosis (disorder)","6"
"Attention","Mild cognitive disorder","6"
"Sets (Psychology)","Disorder nervous system","6"
"Learning","Autism Spectrum Disorders","6"
"Visual learning","Depressive disorder","6"
"Fasting","Pituitary Diseases","6"
"Like","Renal tubular disorder","6"
"Behavior","Communicable Diseases","6"
"Motor retardation","Allan-Herndon-Dudley syndrome","6"
"Social Role","Rabies (disorder)","6"
"Unipolar Depression","Attention deficit hyperactivity disorder","6"
"Mental concentration","Disorders, Mental","6"
"Retentions (Psychology)","Hamartoma Syndrome, Multiple","6"
"High risk of","Functional disorder","6"
"Eating","Functional disorder","6"
"Habituation, Psychophysiologic","cortex bone disorders","6"
"Mood swings","Bipolar Disorder","6"
"Fasting","Lens Diseases","6"
"Hypokinesia","cortex bone disorders","6"
"Memory","Conjunctival Diseases","6"
"Perception","Alzheimer's Disease","6"
"Attribution","Neurotoxicity Syndromes","6"
"Social Cognition","Disorders, Mental","6"
"Communication Response","Behcet Syndrome","6"
"Behavior","Movement Disorders","6"
"Play","Major Depressive Disorder","6"
"Depressive Symptoms","Cerebrovascular Disorders","6"
"Depressive Symptoms","Functional disorder","6"
"Communication Response","Cardiovascular Diseases","6"
"Fasting","Syndrome, Bloch-Sulzberger","6"
"Projection Defense Mechanism","Pervasive Development Disorder","6"
"Experience","Fragile X Syndrome","6"
"Drug abuse","Disorders, Mental","6"
"Persistence","Alzheimer's Disease","6"
"Memory","Psychotic Disorders","6"
"Hope","Alzheimer's Disease","6"
"Stress","Attention deficit hyperactivity disorder","6"
"Emotions","Psychotic Disorders","6"
"Social Role","Idiopathic Hypereosinophilic Syndrome","6"
"Akinesia","Movement Disorders","6"
"sharing","Bipolar Disorder","6"
"Awareness","Neurodegenerative Disorders","6"
"Seizures","Parkinson Disease","6"
"Generalizations (Psychology)","cortex bone disorders","6"
"Decision Making","Disorders, Mental","6"
"Heterosexuals","cortex bone disorders","6"
"Behavior","Acute infectious disease","6"
"Feedback - evaluative response process","Alzheimer's Disease","6"
"memory process","Alzheimer's Disease","6"
"Optic Flow","Retinal Diseases","6"
"Sensory Process","Functional disorder","6"
"Dyscalculia","Developmental arithmetic disorder","6"
"Cognition","Pituitary Diseases","6"
"Play","Pervasive Development Disorder","6"
"Experience","Brain Diseases","6"
"Persistence","cortex bone disorders","6"
"Communication Response","Pancreatic Diseases","6"
"Impaired cognition","Degenerative disorder","6"
"Involvement with","Mesulam Syndrome","6"
"smell perception","Hereditary Diseases","6"
"Play","Sensitization (disorder)","6"
"Ethanol","Parkinson Disease","6"
"Recognition (Psychology)","Down Syndrome","6"
"Physical activity","Alzheimer's Disease","6"
"Conscious","Spinal Cord Diseases","6"
"Psychological suppression","Retinal Diseases","6"
"Psychological habituation","cortex bone disorders","6"
"Seizures","Migraine Disorders","6"
"DEPRESSION MENTAL","Hamartoma Syndrome, Multiple","6"
"Involvement with","Stress Disorders, Traumatic","6"
"Mental Retardation","Hereditary Diseases","6"
"Communication Response","Prune Belly Syndrome","6"
"Intrinsic drive","Disorders, Mental","6"
"Seasonal Affective Disorder","Depressive disorder","6"
"prepulse inhibition activity","Functional disorder","6"
"Mental concentration","Recurrent disease","6"
"Resting state","Parkinson Disease","6"
"Coitus","Mood Disorders","6"
"Discussion","Disorder nervous system","6"
"Behavioral Symptoms","Depressive disorder","6"
"Cognition","Behavior Disorders","6"
"Emotional Strain","Alzheimer's Disease","6"
"Dyslexia","Developmental reading disorder","6"
"Resting state","Fragile X Syndrome","6"
"Availability of","Shy-Drager Syndrome","6"
"Mood Disorders","Stress Disorders, Traumatic","6"
"Feedback - evaluative response process","Neurotoxicity Syndromes","6"
"Like","Pick Disease of the Brain","6"
"Emotional Strain","cortex bone disorders","6"
"Social Role","other psychiatric disorders","6"
"Success","Brain Diseases","6"
"Communication Response","Psychotic Disorders","6"
"Behavior","Colonic Diseases","6"
"Recognition (Psychology)","Neurodegenerative Disorders","6"
"Involvement with","Hamartoma Syndrome, Multiple","6"
"smell perception","Down Syndrome","6"
"Methamphetamine","Lens Diseases","6"
"Cognitive information processing","Disorders, Mental","6"
"Cognition","Bipolar Disorder","6"
"Cocaine","Parkinson Disease","6"
"Hearing impairment","cortex bone disorders","6"
"Projection Defense Mechanism","Disorder nervous system","6"
"Attention","Retinal Diseases","6"
"Motivation","Attention deficit hyperactivity disorder","6"
"Discrimination Learning","Hamartoma Syndrome, Multiple","6"
"smell perception","Virus Diseases","6"
"Stress","Migraine Disorders","6"
"Memory","Sequela of disorder","6"
"Mental concentration","Nail-Patella Syndrome","6"
"Cognition","Pervasive Development Disorder","6"
"Insight","Mood Disorders","6"
"Like","Corneal Diseases","6"
"Psychological inhibition","Herpes zoster disease","6"
"Language Disorders","Autism Spectrum Disorders","6"
"Behavior","Prader-Willi Syndrome","6"
"Communication Response","Behavior Disorders","5"
"Mediation","Spinal Cord Diseases","5"
"Intention - mental process","Autism Spectrum Disorders","5"
"Desire for food","Depressive disorder","5"
"Destructive behavior","Neurodegenerative Disorders","5"
"Stereotyped Behavior","Dystonia Disorders","5"
"Mental Recall","cortex bone disorders","5"
"Psychological Transfer","Functional disorder","5"
"Comprehension","Pituitary Diseases","5"
"Perseveration","Obsessive-Compulsive Disorder","5"
"Alcoholics","Functional disorder","5"
"Psychological inhibition","Major Depressive Disorder","5"
"Uncertainty","Autism Spectrum Disorders","5"
"Running","Alzheimer's Disease","5"
"Sleep","Major Depressive Disorder","5"
"Emotions","Mild cognitive disorder","5"
"Fasting","Bloom Syndrome","5"
"Memory","Metabolic Syndrome X","5"
"Stress","Gilles de la Tourette syndrome","5"
"Memory impairment","Cognition Disorders","5"
"Insight","Delirium, Dementia, Amnestic, Cognitive Disorders","5"
"Emotions","Autonomic nervous system disorders","5"
"Alcoholic Liver Diseases","Alcoholic Liver Diseases","5"
"Sex Behavior","Psychotic Disorders","5"
"Obsessive compulsive behavior","Tic disorder","5"
"Tracking","Functional disorder","5"
"Addictive Behavior","Gilles de la Tourette syndrome","5"
"Perception","Spinal Cord Diseases","5"
"Aggressive behavior","Disorders, Mental","5"
"Memory, Short-Term","Mild cognitive disorder","5"
"Behavioral change","cortex bone disorders","5"
"Victim of abuse (finding)","Psychotic Disorders","5"
"Travel","Retinal Diseases","5"
"Anxiety","CNS disorder","5"
"Tinnitus","cortex bone disorders","5"
"Stress","Autistic Disorder","5"
"Stress","Mucocutaneous Lymph Node Syndrome","5"
"Psychological suppression","Niemann-Pick Disease, Type C","5"
"Tic disorder","Syndrome","5"
"Behavioral Symptoms","Disorders, Mental","5"
"Pain","Myeloproliferative Syndrome, Transient","5"
"Hearing impairment","Disease Progression","5"
"Sleep","Glycogen storage disease type II","5"
"Alcohol consumption during pregnancy","Fetal Alcohol Syndrome","5"
"Sleep","Metabolic Diseases","5"
"Sets (Psychology)","Gilles de la Tourette syndrome","5"
"Memory","Machado-Joseph Disease","5"
"Attack behavior","Disorder nervous system","5"
"Steady","cortex bone disorders","5"
"Physical Contact","Neurotoxicity Syndromes","5"
"Involvement with","Pick Disease of the Brain","5"
"Memory, Short-Term","Disease Progression","5"
"Steady","Disease Progression","5"
"Social Role","Cerebral Small Vessel Diseases","5"
"Homosexuality","Acquired Immunodeficiency Syndrome","5"
"Fear","Fragile X Syndrome","5"
"Anxiety and fear","Disorders, Mental","5"
"Impaired cognition","Post-Traumatic Stress Disorder","5"
"Initiative","Parkinson Disease","5"
"Intrinsic drive","Neurodevelopmental disorder","5"
"Communication Response","Burnett Schwartz Berberian syndrome","5"
"Hyperactive behavior","neuropathology disease","5"
"Memory","Syndrome, Bloch-Sulzberger","5"
"Mental association","Huntington Disease","5"
"Hyperactive behavior","Neurotoxicity Syndromes","5"
"Fasting","Disorders, Mental","5"
"smell perception","Klinefelter Syndrome","5"
"sharing","Functional disorder","5"
"Communication impairment","Autism Spectrum Disorders","5"
"Psychological inhibition","Stereotypic Movement Disorder","5"
"Comprehension","Ataxia as late effect of cerebrovascular disease","5"
"DEPRESSION MENTAL","Seasonal Affective Disorder","5"
"Projection Defense Mechanism","Mood Disorders","5"
"Unipolar Depression","Attention Deficit Disorder","5"
"Mental Suffering","Neurodegenerative Disorders","5"
"Anxiety","Stiff-Person Syndrome","5"
"Thinking, function","Autistic Disorder","5"
"Communication Response","Werner Syndrome","5"
"Physical activity","Disorder nervous system","5"
"Stress, Psychological","Neurodegenerative Disorders","5"
"Impaired cognition","Gilles de la Tourette syndrome","5"
"Deafness","Diseases of inner ear","5"
"Social Role","Menkes Kinky Hair Syndrome","5"
"Factors, Risk","Shy-Drager Syndrome","5"
"Exercise","Norrie disease","5"
"Retentions (Psychology)","Spinal Cord Diseases","5"
"Spatial Navigation","cortex bone disorders","5"
"Play","Mood Disorders","5"
"Cognition","Skin endocrine disorder","5"
"Fetal stress","Functional disorder","5"
"Body Weight","Huntington Disease","5"
"Stress","Behavior Disorders","5"
"Desire for food","Functional disorder","5"
"visual deprivation","cortex bone disorders","5"
"Speech","Autistic Disorder","5"
"Dyslexia","Pervasive Development Disorder","5"
"Wakefulness","Sleep Disorders","5"
"Sets (Psychology)","Mild cognitive disorder","5"
"Behavioral change","Sensitization (disorder)","5"
"Stress","Neurodevelopmental disorder","5"
"Availability of","Motor Neuron Disease","5"
"Attribution","Parkinson Disease","5"
"Mental Retardation","Pervasive Development Disorder","5"
"Drug Dependence","Attention deficit hyperactivity disorder","5"
"Factors, Risk","Gaucher Disease","5"
"Experience","Mood Disorders","5"
"Unipolar Depression","Neurodegenerative Disorders","5"
"Involvement with","Irritable Bowel Syndrome","5"
"Experience","Psychotic Disorders","5"
"Performance","Rett Syndrome","5"
"Presbycusis","Diseases of inner ear","5"
"Cessation of smoking","Recurrent disease","5"
"Social Behavior","Neurodevelopmental disorder","5"
"Visual Fields","Adult Fanconi syndrome","5"
"Consensus","Neurodegenerative Disorders","5"
"Voice Disorders","Voice Disorders","5"
"Decision Making","Sensitization (disorder)","5"
"Impaired cognition","Rett Syndrome","5"
"Hyperactive behavior","Mood Disorders","5"
"Learning","Fetal Alcohol Syndrome","5"
"Learning","Mood Disorders","5"
"Disgusted","Spinal Cord Diseases","5"
"Coitus","Psychotic Disorders","5"
"Feeding Activity","Liver diseases","5"
"Gilles de la Tourette syndrome","Autism Spectrum Disorders","5"
"Experience","Pervasive Development Disorder","5"
"Body Weight","Parkinson Disease","5"
"Social Adjustment","Autism Spectrum Disorders","5"
"Psychological suppression","Van der Woude syndrome","5"
"Cognition","Hypertensive disease","5"
"Eye Movements","Syndrome","5"
"Fasting","Liver diseases","5"
"Like","Nose Diseases","5"
"Mental association","Acquired Immunodeficiency Syndrome","5"
"Insight","Hereditary Diseases","5"
