concept,disease,appearTimes,conceptClass
Experience,Post-Traumatic Stress Disorder,8,MentalP
Comprehension,Cognition Disorders,8,MentalP
Involvement with,Van der Woude syndrome,8,MentalP
Coitus,Neurodegenerative Disorders,8,MentalP
Projection Defense Mechanism,Huntington Disease,8,MentalP
Fear,Sensitization (disorder),8,MentalP
Alcoholic Intoxication, Chronic,Disorders, Mental,8,MentalP
Persistence,Recurrent disease,8,MentalP
Insight,Stress Disorders, Traumatic,8,MentalP
Coitus,Disease Progression,8,MentalP
Like,Gardner Syndrome,8,MentalP
Feedback - system communication,Skin endocrine disorder,8,MentalP
Involvement with,Psychotic Disorders,8,MentalP
Experience,Spinal Cord Diseases,8,MentalP
Behavior,Developmental delay (disorder),8,MentalP
Alcohol consumption,Neurotoxicity Syndromes,8,MentalP
Hallucinations, Visual,Alzheimer's Disease,8,MentalP
Play,Autistic Disorder,8,MentalP
Feedback - system communication,Disease Progression,8,MentalP
Seizures,Movement Disorders,8,MentalP
Like,Attention Deficit Disorder,8,MentalP
Powers (Psychology),Functional disorder,8,MentalP
Sex Behavior,Migraine Disorders,8,MentalP
Communication Response,Acute infectious disease,8,MentalP
Communication Response,Timothy syndrome,8,MentalP
Empathy,Pervasive Development Disorder,8,MentalP
Communication Response,Fechtner syndrome (disorder),8,MentalP
Experience,Anxiety Disorders,8,MentalP
Behavior,Chimera (disorder),8,MentalP
Alcohol consumption,Fetal Alcohol Spectrum Disorders,8,MentalP
Ethanol,Syndrome,8,MentalP
Dyslexia,Attention deficit hyperactivity disorder,8,MentalP
Practices (Psychology),Parkinson Disease,8,MentalP
Psychological inhibition,CNS disorder,8,MentalP
Retrieval of memory,cortex bone disorders,8,MentalP
Vision,Neurodegenerative Disorders,8,MentalP
Memory,Anxiety Disorders,8,MentalP
Availability of,Autism Spectrum Disorders,8,MentalP
Social Role,Lens Diseases,8,MentalP
Feedback - evaluative response process,Skin endocrine disorder,8,MentalP
Resting state,Functional disorder,8,MentalP
Mental concentration,Psychotic Disorders,8,MentalP
Like,Hypertensive disease,8,MentalP
Hyperactive behavior,Disease Progression,8,MentalP
Nociception,Migraine Disorders,8,MentalP
Psychological inhibition,Mucocutaneous Lymph Node Syndrome,8,MentalP
Comatose,Syndrome,8,MentalP
Motivation,Disorders, Mental,8,MentalP
Persistence,Depressive disorder,8,MentalP
Convergence, Ocular,Leigh Disease,8,MentalP
Emotions,Skin endocrine disorder,8,MentalP
Anxiety,Bipolar Disorder,8,MentalP
Behavioral Symptoms,Parkinsonian Disorders,8,MentalP
Consideration,Disorder nervous system,8,MentalP
Like,Lewy Body Disease,8,MentalP
Mental Retardation,Rett Syndrome,8,MentalP
Performance,Hamartoma Syndrome, Multiple,8,MentalP
salt intake,Hypertensive disease,8,MentalP
Indifferent mood,Functional disorder,8,MentalP
Aversion (finding),Depressive disorder,8,MentalP
Seizures,Dystonia Disorders,8,MentalP
Depressed mood,Functional disorder,8,MentalP
Insight,Hypertensive disease,8,MentalP
Emotional Strain,neuropathology disease,8,MentalP
Cocaine,Mucocutaneous Lymph Node Syndrome,8,MentalP
Intrinsic drive,Alzheimer's Disease,8,MentalP
Sleep,Sturge-Weber Syndrome,8,MentalP
Drug Tolerance,Spinal Cord Diseases,8,MentalP
Sleep Deprivation,Alzheimer's Disease,8,MentalP
Comprehension,Cardiovascular Diseases,8,MentalP
Resting state,Alzheimer's Disease,8,MentalP
Stress,Bipolar Disorder,8,MentalP
Experience,Stress Disorders, Traumatic,8,MentalP
Social Role,Mixed anxiety and depressive disorder,8,MentalP
Stress,Leigh Disease,8,MentalP
Mental association,Kallmann Syndrome,8,MentalP
Like,Degenerative disorder,8,MentalP
Performance,neuropathology disease,8,MentalP
Attention,Syndrome,8,MentalP
Hemorrhage,Spinal Cord Diseases,8,MentalP
Hyperactive behavior,Parkinsonian Disorders,8,MentalP
Conditionings (Psychology),DISORDERS OF THE OPTIC NERVE,8,MentalP
Mental association,Metabolic Syndrome X,8,MentalP
Mental association,Vascular Diseases,8,MentalP
Emotional Strain,Spinal Cord Diseases,8,MentalP
Emotional Strain,Communicable Diseases,8,MentalP
Manic,Psychotic Disorders,8,MentalP
Withdrawal,Spinal Cord Diseases,8,MentalP
Social isolation,Functional disorder,8,MentalP
Vision,Syndrome,8,MentalP
Mental concentration,Mucocutaneous Lymph Node Syndrome,8,MentalP
Thinking, function,Parkinson Disease,8,MentalP
Social Role,Inflammatory Bowel Diseases,8,MentalP
Drug Dependence,Psychotic Disorders,8,MentalP
Involvement with,Communicable Diseases,8,MentalP
Insight,Demyelinating Diseases,8,MentalP
Success,Functional disorder,8,MentalP
Destructive behavior,cortex bone disorders,8,MentalP
Nervousness,Alzheimer's Disease,8,MentalP
Powers (Psychology),Depressive disorder,8,MentalP
Contrast Sensitivity,Retinal Diseases,8,MentalP
psychological orientation,Hamartoma Syndrome, Multiple,8,MentalP
Involvement with,Syndrome, Bloch-Sulzberger,8,MentalP
Age-related cognitive decline,Alzheimer's Disease,8,MentalP
Visual memory,cortex bone disorders,8,MentalP
Comprehension,Psychotic Disorders,8,MentalP
Behavior,Sleep Disorders,8,MentalP
Discrimination,Hamartoma Syndrome, Multiple,8,MentalP
Memory,Spinal Cord Diseases,8,MentalP
Emotions,Pituitary Diseases,8,MentalP
Intrinsic drive,Parkinson Disease,8,MentalP
Mental Retardation,Fetal Alcohol Spectrum Disorders,8,MentalP
Eating,Pituitary Diseases,8,MentalP
Impaired cognition,Deglutition Disorders,8,MentalP
Withdrawal,Substance Withdrawal Syndrome,8,MentalP
Sex Behavior,Major Depressive Disorder,8,MentalP
Seizures,Parkinsonian Disorders,8,MentalP
Memory,Mixed anxiety and depressive disorder,8,MentalP
Feedback - evaluative response process,Disease Progression,8,MentalP
Vision,Depressive disorder,8,MentalP
Nausea,Migraine Disorders,8,MentalP
Social Role,Autonomic nervous system disorders,8,MentalP
Social Role,Mitochondrial Diseases,8,MentalP
Forgetful,Parkinson Disease,8,MentalP
Factors, Risk,Mild cognitive disorder,8,MentalP
Availability of,Huntington Disease,8,MentalP
Drug Dependence,Disorder nervous system,8,MentalP
Factors, Risk,Neurotoxicity Syndromes,8,MentalP
competition,Spinal Cord Diseases,8,MentalP
Reproduction,Endocrine System Diseases,8,MentalP
Involvement with,Hereditary Diseases,8,MentalP
Stress, Psychological,Hypertensive disease,8,MentalP
Conscious,Hypertensive disease,8,MentalP
Mood,Alzheimer's Disease,8,MentalP
Sensory Process,Autistic Disorder,8,MentalP
Suicide,Functional disorder,8,MentalP
Sleep behavior finding,Parkinson Disease,8,MentalP
Behavior,Feline urological syndrome,8,MentalP
Period, Critical (Psychology),Neurodevelopmental disorder,8,MentalP
Hyperactive behavior,Spinal Cord Diseases,8,MentalP
Involvement with,Feline urological syndrome,8,MentalP
Communication Response,Coffin-Siris syndrome,7,MentalP
Like,Eosinophilic disorder,7,MentalP
Behavior,Hypertensive disease,7,MentalP
Mental concentration,Syndrome, Bloch-Sulzberger,7,MentalP
Mental Processes,cortex bone disorders,7,MentalP
Behavior,Language Disorders,7,MentalP
Penile Erection,Spinal Cord Diseases,7,MentalP
Memory impairment,Disorders, Mental,7,MentalP
Behavior,Drug withdrawal syndrome,7,MentalP
Performance,Psychotic Disorders,7,MentalP
Communication Response,Lewy Body Disease,7,MentalP
Substance Abuse Problems,Depressive disorder,7,MentalP
Play,neuropathology disease,7,MentalP
Aggressive behavior,Alzheimer's Disease,7,MentalP
Success,DISORDERS OF THE OPTIC NERVE,7,MentalP
Insight,Prion Diseases,7,MentalP
Mood Disorders,Attention deficit hyperactivity disorder,7,MentalP
Perception,Autism Spectrum Disorders,7,MentalP
Unipolar Depression,Syndrome,7,MentalP
Auditory pitch,Nose Diseases,7,MentalP
Attack behavior,Neurodegenerative Disorders,7,MentalP
Impaired cognition,Behavior Disorders,7,MentalP
Coitus,Retinal Diseases,7,MentalP
biological adaptation to stress,Disease Progression,7,MentalP
Availability of,Pervasive Development Disorder,7,MentalP
Executive Function,Alzheimer's Disease,7,MentalP
Speech,Pervasive Development Disorder,7,MentalP
Projection Defense Mechanism,Virus Diseases,7,MentalP
Seizures,Autonomic nervous system disorders,7,MentalP
Mental Processes,Depressive disorder,7,MentalP
Cognitive Reserve,Mild cognitive disorder,7,MentalP
Agitation,Alzheimer's Disease,7,MentalP
Visual Perception,Retinal Diseases,7,MentalP
Behavioral change,Disease Progression,7,MentalP
Finding of blood glucose level,Liver diseases,7,MentalP
Hemorrhage,Functional disorder,7,MentalP
Gilles de la Tourette syndrome,Autistic Disorder,7,MentalP
Attention,Bipolar Disorder,7,MentalP
Suicidal behavior,Functional disorder,7,MentalP
Visual Acuity,Retinal Diseases,7,MentalP
Speech,Parkinson Disease,7,MentalP
Comprehension,Anxiety Disorders,7,MentalP
Social Role,Seasonal Affective Disorder,7,MentalP
Anxiety,Behavior Disorders,7,MentalP
Age-related cognitive decline,Neurodegenerative Disorders,7,MentalP
Abnormal behavior,Parkinsonian Disorders,7,MentalP
Conversion disorder,Conversion disorder,7,MentalP
Ethanol,Disorders, Mental,7,MentalP
Unipolar Depression,neuropathology disease,7,MentalP
Obsessions,Obsessive-Compulsive Disorder,7,MentalP
Stress,Melkersson-Rosenthal Syndrome,7,MentalP
Communication Response,Mucocutaneous Lymph Node Syndrome,7,MentalP
Educational Status,Mild cognitive disorder,7,MentalP
Addictive Behavior,Disorder nervous system,7,MentalP
Fatigue,Functional disorder,7,MentalP
Recognition (Psychology),Disorders, Mental,7,MentalP
Behavioral Symptoms,Functional disorder,7,MentalP
Cyclothymic Disorder,Cyclothymic Disorder,7,MentalP
Social Role,Fetal Alcohol Spectrum Disorders,7,MentalP
DEPRESSION MENTAL,Neurotoxicity Syndromes,7,MentalP
Availability of,Migraine Disorders,7,MentalP
Emotional Strain,Prion Diseases,7,MentalP
Availability of,Bipolar Disorder,7,MentalP
Powers (Psychology),Alzheimer's Disease,7,MentalP
Psychological inhibition,Prune Belly Syndrome,7,MentalP
Psychological inhibition,Dystonia Disorders,7,MentalP
Suicide,Mood Disorders,7,MentalP
Difficulty speaking,Speech Disorders,7,MentalP
Communication Response,Camurati-Engelmann Syndrome,7,MentalP
Motivation,cortex bone disorders,7,MentalP
Mood,Parkinson Disease,7,MentalP
Hyperactive behavior,Stereotypic Movement Disorder,7,MentalP
Paralysed,Functional disorder,7,MentalP
Vision,Disorder nervous system,7,MentalP
Behavior,CNS disorder,7,MentalP
Paralysed,Disease Progression,7,MentalP
Behavioral change,Neurodegenerative Disorders,7,MentalP
smell perception,Retinal Diseases,7,MentalP
Panic Attacks,Panic Disorder,7,MentalP
Physical Contact,Disorder of pineal gland,7,MentalP
Memory,Attention deficit hyperactivity disorder,7,MentalP
Comprehension,Hereditary Diseases,7,MentalP
Sex Behavior,Retinal Diseases,7,MentalP
Stress,Substance Use Disorders,7,MentalP
Social Role,Gaucher Disease,7,MentalP
Behavior,Cerebellar Diseases,7,MentalP
Fasting,Bipolar Disorder,7,MentalP
Unipolar Depression,Autism Spectrum Disorders,7,MentalP
Mental concentration,neuropathology disease,7,MentalP
Insight,Niemann-Pick Disease, Type C,7,MentalP
Avoidance,Anxiety Disorders,7,MentalP
Comprehension,Fragile X Syndrome,7,MentalP
Cognition,Cognition Disorders,7,MentalP
DEPRESSION MENTAL,Cushing Syndrome,7,MentalP
Thinking, function,cortex bone disorders,7,MentalP
Perception,Irritable Bowel Syndrome,7,MentalP
Ability to interact with others,Autistic Disorder,7,MentalP
Stereotyped Behavior,Tic disorder,7,MentalP
Like,Hereditary Diseases,7,MentalP
Avoidance,cortex bone disorders,7,MentalP
Social Role,Sleep Apnea Syndromes,7,MentalP
Facial Expression,Seasonal Affective Disorder,7,MentalP
Social Skills,Autism Spectrum Disorders,7,MentalP
Impaired cognition,Sleep Disorders,7,MentalP
Comprehension,Dystonia Disorders,7,MentalP
Social Role,Zika virus disease (disorder),7,MentalP
unresponsive behavior,Parkinsonian Disorders,7,MentalP
Coitus,Huntington Disease,7,MentalP
Insight,Feline urological syndrome,7,MentalP
Mental Processes,Functional disorder,7,MentalP
Mental Processes,Disorders, Mental,7,MentalP
DEPRESSION MENTAL,Recurrent disease,7,MentalP
Sleep,Mood Disorders,7,MentalP
Fasting,Alzheimer's Disease,7,MentalP
DEPRESSION MENTAL,Cognition Disorders,7,MentalP
High risk of,Autism Spectrum Disorders,7,MentalP
Like,Chimera (disorder),7,MentalP
Sex Behavior,Obsessive-Compulsive Disorder,7,MentalP
Emotions,Brain Diseases,7,MentalP
Social Cognition,Functional disorder,7,MentalP
Attribution,Depressive disorder,7,MentalP
Sex Behavior,Skin endocrine disorder,7,MentalP
Projection Defense Mechanism,Sensitization (disorder),7,MentalP
Gilles de la Tourette syndrome,Hamartoma Syndrome, Multiple,7,MentalP
Communication Response,Sequela of disorder,7,MentalP
Binge eating disorder,Eating Disorders,7,MentalP
Behavior,Lewy Body Disease,7,MentalP
Psychological inhibition,Gilles de la Tourette syndrome,7,MentalP
Anxiety,Brain Diseases,7,MentalP
Psychological Transfer,Depressive disorder,7,MentalP
Stress,Disease of thymus gland,7,MentalP
Comprehension,Skin endocrine disorder,7,MentalP
Communication Response,Nail-Patella Syndrome,7,MentalP
Cognition,Mixed anxiety and depressive disorder,7,MentalP
Impaired cognition,Dystonia Disorders,7,MentalP
Comprehension,Sleep Disorders,7,MentalP
Bradykinesia,Dystonia Disorders,7,MentalP
Conditionings (Psychology),Spinal Cord Diseases,7,MentalP
Deglutition,Esophageal Diseases,7,MentalP
Mental concentration,Sweet Syndrome,7,MentalP
Communication Response,Sensorineural hearing loss (disorder),7,MentalP
Stress,Hamartoma Syndrome, Multiple,7,MentalP
Ethanol,Disease Progression,7,MentalP
Behavior,Chronic myeloproliferative disorder,7,MentalP
Irritation - emotion,Depressive disorder,7,MentalP
Maladaptive behavior associated with physical illness,Functional disorder,7,MentalP
Behavior,Timothy syndrome,7,MentalP
Seizures,Dyskinetic syndrome,7,MentalP
Irritable Mood,Depressive disorder,7,MentalP
Factors, Risk,Recurrent disease,7,MentalP
Intrinsic drive,Disease Progression,7,MentalP
Experience,Parkinson Disease,7,MentalP
Emotional Strain,Retinal Diseases,7,MentalP
Seizures,Spinal Cord Diseases,7,MentalP
Sensory Feedback,Spinal Cord Diseases,7,MentalP
Availability of,Dystonia Disorders,7,MentalP
Perception,Depressive disorder,7,MentalP
Communication Response,Inflammatory disorder,7,MentalP
Amnesia,cortex bone disorders,7,MentalP
Nonverbal Communication,Autism Spectrum Disorders,7,MentalP
prepulse inhibition activity,Disorders, Mental,7,MentalP
Addictive Behavior,Major Depressive Disorder,7,MentalP
Seizures,Fragile X Syndrome,7,MentalP
Autistic Disorder,Major Depressive Disorder,7,MentalP
Involvement with,Creutzfeldt-Jakob disease,7,MentalP
Conditioning, Classical,cortex bone disorders,7,MentalP
Emotions,Disorder nervous system,7,MentalP
Pain,Neurotoxicity Syndromes,7,MentalP
Psychological inhibition,Sweet Syndrome,7,MentalP
Comprehension,Memory Disorders,7,MentalP
Unipolar Depression,Psychotic Disorders,7,MentalP
Hyperactive behavior,Gilles de la Tourette syndrome,7,MentalP
Sex Behavior,Huntington Disease,7,MentalP
Panic Disorder,Functional disorder,7,MentalP
Risk Assessment,Neurotoxicity Syndromes,7,MentalP
Involvement with,Recurrent disease,7,MentalP
Drug Tolerance,cortex bone disorders,7,MentalP
Mood swings,Depressive disorder,7,MentalP
Autistic Disorder,Angelman Syndrome,7,MentalP
Stress,Polycystic Ovary Syndrome,7,MentalP
Delusions,Psychotic Disorders,7,MentalP
Insight,Bipolar Disorder,7,MentalP
Abnormal behavior,Mixed anxiety and depressive disorder,7,MentalP
DEPRESSION MENTAL,Substance Use Disorders,7,MentalP
Behavior,Substance Withdrawal Syndrome,7,MentalP
Memory,Mesulam Syndrome,7,MentalP
Memory, Long-Term,Alzheimer's Disease,7,MentalP
Impaired social interaction,Pervasive Development Disorder,7,MentalP
Interview,Autistic Disorder,7,MentalP
Hypokinesia,Syndrome,7,MentalP
Depressive Symptoms,Mild cognitive disorder,7,MentalP
Mood Disorders,Alzheimer's Disease,7,MentalP
Drug abuse,Functional disorder,7,MentalP
Success,Recurrent disease,7,MentalP
Conditionings (Psychology),Post-Traumatic Stress Disorder,7,MentalP
Sex Behavior,Van der Woude syndrome,7,MentalP
Autistic Disorder,Gilles de la Tourette syndrome,7,MentalP
Communication Response,Attention deficit hyperactivity disorder,7,MentalP
Experience,Disease Progression,7,MentalP
Stress,CNS disorder,7,MentalP
Pain,Chronic pain syndrome,7,MentalP
Memory, Episodic,Mild cognitive disorder,7,MentalP
Alcoholic Intoxication, Chronic,Major Depressive Disorder,7,MentalP
Perception,Autistic Disorder,7,MentalP
Anxiety,Disorder nervous system,7,MentalP
Insight,Sequela of disorder,7,MentalP
Addictive Behavior,Sensitization (disorder),7,MentalP
unresponsive behavior,cortex bone disorders,7,MentalP
Coitus,Obsessive-Compulsive Disorder,7,MentalP
Unipolar Depression,Autistic Disorder,7,MentalP
Like,Metabolic Diseases,7,MentalP
Comprehension,Fetal Alcohol Syndrome,7,MentalP
Memory, Short-Term,Disorders, Mental,7,MentalP
Behavior,Pica Disease,7,MentalP
Conditionings (Psychology),Stress Disorders, Traumatic,7,MentalP
Hearing problem,Pervasive Development Disorder,7,MentalP
Delayed Puberty,Klinefelter Syndrome,7,MentalP
Stereotyped Behavior,Ataxia as late effect of cerebrovascular disease,7,MentalP
Regression - mental defense mechanism,Rett Syndrome,7,MentalP
Communication Response,Finnish congenital nephrotic syndrome,7,MentalP
Suicide,Disorders, Mental,7,MentalP
Mood Disorders,Disorder nervous system,7,MentalP
Impaired social interaction,Neurodevelopmental disorder,7,MentalP
Availability of,Mood Disorders,7,MentalP
Visual Suppression,cortex bone disorders,7,MentalP
Fasting,Disorder nervous system,7,MentalP
Psychological Transfer,Sweet Syndrome,7,MentalP
Behavioral change,Neurotoxicity Syndromes,7,MentalP
Coitus,Autistic Disorder,7,MentalP
Persistence,Sensitization (disorder),7,MentalP
Consideration,Parkinson Disease,7,MentalP
Involvement with,Cognition Disorders,7,MentalP
Insight,DISORDERS OF THE OPTIC NERVE,7,MentalP
Experience,Autism Spectrum Disorders,7,MentalP
Social Role,Lysosomal Storage Diseases,7,MentalP
Psychological suppression,Pervasive Development Disorder,6,MentalP
Physical Contact,Pituitary Diseases,6,MentalP
Seizures,Guillain-Barre Syndrome,6,MentalP
Tic disorder,Functional disorder,6,MentalP
Stress,Sequela of disorder,6,MentalP
Emotions,Antisocial Personality Disorder,6,MentalP
Pain,Griscelli syndrome type 2,6,MentalP
Social Role,Peripheral Arterial Diseases,6,MentalP
Anxiety,Stereotypic Movement Disorder,6,MentalP
Behavioral change,Autistic Disorder,6,MentalP
Discussion,Disease Progression,6,MentalP
Learning,Pervasive Development Disorder,6,MentalP
Anxiety,Gilles de la Tourette syndrome,6,MentalP
Overactivity,Parkinson Disease,6,MentalP
Stress,Cardiovascular Diseases,6,MentalP
Carrying,cortex bone disorders,6,MentalP
Mental concentration,Migraine Disorders,6,MentalP
Nociception,cortex bone disorders,6,MentalP
Pain,Herpes zoster disease,6,MentalP
Seizures,Angelman Syndrome,6,MentalP
Cognition,CNS disorder,6,MentalP
Communication Response,Lens Diseases,6,MentalP
Alcoholic Intoxication, Chronic,Communicable Diseases,6,MentalP
Behavior,Delirium, Dementia, Amnestic, Cognitive Disorders,6,MentalP
Body Weight,Van der Woude syndrome,6,MentalP
Involvement with,Mild cognitive disorder,6,MentalP
Attention,Anxiety Disorders,6,MentalP
Withdrawal,Pituitary Diseases,6,MentalP
Chronic pain,Parkinson Disease,6,MentalP
Attribution,Disorder nervous system,6,MentalP
Cocaine,Substance Use Disorders,6,MentalP
Social Role,Lafora Disease,6,MentalP
Thinking, function,Disorders, Mental,6,MentalP
Availability of,Down Syndrome,6,MentalP
DEPRESSION MENTAL,Autonomic nervous system disorders,6,MentalP
Depressed mood,Bipolar Disorder,6,MentalP
Social Behavior,cortex bone disorders,6,MentalP
DEPRESSION MENTAL,Ataxia as late effect of cerebrovascular disease,6,MentalP
Pain,Autism Spectrum Disorders,6,MentalP
Attention,Attention Deficit Disorder,6,MentalP
Sleep,Syndrome,6,MentalP
psychological orientation,Spinal Cord Diseases,6,MentalP
Emotional states,Depressive disorder,6,MentalP
Emotions,Neurodevelopmental disorder,6,MentalP
Travel,Spinal Cord Diseases,6,MentalP
Substance Abuse Problems,Functional disorder,6,MentalP
Alcohol consumption,cortex bone disorders,6,MentalP
Memory impairment,Recurrent disease,6,MentalP
Reflex, Acoustic,Disorder of middle ear,6,MentalP
Addictive Behavior,Syndrome,6,MentalP
Habituation, Psychophysiologic,Fragile X Syndrome,6,MentalP
Tinnitus,Depressive disorder,6,MentalP
Eye Movements,Nystagmus associated with disorder of the vestibular system,6,MentalP
Memory,Major Depressive Disorder,6,MentalP
Stress,Cognition Disorders,6,MentalP
Language Delay,Autistic Disorder,6,MentalP
Sex Behavior,Mood Disorders,6,MentalP
Psychological suppression,Thyroid Diseases,6,MentalP
Behavior,Peripheral Arterial Diseases,6,MentalP
Mental association,Cerebrovascular Disorders,6,MentalP
Emotional Strain,Hamartoma Syndrome, Multiple,6,MentalP
Hearing impairment,Sequela of disorder,6,MentalP
Communication Response,Williams Syndrome,6,MentalP
Eye Movements,cortex bone disorders,6,MentalP
Social Role,Basal Ganglia Diseases,6,MentalP
Like,Irritable Bowel Syndrome,6,MentalP
Addictive Behavior,Autism Spectrum Disorders,6,MentalP
Like,Leigh Disease,6,MentalP
Sleep Deprivation,Depressive disorder,6,MentalP
Paralysed,cortex bone disorders,6,MentalP
Life Style,Metabolic Syndrome X,6,MentalP
Feedback - system communication,Neurotoxicity Syndromes,6,MentalP
Rage,Neurotoxicity Syndromes,6,MentalP
Behavior,DISORDERS OF THE OPTIC NERVE,6,MentalP
Like,Pyruvate Dehydrogenase Complex Deficiency Disease,6,MentalP
Psychological Transfer,Spinal Cord Diseases,6,MentalP
High risk of,Depressive disorder,6,MentalP
Hypokinesia,Depressive disorder,6,MentalP
Mental concentration,Niemann-Pick Disease, Type C,6,MentalP
Communication Response,Diseases of inner ear,6,MentalP
Amnesia,Disorder nervous system,6,MentalP
Impaired cognition,Retinal Diseases,6,MentalP
Hearing impairment,Sensory Disorders,6,MentalP
Feeling content,Spinal Cord Diseases,6,MentalP
Suicidal behavior,Depressive disorder,6,MentalP
Behavior,Alcohol withdrawal syndrome,6,MentalP
Psychological inhibition,Fetal Alcohol Syndrome,6,MentalP
Delirium,Alzheimer's Disease,6,MentalP
Memory impairment,Autistic Disorder,6,MentalP
Alcoholic Intoxication, Chronic,Alcohol use disorder,6,MentalP
Psychological habituation,Fragile X Syndrome,6,MentalP
Involvement with,Disorder of pineal gland,6,MentalP
Pain,Virus Diseases,6,MentalP
Feedback - system communication,Alzheimer's Disease,6,MentalP
Behavior,Muckle-Wells Syndrome,6,MentalP
Awareness,cortex bone disorders,6,MentalP
Fasting,Renal glomerular disease,6,MentalP
Seizures,Attention deficit hyperactivity disorder,6,MentalP
Panic Disorder,Disorders, Mental,6,MentalP
Fetal Alcohol Syndrome,neuropathology disease,6,MentalP
Learning,Autistic Disorder,6,MentalP
Recognition (Psychology),Pervasive Development Disorder,6,MentalP
Attack behavior,Brain Diseases,6,MentalP
Sleep,Narcolepsy-Cataplexy Syndrome,6,MentalP
Uncertainty,Pervasive Development Disorder,6,MentalP
Social Role,Corneal Diseases,6,MentalP
Cognitive information processing,Brain Diseases,6,MentalP
Interested,Degenerative disorder,6,MentalP
Social Role,Norrie disease,6,MentalP
Panic Disorder,Stress Disorders, Traumatic,6,MentalP
Learning,Neurodevelopmental disorder,6,MentalP
High risk of,Pervasive Development Disorder,6,MentalP
Emotions,neuropathology disease,6,MentalP
Nervousness,Depressive disorder,6,MentalP
Regression - mental defense mechanism,Disease Progression,6,MentalP
Activities of Daily Living,Alzheimer's Disease,6,MentalP
Hyperactive behavior,Tic disorder,6,MentalP
Ethanol,Ataxia as late effect of cerebrovascular disease,6,MentalP
Hyperactive behavior,Anxiety Disorders,6,MentalP
On examination - apathetic,Parkinsonian Disorders,6,MentalP
Vision,Parkinson Disease,6,MentalP
On examination - apathetic,Functional disorder,6,MentalP
Persistence,Spinal Cord Diseases,6,MentalP
Developmental arithmetic disorder,Developmental arithmetic disorder,6,MentalP
Night Vision,Retinal Diseases,6,MentalP
Mood,Disease Progression,6,MentalP
Insight,Cognition Disorders,6,MentalP
Wakefulness,Sturge-Weber Syndrome,6,MentalP
Generalizations (Psychology),Stress Disorders, Traumatic,6,MentalP
Factors, Risk,Metabolic Diseases,6,MentalP
Social Role,Melkersson-Rosenthal Syndrome,6,MentalP
Factors, Risk,Migraine Disorders,6,MentalP
Communication,Parkinson Disease,6,MentalP
Akinesia,Syndrome,6,MentalP
Feeling powerless,Depressive disorder,6,MentalP
Communication Response,Metabolic Diseases,6,MentalP
Vision,Disorder of eye,6,MentalP
Vocalization (finding),cortex bone disorders,6,MentalP
Visual learning,Autistic Disorder,6,MentalP
Manic,Mood Disorders,6,MentalP
Emotional Strain,Hypertensive disease,6,MentalP
Persistence,Disease Progression,6,MentalP
Insight,Recurrent disease,6,MentalP
Sets (Psychology),Depressive disorder,6,MentalP
Like,Autoimmune Diseases,6,MentalP
Speech,Autism Spectrum Disorders,6,MentalP
Learning,Anxiety Disorders,6,MentalP
memory process,Functional disorder,6,MentalP
Memory, Short-Term,Attention deficit hyperactivity disorder,6,MentalP
Discussion,Spinal Cord Diseases,6,MentalP
Behavior,Metabolic Diseases,6,MentalP
Fasting,Hamartoma Syndrome, Multiple,6,MentalP
Mental association,Melkersson-Rosenthal Syndrome,6,MentalP
Disputes,Depressive disorder,6,MentalP
Mental association,Cardiovascular Diseases,6,MentalP
Interested,Migraine Disorders,6,MentalP
Memory, Remote,cortex bone disorders,6,MentalP
Like,Stiff-Person Syndrome,6,MentalP
Sex Behavior,Sensitization (disorder),6,MentalP
Communication Response,Chronic Fatigue Syndrome,6,MentalP
Coitus,Van der Woude syndrome,6,MentalP
Involvement with,Autoimmune Diseases,6,MentalP
Psychological suppression,Autism Spectrum Disorders,6,MentalP
Projection Defense Mechanism,Nose Diseases,6,MentalP
Depression, Bipolar,Autistic Disorder,6,MentalP
Involvement with,Attention Deficit Disorder,6,MentalP
Vision,Degenerative disorder,6,MentalP
Experience,Disorder nervous system,6,MentalP
Mental Retardation,Alzheimer's Disease,6,MentalP
Abnormal behavior,Fetal Alcohol Spectrum Disorders,6,MentalP
Practices (Psychology),Neurodegenerative Disorders,6,MentalP
Social Role,Gardner Syndrome,6,MentalP
Hyperphagia,Functional disorder,6,MentalP
Memory,Fetal Alcohol Syndrome,6,MentalP
Cognition,Sequela of disorder,6,MentalP
Involvement with,Metabolic Diseases,6,MentalP
Persistence,Functional disorder,6,MentalP
DEPRESSION MENTAL,Metabolic Diseases,6,MentalP
Seizures,Autoimmune Diseases,6,MentalP
Attention,Neurodevelopmental disorder,6,MentalP
Sets (Psychology),Renal glomerular disease,6,MentalP
Involvement with,Stereotypic Movement Disorder,6,MentalP
Hope,Disorder nervous system,6,MentalP
Communication Response,Prion Diseases,6,MentalP
Consideration,Disease Progression,6,MentalP
Indifferent mood,Parkinsonian Disorders,6,MentalP
Impaired cognition,Noonan Syndrome,6,MentalP
Attention,Skin endocrine disorder,6,MentalP
Interested,CNS disorder,6,MentalP
Visual Acuity,DISORDERS OF THE OPTIC NERVE,6,MentalP
Overactivity,Hypertensive disease,6,MentalP
Sets (Psychology),Syndrome,6,MentalP
Period, Critical (Psychology),Spinal Cord Diseases,6,MentalP
Behavior,Eating Disorders,6,MentalP
Pain,Skin endocrine disorder,6,MentalP
Depressive Symptoms,Mood Disorders,6,MentalP
