concept,disease,appearTimes,conceptClass
SLC6A3 Gene,Alzheimer's Disease,5,Gene
NCL Gene,Functional disorder,5,Gene
LTB Gene,Van der Woude syndrome,5,Gene
PCYT1A wt Allele,Functional disorder,5,Gene
GRM5 wt Allele,Disease Progression,5,Gene
LRRK2 gene,Neurodegenerative Disorders,5,Gene
AIMP2 Gene,Alzheimer's Disease,5,Gene
PDZK1 Gene,Alzheimer's Disease,5,Gene
CD69 wt Allele,Cognition Disorders,5,Gene
Promoter,Down Syndrome,5,Gene
JTB wt Allele,Colonic Diseases,5,Gene
PRL Gene,Liver diseases,5,Gene
CD69 wt Allele,Obsessive-Compulsive Disorder,5,Gene
CDT1 Gene,Autistic Disorder,5,Gene
ELL wt Allele,Hypertensive disease,5,Gene
CALCA wt Allele,Functional disorder,5,Gene
DYRK1A Gene,Functional disorder,5,Gene
MAPK8 wt Allele,Alzheimer's Disease,5,Gene
CFD Gene,Spinal Cord Diseases,5,Gene
SYP Gene,Disorder of pineal gland,5,Gene
EP300 Gene,Rubinstein-Taybi Syndrome,5,Gene
PLP1 wt Allele,Pelizaeus-Merzbacher Disease,5,Gene
CALCA Gene,Hamartoma Syndrome, Multiple,5,Gene
CX3CL1 Gene,Functional disorder,5,Gene
GPHN Gene,Alzheimer's Disease,5,Gene
MRC1 Gene,Alzheimer's Disease,5,Gene
GFAP gene,Creutzfeldt-Jakob disease,5,Gene
HCRT wt Allele,Depressive disorder,5,Gene
FASTK Gene,Bloom Syndrome,5,Gene
PITX2 wt Allele,Leigh Disease,5,Gene
DKK1 wt Allele,Neurotoxicity Syndromes,5,Gene
DST wt Allele,Syndrome,5,Gene
GPHN Gene,Sweet Syndrome,5,Gene
ITGAM wt Allele,Spinal Cord Diseases,5,Gene
CYBB gene,Van der Woude syndrome,5,Gene
SCN1A gene,Functional disorder,5,Gene
CRH wt Allele,Skin endocrine disorder,5,Gene
GRM1 Gene,Disease Progression,5,Gene
DYRK1A wt Allele,Down Syndrome,5,Gene
PARK7 wt Allele,Neurotoxicity Syndromes,5,Gene
ESR1 wt Allele,Parkinson Disease,5,Gene
MAPK3 wt Allele,Spinal Cord Diseases,5,Gene
TNFRSF1A wt Allele,Fetal Alcohol Syndrome,5,Gene
TERC Gene,cortex bone disorders,5,Gene
CD69 wt Allele,Rett Syndrome,5,Gene
FASTK Gene,Nystagmus associated with disorder of the vestibular system,5,Gene
ZEB2 wt Allele,Mowat-Wilson syndrome,5,Gene
GGH wt Allele,cortex bone disorders,5,Gene
CREB1 wt Allele,Disease Progression,5,Gene
LITAF gene,Neurodegenerative Disorders,5,Gene
CDKN2A wt Allele,Spinal Cord Diseases,5,Gene
SOD1 wt Allele,Neoplastic disease,5,Gene
Wild Type,Hypertrophic disorder of skin, unspecified,5,Gene
Haplotypes,Parkinson Disease,5,Gene
APP wt Allele,Syndrome,5,Gene
SET Gene,Autistic Disorder,5,Gene
MSC Gene,Spinal Cord Diseases,5,Gene
SP1 Gene,Parkinson Disease,5,Gene
RCAN1 wt Allele,Down Syndrome,5,Gene
PHF6 wt Allele,Borjeson-Forssman-Lehmann syndrome,5,Gene
FOXD3 wt Allele,Parkinson Disease,5,Gene
Promoter,Fragile X Syndrome,5,Gene
Codon,Alzheimer's Disease,5,Gene
CARD8 wt Allele,cortex bone disorders,5,Gene
GBA wt Allele,Lewy Body Disease,5,Gene
GRM1 Gene,Depressive disorder,5,Gene
Genes,Metabolic Syndrome X,5,Gene
HTT gene,Chorea Acanthocytosis Syndrome,5,Gene
RHOA Gene,Neurotoxicity Syndromes,5,Gene
RELN Gene,Spinal Cord Diseases,5,Gene
Homozygote,Disorder nervous system,5,Gene
Retinoic Acid Response Element,Neuromuscular Diseases,5,Gene
Genes,Mobius Syndrome,5,Gene
Genes,Metabolic Diseases,5,Gene
F3 wt Allele,Spinal Cord Diseases,5,Gene
ANTXR1 wt Allele,Syndrome,5,Gene
AICDA wt Allele,Spinal Cord Diseases,5,Gene
HTT wt Allele,Disease Progression,5,Gene
ITGAM Gene,Spinal Cord Diseases,5,Gene
HPSE Gene,Pituitary Diseases,5,Gene
GRM5 wt Allele,Autism Spectrum Disorders,5,Gene
WAS wt Allele,Psychotic Disorders,5,Gene
CCR2 gene,Neurotoxicity Syndromes,5,Gene
Alleles,Retinal Diseases,5,Gene
SOCS3 Gene,DISORDERS OF THE OPTIC NERVE,5,Gene
MAP Kinase Gene,Disease Progression,5,Gene
CD69 wt Allele,Ataxia as late effect of cerebrovascular disease,5,Gene
SET Gene,Gilles de la Tourette syndrome,5,Gene
AIMP2 wt Allele,Spinal Cord Diseases,5,Gene
OXT Gene,Prader-Willi Syndrome,5,Gene
NCAM1 wt Allele,Spinal Cord Diseases,5,Gene
CNTNAP2 wt Allele,Syndrome,5,Gene
DHX16 Gene,Functional disorder,5,Gene
PRL Gene,Sensitization (disorder),5,Gene
CX3CL1 Gene,Neurotoxicity Syndromes,5,Gene
SLC6A3 Gene,Lewy Body Disease,5,Gene
CD36 wt Allele,Alzheimer's Disease,5,Gene
OXT Gene,Disorders, Mental,5,Gene
Exons,Liver diseases,5,Gene
TACR1 wt Allele,Syndrome, Bloch-Sulzberger,5,Gene
CDKN1A wt Allele,Spinal Cord Diseases,5,Gene
FLT3LG wt Allele,Alzheimer's Disease,5,Gene
SQSTM1 Gene,Huntington Disease,5,Gene
IKBKG wt Allele,Functional disorder,5,Gene
SCN2A Gene,Pervasive Development Disorder,5,Gene
CHAT Gene,Functional disorder,5,Gene
GNRHR Gene,Pituitary Diseases,5,Gene
E2F1 Gene,Disease Progression,5,Gene
DST Gene,DISORDERS OF THE OPTIC NERVE,5,Gene
Retinoic Acid Response Element,Dystonia Disorders,5,Gene
Genes,Timothy syndrome,5,Gene
MME Gene,Impulse Control Disorders,5,Gene
CALCA Gene,Depressive disorder,5,Gene
Genome,Spinal Cord Diseases,5,Gene
CFD wt Allele,Spinal Cord Diseases,5,Gene
PPARA Gene,Parkinson Disease,5,Gene
SCG2 Gene,Disease Progression,5,Gene
SST Gene,Skin endocrine disorder,5,Gene
Genes,Zika virus disease (disorder),5,Gene
CTSL Gene,Parkinson Disease,5,Gene
KNG1 Gene,Alzheimer's Disease,5,Gene
FASTK Gene,Disorders, Mental,5,Gene
APP wt Allele,Functional disorder,5,Gene
ATP8A2 wt Allele,Disorder nervous system,5,Gene
RRM1 Gene,Depressive disorder,5,Gene
CDK5 Gene,Neurotoxicity Syndromes,5,Gene
RPS6KA1 Gene,Fragile X Syndrome,5,Gene
LGI1 Gene,Syndrome,5,Gene
LMNB1 wt Allele,Functional disorder,5,Gene
TPO Gene,cortex bone disorders,5,Gene
Promoter Regions, Genetic,Depressive disorder,5,Gene
XPO1 wt Allele,cortex bone disorders,5,Gene
NR4A3 wt Allele,Mohr-Tranebjaerg syndrome,5,Gene
STK11 gene,Seasonal Affective Disorder,5,Gene
RRM1 Gene,Pituitary Diseases,5,Gene
TCF4 Gene,Neurodevelopmental disorder,5,Gene
MAPK1 wt Allele,Sensitization (disorder),5,Gene
INSR Gene,Liver diseases,5,Gene
APOE gene,Hypertensive disease,5,Gene
Genes, Immediate-Early,Depressive disorder,5,Gene
Long Interspersed Element,Migraine Disorders,5,Gene
GFAP gene,Disease Progression,5,Gene
Genes,Stress Disorders, Traumatic,5,Gene
IRF1 wt Allele,Pervasive Development Disorder,5,Gene
PTGS2 Gene,Van der Woude syndrome,5,Gene
PPARA wt Allele,Alzheimer's Disease,5,Gene
BDNF Gene,Autism Spectrum Disorders,5,Gene
BRD4 wt Allele,Spinal Cord Diseases,5,Gene
GHRL Gene,Neurodegenerative Disorders,5,Gene
MAPK3 Gene,Spinal Cord Diseases,5,Gene
PLP1 gene,cortex bone disorders,5,Gene
GNRH1 Gene,Nose Diseases,5,Gene
FXN gene,Neurodegenerative Disorders,5,Gene
CDKN2A wt Allele,Van der Woude syndrome,5,Gene
PRRT2 wt Allele,Functional disorder,5,Gene
EPO Gene,cortex bone disorders,5,Gene
CRH Gene,cortex bone disorders,5,Gene
GNAI1 Gene,Parkinson Disease,5,Gene
3' Untranslated Regions,Feline urological syndrome,5,Gene
MRC1 Gene,Depressive disorder,5,Gene
GNRH1 Gene,Thyroid Diseases,5,Gene
TIMP1 wt Allele,Papillon-Lefevre Disease,5,Gene
SGSH gene,Hallermann's Syndrome,5,Gene
Retinoic Acid Response Element,Kallmann Syndrome,5,Gene
NOTCH3 gene,Arteriopathic disease,5,Gene
MAPK3 wt Allele,Functional disorder,5,Gene
TLR2 Gene,Alzheimer's Disease,5,Gene
C9orf72 Gene,Papillon-Lefevre Disease,5,Gene
REN Gene,Hypertensive disease,5,Gene
SST wt Allele,Depressive disorder,5,Gene
SDC2 Gene,Alzheimer's Disease,5,Gene
KLK3 wt Allele,Alzheimer's Disease,5,Gene
BRD4 Gene,Spinal Cord Diseases,5,Gene
ROCK1 Gene,Parkinson Disease,5,Gene
TNF Gene,Liver diseases,5,Gene
RANGAP1 wt Allele,Parkinson Disease,5,Gene
NR4A3 Gene,Mohr-Tranebjaerg syndrome,5,Gene
INS gene,Skin endocrine disorder,5,Gene
LITAF gene,Autistic Disorder,5,Gene
POSTN Gene,Renal glomerular disease,5,Gene
CYBB wt Allele,Van der Woude syndrome,5,Gene
MSN Gene,cortex bone disorders,5,Gene
Genes,Hypertensive disease,5,Gene
UBE3A gene,Prader-Willi Syndrome,5,Gene
BRCA1 wt Allele,Lens Diseases,5,Gene
ADAM10 Gene,cortex bone disorders,5,Gene
Promoter,Disorder nervous system,5,Gene
AREG wt Allele,Depressive disorder,5,Gene
MEIS1 Gene,Restless Legs Syndrome,5,Gene
RBFOX1 Gene,Autistic Disorder,5,Gene
GDNF Gene,cortex bone disorders,5,Gene
HP wt Allele,Alzheimer's Disease,5,Gene
NR3C2 Gene,Pituitary Diseases,5,Gene
DKK1 wt Allele,Syndrome, Bloch-Sulzberger,5,Gene
MAPK3 Gene,Functional disorder,5,Gene
CD40LG wt Allele,cortex bone disorders,5,Gene
CALCA wt Allele,Hamartoma Syndrome, Multiple,5,Gene
IL12A wt Allele,Neurotoxicity Syndromes,5,Gene
PLAG1 Gene,Niemann-Pick Disease, Type C,5,Gene
ANK1 Gene,Sensitization (disorder),5,Gene
MAPK14 Gene,Spinal Cord Diseases,5,Gene
MAP1LC3A Gene,Parkinson Disease,5,Gene
Heterozygote,Developmental delay (disorder),5,Gene
SMN1 gene,Feline urological syndrome,5,Gene
Chromosomes, Human, Pair 17,Neurodegenerative Disorders,5,Gene
CLU Gene,Neurodegenerative Disorders,5,Gene
SDHB wt Allele,Functional disorder,5,Gene
GRM5 Gene,Autism Spectrum Disorders,5,Gene
Clustered Regularly Interspaced Short Palindromic Repeats,Functional disorder,5,Gene
ATP8A2 wt Allele,Brain Diseases,5,Gene
RGNEF wt Allele,Feline urological syndrome,5,Gene
GHRL Gene,Attention deficit hyperactivity disorder,5,Gene
KNG1 wt Allele,Neurodegenerative Disorders,5,Gene
CISH Gene,DISORDERS OF THE OPTIC NERVE,5,Gene
CXCR4 Gene,cortex bone disorders,5,Gene
SH2B2 wt Allele,Alzheimer's Disease,5,Gene
WAS wt Allele,Recurrent disease,5,Gene
HTR1A wt Allele,cortex bone disorders,5,Gene
TFRC Gene,cortex bone disorders,5,Gene
Genes,Shprintzen syndrome,5,Gene
IL12A wt Allele,cortex bone disorders,5,Gene
FLT3LG Gene,Alzheimer's Disease,5,Gene
MSH3 Gene,Autistic Disorder,5,Gene
BCHE gene,Alzheimer's Disease,5,Gene
PPARA Gene,cortex bone disorders,5,Gene
Genotype,Psychotic Disorders,5,Gene
POSTN wt Allele,Renal glomerular disease,5,Gene
Wild Type,Diseases of inner ear,5,Gene
GRP Gene,Pituitary Diseases,5,Gene
GRM5 Gene,Sensitization (disorder),5,Gene
EWSR1 Gene,Feline urological syndrome,5,Gene
CD36 Gene,Functional disorder,5,Gene
ACE2 Gene,Macrophage Activation Syndrome,5,Gene
ANTXR1 Gene,Syndrome,5,Gene
CD4 Gene,Autoimmune Diseases,5,Gene
GNAI1 Gene,Alzheimer's Disease,5,Gene
BAD Gene,Alzheimer's Disease,5,Gene
ROS1 wt Allele,Neurodegenerative Disorders,5,Gene
HPSE Gene,Functional disorder,5,Gene
CCND1 gene,Disease Progression,5,Gene
VIP wt Allele,Myeloproliferative Syndrome, Transient,5,Gene
CARD8 Gene,cortex bone disorders,5,Gene
GNAI1 Gene,cortex bone disorders,5,Gene
EDNRB Gene,Hirschsprung Disease,5,Gene
GNRH1 Gene,Functional disorder,5,Gene
CD63 Gene,Down Syndrome,5,Gene
Long Interspersed Element,Idiopathic pneumonia syndrome,5,Gene
S100B Gene,Hashimoto Disease,5,Gene
CSPG4 Gene,Disease Progression,5,Gene
GRM5 wt Allele,Neurotoxicity Syndromes,5,Gene
IL6 Gene,Neurotoxicity Syndromes,5,Gene
AREG wt Allele,Functional disorder,5,Gene
FASTK Gene,DISORDERS OF THE OPTIC NERVE,5,Gene
SIRT1 Gene,Parkinson Disease,5,Gene
NLGN4X Gene,Autistic Disorder,5,Gene
RASA1 Gene,Neurodegenerative Disorders,5,Gene
PSEN2 Gene,Familial Alzheimer Disease (FAD),5,Gene
AIMP2 wt Allele,Alzheimer's Disease,5,Gene
CLU wt Allele,Functional disorder,5,Gene
KLK3 Gene,Alzheimer's Disease,5,Gene
MAPK3 Gene,Alzheimer's Disease,5,Gene
ARHGEF2 wt Allele,cortex bone disorders,5,Gene
CD38 Gene,Autism Spectrum Disorders,5,Gene
DDR1 Gene,Impulse Control Disorders,5,Gene
FUS Gene,Disorder nervous system,5,Gene
NR3C2 Gene,Alzheimer's Disease,5,Gene
MECP2 gene,Syndrome,5,Gene
C9orf72 Gene,Psychotic Disorders,5,Gene
TACR1 Gene,Syndrome, Bloch-Sulzberger,5,Gene
GRIN2B Gene,Sensitization (disorder),5,Gene
KRAS wt Allele,Spinal Cord Diseases,5,Gene
MAPK8 wt Allele,Parkinson Disease,5,Gene
Genome,Syndrome,5,Gene
HPR wt Allele,Alzheimer's Disease,5,Gene
BRINP1 gene,Disorders, Mental,5,Gene
DYRK1A Gene,Autistic Disorder,5,Gene
Genes,Nail-Patella Syndrome,5,Gene
SLC6A3 wt Allele,Alzheimer's Disease,5,Gene
ROS1 wt Allele,cortex bone disorders,5,Gene
PCYT1A wt Allele,Hamartoma Syndrome, Multiple,5,Gene
F3 Gene,Spinal Cord Diseases,5,Gene
MAP1LC3A Gene,Neurotoxicity Syndromes,5,Gene
F2R wt Allele,cortex bone disorders,5,Gene
CDT1 wt Allele,Autistic Disorder,5,Gene
GRM5 wt Allele,Sensitization (disorder),5,Gene
LEP Gene,Liver diseases,5,Gene
MAPK14 wt Allele,Spinal Cord Diseases,5,Gene
FST Gene,Depressive disorder,5,Gene
TERC wt Allele,cortex bone disorders,5,Gene
HPSE wt Allele,Functional disorder,5,Gene
CISH Gene,Clinically isolated syndrome,5,Gene
DLC1 wt Allele,Alzheimer's Disease,5,Gene
HTATIP wt Allele,Alzheimer's Disease,5,Gene
PTGS2 Gene,cortex bone disorders,5,Gene
RELN Gene,Neurodegenerative Disorders,5,Gene
CD69 wt Allele,Lewy Body Disease,5,Gene
FOXP2 Gene,Speech Disorders,5,Gene
TIMP1 Gene,Papillon-Lefevre Disease,5,Gene
HTT gene,Parkinsonian Disorders,5,Gene
CX3CL1 Gene,Alzheimer's Disease,5,Gene
MEF2C Gene,Syndrome,5,Gene
estrogen receptor alpha, human,Liver diseases,5,Gene
Retinoic Acid Response Element,Prion Diseases,5,Gene
FMR1 gene,Pervasive Development Disorder,5,Gene
Heterozygote,Retinal Diseases,5,Gene
CXCL1 Gene,Spinal Cord Diseases,5,Gene
MAPK14 wt Allele,Alzheimer's Disease,5,Gene
Genotype,Lewy Body Disease,5,Gene
E2F1 wt Allele,Disease Progression,5,Gene
MSC Gene,cortex bone disorders,5,Gene
KLK3 wt Allele,Neurotoxicity Syndromes,5,Gene
NPY Gene,Alzheimer's Disease,5,Gene
CALCA Gene,Vasodilation disorder,5,Gene
INSR Gene,Alzheimer's Disease,5,Gene
CBS gene,cortex bone disorders,5,Gene
GNRH1 wt Allele,Klinefelter Syndrome,5,Gene
NDOR1 wt Allele,Sensitization (disorder),5,Gene
Long Interspersed Element,neuropathology disease,5,Gene
HRAS wt Allele,Alzheimer's Disease,5,Gene
HOXA10 wt Allele,Popliteal pterygium syndrome,5,Gene
ATP8A2 wt Allele,Pancreatic Diseases,5,Gene
TNFRSF1A gene,Fetal Alcohol Syndrome,5,Gene
QPCT Gene,Alzheimer's Disease,5,Gene
MAPK1 wt Allele,Functional disorder,5,Gene
TXNRD1 wt Allele,cortex bone disorders,5,Gene
FUS Gene,Disease Progression,5,Gene
GRM6 Gene,Retinal Diseases,5,Gene
HEXA gene,Sandhoff Disease,5,Gene
PDK1 Gene,Alzheimer's Disease,5,Gene
Genes,Norrie disease,5,Gene
FOXP1 Gene,Autism Spectrum Disorders,5,Gene
CD8B wt Allele,Meningeal disorder,5,Gene
PNP Gene,Disease Progression,5,Gene
AIMP2 Gene,Spinal Cord Diseases,5,Gene
FST wt Allele,Functional disorder,5,Gene
Exons,Disorder nervous system,5,Gene
CCL2 Gene,Neurodegenerative Disorders,5,Gene
CRH Gene,Cushing Syndrome,5,Gene
ROS1 Gene,cortex bone disorders,5,Gene
NR3C2 Gene,Functional disorder,5,Gene
CD40LG Gene,cortex bone disorders,5,Gene
FASTK Gene,Alzheimer's Disease,5,Gene
NLRP3 Gene,Functional disorder,5,Gene
SIRT2 Gene,Spinal Cord Diseases,5,Gene
EPHB2 Gene,Pervasive Development Disorder,5,Gene
CP Gene,Functional disorder,5,Gene
SLC4A1 wt Allele,Pituitary Diseases,5,Gene
MAP1LC3A wt Allele,Neurotoxicity Syndromes,5,Gene
TNF wt Allele,Neurotoxicity Syndromes,5,Gene
DST Gene,Syndrome,5,Gene
GRIN2B wt Allele,Autistic Disorder,5,Gene
CX3CL1 Gene,Disorder nervous system,5,Gene
PTEN gene,Disorder nervous system,5,Gene
SPANXB1 wt Allele,Spinal Cord Diseases,4,Gene
Promoter,neuropathology disease,4,Gene
RELN Gene,Retinal Diseases,4,Gene
NOS3 Gene,Functional disorder,4,Gene
NOTCH1 wt Allele,Idiopathic Hypereosinophilic Syndrome,4,Gene
PPP1R13L Gene,Bipolar Disorder,4,Gene
RANGAP1 wt Allele,Van der Woude syndrome,4,Gene
MAPT wt Allele,Creutzfeldt-Jakob Disease, Sporadic,4,Gene
Genome,Gilles de la Tourette syndrome,4,Gene
SNRPN gene,Feline urological syndrome,4,Gene
DNA, Mitochondrial,Mood Disorders,4,Gene
BACE1 Gene,neuropathology disease,4,Gene
TP53 wt Allele,Fetal Alcohol Syndrome,4,Gene
ENO2 wt Allele,Disease Progression,4,Gene
Wild Type,Hypertensive disease,4,Gene
NLRP1 Gene,Disorder nervous system,4,Gene
PHGDH wt Allele,Retinal Diseases,4,Gene
ELL wt Allele,Seasonal Affective Disorder,4,Gene
KRAS wt Allele,Neurodegenerative Disorders,4,Gene
MSN Gene,Pendred's syndrome,4,Gene
TNF Gene,Hypertensive disease,4,Gene
RPS19 wt Allele,Retinal Diseases,4,Gene
SLC1A2 Gene,Neurotoxicity Syndromes,4,Gene
ELANE wt Allele,Anxiety Disorders,4,Gene
Promoter,Ovarian Diseases,4,Gene
ABL2 Gene,cortex bone disorders,4,Gene
S100A9 wt Allele,Van der Woude syndrome,4,Gene
CAMK2A Gene,Bipolar Disorder,4,Gene
NFE2L2 wt Allele,Parkinson Disease,4,Gene
CX3CR1 Gene,Neurotoxicity Syndromes,4,Gene
CHAT Gene,Syndrome,4,Gene
GC wt Allele,Sweet Syndrome,4,Gene
Genes, Regulator,Disorder nervous system,4,Gene
MS4A1 Gene,Spinal Cord Diseases,4,Gene
Transgenes,Disease Progression,4,Gene
RET wt Allele,Parkinson Disease,4,Gene
APP gene,Retinal Diseases,4,Gene
SNRPN gene,Prader-Willi Syndrome,4,Gene
SBDS wt Allele,Alzheimer's Disease,4,Gene
Chloramphenicol Acetyl Transferase Gene,Peripheral Arterial Diseases,4,Gene
MECP2 gene,Disease Progression,4,Gene
KHDRBS1 wt Allele,Huntington Disease,4,Gene
HTT gene,Autistic Disorder,4,Gene
ANK1 Gene,Migraine Disorders,4,Gene
NOTCH1 Gene,Idiopathic Hypereosinophilic Syndrome,4,Gene
SQSTM1 wt Allele,Disease Progression,4,Gene
BDNF Gene,Major Depressive Disorder,4,Gene
MRC1 Gene,Disorder nervous system,4,Gene
CDH3 Gene,Mild cognitive disorder,4,Gene
TIMP1 Gene,Neurotoxicity Syndromes,4,Gene
PARK2 gene,cortex bone disorders,4,Gene
MAPT wt Allele,Sequela of disorder,4,Gene
SLC1A2 Gene,Fragile X Syndrome,4,Gene
DYRK1A Gene,Alzheimer's Disease,4,Gene
HDAC1 Gene,Functional disorder,4,Gene
KRAS wt Allele,Bloom Syndrome,4,Gene
ITGB2 wt Allele,Mild cognitive disorder,4,Gene
TERC Gene,Thyroid Diseases,4,Gene
NFIX Gene,Spinal Cord Diseases,4,Gene
CD200 Gene,Functional disorder,4,Gene
GFAP gene,Parkinson Disease,4,Gene
PDZK1 Gene,cortex bone disorders,4,Gene
MTR wt Allele,Recurrent disease,4,Gene
AKT1S1 wt Allele,DISORDERS OF THE OPTIC NERVE,4,Gene
SQSTM1 Gene,Functional disorder,4,Gene
PLA2G2A wt Allele,Neurotoxicity Syndromes,4,Gene
CLU wt Allele,Alzheimer's Disease,4,Gene
TPH1 wt Allele,Spinal Cord Diseases,4,Gene
TYMP Gene,Retinal Diseases,4,Gene
ANG Gene,Sensitization (disorder),4,Gene
NR3C2 Gene,Mild cognitive disorder,4,Gene
FOXC2 wt Allele,Disorder of pineal gland,4,Gene
ESR1 Gene,Neurodegenerative Disorders,4,Gene
ERBB4 Gene,Disease Progression,4,Gene
HCRT Gene,Neurodegenerative Disorders,4,Gene
CAT Gene,Contact lens overwear syndrome (disorder),4,Gene
CD4 Gene,Disease Progression,4,Gene
FASTK Gene,Fragile X Syndrome,4,Gene
PNP wt Allele,Dystonia Disorders,4,Gene
INS gene,Syndrome,4,Gene
NTRK2 Gene,Parkinson Disease,4,Gene
Retinoic Acid Response Element,Lafora Disease,4,Gene
FOXD3 wt Allele,Neurodegenerative Disorders,4,Gene
Long Interspersed Element,Mood Disorders,4,Gene
CBS gene,Liver diseases,4,Gene
ELANE Gene,Depressive disorder,4,Gene
CD69 wt Allele,Esophageal Diseases,4,Gene
EPHB2 Gene,Disease Progression,4,Gene
GRM1 wt Allele,cortex bone disorders,4,Gene
ITGAM Gene,cortex bone disorders,4,Gene
AKR1A1 wt Allele,Functional disorder,4,Gene
Transgenes,Parkinson Disease,4,Gene
PNP wt Allele,Hashimoto Disease,4,Gene
TXNRD1 Gene,Parkinson Disease,4,Gene
CMKLR1 Gene,Alzheimer's Disease,4,Gene
POLE Gene,Disorder of pineal gland,4,Gene
TGFBI wt Allele,Sensitization (disorder),4,Gene
JUN Gene,Alzheimer's Disease,4,Gene
CALCA wt Allele,Migraine Disorders,4,Gene
MECP2 gene,Niemann-Pick Disease, Type C,4,Gene
CRH Gene,Recurrent disease,4,Gene
ELANE Gene,Alzheimer's Disease,4,Gene
NR3C2 Gene,Depressive disorder,4,Gene
SLC12A2 Gene,Functional disorder,4,Gene
FAM49B wt Allele,Mucocutaneous Lymph Node Syndrome,4,Gene
MPO Gene,Neurodegenerative Disorders,4,Gene
HTATIP wt Allele,Neurodegenerative Disorders,4,Gene
Homozygote,Neuromuscular Diseases,4,Gene
CCL7 wt Allele,Spinal Cord Diseases,4,Gene
HCRT Gene,Acute Chest Syndrome,4,Gene
DRD2 Gene,Sensitization (disorder),4,Gene
TXNRD1 wt Allele,Thyroid Diseases,4,Gene
PNP Gene,Hashimoto Disease,4,Gene
JAG1 wt Allele,Alagille Syndrome,4,Gene
5' Untranslated Regions,Fragile X Syndrome,4,Gene
MTA2 wt Allele,Alzheimer's Disease,4,Gene
ASAH1 wt Allele,Bipolar Disorder,4,Gene
CD69 wt Allele,Van der Woude syndrome,4,Gene
NPY Gene,Spinal Cord Diseases,4,Gene
Wild Type,Norrie disease,4,Gene
S100B wt Allele,Syndrome,4,Gene
ERBB4 Gene,Bipolar Disorder,4,Gene
Wild Type,Pervasive Development Disorder,4,Gene
CP Gene,Alzheimer's Disease,4,Gene
KLF6 Gene,Functional disorder,4,Gene
Trinucleotide Repeat Expansion,Huntington Disease,4,Gene
DNMT1 Gene,Psychotic Disorders,4,Gene
CD4 Gene,Functional disorder,4,Gene
SET Gene,Neurotoxicity Syndromes,4,Gene
ATM gene,Mucocutaneous Lymph Node Syndrome,4,Gene
PODXL wt Allele,Disease Progression,4,Gene
TNFRSF17 wt Allele,cortex bone disorders,4,Gene
SIRT3 Gene,Disease Progression,4,Gene
JUN Gene,cortex bone disorders,4,Gene
SHC3 wt Allele,Bipolar Disorder,4,Gene
TP53 gene,Niemann-Pick Disease, Type C,4,Gene
NLRP3 Gene,Neurotoxicity Syndromes,4,Gene
Clustered Regularly Interspaced Short Palindromic Repeats,Mucocutaneous Lymph Node Syndrome,4,Gene
Enhancer of transcription,Disorders, Mental,4,Gene
ADRB2 wt Allele,Mucocutaneous Lymph Node Syndrome,4,Gene
GOPC Gene,cortex bone disorders,4,Gene
CD8A wt Allele,Christ-Siemens-Touraine syndrome,4,Gene
HP Gene,Machado-Joseph Disease,4,Gene
CD200 Gene,Neurotoxicity Syndromes,4,Gene
Chloramphenicol O-Acetyltransferase,Contact lens overwear syndrome (disorder),4,Gene
Chloramphenicol Acetyl Transferase Gene,Down Syndrome,4,Gene
CUX1 wt Allele,Disease Progression,4,Gene
NOS1 wt Allele,Renal glomerular disease,4,Gene
ATP7A gene,Menkes Kinky Hair Syndrome,4,Gene
HMGB1 Gene,Depressive disorder,4,Gene
GCG Gene,cortex bone disorders,4,Gene
FANCD2 wt Allele,cortex bone disorders,4,Gene
NPY Gene,Disorder of pineal gland,4,Gene
TYMS Gene,Hamartoma Syndrome, Multiple,4,Gene
HCRT Gene,Huntington Disease,4,Gene
UBE3A wt Allele,Autism Spectrum Disorders,4,Gene
CX3CL1 Gene,Parkinson Disease,4,Gene
MTA2 Gene,Parkinson Disease,4,Gene
NPY Gene,Retinal Diseases,4,Gene
FBN1 wt Allele,Pancreatic Diseases,4,Gene
FASTK Gene,Syndrome, Bloch-Sulzberger,4,Gene
CNR1 gene,Neurotoxicity Syndromes,4,Gene
NRP1 Gene,Spinal Cord Diseases,4,Gene
CALCA Gene,Esophageal Diseases,4,Gene
PTCH1 Gene,Down Syndrome,4,Gene
GRM1 Gene,cortex bone disorders,4,Gene
TERT Gene,Neurotoxicity Syndromes,4,Gene
INS gene,Huntington Disease,4,Gene
PSEN1 wt Allele,Familial Alzheimer Disease (FAD),4,Gene
SP1 Gene,Bipolar Disorder,4,Gene
MIR191 wt Allele,Neurotoxicity Syndromes,4,Gene
ATP1A2 gene,Disorder nervous system,4,Gene
TNF Gene,Autistic Disorder,4,Gene
KHDRBS1 wt Allele,Lewy Body Disease,4,Gene
ID1 wt Allele,Syndrome,4,Gene
ROS1 Gene,Van der Woude syndrome,4,Gene
SET Gene,Down Syndrome,4,Gene
LMNA wt Allele,Parkinson Disease,4,Gene
SHANK3 Gene,cortex bone disorders,4,Gene
LTB4R wt Allele,Alzheimer's Disease,4,Gene
CRHR1 Gene,cortex bone disorders,4,Gene
UCHL1 wt Allele,Colonic Diseases,4,Gene
FBN1 wt Allele,Parkinson Disease,4,Gene
GLI3 wt Allele,Kallmann Syndrome,4,Gene
HTT gene,Pick Disease of the Brain,4,Gene
SLC12A2 wt Allele,Functional disorder,4,Gene
